ADDRESS,POINTS
3111 SHEPARD PL SE,5632.396 -8950.987|5496.788 -8950.976|5497.927 -8961.973|5498.871 -8972.981|5499.605 -8984.023|5500.136 -8995.065|5500.458 -9006.117|5500.584 -9017.170|5500.500 -9028.223|5500.213 -9039.276|5494.831 -9192.469|5493.817 -9221.235|5493.467 -9231.287|5665.391 -9230.865|5673.262 -9230.842|5673.311 -8968.745|5669.592 -8969.568|5665.957 -8970.713|5662.441 -8972.158|5659.058 -8973.915|5655.842 -8975.950|5652.808 -8978.263|5649.991 -8980.821|5647.405 -8983.623|5645.685 -8985.402|5643.756 -8986.947|5641.652 -8988.237|5639.408 -8989.260|5637.045 -8989.994|5634.612 -8990.428|5632.144 -8990.550|5629.684 -8990.361|5627.265 -8989.872|5624.923 -8989.071|5622.700 -8987.993|5620.631 -8986.647|5618.744 -8985.057|5617.073 -8983.234|5615.640 -8981.221|5614.466 -8979.041|5613.578 -8976.740|5612.977 -8974.338|5612.690 -8971.881|5612.704 -8969.401|5613.026 -8966.955|5613.655 -8964.564|5614.570 -8962.262|5615.773 -8960.105|5617.234 -8958.103|5618.925 -8956.313|5620.834 -8954.734|5622.924 -8953.422|5625.161 -8952.366|5627.510 -8951.610|5629.935 -8951.143
3007 SHEPARD PL SE,5686.971 -8968.078|5680.896 -8968.078|5677.093 -8968.244|5673.311 -8968.745|5673.262 -9230.842|5686.929 -9230.809|5686.943 -9129.388
3001 SHEPARD PL SE,6013.838 -9128.576|5930.365 -8975.183|5929.380 -8973.649|5928.198 -8972.259|5926.842 -8971.035|5925.339 -8970.012|5923.710 -8969.190|5921.991 -8968.600|5920.208 -8968.244|5918.391 -8968.122|5894.120 -8968.122|5686.971 -8968.078|5686.943 -9129.388
9699 SHEPARD RD SE,5903.235 -9230.342|6037.201 -9229.931|6037.592 -9229.931|6037.550 -9219.979|6037.550 -9210.838|6037.564 -9172.176|6031.503 -9161.034|6013.838 -9128.576|5908.911 -9128.832|5902.956 -9128.854|5894.113 -9128.866|5893.546 -9128.877|5887.577 -9128.888|5693.919 -9129.377|5687.845 -9129.388|5686.943 -9129.388|5686.922 -9211.639|5686.929 -9230.809|5869.240 -9230.364|5876.147 -9230.353
3145 SHEPARD PL SE,5657.345 -8862.287|5567.252 -8697.040|5554.550 -8673.734|5520.576 -8611.420|5516.459 -8615.623|5512.468 -8619.960|5508.595 -8624.396|5504.862 -8628.944|5501.262 -8633.603|5497.794 -8638.362|5494.467 -8643.222|5491.279 -8648.181|5488.245 -8653.229|5485.351 -8658.355|5482.611 -8663.570|5480.018 -8668.863|5477.585 -8674.223|5475.306 -8679.649|5473.181 -8685.153|5471.224 -8690.702|5469.078 -8697.463|5467.169 -8704.301|5465.498 -8711.195|5464.065 -8718.145|5462.877 -8725.139|5461.940 -8732.166|5461.241 -8739.227|5460.794 -8746.310|5460.584 -8753.405|5460.633 -8760.499|5460.920 -8767.582|5461.458 -8774.665|5462.241 -8781.715|5463.269 -8788.731|5464.541 -8795.714|5466.051 -8802.642|5484.527 -8880.678|5486.519 -8889.385|5488.378 -8898.114|5490.105 -8906.865|5491.706 -8915.638|5493.174 -8924.445|5494.509 -8933.274|5495.711 -8942.114|5496.788 -8950.976|5632.396 -8950.987|5687.831 -8950.998|5705.705 -8950.998|5669.669 -8884.904
9703 SHEPARD RD SE,6052.706 -9165.715|6037.543 -9137.861|6037.564 -9172.176|6037.550 -9210.838|6037.550 -9219.979|6037.592 -9229.931|6050.329 -9229.875|6052.713 -9229.875|6052.713 -9219.945
9819 SHEPARD RD SE,6087.735 -9229.786|6082.170 -9219.790|6052.706 -9165.715|6052.713 -9219.945|6052.713 -9229.875|6069.126 -9229.830|6074.837 -9229.819
9423 SHEPARD RD SE,5840.663 -8810.492|5682.077 -8519.351|5643.993 -8449.442|5641.638 -8456.014|5639.072 -8462.519|5636.318 -8468.935|5633.361 -8475.273|5630.215 -8481.511|5626.874 -8487.649|5623.343 -8493.676|5619.632 -8499.602|5615.745 -8505.407|5611.669 -8511.078|5607.433 -8516.626|5603.022 -8522.053|5598.443 -8527.323|5593.704 -8532.460|5588.811 -8537.442|5583.770 -8542.279|5563.875 -8560.726|5520.374 -8601.090|5525.512 -8606.672|5525.113 -8607.050|5520.576 -8611.420|5554.550 -8673.734|5567.252 -8697.040|5657.345 -8862.287|5746.376 -8862.331
9101 SHEPARD RD SE,5643.993 -8449.442|5633.815 -8430.750|5631.781 -8437.878|5629.495 -8444.939|5626.965 -8451.911|5624.189 -8458.783|5621.169 -8465.566|5617.926 -8472.226|5614.438 -8478.775|5610.733 -8485.191|5606.797 -8491.485|5602.652 -8497.623|5598.290 -8503.616|5593.718 -8509.454|5588.943 -8515.125|5583.973 -8520.629|5578.814 -8525.955|5573.473 -8531.093|5523.023 -8577.895|5513.845 -8586.401|5510.084 -8589.893|5504.939 -8584.299|5497.599 -8591.416|5490.580 -8598.855|5483.897 -8606.583|5477.550 -8614.600|5471.566 -8622.895|5465.946 -8631.435|5460.703 -8640.219|5455.852 -8649.215|5451.399 -8658.422|5447.358 -8667.818|5443.723 -8677.381|5440.515 -8687.099|5437.732 -8696.940|5435.384 -8706.903|5433.468 -8716.944|5432.000 -8727.074|5430.959 -8737.415|5430.378 -8747.800|5430.259 -8758.197|5430.602 -8768.583|5431.399 -8778.946|5432.657 -8789.265|5434.377 -8799.528|5436.544 -8809.692|5455.020 -8887.728|5457.900 -8900.560|5460.486 -8913.470|5462.765 -8926.435|5464.751 -8939.445|5466.337 -8951.721|5467.652 -8964.019|5468.707 -8976.362|5469.483 -8988.704|5469.993 -9001.080|5470.238 -9013.456|5470.210 -9025.832|5469.909 -9038.208|5465.149 -9173.566|5464.855 -9181.883|5464.485 -9192.547|5463.471 -9221.313|5493.817 -9221.235|5494.831 -9192.469|5500.213 -9039.276|5500.500 -9028.223|5500.584 -9017.170|5500.458 -9006.117|5500.136 -8995.065|5499.605 -8984.023|5498.871 -8972.981|5497.927 -8961.973|5496.788 -8950.976|5495.711 -8942.114|5494.509 -8933.274|5493.174 -8924.445|5491.706 -8915.638|5490.105 -8906.865|5488.378 -8898.114|5486.519 -8889.385|5484.527 -8880.678|5466.051 -8802.642|5464.541 -8795.714|5463.269 -8788.731|5462.241 -8781.715|5461.458 -8774.665|5460.920 -8767.582|5460.633 -8760.499|5460.584 -8753.405|5460.794 -8746.310|5461.241 -8739.227|5461.940 -8732.166|5462.877 -8725.139|5464.065 -8718.145|5465.498 -8711.195|5467.169 -8704.301|5469.078 -8697.463|5471.224 -8690.702|5473.181 -8685.153|5475.306 -8679.649|5477.585 -8674.223|5480.018 -8668.863|5482.611 -8663.570|5485.351 -8658.355|5488.245 -8653.229|5491.279 -8648.181|5494.467 -8643.222|5497.794 -8638.362|5501.262 -8633.603|5504.862 -8628.944|5508.595 -8624.396|5512.468 -8619.960|5516.459 -8615.623|5520.576 -8611.420|5525.113 -8607.050|5525.512 -8606.672|5520.374 -8601.090|5563.875 -8560.726|5583.770 -8542.279|5588.811 -8537.442|5593.704 -8532.460|5598.443 -8527.323|5603.022 -8522.053|5607.433 -8516.626|5611.669 -8511.078|5615.745 -8505.407|5619.632 -8499.602|5623.343 -8493.676|5626.874 -8487.649|5630.215 -8481.511|5633.361 -8475.273|5636.318 -8468.935|5639.072 -8462.519|5641.638 -8456.014
9101R SHEPARD RD SE,5493.467 -9231.287|5493.817 -9221.235|5463.471 -9221.313|5463.115 -9231.365|5465.261 -9231.321
9551 SHEPARD RD SE,5844.963 -8818.387|5840.663 -8810.492|5746.376 -8862.331|5657.345 -8862.287|5669.669 -8884.904|5705.705 -8950.998|5712.619 -8950.998|5894.189 -8951.031|5895.958 -8950.909|5897.692 -8950.564|5899.362 -8949.997|5900.949 -8949.219|5902.424 -8948.240|5903.759 -8947.084|5904.934 -8945.761|5905.933 -8944.304|5906.730 -8942.725|5907.325 -8941.057|5907.695 -8939.323|5907.835 -8937.555|5907.751 -8935.787|5907.443 -8934.041|5906.912 -8932.351|5906.164 -8930.750|5853.561 -8834.166|5840.468 -8841.360|5838.587 -8837.913|5818.692 -8848.854|5813.149 -8838.680|5833.051 -8827.739|5831.869 -8825.581
9543 SHEPARD RD SE,5853.561 -8834.166|5844.963 -8818.387|5831.869 -8825.581|5833.051 -8827.739|5813.149 -8838.680|5818.692 -8848.854|5838.587 -8837.913|5840.468 -8841.360
