ADDRESS,POINTS
1108 53 AV NE,2376.742 5918.788|2216.716 5918.922|2216.674 5891.512|2216.975 5891.512|2217.115 5797.074|2417.245 5796.918|2419.622 5797.152|2421.908 5797.841|2424.012 5798.976|2425.857 5800.488|2427.374 5802.323|2428.500 5804.435|2429.192 5806.715|2429.422 5809.083|2429.618 5918.744
908 55 AV NE,2052.720 6154.888|2019.410 6154.955|2019.207 6033.119|2156.074 6032.885|2156.270 6154.699
1000 55 AV NE,2208.405 6154.633|2156.270 6154.699|2156.074 6032.885|2224.490 6032.752|2224.692 6154.577
1008 55 AV NE,2293.143 6154.444|2275.436 6154.521|2224.692 6154.577|2224.490 6032.752|2292.947 6032.618
1007 55 AV NE,2216.884 6015.694|2080.017 6015.950|2079.857 5919.022|2079.808 5891.612|2216.674 5891.512|2216.716 5918.922
5040 SKYLINE WY NE,2318.875 5610.178|2263.993 5610.211|2263.916 5566.767|2275.786 5559.262|2318.714 5518.364
5050 SKYLINE WY NE,2276.415 5688.581|2209.278 5688.637|2209.125 5595.100|2215.437 5594.243|2235.465 5584.736|2263.916 5566.767|2263.993 5610.211|2318.875 5610.178|2318.952 5659.192|2318.987 5678.262|2319.001 5688.548
1001 53 AV NE,2276.415 5688.603|2276.569 5779.983|2209.425 5780.039|2209.278 5688.648|2209.278 5688.637|2276.415 5688.581
1011 53 AV NE,2319.064 5729.179|2319.148 5779.961|2276.569 5779.983|2276.415 5688.603|2276.415 5688.581|2319.001 5688.548
1107 53 AV NE,2429.283 5729.067|2429.353 5767.663|2429.129 5770.043|2428.444 5772.333|2427.325 5774.446|2425.808 5776.292|2423.963 5777.815|2421.859 5778.949|2419.566 5779.650|2417.182 5779.883|2319.148 5779.961|2319.064 5729.179
103 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
104 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
105 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
106 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
107 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
108 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
109 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
101 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
102 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
110 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
111 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
112 5621 11 ST NE,2430.024 6154.188|2426.654 6154.221|2361.587 6154.321|2361.384 6032.485|2417.643 6032.374|2420.090 6032.618|2422.432 6033.352|2424.578 6034.531|2426.451 6036.121|2427.885 6037.945|2428.954 6040.013|2429.611 6042.237|2429.835 6044.538
1108 55 AV NE,2318.560 6154.444|2293.143 6154.444|2292.947 6032.618|2361.384 6032.485|2361.587 6154.321
1107 55 AV NE,2376.903 6015.394|2216.884 6015.694|2216.716 5918.922|2376.742 5918.788
5535 11 ST NE,2429.618 5918.744|2429.765 6003.118|2429.534 6005.487|2428.849 6007.777|2427.731 6009.879|2426.221 6011.725|2424.382 6013.248|2422.278 6014.382|2419.992 6015.083|2417.623 6015.316|2376.903 6015.394|2376.742 5918.788
908 53 AV NE,2216.674 5891.512|2079.808 5891.612|2079.654 5797.185|2216.814 5797.074|2217.115 5797.074|2216.975 5891.512
5550 SKYLINE WY NE,2079.857 5919.022|1921.515 5919.144|1939.089 5880.181|1962.256 5817.034|1975.447 5793.838|1976.824 5791.892|1978.551 5790.247|1980.571 5788.979|1982.801 5788.123|1985.150 5787.723|1987.533 5787.778|1989.861 5788.312|1992.042 5789.279|2005.981 5797.241|2079.654 5797.185|2079.808 5891.612
5550 SKYLINE WY NE,2080.017 6015.950|1901.488 6016.273|1900.180 6016.195|1898.880 6015.984|1897.615 6015.639|1896.392 6015.150|1895.231 6014.538|1894.141 6013.804|1893.134 6012.959|1892.225 6012.014|1891.428 6010.969|1890.743 6009.846|1890.191 6008.656|1889.765 6007.410|1889.471 6006.132|1889.324 6004.831|1889.317 6003.519|1889.450 6002.207|1892.274 5984.004|1921.515 5919.144|2079.857 5919.022
955 53 AV NE,2209.425 5780.039|2143.861 5780.084|2143.701 5688.681|2209.278 5688.637|2209.278 5688.648
