ADDRESS,POINTS
130 SOMERSIDE GV SW,-1442.833 -16318.641|-1467.475 -16312.603|-1471.676 -16311.702|-1475.926 -16311.057|-1480.205 -16310.668|-1484.497 -16310.546|-1487.922 -16310.546|-1487.510 -16325.223|-1487.069 -16340.957|-1486.755 -16352.199|-1489.278 -16357.225|-1497.191 -16372.959|-1500.288 -16379.119|-1448.461 -16366.654
151 SOMERSET SQ SW,-399.064 -16732.797|-397.946 -16722.956|-408.362 -16726.615|-413.290 -16770.047|-378.247 -16789.785|-375.940 -16785.359|-373.787 -16780.856|-402.664 -16764.577|-401.427 -16753.646|-400.246 -16743.227
100 SOMERVALE DR SW,53.366 -16359.505|55.848 -16359.071|61.224 -16358.137|66.599 -16357.203|71.961 -16356.269|79.497 -16354.957|99.112 -16351.543|94.079 -16329.015|89.346 -16306.431|84.900 -16283.781|80.755 -16261.075|76.903 -16238.324|73.345 -16215.518|70.087 -16192.668|67.131 -16169.784|53.639 -16170.151|33.653 -16170.696|31.199 -16170.762|-26.961 -16172.341|-26.227 -16173.520|-25.654 -16174.443|-19.782 -16183.661|-10.778 -16197.794|-3.215 -16209.658|2.357 -16218.398|10.347 -16230.941|17.911 -16242.806|24.384 -16252.958|24.621 -16258.651|25.251 -16273.807|25.887 -16288.963|22.070 -16291.242|7.649 -16299.882|-8.954 -16309.834|-26.500 -16311.024|-48.310 -16312.503|-56.433 -16313.047|-59.411 -16313.248|-58.279 -16323.199|-51.924 -16355.557|-49.037 -16354.801|-47.492 -16354.167|-46.010 -16353.389|-44.612 -16352.488|-43.298 -16351.454|-42.089 -16350.298|-40.991 -16349.030|-40.013 -16347.673|-39.167 -16346.228|-37.992 -16344.304|-36.587 -16342.525|-34.972 -16340.957|-33.169 -16339.590|-31.212 -16338.467|-29.128 -16337.610|-26.947 -16337.010|-24.717 -16336.699|-22.459 -16336.665|-20.215 -16336.921|-18.027 -16337.455|-15.923 -16338.266|-13.931 -16339.334|-12.093 -16340.646|-10.436 -16342.180|-8.989 -16343.915|-7.542 -16346.217|-6.465 -16348.708|-5.766 -16351.332|-5.473 -16354.034|-5.501 -16355.724|-5.675 -16357.403|-6.011 -16359.060|-6.500 -16360.672|-7.143 -16362.240|-7.926 -16363.730|-8.842 -16365.153|-9.884 -16366.477|-11.624 -16368.267|-13.602 -16369.790|-15.763 -16371.036|-18.076 -16371.970|-10.918 -16370.713|-2.285 -16369.212|6.341 -16367.711|13.507 -16366.465|20.672 -16365.209|22.517 -16364.886|27.830 -16363.964|33.374 -16362.996|34.988 -16362.718|43.629 -16361.206|50.479 -16360.016
94R SOMERSET WY SW,-1218.775 -16457.134|-1244.164 -16431.770|-1248.841 -16436.952|-1250.812 -16439.209|-1225.367 -16464.639|-1215.133 -16474.858|-1205.556 -16484.432|-1196.000 -16493.984|-1190.261 -16499.710|-1188.177 -16501.934|-1186.220 -16504.269|-1183.312 -16508.406|-1181.383 -16511.697|-1179.698 -16515.133|-1178.279 -16518.691|-1177.132 -16522.338|-1176.524 -16524.818|-1176.035 -16527.320|-1175.671 -16529.833|-1175.434 -16532.379|-1175.322 -16534.915|-1175.343 -16537.472|-1175.483 -16540.007|-1175.755 -16542.543|-1176.643 -16547.446|-1177.999 -16552.239|-1179.509 -16557.209|-1180.579 -16561.657|-1181.404 -16566.172|-1182.026 -16571.142|-1182.354 -16576.135|-1182.389 -16580.460|-1182.208 -16584.797|-1166.213 -16583.696|-1163.152 -16580.627|-1160.264 -16578.158|-1157.203 -16575.923|-1153.980 -16573.911|-1150.618 -16572.154|-1146.661 -16570.475|-1142.579 -16569.140|-1138.398 -16568.151|-1134.148 -16567.517|-1130.576 -16567.283|-1127.004 -16567.283|-1123.439 -16567.550|-1119.894 -16568.073|-1115.728 -16569.007|-1111.660 -16570.308|-1108.025 -16571.498|-1105.082 -16572.287|-1102.111 -16572.921|-1099.105 -16573.410|-1096.085 -16573.744|-1091.157 -16573.955|-1086.228 -16573.766|-1084.935 -16573.644|-1074.890 -16572.632|-1062.824 -16571.409|-1050.759 -16570.186|-1037.512 -16568.851|-1030.067 -16568.095|-1026.641 -16567.873|-1023.216 -16567.873|-1019.763 -16568.117|-1016.338 -16568.584|-1012.954 -16569.296|-1009.627 -16570.241|-1006.579 -16571.320|-1003.601 -16572.599|-1000.721 -16574.066|-997.932 -16575.712|-995.394 -16577.436|-992.968 -16579.315|-990.654 -16581.327|-988.466 -16583.485|-986.418 -16585.764|-984.503 -16588.166|-982.741 -16590.679|-981.133 -16593.292|-973.143 -16607.191|-963.273 -16608.048|-962.427 -16598.096|-965.622 -16594.993|-968.537 -16591.635|-971.144 -16588.032|-973.423 -16584.207|-975.478 -16579.937|-977.135 -16575.490|-978.372 -16570.920|-979.176 -16566.238|-979.484 -16562.880|-979.568 -16559.511|-979.435 -16556.142|-979.078 -16552.784|-977.477 -16541.397|-983.860 -16536.093|-986.908 -16539.585|-990.256 -16542.798|-993.884 -16545.678|-997.757 -16548.214|-1001.595 -16550.271|-1005.593 -16551.983|-1009.718 -16553.351|-1013.947 -16554.352|-1018.127 -16554.974|-1022.342 -16555.241|-1026.558 -16555.163|-1030.759 -16554.730|-1031.947 -16554.541|-1035.037 -16554.085|-1038.148 -16553.784|-1041.266 -16553.629|-1044.390 -16553.618|-1047.571 -16553.762|-1050.738 -16554.051|-1053.890 -16554.507|-1057.022 -16555.108|-1060.161 -16555.864|-1063.258 -16556.787|-1066.312 -16557.854|-1069.304 -16559.066|-1070.213 -16559.466|-1073.645 -16560.879|-1077.162 -16562.024|-1080.755 -16562.914|-1084.404 -16563.525|-1089.101 -16563.925|-1093.820 -16563.881|-1098.518 -16563.392|-1103.138 -16562.469|-1107.668 -16561.123|-1112.044 -16559.355|-1116.238 -16557.187|-1120.216 -16554.641|-1123.585 -16552.028|-1126.717 -16549.148|-1133.009 -16542.865|-1142.026 -16533.847|-1151.044 -16524.840|-1160.048 -16515.811|-1169.093 -16506.793|-1182.816 -16493.061|-1196.566 -16479.328|-1214.189 -16461.726
37 SOMERSET MR SW,-1268.093 -16563.069|-1303.884 -16561.790|-1304.478 -16571.776|-1268.736 -16573.043|-1232.986 -16574.322|-1232.721 -16569.329|-1232.266 -16564.348
2 SOMERGLEN RD SW,-349.789 -16806.786|-357.310 -16799.781|-357.918 -16800.904|-360.190 -16804.985|-362.609 -16808.999|-365.140 -16812.935|-369.809 -16819.785|-374.807 -16826.401|-374.367 -16832.928|-370.355 -16836.664|-367.460 -16833.162|-364.657 -16829.592|-361.945 -16825.945|-359.331 -16822.242|-356.800 -16818.473|-354.367 -16814.637|-352.032 -16810.734
38 SOMERSET MR SW,-1181.404 -16566.172|-1217.328 -16564.882|-1217.817 -16569.863|-1218.097 -16574.856|-1182.354 -16576.135|-1182.026 -16571.142
69 SOMERSET MR SW,-1181.662 -16685.161|-1185.521 -16682.003|-1189.261 -16678.712|-1211.512 -16706.955|-1233.748 -16735.199|-1226.080 -16741.559|-1203.878 -16713.349
6 SOMERSET CR SW,-1154.868 -16627.006|-1158.014 -16623.048|-1160.880 -16618.878|-1163.452 -16614.519|-1165.717 -16609.993|-1167.674 -16605.323|-1169.303 -16600.531|-1170.603 -16595.638|-1171.568 -16590.668|-1169.037 -16587.065|-1166.213 -16583.696|-1182.208 -16584.797|-1182.054 -16586.743|-1181.411 -16592.013|-1180.432 -16597.228|-1179.118 -16602.377|-1177.489 -16607.425|-1175.546 -16612.362|-1173.295 -16617.166|-1170.743 -16621.813|-1167.905 -16626.295|-1164.661 -16630.742|-1161.131 -16634.968
66 SOMERSET CR SW,-973.143 -16607.191|-981.133 -16593.292|-982.741 -16590.679|-984.503 -16588.166|-986.418 -16585.764|-988.466 -16583.485|-990.654 -16581.327|-992.968 -16579.315|-995.394 -16577.436|-997.932 -16575.712|-1000.434 -16604.823
