ADDRESS,POINTS
1411 25 AV NE,3418.211 2990.392|3360.785 2990.559|3359.443 2990.492|3358.107 2990.303|3356.807 2989.980|3355.535 2989.525|3354.318 2988.946|3353.165 2988.257|3352.089 2987.456|3351.089 2986.556|3350.187 2985.566|3349.383 2984.487|3348.691 2983.331|3348.118 2982.119|3347.664 2980.851|3347.335 2979.550|3347.139 2978.216|3347.069 2976.871|3346.951 2929.668|3418.079 2929.490
3 1725 30 AV NE,3875.480 3508.838|3869.412 3508.860|3796.725 3509.038|3796.536 3430.635|3875.291 3430.435|3875.340 3450.972
7 1725 30 AV NE,3875.480 3508.838|3869.412 3508.860|3796.725 3509.038|3796.536 3430.635|3875.291 3430.435|3875.340 3450.972
11 1725 30 AV NE,3875.480 3508.838|3869.412 3508.860|3796.725 3509.038|3796.536 3430.635|3875.291 3430.435|3875.340 3450.972
15 1725 30 AV NE,3875.480 3508.838|3869.412 3508.860|3796.725 3509.038|3796.536 3430.635|3875.291 3430.435|3875.340 3450.972
19 1725 30 AV NE,3875.480 3508.838|3869.412 3508.860|3796.725 3509.038|3796.536 3430.635|3875.291 3430.435|3875.340 3450.972
23 1725 30 AV NE,3875.480 3508.838|3869.412 3508.860|3796.725 3509.038|3796.536 3430.635|3875.291 3430.435|3875.340 3450.972
27 1725 30 AV NE,3875.480 3508.838|3869.412 3508.860|3796.725 3509.038|3796.536 3430.635|3875.291 3430.435|3875.340 3450.972
1538 25 AV NE,3425.782 3104.912|3328.726 3105.167|3328.482 3007.694|3411.864 3007.483|3413.206 3007.549|3414.534 3007.738|3415.842 3008.072|3417.107 3008.517|3418.316 3009.095|3419.470 3009.784|3420.546 3010.585|3421.546 3011.486|3422.448 3012.475|3423.245 3013.554|3423.937 3014.710|3424.517 3015.922|3424.971 3017.179|3425.300 3018.480|3425.496 3019.814|3425.565 3021.148
2935 19 ST NE,4163.110 3450.205|4073.261 3450.450|4073.114 3393.184|4162.907 3392.940
2715 18 ST NE,3965.615 3103.499|3965.852 3187.251|3965.796 3188.597|3965.601 3189.920|3965.279 3191.232|3964.832 3192.489|3964.266 3193.712|3963.574 3194.868|3962.784 3195.947|3961.882 3196.948|3960.889 3197.859|3959.813 3198.660|3958.659 3199.349|3957.450 3199.939|3956.185 3200.395|3954.884 3200.728|3953.556 3200.928|3952.214 3200.995|3893.844 3201.162|3893.571 3103.688
1935 30 AV NE,4163.110 3450.205|4163.263 3494.361|4163.201 3495.695|4163.012 3497.029|4162.690 3498.330|4162.243 3499.598|4161.677 3500.821|4160.992 3501.977|4160.195 3503.056|4159.293 3504.057|4158.300 3504.969|4157.224 3505.769|4156.077 3506.470|4154.861 3507.048|4153.596 3507.504|4152.295 3507.837|4150.960 3508.038|4149.618 3508.115|4073.401 3508.316|4073.261 3450.450
2001 27 AV NE,4257.635 3193.456|4166.892 3193.712|4166.647 3099.574|4257.390 3099.330
3025 12 ST NE,3155.481 3457.911|3152.224 3464.149|3148.302 3471.132|3144.150 3477.971|3139.781 3484.664|3135.188 3491.214|3123.234 3507.660|3058.405 3467.540|3081.249 3429.912|3085.681 3422.618
1 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
2 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
3 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
4 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
5 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
6 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
7 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
8 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
9 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
10 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
11 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
12 2235 30 AV NE,4498.219 3507.148|4433.243 3507.337|4432.998 3412.910|4497.975 3412.721
