ADDRESS,POINTS
3 SLOPEVIEW DR SW,-11103.659 -1277.025|-11096.249 -1283.863|-10971.979 -1161.938|-10972.972 -1158.269|-10973.776 -1154.544|-10974.377 -1150.796|-10974.775 -1147.005|-10985.324 -1146.704|-11185.825 -1146.593|-11185.867 -1201.034|-11111.076 -1270.175
2920 STONEY TR SW,-10807.186 -2417.951|-10812.422 -2393.555|-10902.067 -2563.606|-10806.745 -2652.406|-10771.884 -2586.490|-10775.176 -2570.800|-10775.197 -2570.733|-10778.567 -2554.588|-10788.899 -2505.106|-10797.133 -2466.143
2930 STONEY TR SW,-10902.067 -2563.606|-10812.422 -2393.555|-11049.923 -2296.682|-11082.897 -2395.112
2840 STONEY TR SW,-10350.386 -2746.243|-10366.003 -2746.232|-10366.052 -2860.585|-10061.588 -2937.943|-10046.992 -2941.780|-10032.452 -2945.849|-10017.989 -2950.153|-10003.588 -2954.689|-9989.265 -2959.449|-9975.025 -2964.452|-9960.863 -2969.667|-9946.784 -2975.127|-9932.796 -2980.798|-9918.899 -2986.702|-9905.107 -2992.818|-9891.405 -2999.167|-9877.809 -3005.728|-9864.324 -3012.511|-9850.951 -3019.505|-9837.683 -3026.710|-9791.462 -3052.519|-9765.353 -3004.827|-9765.318 -2995.164|-9870.567 -2931.728|-9884.988 -2923.143|-9899.500 -2914.737|-9914.117 -2906.486|-9928.832 -2898.425|-10029.970 -2898.414|-10030.068 -2848.298|-10049.299 -2839.836|-10068.649 -2831.652|-10088.110 -2823.735|-10107.677 -2816.096|-10127.355 -2808.735|-10147.131 -2801.652|-10167.012 -2794.847|-10186.977 -2788.331|-10207.039 -2782.081|-10227.186 -2776.121|-10247.416 -2770.450|-10267.717 -2765.069|-10288.101 -2759.965|-10308.548 -2755.150|-10329.065 -2750.624|-10349.638 -2746.388
2866 STONEY TR SW,-10566.322 -2746.310|-10566.385 -2746.310|-10566.378 -2804.042|-10566.378 -2804.076|-10548.797 -2814.150|-10366.052 -2860.585|-10366.003 -2746.232|-10367.058 -2746.243
2890 STONEY TR SW,-10566.301 -2804.076|-10566.315 -2751.748|-10566.322 -2746.366|-10566.350 -2715.131|-10685.258 -2640.697|-10696.827 -2633.458|-10726.572 -2614.844|-10727.445 -2614.299|-10729.983 -2612.709|-10770.996 -2587.057|-10771.884 -2586.490|-10806.745 -2652.406|-10706.006 -2746.266|-10691.983 -2746.277|-10691.619 -2746.410|-10684.265 -2749.468|-10676.967 -2752.670|-10669.732 -2756.006|-10662.567 -2759.487|-10605.392 -2787.919|-10591.243 -2794.958|-10581.568 -2798.305|-10573.907 -2801.129
8770 LOWER SPRINGBANK RD SW,-9960.240 -2882.835|-9977.521 -2873.862|-9994.927 -2865.111|-10012.438 -2856.593|-10030.068 -2848.298|-10029.970 -2898.414|-9928.832 -2898.425|-9944.484 -2890.530
4051 69 ST SW,-8888.999 -3467.887|-8891.494 -3467.932|-8892.221 -3467.943|-8892.886 -3467.932|-8894.416 -3467.153|-8907.978 -3460.248|-8915.800 -3456.334|-8917.464 -3455.489|-8919.030 -3454.622|-8923.839 -3452.231|-8925.384 -3451.353|-8928.369 -3449.807|-8928.900 -3449.540|-8929.418 -3449.284|-8929.662 -3449.151|-8930.396 -3448.762|-8932.354 -3447.872|-8934.591 -3446.738|-8936.534 -3445.760|-8939.652 -3444.203|-8941.455 -3443.302|-8941.385 -3520.360|-8935.744 -3522.017|-8930.033 -3523.451|-8924.273 -3524.663|-8918.471 -3525.631|-8915.507 -3526.120|-8912.466 -3526.498|-8904.748 -3527.143|-8897.010 -3527.377|-8858.758 -3527.488|-8828.727 -3527.577|-8566.214 -3528.344|-8550.073 -3528.388|-8542.019 -3528.411|-8540.684 -3528.422|-8540.076 -3528.422|-8529.430 -3528.444|-8448.690 -3528.633|-8439.392 -3528.689|-8438.386 -3526.498|-8410.522 -3466.075|-8499.336 -3466.253|-8500.181 -3467.520|-8503.383 -3467.531|-8509.164 -3467.531|-8510.269 -3467.543|-8515.113 -3467.565|-8516.735 -3467.620|-8524.362 -3467.587|-8539.524 -3467.598|-8540.489 -3467.609|-8541.761 -3467.643|-8656.565 -3467.676|-8657.202 -3467.709|-8666.478 -3467.809|-8667.331 -3467.743|-8667.925 -3467.743|-8669.533 -3467.743|-8674.084 -3467.754|-8675.726 -3467.821|-8689.952 -3467.765|-8701.060 -3467.776|-8711.979 -3467.798|-8722.898 -3467.809|-8733.817 -3467.821|-8744.743 -3467.832|-8755.648 -3467.798|-8766.575 -3467.809|-8777.501 -3467.809|-8788.434 -3467.821|-8799.360 -3467.832|-8810.286 -3467.832|-8821.219 -3467.843|-8832.145 -3467.854|-8843.071 -3467.854|-8854.004 -3467.865|-8864.931 -3467.876|-8883.022 -3467.887
4051 69 ST SW,-8888.999 -3467.887|-8891.494 -3467.932|-8892.221 -3467.943|-8892.886 -3467.932|-8894.416 -3467.153|-8907.978 -3460.248|-8915.800 -3456.334|-8917.464 -3455.489|-8919.030 -3454.622|-8923.839 -3452.231|-8925.384 -3451.353|-8928.369 -3449.807|-8928.900 -3449.540|-8929.418 -3449.284|-8929.662 -3449.151|-8930.396 -3448.762|-8932.354 -3447.872|-8934.591 -3446.738|-8936.534 -3445.760|-8939.652 -3444.203|-8941.455 -3443.302|-8941.385 -3520.360|-8935.744 -3522.017|-8930.033 -3523.451|-8924.273 -3524.663|-8918.471 -3525.631|-8915.507 -3526.120|-8912.466 -3526.498|-8904.748 -3527.143|-8897.010 -3527.377|-8858.758 -3527.488|-8828.727 -3527.577|-8566.214 -3528.344|-8550.073 -3528.388|-8542.019 -3528.411|-8540.684 -3528.422|-8540.076 -3528.422|-8529.430 -3528.444|-8448.690 -3528.633|-8439.392 -3528.689|-8438.386 -3526.498|-8410.522 -3466.075|-8499.336 -3466.253|-8500.181 -3467.520|-8503.383 -3467.531|-8509.164 -3467.531|-8510.269 -3467.543|-8515.113 -3467.565|-8516.735 -3467.620|-8524.362 -3467.587|-8539.524 -3467.598|-8540.489 -3467.609|-8541.761 -3467.643|-8656.565 -3467.676|-8657.202 -3467.709|-8666.478 -3467.809|-8667.331 -3467.743|-8667.925 -3467.743|-8669.533 -3467.743|-8674.084 -3467.754|-8675.726 -3467.821|-8689.952 -3467.765|-8701.060 -3467.776|-8711.979 -3467.798|-8722.898 -3467.809|-8733.817 -3467.821|-8744.743 -3467.832|-8755.648 -3467.798|-8766.575 -3467.809|-8777.501 -3467.809|-8788.434 -3467.821|-8799.360 -3467.832|-8810.286 -3467.832|-8821.219 -3467.843|-8832.145 -3467.854|-8843.071 -3467.854|-8854.004 -3467.865|-8864.931 -3467.876|-8883.022 -3467.887
2808 STONEY TR SW,-9586.362 -3094.673|-9592.304 -3091.370|-9599.308 -3087.478|-9609.745 -3081.674|-9618.651 -3076.737|-9623.887 -3073.824|-9745.255 -3006.406|-9745.297 -3018.982|-9745.290 -3023.686|-9745.262 -3040.821|-9745.206 -3078.238|-9745.199 -3080.240|-9737.440 -3082.197|-9737.007 -3082.297|-9638.525 -3136.904|-9630.199 -3141.452|-9620.867 -3146.690|-9609.941 -3152.739|-9586.641 -3165.659|-9586.474 -3120.548|-9586.376 -3101.378
