ADDRESS,POINTS
11900 18 ST NE,4060.699 12241.654|4060.713 12248.304|4060.734 12279.894|4060.790 12345.466|4060.979 12617.849|3860.911 12617.549|3859.443 12617.471|3857.982 12617.248|3856.556 12616.881|3855.172 12616.392|3853.844 12615.758|3852.579 12614.991|3851.404 12614.113|3850.314 12613.123|3849.328 12612.033|3848.454 12610.855|3847.699 12609.587|3847.077 12608.264|3846.581 12606.874|3846.231 12605.451|3846.015 12603.994|3845.952 12602.537|3846.022 12550.576|3846.113 12483.636|3846.301 12345.510|3846.315 12336.170|3846.567 12226.209|4048.913 12226.187|4060.650 12237.440
1796 120 AV NE,3582.704 12647.093|3582.655 12747.302|3577.601 12747.291|3481.070 12747.191|3481.112 12662.115|3481.119 12646.926|3486.054 12646.937|3577.615 12647.115
1626 120 AV NE,3311.858 12646.648|3363.029 12646.726|3363.937 12646.737|3364.713 12646.737|3365.112 12696.908|3365.510 12747.091|3366.377 12858.730|3332.417 12875.543|3270.719 12875.554|3267.217 12875.554|3267.175 12666.474|3267.406 12663.828|3268.098 12661.270|3269.230 12658.880|3270.768 12656.723|3272.663 12654.866|3274.858 12653.364|3277.283 12652.286|3279.863 12651.641
12285 18 ST NE,3689.812 12969.758|3689.819 12965.544|3659.495 12954.781|3657.845 12747.391|3634.839 12747.357|3629.897 12747.357|3605.563 12747.324|3596.601 12747.313|3587.612 12747.302|3582.655 12747.302|3582.704 12647.093|3587.626 12647.138|3596.643 12647.115|3605.577 12647.138|3629.953 12647.171|3634.860 12647.215|3797.752 12647.471|3811.957 12647.493|3813.425 12647.571|3814.879 12647.794|3816.312 12648.149|3817.689 12648.650|3819.024 12649.284|3820.283 12650.040|3821.457 12650.918|3822.548 12651.908|3823.533 12652.997|3824.407 12654.176|3825.162 12655.444|3825.784 12656.767|3826.274 12658.157|3826.630 12659.580|3826.840 12661.026|3826.910 12662.494|3826.805 12722.072|3826.798 12726.864|3826.343 12980.255|3820.807 13000.793|3820.108 13002.794|3819.136 13004.685|3817.906 13006.408|3816.445 13007.954|3814.781 13009.266|3812.943 13010.334|3810.971 13011.134|3808.909 13011.646|3784.939 13015.815|3689.757 13015.571
12290 18 ST NE,3860.303 12647.560|3867.287 12647.571|4012.954 12647.771|4061.063 12647.838|4061.084 12665.885|4061.419 13016.471|3860.296 13016.016|3858.828 13015.927|3857.374 13015.715|3855.948 13015.348|3854.564 13014.848|3853.236 13014.214|3851.978 13013.458|3850.796 13012.580|3849.713 13011.590|3848.727 13010.500|3847.853 13009.322|3847.098 13008.054|3846.476 13006.731|3845.980 13005.341|3845.630 13003.918|3845.420 13002.472|3845.351 13001.004|3845.896 12669.510|3848.566 12657.023|3849.160 12655.077|3850.076 12653.264|3851.285 12651.630|3852.760 12650.218|3854.445 12649.083|3856.305 12648.238|3858.276 12647.727
1581 110 AV NE,3195.544 11377.803|3199.962 11382.584|3204.170 11387.544|3208.176 11392.681|3211.964 11397.963|3215.530 11403.411|3218.871 11408.993|3221.975 11414.709|3224.841 11420.546|3226.819 11424.961|3228.658 11429.431|3230.356 11433.956|3231.915 11438.526|3233.334 11443.152|3234.614 11447.811|3235.753 11452.504|3236.746 11457.241|3237.375 11460.665|3235.012 11461.077|3232.719 11461.788|3230.531 11462.767|3228.483 11464.012|3227.043 11464.935|3225.540 11465.736|3223.988 11466.425|3222.380 11466.992|3220.737 11467.448|3219.060 11467.760|3217.368 11467.960|3215.662 11468.027|3135.614 11468.015|3134.160 11468.015|3130.616 11467.993|3127.023 11464.168|3114.300 11450.658|3042.019 11373.911|3056.377 11360.946|3064.221 11353.852|3122.759 11300.945|3148.064 11328.110|3173.650 11355.008
11155 11 ST NE,2730.020 11739.431|2730.006 11771.744|2729.936 11773.223|2729.719 11774.680|2729.363 11776.103|2728.867 11777.493|2728.230 11778.816|2727.475 11780.084|2726.595 11781.263|2725.602 11782.352|2724.511 11783.342|2723.323 11784.220|2722.058 11784.977|2720.723 11785.599|2719.338 11786.088|2717.905 11786.444|2716.444 11786.667|2714.969 11786.733|2660.087 11786.555|2660.947 11776.793|2652.139 11734.805|2643.932 11711.388|2687.406 11711.410|2728.720 11711.421|2729.146 11716.425|2729.712 11725.799|2729.992 11735.195
11150 11 ST NE,2822.224 11790.992|2791.809 11790.859|2790.432 11790.792|2789.069 11790.603|2787.733 11790.281|2786.426 11789.836|2785.168 11789.280|2783.965 11788.601|2782.833 11787.823|2781.770 11786.945|2780.100 11785.143|2778.744 11783.097|2777.737 11780.851|2777.115 11778.472|2772.865 11754.276|2772.340 11743.645|2771.355 11733.048|2769.929 11722.496|2768.048 11712.010|2769.544 11711.844|2771.536 11711.610|2780.820 11710.532|2824.370 11705.472|2830.997 11704.694|2831.165 11707.529|2831.452 11710.342|2831.878 11713.156|2832.423 11715.936|2833.095 11718.693|2833.891 11721.406|2834.814 11724.097|2835.856 11726.733|2848.641 11757.089|2851.654 11764.850|2854.241 11772.767|2856.380 11780.807|2858.065 11788.957|2826.454 11790.759
11141 15 ST NE,3130.420 11702.036|3239.025 11702.003|3238.997 11722.129|3231.006 11738.319|3230.999 11777.804|3227.497 11777.960|3130.379 11782.397
101 1626 115 AV NE,3394.150 12303.490|3390.991 12302.556|3387.747 12301.966|3384.461 12301.744|3381.169 12301.877|3377.911 12302.367|3374.724 12303.212|3371.648 12304.401|3368.726 12305.914|3366.615 12307.259|3364.629 12308.782|3362.777 12310.462|3361.071 12312.285|3359.841 12313.831|3359.778 12313.909|3358.520 12315.732|3357.394 12317.645|3352.809 12313.408|3344.658 12305.869|3264.330 12305.769|3264.260 12154.588|3264.260 12154.333|3265.693 12154.377|3394.367 12154.344
102 1626 115 AV NE,3394.150 12303.490|3390.991 12302.556|3387.747 12301.966|3384.461 12301.744|3381.169 12301.877|3377.911 12302.367|3374.724 12303.212|3371.648 12304.401|3368.726 12305.914|3366.615 12307.259|3364.629 12308.782|3362.777 12310.462|3361.071 12312.285|3359.841 12313.831|3359.778 12313.909|3358.520 12315.732|3357.394 12317.645|3352.809 12313.408|3344.658 12305.869|3264.330 12305.769|3264.260 12154.588|3264.260 12154.333|3265.693 12154.377|3394.367 12154.344
103 1626 115 AV NE,3394.150 12303.490|3390.991 12302.556|3387.747 12301.966|3384.461 12301.744|3381.169 12301.877|3377.911 12302.367|3374.724 12303.212|3371.648 12304.401|3368.726 12305.914|3366.615 12307.259|3364.629 12308.782|3362.777 12310.462|3361.071 12312.285|3359.841 12313.831|3359.778 12313.909|3358.520 12315.732|3357.394 12317.645|3352.809 12313.408|3344.658 12305.869|3264.330 12305.769|3264.260 12154.588|3264.260 12154.333|3265.693 12154.377|3394.367 12154.344
104 1626 115 AV NE,3394.150 12303.490|3390.991 12302.556|3387.747 12301.966|3384.461 12301.744|3381.169 12301.877|3377.911 12302.367|3374.724 12303.212|3371.648 12304.401|3368.726 12305.914|3366.615 12307.259|3364.629 12308.782|3362.777 12310.462|3361.071 12312.285|3359.841 12313.831|3359.778 12313.909|3358.520 12315.732|3357.394 12317.645|3352.809 12313.408|3344.658 12305.869|3264.330 12305.769|3264.260 12154.588|3264.260 12154.333|3265.693 12154.377|3394.367 12154.344
105 1626 115 AV NE,3394.150 12303.490|3390.991 12302.556|3387.747 12301.966|3384.461 12301.744|3381.169 12301.877|3377.911 12302.367|3374.724 12303.212|3371.648 12304.401|3368.726 12305.914|3366.615 12307.259|3364.629 12308.782|3362.777 12310.462|3361.071 12312.285|3359.841 12313.831|3359.778 12313.909|3358.520 12315.732|3357.394 12317.645|3352.809 12313.408|3344.658 12305.869|3264.330 12305.769|3264.260 12154.588|3264.260 12154.333|3265.693 12154.377|3394.367 12154.344
106 1626 115 AV NE,3394.150 12303.490|3390.991 12302.556|3387.747 12301.966|3384.461 12301.744|3381.169 12301.877|3377.911 12302.367|3374.724 12303.212|3371.648 12304.401|3368.726 12305.914|3366.615 12307.259|3364.629 12308.782|3362.777 12310.462|3361.071 12312.285|3359.841 12313.831|3359.778 12313.909|3358.520 12315.732|3357.394 12317.645|3352.809 12313.408|3344.658 12305.869|3264.330 12305.769|3264.260 12154.588|3264.260 12154.333|3265.693 12154.377|3394.367 12154.344
107 1626 115 AV NE,3394.150 12303.490|3390.991 12302.556|3387.747 12301.966|3384.461 12301.744|3381.169 12301.877|3377.911 12302.367|3374.724 12303.212|3371.648 12304.401|3368.726 12305.914|3366.615 12307.259|3364.629 12308.782|3362.777 12310.462|3361.071 12312.285|3359.841 12313.831|3359.778 12313.909|3358.520 12315.732|3357.394 12317.645|3352.809 12313.408|3344.658 12305.869|3264.330 12305.769|3264.260 12154.588|3264.260 12154.333|3265.693 12154.377|3394.367 12154.344
108 1626 115 AV NE,3394.150 12303.490|3390.991 12302.556|3387.747 12301.966|3384.461 12301.744|3381.169 12301.877|3377.911 12302.367|3374.724 12303.212|3371.648 12304.401|3368.726 12305.914|3366.615 12307.259|3364.629 12308.782|3362.777 12310.462|3361.071 12312.285|3359.841 12313.831|3359.778 12313.909|3358.520 12315.732|3357.394 12317.645|3352.809 12313.408|3344.658 12305.869|3264.330 12305.769|3264.260 12154.588|3264.260 12154.333|3265.693 12154.377|3394.367 12154.344
