ADDRESS,POINTS
1002 COUNTRY HILLS BV NE,2467.500 11944.930|2481.320 12008.534|2481.411 12008.934|2485.535 12027.949|2502.256 12105.073|2506.227 12123.387|2528.799 12227.488|2583.066 12477.610|2613.691 12618.772|2616.089 12629.758|2616.096 12629.791|2584.912 12629.702|2584.891 12629.602|2583.933 12625.154|2497.649 12227.466|2497.636 12227.399|2476.063 12127.935|2443.410 11977.388|2442.019 11970.983|2415.693 11849.236|2441.942 11846.490|2446.018 11846.067
1360 128 AV NE,2944.872 13433.252|2944.900 13433.275|2953.617 13442.548|3196.061 13700.509|3239.367 13746.588|3239.381 13791.044|3239.381 13791.078|3119.271 13663.281|2911.514 13442.226|2903.055 13433.230
920 COUNTRY HILLS BV NE,2442.173 12629.324|2442.208 12653.420|2434.484 12629.280|2361.999 12402.776|2353.394 12375.099|2345.257 12347.289|2337.582 12319.335|2330.381 12291.258|2323.650 12263.070|2317.393 12234.782|2311.612 12206.383|2306.306 12177.884|2250.998 11866.482|2415.693 11849.236|2442.019 11970.983|2442.019 11976.310|2442.026 11995.991|2442.096 12227.243|2442.131 12404.399|2442.194 12546.617|2442.145 12591.951|2442.166 12596.099
1321 128 AV NE,3226.554 13423.278|3226.533 13433.375|3145.226 13433.297|3014.183 13433.263|2944.872 13433.241|2903.055 13433.230|2847.600 13433.174|2836.876 13433.186|2831.808 13433.186|2823.853 13433.186|2812.913 13419.887|2802.106 13406.477|2791.431 13392.966|2780.897 13379.345|2770.495 13365.624|2760.233 13351.802|2750.104 13337.869|2740.114 13323.848|2733.054 13313.885|2718.975 13293.258|2705.190 13272.431|2691.705 13251.404|2678.528 13230.199|2665.666 13208.794|2653.104 13187.211|2640.856 13165.450|2628.931 13143.523|2694.494 13131.903|2650.112 12928.505|2584.912 12629.702|2616.096 12629.791|2724.483 13126.588|2776.374 13117.392|2813.759 13193.861|3048.317 13276.234|3016.378 13423.200
859 96 AV NE,2218.100 10283.089|2206.314 10273.849|2207.510 10258.014|2195.004 10251.087|2181.687 10250.809|2169.125 10256.658|2162.330 10255.968|2156.584 10250.898|2150.495 10240.913|2146.266 10229.271|2146.441 10224.222|2149.601 10218.918|2153.669 10215.026|2163.029 10208.144|2161.589 10199.226|2162.232 10193.777|2222.826 10194.111|2244.091 10362.204|2154.843 10385.333|2145.176 10387.835|2146.364 10386.578|2147.685 10385.477|2148.741 10385.010|2150.216 10384.443|2151.404 10383.654|2152.460 10382.708|2153.487 10381.786|2154.648 10381.041|2156.927 10379.884|2161.289 10377.938|2167.168 10375.614|2168.887 10375.158|2170.698 10375.003|2173.480 10374.869|2176.458 10374.469|2177.416 10374.258|2178.345 10373.902|2179.205 10373.401|2180.415 10372.656|2181.701 10372.056|2182.463 10371.756|2182.889 10371.589|2184.078 10370.911|2185.210 10370.266|2185.930 10369.988|2187.901 10369.232|2194.990 10366.363|2196.982 10365.406|2197.353 10365.106|2197.954 10364.550|2198.897 10364.005|2199.946 10363.727|2200.470 10363.750|2200.778 10364.172|2200.820 10364.428|2200.708 10364.661|2200.589 10364.895|2200.617 10365.162|2200.918 10365.618|2201.358 10365.940|2203.071 10366.652|2204.846 10367.197|2206.370 10367.530|2207.671 10367.742|2209.810 10367.853|2211.935 10367.586|2214.339 10366.897|2216.618 10365.874|2218.037 10365.017|2219.380 10364.061|2220.351 10363.216|2221.225 10362.282|2222.078 10361.114|2222.756 10359.836|2223.469 10358.479|2224.357 10357.223|2226.321 10355.188|2226.720 10354.921|2227.174 10354.776|2227.551 10354.821|2228.006 10354.899|2228.355 10354.799|2228.649 10354.576|2228.838 10354.265|2228.894 10353.909|2229.138 10353.131|2229.781 10352.619|2230.362 10352.541|2230.851 10352.463|2231.186 10352.230|2231.424 10351.896|2232.123 10350.284|2232.689 10348.627|2233.207 10346.626|2233.577 10344.591|2233.808 10342.545|2233.899 10340.477|2233.829 10339.198|2233.619 10337.930|2233.263 10336.696|2232.766 10335.506|2232.480 10334.984|2232.305 10334.650|2231.948 10333.182|2232.088 10331.681|2232.354 10329.702|2232.130 10327.734|2231.207 10324.542|2230.054 10321.585|2228.852 10319.038|2227.510 10316.570|2226.622 10315.169|2225.601 10313.845|2223.511 10311.722|2221.435 10309.609|2220.687 10308.653|2219.652 10307.307|2219.058 10306.662|2218.373 10306.117|2217.227 10305.417|2216.017 10304.839|2213.864 10303.627|2214.158 10301.492|2220.561 10296.132
833 96 AV NE,2147.049 10379.006|2145.770 10379.684|2144.609 10380.485|2143.526 10381.396|2142.114 10382.797|2140.807 10384.287|2138.451 10387.223|2136.011 10390.392|2088.756 10402.623|2085.854 10403.380|2085.715 10402.812|2072.950 10351.874|2152.404 10278.897|2143.903 10275.127|2130.440 10253.400|2121.184 10232.484|2124.596 10208.410|2137.682 10193.644|2157.521 10193.755|2157.968 10198.492|2155.661 10209.255|2143.267 10219.118|2141.778 10229.637|2148.189 10244.126|2152.774 10251.676|2157.563 10259.315|2165.057 10262.651|2169.496 10265.976|2174.263 10261.161|2182.078 10255.368|2196.087 10256.146|2201.099 10260.361|2202.707 10264.964|2203.574 10280.665|2197.828 10297.489|2201.113 10301.536|2206.622 10300.569|2208.852 10304.939|2219.002 10313.467|2220.009 10314.301|2220.924 10315.246|2221.358 10315.858|2221.672 10316.547|2222.316 10318.671|2222.742 10319.983|2223.455 10321.774|2224.364 10324.042|2226.209 10329.124|2227.048 10332.026|2227.279 10333.716|2227.307 10339.153|2227.083 10342.256|2226.845 10343.134|2226.391 10343.779|2225.720 10344.179|2224.685 10344.713|2223.833 10345.503|2222.406 10347.382|2221.295 10348.816|2220.274 10349.828|2219.463 10350.662|2219.170 10351.118|2218.988 10351.618|2218.785 10352.241|2218.471 10352.808|2217.912 10353.220|2217.632 10353.542|2217.660 10353.764|2217.877 10354.076|2218.198 10354.198|2218.604 10354.320|2218.960 10354.676|2219.156 10355.143|2219.275 10356.111|2219.212 10357.067|2218.932 10358.401|2218.653 10359.180|2218.226 10359.969|2217.807 10360.525|2217.157 10361.025|2215.898 10361.481|2214.395 10361.648|2213.459 10361.448|2212.508 10360.892|2210.858 10359.836|2206.587 10357.690|2205.776 10357.567|2204.783 10357.745|2203.029 10358.123|2200.764 10358.501|2199.645 10358.657|2198.911 10358.657|2198.212 10358.457|2197.422 10358.223|2196.598 10358.179|2194.172 10358.557|2190.789 10359.602|2186.846 10361.148|2184.245 10362.148|2181.065 10363.316|2178.891 10364.117|2176.360 10365.106|2173.096 10366.407|2169.041 10367.764|2163.176 10369.643|2159.227 10371.122|2157.766 10371.800|2156.626 10372.467|2153.599 10374.458|2150.523 10376.704|2148.154 10378.405
815 96 AV NE,2085.854 10403.380|2056.397 10411.019|1995.663 10426.753|1995.083 10423.472|1992.867 10411.008|1990.728 10398.976|1987.254 10380.718|1982.864 10357.100|1978.306 10333.505|1973.587 10309.942|1968.708 10286.414|1963.668 10262.918|1958.467 10239.467|1953.105 10216.038|1947.590 10192.654|1947.569 10192.587|1960.089 10192.654|1972.623 10192.721|1985.157 10192.787|2001.703 10192.876|2033.167 10193.054|2137.682 10193.644|2124.596 10208.410|2121.184 10232.484|2130.440 10253.400|2143.903 10275.127|2152.404 10278.897|2072.950 10351.874|2085.715 10402.812
820 96 AV NE,2143.148 10543.596|2166.168 10570.450|2171.684 10585.828|2124.582 10534.779|2135.214 10532.021
820R 96 AV NE,2243.951 10620.232|2244.853 10619.498|2245.832 10618.875|2246.873 10618.375|2247.971 10617.997|2249.103 10617.741|2250.264 10617.630|2251.424 10617.641|2252.570 10617.797|2263.280 10619.643|2274.045 10621.055|2284.859 10622.056|2295.709 10622.623|2297.568 10622.756|2299.407 10623.034|2301.224 10623.445|2303.000 10623.990|2304.733 10624.669|2306.411 10625.469|2308.026 10626.392|2309.571 10627.426|2311.032 10628.583|2312.402 10629.839|2313.674 10631.196|2314.842 10632.641|2315.904 10634.165|2316.841 10635.766|2317.666 10637.434|2318.358 10639.157|2318.917 10640.936|2319.350 10642.738|2319.644 10644.572|2319.805 10646.418|2319.819 10648.275|2319.700 10650.132|2319.448 10651.978|2319.057 10653.791|2318.526 10655.570|2317.868 10657.304|2317.085 10658.994|2316.177 10660.618|2315.149 10662.164|2314.017 10663.631|2312.765 10665.010|2311.423 10666.300|2309.032 10668.557|2306.789 10670.970|2304.712 10673.528|2302.811 10676.219|2270.795 10724.677|2238.757 10646.885|2207.852 10623.490|2209.963 10624.691|2212.165 10625.725|2214.444 10626.570|2216.786 10627.237|2219.177 10627.704|2221.596 10627.982|2224.021 10628.060|2226.454 10627.938|2228.866 10627.626|2231.242 10627.115|2233.570 10626.414|2235.835 10625.525|2238.023 10624.446|2240.113 10623.201|2242.092 10621.800
840 96 AV NE,2167.839 10532.121|2165.812 10530.420|2163.239 10528.074|2162.435 10527.295|2160.785 10525.394|2157.947 10521.291|2157.779 10521.013|2162.610 10519.767|2180.722 10515.075|2184.546 10532.499|2203.959 10529.986|2216.213 10532.777|2228.383 10535.902|2240.456 10539.371|2252.431 10543.185|2264.286 10547.333|2276.023 10551.814|2287.628 10556.617|2299.092 10561.754|2310.403 10567.214|2321.559 10572.985|2332.541 10579.079|2343.349 10585.472|2353.974 10592.177|2364.404 10599.172|2374.624 10606.466|2384.641 10614.038|2390.534 10618.909|2395.826 10623.045|2440.041 10601.974|2440.572 10946.133|2422.670 10947.445|2407.808 10948.090|2398.259 10949.702|2383.222 10951.048|2378.476 10950.625|2371.695 10949.058|2366.767 10951.370|2359.238 10953.294|2349.549 10961.178|2349.374 10973.543|2353.415 10986.764|2361.230 10994.814|2363.698 10999.585|2363.726 10999.718|2313.674 10999.484|2313.569 10999.362|2299.658 10984.151|2294.066 10970.285|2294.031 10953.372|2291.787 10942.786|2292.884 10926.163|2295.450 10912.430|2296.939 10896.696|2301.539 10881.429|2307.145 10863.193|2309.522 10851.217|2330.311 10829.000|2335.456 10820.427|2335.638 10814.567|2331.619 10808.040|2329.473 10800.646|2319.749 10794.408|2312.437 10783.877|2312.276 10778.885|2307.117 10777.462|2299.344 10768.455|2292.542 10753.933|2292.102 10749.318|2295.163 10738.365|2303.321 10727.413|2311.717 10712.246|2315.862 10701.104|2322.230 10693.954|2325.027 10692.186|2343.279 10689.673|2355.051 10689.829|2361.852 10685.937|2372.122 10670.614|2371.408 10656.048|2367.487 10641.504|2357.735 10640.948|2354.499 10625.458|2350.626 10619.209|2349.906 10612.871|2338.344 10602.552|2326.397 10596.425|2310.284 10585.294|2294.366 10576.277|2275.912 10565.947|2257.624 10575.031|2246.174 10588.541|2233.591 10598.716|2225.028 10601.762|2218.771 10600.828|2210.110 10593.768|2196.521 10579.768|2194.473 10574.909|2194.137 10573.230|2193.648 10571.584|2193.165 10570.461|2192.536 10569.416|2190.900 10567.414|2189.908 10566.080|2189.314 10564.790|2188.712 10562.777|2188.635 10562.133|2188.698 10561.488|2188.908 10560.876|2189.244 10560.320|2189.460 10559.909|2189.516 10559.464|2189.418 10559.019|2189.174 10558.630|2188.621 10558.063|2187.887 10557.318|2186.105 10555.628|2184.644 10554.238|2183.994 10553.448|2183.497 10552.548|2182.889 10551.369|2182.106 10550.301|2181.463 10549.701|2180.694 10549.290|2180.184 10548.956|2179.799 10548.489|2179.597 10547.733|2179.394 10546.910|2178.632 10545.476|2177.772 10544.286|2175.983 10542.418|2173.543 10539.994|2171.495 10537.570|2170.230 10535.868|2169.810 10535.101|2169.572 10534.256|2169.377 10533.667|2169.006 10533.155
840R 96 AV NE,2440.656 10999.963|2440.656 11000.074|2368.291 10999.740|2368.270 10999.685|2368.249 10999.607|2365.376 10994.358|2357.120 10985.618|2357.232 10985.541|2353.974 10979.692|2351.863 10970.218|2352.632 10964.636|2357.658 10959.488|2376.232 10956.363|2381.237 10953.728|2401.621 10952.794|2423.320 10950.670|2434.043 10948.813|2440.579 10948.335
