ADDRESS,POINTS
55 SUNDOWN MR SE,1105.510 -16720.343|1016.130 -16557.854|990.670 -16511.519|956.536 -16511.519|966.162 -16529.021|1124.377 -16816.794|1130.263 -16827.135|1136.394 -16837.331|1142.762 -16847.383|1149.375 -16857.269|1153.947 -16863.918|1158.624 -16870.479|1163.412 -16876.972|1168.298 -16883.377|1173.297 -16889.704|1178.386 -16895.953|1183.580 -16902.125|1188.871 -16908.196|1199.350 -16919.627|1210.178 -16930.713|1221.349 -16941.466|1232.842 -16951.862|1244.655 -16961.892|1256.770 -16971.555|1269.185 -16980.829|1281.873 -16989.713|1451.685 -17104.644|1460.941 -17110.793|1470.329 -17116.720|1479.857 -17122.446|1489.504 -17127.951|1499.270 -17133.243|1509.154 -17138.303|1519.150 -17143.151|1529.252 -17147.765|1539.458 -17152.147|1549.755 -17156.305|1560.143 -17160.219|1570.614 -17163.911|1581.170 -17167.358|1591.796 -17170.572|1602.498 -17173.540|1613.256 -17176.276|1628.153 -17179.656|1637.884 -17181.535|1647.649 -17183.226|1649.635 -17183.559|1650.124 -17183.637|1650.564 -17103.888|1640.477 -17101.697|1630.446 -17099.262|1620.484 -17096.582|1610.586 -17093.658|1600.764 -17090.489|1591.020 -17087.075|1581.366 -17083.428|1571.803 -17079.536|1562.338 -17075.411|1552.984 -17071.052|1543.729 -17066.471|1534.599 -17061.656|1525.582 -17056.619|1516.697 -17051.359|1507.945 -17045.878|1499.325 -17040.184|1404.933 -16976.192|1396.628 -16970.554|1392.567 -16967.808|1347.660 -16937.440|1331.330 -16926.387|1296.364 -16903.381|1223.901 -16840.423|1199.427 -16823.610|1198.190 -16822.754|1191.772 -16818.217|1185.467 -16813.514|1179.294 -16808.643|1173.255 -16803.617|1165.684 -16796.923|1158.351 -16789.974|1150.661 -16782.168|1143.266 -16774.073|1136.170 -16765.711|1129.382 -16757.104|1122.916 -16748.242|1116.772 -16739.157|1110.970 -16729.850
75 SUNDOWN MR SE,1650.124 -17183.637|1656.178 -17184.571|1661.176 -17185.316|1670.124 -17186.495|1670.375 -17135.011|1670.410 -17128.017|1670.508 -17107.435|1660.512 -17105.778|1650.564 -17103.888
200 SUNLAKE RD SE,1708.320 -17101.353|1707.823 -17101.319|1682.609 -17099.863|1681.882 -17109.025|1670.508 -17107.435|1670.410 -17128.017|1670.375 -17135.011|1670.124 -17186.495|1673.116 -17186.862|1675.136 -17187.084|1676.108 -17187.206|1684.000 -17188.007|1691.899 -17188.674|1699.812 -17189.219|1707.733 -17189.630|1713.248 -17189.853|1716.680 -17189.975|1813.680 -17193.255|1823.614 -17193.611|2192.900 -17206.665|2192.900 -17207.088|2301.846 -17207.055|2304.824 -17207.055|2470.079 -17207.010|2470.128 -17166.413|2470.359 -17158.240|2437.517 -17159.207|2395.596 -17160.442|2362.838 -17161.409|2337.819 -17162.154|2302.398 -17163.199|2220.121 -17165.623|2193.151 -17166.424|1839.300 -17154.104|1797.609 -17152.636|1773.772 -17151.824|1750.941 -17151.023|1743.146 -17150.757|1735.729 -17150.501|1737.051 -17111.394|1737.330 -17103.021|1717.233 -17101.775|1716.764 -17101.753
1810 SUN VALLEY BV SE,3290.495 -17127.639|3290.537 -17115.497|3290.719 -17066.649|3290.796 -17045.166|3290.810 -17042.175|3291.264 -16916.758|3291.271 -16916.247|3277.626 -16916.235|3271.286 -16916.213|3271.160 -16949.472|3270.223 -17206.799|3270.223 -17206.854|3290.209 -17206.854
1810R SUN VALLEY BV SE,3355.605 -16916.358|3291.271 -16916.247|3291.264 -16916.758|3290.810 -17042.175|3290.796 -17045.166|3290.719 -17066.649|3290.537 -17115.497|3305.679 -17115.474|3403.986 -17115.463|3426.167 -17115.363|3448.347 -17115.096|3470.528 -17114.641|3492.702 -17114.007|3514.869 -17113.195|3537.029 -17112.194|3559.174 -17111.016|3581.320 -17109.659|3611.869 -17107.480|3642.389 -17104.967|3654.035 -17103.910|3657.516 -17103.588|3538.042 -17093.680|3389.655 -16969.020
1434 SUNVISTA WY SE,2744.441 -17150.167|2695.459 -17151.624|2542.060 -17156.150|2470.359 -17158.240|2470.079 -17207.010|2926.970 -17206.866|3270.265 -17206.799|3271.279 -16916.202|3252.425 -16916.180|3216.236 -16916.113|3190.532 -16916.057|3110.134 -17044.866|3104.136 -17049.269|3097.943 -17053.394|3091.567 -17057.231|3085.024 -17060.767|2997.462 -17105.645|2993.211 -17107.735|2993.169 -17121.312|2993.162 -17122.658|2985.235 -17126.116|2977.189 -17129.307|2969.052 -17132.220|2960.811 -17134.867|2952.492 -17137.235|2944.103 -17139.315|2935.645 -17141.116|2927.130 -17142.628|2918.889 -17143.807|2910.605 -17144.730|2902.307 -17145.375|2893.989 -17145.753|2752.823 -17149.923
1396 SUNVISTA WY SE,2993.211 -17107.735|2997.462 -17105.645|3085.024 -17060.767|3091.567 -17057.231|3097.943 -17053.394|3104.136 -17049.269|3110.134 -17044.866|3190.532 -16916.057|3008.269 -16915.724|2993.876 -16915.702
540 STONEY TR SE,2192.900 -17207.088|2192.900 -17206.665|1713.248 -17189.853|1707.733 -17189.630|1699.812 -17189.219|1691.899 -17188.674|1684.000 -17188.007|1676.108 -17187.206|1675.136 -17187.084|1673.116 -17186.862|1670.124 -17186.495|1670.103 -17186.484|1669.865 -17203.785|1756.841 -17207.244
400 STONEY TR SE,1756.841 -17207.244|1669.837 -17207.533|1669.690 -17315.025|2192.564 -17313.724|2649.979 -17313.557|2926.767 -17313.502|3109.896 -17313.468|3146.254 -17317.860|3146.513 -17317.894|3146.750 -17317.894|3269.818 -17318.205|3270.223 -17206.854|2926.928 -17206.888|2470.016 -17207.010|2304.824 -17207.055|2301.846 -17207.055|2301.776 -17207.055|2192.900 -17207.088|2192.830 -17207.088
575 STONEY TR SE,1669.865 -17203.785|1649.949 -17202.996|1649.670 -17314.992|1669.690 -17315.025|1669.837 -17207.533|1669.837 -17207.277
