ADDRESS,POINTS
130 10 ST NW,-965.782 568.733|-1000.120 568.789|-1000.050 561.172|-999.980 553.555|-965.650 553.499|-965.712 561.116
110 10 ST NW,-965.244 507.821|-1001.699 507.887|-1001.630 500.270|-1001.560 492.654|-965.111 492.587|-965.181 500.204
116 10 ST NW,-965.377 523.043|-1001.839 523.110|-1001.769 515.493|-1001.699 507.887|-965.244 507.821|-965.314 515.437
120 10 ST NW,-965.447 530.660|-1001.902 530.727|-1001.839 523.110|-965.377 523.043
132 10 ST NW,-965.845 576.339|-1002.315 576.406|-1002.245 568.789|-1000.120 568.789|-965.782 568.733
150 10 ST NW,-986.733 614.445|-1002.657 614.479|-1002.587 606.862|-1002.517 599.245|-966.048 599.178|-966.111 606.795|-966.181 614.412
328 10 ST NW,-967.747 786.842|-1004.230 786.875|-1004.160 779.259|-1004.090 771.653|-1002.573 771.653|-967.607 771.608|-967.677 779.225
330 10 ST NW,-1002.245 802.109|-1004.370 802.109|-1004.300 794.492|-1004.230 786.875|-967.747 786.842|-967.817 794.481|-967.887 802.076
306 10 ST NW,-966.964 700.032|-1000.385 700.054|-1000.357 697.052|-1001.273 697.052|-1001.259 695.529|-1001.189 687.890|-1001.147 683.253|-998.127 680.251|-966.782 680.195|-966.852 687.812|-966.922 695.429
108 10 ST NW,-965.111 492.587|-1001.560 492.654|-1001.497 485.037|-965.048 484.981
308 10 ST NW,-1000.385 700.054|-1001.301 700.054|-1001.273 697.052|-1000.357 697.052
308 10 ST NW,-1002.294 741.185|-1003.804 741.196|-1003.734 733.613|-1003.664 725.996|-967.194 725.896|-967.264 733.513|-967.334 741.130
136 10 ST NW,-966.048 599.178|-1002.517 599.245|-1002.447 591.628|-1002.385 584.022|-1002.315 576.406|-965.845 576.339|-965.915 583.956|-965.978 591.573
308 10 ST NW,-967.194 725.896|-1003.664 725.996|-1003.594 718.379|-1003.524 710.774|-967.055 710.662|-967.125 718.279
308 10 ST NW,-967.055 710.662|-1003.524 710.774|-1003.447 703.157|-1003.419 700.065|-1001.301 700.054|-1000.385 700.054|-966.964 700.032|-966.992 703.046
338 10 ST NW,-967.887 802.076|-967.949 809.693|-968.019 817.309|-968.089 824.926|-968.159 832.532|-998.043 832.565|-1002.482 828.073|-1002.454 824.960|-1002.385 817.343|-1002.315 809.726|-1002.245 802.109
318 10 ST NW,-967.607 771.608|-1002.573 771.653|-1002.503 764.036|-1002.433 756.419|-1002.364 748.802|-1002.294 741.185|-967.334 741.130|-967.404 748.747|-967.467 756.363|-967.537 763.991
102 10 ST NW,-1001.357 469.814|-1001.210 453.602|-964.881 465.722|-964.916 469.747|-964.957 475.229|-983.538 475.063|-983.489 469.781
104 10 ST NW,-964.957 475.229|-964.978 477.364|-965.006 480.289|-1001.448 479.966|-1001.427 477.431|-1001.357 469.814|-983.489 469.781|-983.538 475.063
106A 10 ST NW,-965.048 484.981|-1001.497 485.037|-1001.448 479.966|-965.006 480.289
