ADDRESS,POINTS
5930 4 ST NE,1190.388 6155.355|1185.942 6163.739|1181.308 6172.023|1181.287 6165.385|1171.311 6165.374|1178.372 6155.322
5925 4 ST NE,1210.591 6208.051|1210.828 6305.947|1205.914 6294.304|1200.608 6282.840|1194.925 6271.554|1188.864 6260.457|1186.676 6262.770|1182.454 6255.509|1178.064 6248.325|1173.513 6241.265|1168.802 6234.293|1173.695 6227.866|1178.470 6221.338|1183.118 6214.733|1187.648 6208.039
750 BLACKTHORN RD NE,1256.609 6407.534|1256.497 6559.805|1234.659 6396.337|1232.925 6384.762|1230.828 6373.231|1228.375 6361.778|1225.564 6350.402|1222.405 6339.127|1218.889 6327.941|1215.030 6316.888|1210.828 6305.947|1210.591 6208.051|1210.493 6169.410|1214.079 6162.416|1217.539 6155.355|1249.234 6155.378|1255.959 6155.378|1255.994 6168.365|1256.015 6178.228|1256.064 6197.209|1256.113 6216.501|1256.190 6244.712
280 NORTHMOUNT DR NW,-346.440 5602.316|-352.382 5611.634|-387.761 5519.787|-354.633 5535.132|-346.971 5518.542|-339.310 5501.963|-331.648 5485.373|-323.987 5468.793|-315.815 5451.102|-307.629 5433.378|-306.280 5430.153|-305.182 5426.828|-304.322 5423.437|-303.721 5419.979|-303.379 5416.498|-303.295 5412.996|-303.463 5409.504|-303.896 5406.035|-304.581 5402.599|-305.518 5399.219|-306.706 5395.927|-308.125 5392.736|-309.789 5389.645|-311.669 5386.687|-313.760 5383.885|-316.052 5381.238|-296.416 5379.860|-152.552 5406.302|-103.808 5389.122|-67.737 5358.755|-33.386 5358.733|-31.428 5358.911|-29.534 5359.444|-27.772 5360.323|-26.206 5361.512|-24.878 5362.969|-23.844 5364.637|-23.138 5366.472|-22.781 5368.407|-21.977 5376.980|-21.921 5386.231|-46.912 5394.971|-63.535 5400.787|-80.166 5406.591|-96.796 5412.406|-113.427 5418.222|-130.064 5424.026|-146.694 5429.842|-163.325 5435.657|-173.272 5439.138|-187.484 5447.789|-204.261 5458.007|-221.143 5468.293|-238.025 5478.579|-254.907 5488.864|-271.789 5499.150|-286.238 5507.945|-295.326 5522.200|-305.238 5537.734|-315.535 5553.880|-325.839 5570.025|-336.136 5586.171
5930 4 ST NE,1210.591 6208.051|1187.648 6208.039|1193.730 6198.610|1199.567 6189.025|1205.159 6179.284|1210.493 6169.410
960 48 AV NW,-822.352 5495.736|-817.242 5509.090|-804.372 5504.131|-791.699 5537.100|-817.654 5547.108|-834.417 5503.431
5607 THORNTON RD NW,178.433 5915.975|182.341 5915.975|263.143 5908.636|264.632 5908.692|266.066 5909.103|267.352 5909.848|268.421 5910.893|269.204 5912.161|269.652 5913.573|269.743 5915.063|269.470 5916.520|225.157 6056.403|224.661 6057.615|223.983 6058.738|223.137 6059.739|222.144 6060.595|221.033 6061.284|219.817 6061.785|218.544 6062.096|217.237 6062.196|162.348 6062.185|160.796 6061.996|159.328 6061.451|158.028 6060.584|156.965 6059.427|156.196 6058.071|155.763 6056.570|155.693 6055.002|155.986 6053.467|170.848 6006.532|171.393 6004.486|171.757 6002.407|171.939 6000.305|171.932 5998.192|171.750 5996.091|171.380 5994.011|170.827 5991.977|170.100 5989.997|169.205 5988.085|168.143 5986.261|166.927 5984.538|165.563 5982.925|164.067 5981.435|162.446 5980.079|160.712 5978.867|158.881 5977.821
5646 THORNTON RD NW,373.726 5880.682|375.005 5880.415|376.319 5880.348|377.620 5880.504|378.885 5880.848|380.080 5881.393|381.171 5882.127|382.135 5883.006|382.946 5884.040|395.333 5902.587|397.878 5906.746|400.276 5910.993|402.534 5915.330|404.638 5919.722|406.595 5924.192|408.406 5928.729|410.055 5933.321|411.544 5937.969|412.880 5942.662|414.054 5947.387|415.068 5952.169|415.920 5956.972|416.605 5961.798|417.130 5966.646|417.486 5971.517|417.682 5976.387|417.626 6054.668|417.479 6056.147|417.053 6057.582|416.347 6058.894|415.403 6060.039|414.250 6060.984|412.935 6061.696|411.509 6062.129|410.027 6062.274|253.476 6062.218|251.924 6062.029|250.463 6061.485|249.163 6060.617|248.093 6059.461|247.331 6058.104|246.898 6056.603|246.828 6055.046|247.121 6053.512|292.706 5909.615|293.210 5908.314|293.867 5907.079|294.671 5905.934|295.607 5904.900|296.663 5903.988|297.823 5903.210|299.068 5902.576|300.382 5902.098
940 MCKNIGHT BV NW,-800.786 5483.249|-712.573 5449.201|-729.253 5490.888|-738.263 5512.649|-782.835 5529.850
940 MCKNIGHT BV NW,-486.564 5415.487|-559.202 5443.530|-565.564 5427.029|-614.336 5411.283|-476.645 5358.121|-458.197 5404.534
203 NORTHMOUNT DR NW,-477.533 6073.116|-463.552 6061.351|-449.578 6049.587|-435.604 6037.833|-421.630 6026.069|-407.649 6014.305|-393.675 6002.551|-379.701 5990.787|-365.720 5979.022|-351.746 5967.269|-337.772 5955.505|-323.798 5943.740|-310.991 5932.965|-298.185 5922.191|-285.378 5911.405|-280.716 5907.491|-268.468 5897.183|-265.490 5904.911|-263.589 5909.837|-256.137 5929.185|-253.900 5934.789|-251.523 5940.338|-249.014 5945.820|-246.364 5951.246|-243.589 5956.605|-240.681 5961.898|-237.647 5967.113|-234.488 5972.251|-249.881 5984.660|-264.085 5996.113|-287.769 6015.205|-301.967 6026.647|-316.171 6038.100|-330.376 6049.553|-344.588 6061.006|-358.792 6072.459|-373.004 6083.913|-387.209 6095.355|-401.413 6106.808|-415.625 6118.261|-429.829 6129.714|-444.041 6141.167|-458.246 6152.620|-472.450 6164.073|-494.953 6182.209|-505.473 6168.387|-515.694 6154.343|-526.466 6138.821|-536.861 6123.031|-519.461 6108.398|-505.487 6096.633|-491.506 6084.869
535 64 AV NE,1497.774 6907.989|1480.130 6907.867|1456.942 6915.439|1348.702 6909.857|1305.710 6928.471|1284.368 6768.417|1285.431 6766.638|1286.249 6764.726|1286.801 6762.724|1287.074 6760.667|1287.060 6758.588|1286.773 6756.542|1286.200 6754.540|1285.368 6752.639|1281.195 6744.644|1256.497 6559.805|1256.609 6407.534|1419.040 6407.679|1533.844 6568.923|1466.191 6617.426|1510.349 6740.752|1514.907 6784.908|1498.263 6904.476
6036 TROLLINGER ST NE,1137.338 6194.696|1126.160 6201.879|1077.157 6214.811|1039.415 6215.156|819.662 6373.887|814.273 6353.015|848.911 6328.019|854.335 6324.105|858.019 6321.447|1032.844 6195.119|1074.465 6194.741|1117.981 6183.243|1147.537 6164.240|1153.835 6155.300|1228.584 6049.008|1232.471 6043.471|1230.877 6050.921|1229.151 6058.327|1227.284 6065.710|1225.278 6073.049|1223.139 6080.354|1220.867 6087.615|1218.462 6094.832|1215.918 6102.015|1178.372 6155.322|1171.311 6165.374|1161.706 6179.029|1160.693 6179.685
204 NORTHMOUNT DR NW,-200.507 5941.516|-215.543 5956.605|-220.632 5947.877|-225.316 5938.914|-229.587 5929.763|-233.439 5920.423|-248.790 5880.582|-226.833 5862.079|-212.880 5850.325|-198.920 5838.572|-184.967 5826.819|-171.007 5815.054|-157.047 5803.301|-143.094 5791.548|-129.134 5779.783|-115.181 5768.030|-101.228 5756.277|-87.268 5744.512|-73.315 5732.759|-59.355 5721.006|-45.402 5709.241|-31.442 5697.488|-20.977 5688.670|-20.754 5761.069|-54.476 5794.928|-69.512 5810.017|-84.549 5825.106|-97.432 5838.038|-110.316 5850.981|-123.199 5863.913|-136.083 5876.845|-148.973 5889.777|-161.857 5902.709|-174.740 5915.652|-187.623 5928.584
544 THORNEYCROFT DR NW,-137.746 5950.045|-137.257 5949.656|-136.705 5949.344|-136.111 5949.133|-135.488 5949.022|-134.852 5949.011|-134.230 5949.111|-133.629 5949.311|-133.077 5949.611|-132.573 5950.001|-132.147 5950.456|-131.797 5950.990|-131.546 5951.568|-131.392 5952.180|-131.336 5952.814|-130.896 6028.626|-130.952 6029.394|-131.147 6030.150|-131.462 6030.850|-131.895 6031.495|-132.441 6032.051|-133.063 6032.496|-133.762 6032.841|-134.510 6033.052|-135.279 6033.119|-136.048 6033.063|-136.796 6032.874|-137.502 6032.563|-148.449 6025.813|-158.990 6018.441|-169.085 6010.468|-178.697 6001.917|-179.480 6001.028|-180.109 6000.016|-180.577 5998.926|-180.864 5997.770|-180.969 5996.591|-180.885 5995.401|-180.612 5994.245|-180.165 5993.144|-179.542 5992.132|-178.773 5991.220|-137.837 5950.134
