ADDRESS,POINTS
2911 EDMONTON TR NE,1112.934 3363.862|1113.968 3371.490|1115.010 3379.107|1116.052 3386.724|1117.086 3394.341|1118.540 3405.016|1080.876 3404.982|1080.862 3394.263|1080.848 3386.646|1080.841 3379.029|1080.827 3371.401|1080.820 3363.784|1096.227 3363.829
223 18 AV NW,408.175 2123.094|408.196 2155.952|400.597 2155.941|392.999 2155.930|385.400 2155.918|377.801 2155.907|370.203 2155.896|362.604 2155.885|355.005 2155.885|347.407 2155.874|339.808 2155.863|332.209 2155.852|324.611 2155.841|317.012 2155.829|309.413 2155.818|301.815 2155.807|294.216 2155.796|286.576 2155.785|286.618 2127.419|291.112 2122.927|294.265 2122.905|301.864 2122.916|309.462 2122.927|317.061 2122.938|324.660 2122.949|332.258 2122.960|339.857 2122.971|347.456 2122.982|355.054 2122.994|362.653 2123.005|370.252 2123.016|377.850 2123.038|385.449 2123.049|393.048 2123.060|400.646 2123.071
129 29 AV NE,791.700 3368.355|784.095 3368.366|776.489 3368.388|768.891 3368.399|761.285 3368.421|761.292 3362.328|768.898 3362.306|776.496 3362.294|784.102 3362.272|791.707 3362.261
129 29 AV NE,727.067 3368.488|723.264 3368.499|723.271 3362.406|727.074 3362.394
204 16 AV NW,408.175 2123.094|408.175 2117.901|415.850 2117.890|423.442 2117.901|431.348 2117.912|432.418 2117.979|433.473 2118.179|434.501 2118.501|435.480 2118.946|436.388 2119.513|437.234 2120.180|437.982 2120.948|438.639 2121.793|438.590 2155.985|438.584 2160.855|430.985 2160.855|423.386 2160.844|415.788 2160.833|408.189 2160.822|408.196 2155.952
129 29 AV NE,685.249 3368.577|677.644 3368.599|670.038 3368.610|670.045 3362.517|677.651 3362.506|681.454 3362.495|685.256 3362.483|692.862 3362.472|700.461 3362.461|708.066 3362.439|715.672 3362.428|723.271 3362.406|723.264 3368.499|715.665 3368.521|708.059 3368.532|700.454 3368.544|696.651 3368.555|692.855 3368.566
223 18 AV NW,408.189 2160.822|408.140 2198.884|400.541 2198.884|392.943 2198.873|385.344 2198.862|377.745 2198.851|370.147 2198.840|362.548 2198.829|354.949 2198.817|347.351 2198.806|339.752 2198.795|332.153 2198.795|324.548 2198.784|316.949 2198.773|309.351 2198.762|301.752 2198.751|294.153 2198.740|286.555 2198.728|286.611 2160.666|294.209 2160.678|301.808 2160.678|309.406 2160.689|317.005 2160.700|324.604 2160.711|332.202 2160.722|339.801 2160.733|347.400 2160.744|354.998 2160.755|362.597 2160.767|370.196 2160.778|377.794 2160.778|385.393 2160.789|392.992 2160.800|400.590 2160.811
129 29 AV NE,746.081 3368.455|738.475 3368.466|730.869 3368.488|727.067 3368.488|727.074 3362.394|730.876 3362.394|738.482 3362.372|746.081 3362.361|753.686 3362.339|761.292 3362.328|761.285 3368.421|753.679 3368.432
223 18 AV NW,438.584 2160.855|438.535 2198.929|430.936 2198.918|423.337 2198.906|415.739 2198.895|408.140 2198.884|408.189 2160.822|415.788 2160.833|423.386 2160.844|430.985 2160.855
223 18 AV NW,438.507 2219.033|438.458 2257.095|430.859 2257.084|423.260 2257.084|423.309 2219.010|430.908 2219.022
223 18 AV NW,438.486 2261.943|438.465 2295.490|433.977 2299.983|430.859 2299.983|423.253 2299.971|415.655 2299.971|408.049 2299.960|408.070 2261.909|415.676 2261.921|423.281 2261.932|430.880 2261.932
223 18 AV NW,423.309 2219.010|423.260 2257.084|415.662 2257.072|408.056 2257.061|408.112 2218.988|415.711 2218.999
223 18 AV NW,408.112 2218.988|408.056 2257.061|400.457 2257.050|392.859 2257.039|392.915 2218.966|400.513 2218.977
223 18 AV NW,377.717 2218.955|377.661 2257.017|370.063 2257.006|362.464 2256.995|362.520 2218.933|370.119 2218.944
223 18 AV NW,408.070 2261.909|408.049 2299.960|400.443 2299.949|392.838 2299.938|385.232 2299.938|377.627 2299.927|370.021 2299.916|362.415 2299.905|354.817 2299.905|347.211 2299.894|339.605 2299.882|332.000 2299.882|324.394 2299.871|316.788 2299.860|316.837 2261.798|324.443 2261.809|332.042 2261.820|339.647 2261.832|347.253 2261.843|354.852 2261.843|362.457 2261.854|370.056 2261.865|377.661 2261.876|385.267 2261.887|392.866 2261.887|400.471 2261.898
223 18 AV NW,392.915 2218.966|392.859 2257.039|385.260 2257.028|377.661 2257.017|377.717 2218.955|385.316 2218.955
223 18 AV NW,362.520 2218.933|362.464 2256.995|354.866 2256.983|347.267 2256.983|339.668 2256.972|332.070 2256.961|324.464 2256.950|316.865 2256.939|316.921 2218.866|324.520 2218.877|332.119 2218.888|339.717 2218.899|347.316 2218.910|354.921 2218.921
223 18 AV NW,316.837 2261.798|316.788 2299.860|309.183 2299.849|301.577 2299.849|293.972 2299.838|290.861 2299.838|286.380 2295.335|286.429 2261.765|294.027 2261.776|301.633 2261.787|309.239 2261.798
223 18 AV NW,316.921 2218.866|316.865 2256.939|309.267 2256.928|301.668 2256.917|294.069 2256.906|286.471 2256.895|286.527 2218.833|294.125 2218.844|301.724 2218.855|309.323 2218.866
