ADDRESS,POINTS
11228R VALLEY RIDGE DR NW,-12324.909 5541.604|-12326.063 5542.271|-12329.775 5544.417|-12337.422 5548.831|-12337.471 5548.865|-12341.917 5551.433|-12352.508 5557.549|-12355.884 5559.506|-12376.890 5562.964|-12402.601 5567.201|-12440.420 5556.104|-12438.714 5540.581|-12491.702 5508.612|-12504.872 5504.031|-12563.159 5483.749|-12584.018 5465.369|-12586.577 5449.735|-12587.010 5447.222|-12588.185 5440.116|-12581.481 5438.115|-12554.707 5430.064|-12538.454 5451.269|-12493.722 5451.647|-12460.650 5424.215|-12426.432 5350.426|-12421.818 5340.486|-12416.848 5330.322|-12394.891 5290.692|-12370.186 5245.014|-12373.738 5288.346|-12374.898 5302.568|-12374.926 5302.924|-12376.457 5321.571|-12377.177 5330.356|-12373.088 5350.471|-12378.680 5356.353|-12381.993 5359.833|-12381.700 5381.539|-12379.309 5422.659|-12377.785 5434.367|-12377.701 5450.379|-12377.247 5458.108|-12365.769 5487.229|-12362.916 5489.920|-12338.100 5513.360
11698 VALLEY RIDGE BV NW,-12150.623 5578.932|-12155.264 5585.370|-12167.414 5602.661|-12175.250 5615.949|-12186.910 5630.526|-12195.928 5643.280|-12206.602 5654.178|-12216.284 5666.187|-12219.542 5669.645|-12226.763 5677.295|-12238.164 5687.369|-12249.643 5697.366|-12261.981 5706.395|-12273.522 5716.313|-12286.259 5724.898|-12299.855 5732.503|-12306.266 5736.195|-12313.326 5740.265|-12326.195 5748.704|-12341.742 5757.533|-12346.510 5760.914|-12359.281 5771.010|-12373.283 5777.192|-12388.243 5780.328|-12402.811 5784.698|-12417.910 5787.356|-12433.017 5790.013|-12437.540 5797.508|-12441.091 5804.424|-12438.379 5816.444|-12447.963 5824.139|-12450.521 5826.185|-12458.553 5829.932|-12465.837 5833.346|-12481.985 5841.085|-12487.466 5844.021|-12488.850 5844.755|-12501.677 5846.489|-12504.348 5846.834|-12507.361 5847.779|-12518.881 5851.404|-12527.276 5855.930|-12532.373 5858.654|-12540.272 5865.148|-12544.795 5868.862|-12557.958 5876.945|-12567.626 5881.905|-12571.575 5883.962|-12585.297 5890.678|-12599.404 5896.371|-12613.189 5902.898|-12623.123 5906.824|-12627.331 5908.491|-12641.298 5914.552|-12646.821 5916.787|-12655.405 5920.245|-12669.784 5925.315|-12684.919 5928.295|-12699.732 5932.120|-12715.712 5935.023|-12718.263 5935.801|-12729.916 5939.381|-12745.079 5941.405|-12759.067 5948.177|-12769.322 5953.392|-12772.978 5955.249|-12787.378 5960.375|-12790.755 5961.476|-12801.869 5965.112|-12816.913 5967.625|-12829.608 5968.570|-12832.299 5968.770|-12851.460 5973.807|-12859.765 5976.621|-12886.189 5985.572|-12889.907 5986.595|-12900.959 5989.630|-12907.712 5992.377|-12921.868 5998.126|-12936.282 6003.007|-12950.732 6007.800|-12965.286 6012.203|-12979.791 6016.806|-12994.506 6020.509|-13009.340 6023.956|-13024.516 6026.258|-13040.447 6028.437|-13056.043 6029.994|-13071.324 6030.561|-13081.258 6031.184|-13086.627 6031.518|-13094.372 6030.939|-13101.796 6030.383|-13117.084 6031.050|-13132.316 6030.906|-13139.251 6031.251|-13147.604 6031.673|-13162.830 6031.429|-13166.535 6030.906|-13177.929 6029.294|-13193.064 6027.759|-13194.895 6027.414|-13208.114 6024.935|-13215.139 6023.534|-13218.586 6022.689|-13229.959 6019.909|-13244.842 6016.695|-13260.312 6017.118|-13275.327 6014.683|-13290.504 6013.159|-13305.191 6008.745|-13320.087 6005.620|-13335.061 6002.985|-13350.286 6001.929|-13365.134 5998.170|-13380.401 5997.648|-13389.880 5995.602|-13401.603 5992.355|-13398.877 5981.936|-13398.388 5980.890|-13394.026 5971.428|-13394.263 5963.488|-13384.085 5949.912|-13372.970 5942.717|-13356.578 5941.027|-13341.555 5944.063|-13326.631 5948.388|-13311.307 5947.343|-13296.040 5947.087|-13280.759 5946.642|-13265.373 5944.685|-13250.302 5947.032|-13235.363 5951.257|-13220.599 5957.784|-13205.870 5963.210|-13158.845 5951.635|-13143.809 5949.000|-13129.408 5938.714|-13114.560 5933.811|-13099.622 5929.952|-13084.704 5925.938|-13069.269 5927.984|-13054.086 5926.839|-13039.056 5924.103|-13011.989 5919.122|-12996.324 5915.208|-12982.685 5910.460|-12969.159 5905.345|-12955.940 5897.450|-12942.315 5890.567|-12928.278 5884.707|-12912.934 5882.094|-12889.782 5858.776|-12876.150 5851.782|-12862.337 5845.255|-12836.717 5834.647|-12822.722 5828.676|-12809.230 5821.392|-12795.669 5814.298|-12781.814 5807.960|-12767.819 5801.978|-12753.027 5798.053|-12738.452 5793.571|-12724.275 5788.067|-12695.600 5777.893|-12680.053 5775.925|-12664.283 5774.513|-12650.057 5769.198|-12643.486 5768.642|-12634.210 5767.863|-12623.962 5762.381|-12615.762 5762.226|-12603.102 5771.699|-12588.695 5776.603|-12574.686 5782.530|-12560.097 5786.967|-12545.011 5790.091|-12534.756 5794.594|-12534.686 5794.628|-12531.065 5796.218|-12519.741 5809.139|-12505.830 5815.343|-12492.247 5822.393|-12479.594 5820.937|-12466.753 5811.763|-12455.687 5801.144|-12450.899 5795.228|-12446.257 5789.202|-12435.149 5780.628|-12448.389 5773.223|-12464.334 5770.543|-12478.175 5764.127|-12493.142 5759.713|-12508.102 5755.298|-12521.950 5748.871|-12550.597 5737.240|-12568.401 5751.351|-12580.803 5733.437|-12595.748 5730.613|-12599.146 5730.335|-12608.247 5729.590|-12623.403 5731.013|-12638.733 5731.047|-12643.360 5731.792|-12653.755 5733.460|-12668.883 5735.072|-12684.031 5736.495|-12698.641 5743.256|-12705.925 5744.768|-12721.143 5748.927|-12735.495 5754.531|-12749.699 5760.402|-12762.884 5767.997|-12776.117 5775.502|-12784.149 5781.073|-12797.277 5788.779|-12808.070 5800.099|-12820.925 5808.227|-12834.221 5815.688|-12850.181 5826.885|-12865.497 5837.371|-12881.875 5846.645|-12890.292 5854.417|-12891.194 5855.251|-12920.183 5864.013|-12933.815 5870.885|-12948.187 5875.911|-12962.518 5881.037|-12976.520 5886.986|-12989.606 5893.213|-12996.344 5895.771|-13003.824 5898.606|-13016.428 5901.375|-13016.442 5895.993|-13013.317 5895.181|-12992.122 5889.622|-12981.783 5860.055|-12953.423 5830.522|-12941.994 5821.793|-12941.022 5821.059|-12931.725 5818.913|-12931.676 5818.902|-12896.926 5810.851|-12883.609 5810.973|-12867.286 5807.426|-12865.595 5807.071|-12861.295 5806.137|-12860.359 5805.925|-12855.941 5804.969|-12849.698 5803.612|-12849.663 5803.601|-12821.457 5797.486|-12813.963 5795.851|-12751.447 5758.578|-12721.465 5747.648|-12715.810 5745.580|-12685.324 5734.460|-12639.229 5728.834|-12599.467 5728.122|-12515.512 5733.971|-12412.381 5699.745|-12393.800 5692.451|-12378.233 5686.335|-12375.311 5685.190|-12368.488 5682.521|-12368.488 5682.510|-12315.787 5661.850|-12293.599 5651.553|-12271.844 5641.435|-12194.614 5605.218|-12169.839 5588.739|-12151.741 5576.708
11228 VALLEY RIDGE DR NW,-12370.186 5245.014|-12394.891 5290.692|-12416.848 5330.322|-12421.818 5340.486|-12426.432 5350.426|-12460.650 5424.215|-12493.722 5451.647|-12538.454 5451.269|-12554.707 5430.064|-12553.050 5428.596|-12533.288 5410.928|-12533.302 5405.434|-12533.393 5380.338|-12533.456 5363.136|-12533.512 5347.124|-12525.068 5337.683|-12514.456 5325.808|-12502.677 5312.620|-12492.925 5301.712|-12482.747 5290.314|-12481.566 5288.991|-12476.756 5283.409|-12472.157 5277.649|-12466.956 5270.577|-12462.076 5263.283|-12457.707 5256.100|-12453.646 5248.739|-12449.892 5241.222|-12446.460 5233.538|-12443.614 5226.422|-12441.042 5219.194|-12440.049 5216.158|-12436.323 5204.394|-12431.891 5190.383|-12427.257 5175.772|-12422.818 5161.762|-12455.205 5148.385|-12441.224 5104.252|-12440.972 5103.451|-12440.574 5101.639|-12440.525 5099.793|-12440.811 5097.958|-12441.433 5096.213|-12442.370 5094.611|-12443.587 5093.210|-12445.034 5092.054|-12446.676 5091.186|-12474.470 5079.711|-12477.001 5078.666|-12478.203 5078.032|-12479.273 5077.198|-12480.175 5076.175|-12480.881 5075.008|-12481.356 5073.740|-12481.601 5072.406|-12481.601 5071.049|-12481.356 5069.715|-12479.664 5063.644|-12464.600 5009.592|-12438.351 4928.108|-12437.728 4926.562|-12436.897 4925.106|-12435.862 4923.783|-12434.660 4922.615|-12433.304 4921.625|-12431.822 4920.836|-12430.242 4920.269|-12428.606 4919.924|-12425.418 4919.479|-12403.112 4916.377|-12367.111 4917.711|-12361.623 4917.834|-12356.129 4917.822|-12350.641 4917.667|-12345.161 4917.355|-12260.254 4911.495|-12259.464 4946.911|-12244.868 4945.899|-12230.866 4944.932|-12216.263 4943.931|-12201.667 4942.919|-12187.197 4941.918|-12186.756 4952.760|-12185.938 4972.908|-12185.652 4979.980|-12168.336 4994.158|-12166.113 4995.970|-12157.536 5004.966|-12147.442 5015.563|-12137.348 5026.149|-12126.806 5037.201|-12116.264 5048.254|-12106.170 5058.840|-12096.076 5069.426|-12085.534 5080.490|-12084.185 5081.891|-12078.082 5097.825|-12069.568 5120.042|-12073.168 5194.898|-12085.471 5196.054|-12098.725 5197.300|-12104.877 5197.923|-12112.455 5198.445|-12119.333 5198.567|-12126.212 5198.345|-12132.475 5197.822|-12138.711 5197.033|-12143.003 5196.310|-12147.281 5195.465|-12150.958 5194.642|-12157.054 5193.019|-12163.066 5191.128|-12169.623 5188.716|-12176.054 5185.991|-12182.912 5182.633|-12189.581 5178.908|-12195.676 5175.072|-12202.443 5170.557|-12215.208 5162.040|-12227.979 5153.511|-12242.785 5143.626|-12253.040 5136.788|-12278.017 5136.632|-12295.990 5136.532|-12310.334 5152.788|-12320.421 5164.219|-12319.338 5182.389|-12318.324 5199.779|-12317.443 5215.113|-12343.839 5216.659
11708R VALLEY RIDGE BV NW,-13056.379 5910.904|-13070.646 5911.549|-13085.648 5914.674|-13100.579 5918.599|-13115.504 5922.558|-13130.680 5923.581|-13145.186 5932.565|-13159.775 5938.436|-13204.081 5945.909|-13219.529 5943.229|-13234.447 5938.803|-13253.091 5935.189|-13268.337 5935.234|-13283.311 5938.036|-13298.578 5938.458|-13314.243 5935.501|-13329.825 5933.243|-13345.463 5930.486|-13360.926 5929.218|-13376.235 5929.240|-13390.230 5939.782|-13395.480 5947.866|-13403.498 5961.832|-13405.420 5969.382|-13408.559 5979.256|-13420.625 5992.788|-13426.517 5991.398|-13435.486 5989.297|-13450.173 5985.327|-13456.681 5983.615|-13464.888 5981.458|-13479.568 5977.488|-13494.073 5972.851|-13508.194 5966.858|-13522.406 5961.220|-13536.317 5954.459|-13540.910 5952.525|-13553.709 5947.121|-13566.781 5939.103|-13579.553 5930.686|-13589.843 5926.194|-13594.009 5924.370|-13607.151 5916.420|-13620.734 5909.014|-13633.373 5900.452|-13645.445 5890.867|-13645.368 5871.063|-13639.797 5866.071|-13625.257 5853.005|-13625.166 5827.019|-13623.621 5826.885|-13623.160 5826.841|-13611.430 5825.774|-13599.245 5824.662|-13587.061 5823.550|-13574.876 5822.438|-13562.692 5821.326|-13550.501 5820.214|-13538.966 5819.157|-13529.061 5818.257|-13526.761 5818.190|-13515.122 5817.868|-13502.833 5817.523|-13491.193 5817.189|-13481.337 5816.911|-13480.037 5818.813|-13478.631 5820.625|-13477.122 5822.360|-13475.514 5824.006|-13473.815 5825.562|-13472.032 5827.008|-13470.166 5828.353|-13468.230 5829.588|-13466.216 5830.711|-13464.147 5831.711|-13462.022 5832.590|-13459.855 5833.357|-13457.639 5833.991|-13455.395 5834.491|-13453.130 5834.869|-13450.837 5835.103|-13413.522 5837.972|-13400.317 5839.806|-13398.905 5839.840|-13397.521 5839.573|-13396.221 5839.006|-13395.081 5838.172|-13394.145 5837.115|-13393.467 5835.881|-13393.068 5834.525|-13392.970 5833.112|-13393.425 5821.704|-13257.278 5830.688|-13253.349 5844.021|-13238.341 5861.456|-13234.105 5860.055|-13201.606 5887.809|-13180.599 5896.916|-13148.017 5902.809|-13155.441 5910.348|-13145.927 5914.162|-13111.422 5910.849|-13089.213 5908.714|-13087.955 5908.503|-13058.357 5903.343|-13057.462 5906.957
11315 VALLEY RIDGE BV NW,-13017.106 5292.861|-13017.127 5248.928|-13017.127 5242.934|-13017.148 5199.868|-13017.148 5196.755|-13017.197 5092.332|-13017.197 5086.094|-13017.197 5079.845|-13017.274 4855.720|-13009.766 4855.687|-13002.783 4855.698|-12997.197 4855.698|-12979.588 4860.012|-12958.764 4865.138|-12940.847 4869.542|-12926.656 4873.033|-12912.459 4876.525|-12898.268 4880.016|-12884.077 4883.508|-12869.880 4886.999|-12855.689 4890.491|-12841.491 4893.982|-12827.301 4897.474|-12813.110 4900.965|-12798.912 4904.457|-12784.722 4907.948|-12770.531 4911.440|-12755.907 4915.031|-12755.264 4915.198|-12740.234 4917.633|-12724.569 4920.169|-12711.804 4922.237|-12708.833 4922.393|-12693.489 4923.227|-12678.893 4924.027|-12660.969 4924.995|-12647.639 4925.728|-12637.335 4920.636|-12608.611 4906.447|-12606.660 4905.480|-12592.868 4875.135|-12585.864 4859.723|-12576.594 4864.516|-12567.178 4869.030|-12557.636 4873.256|-12547.968 4877.203|-12538.189 4880.850|-12528.304 4884.208|-12518.329 4887.266|-12508.262 4890.024|-12502.446 4891.469|-12495.337 4893.104|-12493.422 4893.693|-12491.625 4894.605|-12490.010 4895.784|-12488.619 4897.229|-12487.480 4898.886|-12486.641 4900.710|-12486.110 4902.644|-12485.914 4904.635|-12485.620 4923.783|-12485.494 4932.078|-12484.767 4979.803|-12487.941 4991.178|-12493.303 5010.403|-12494.911 5016.186|-12498.140 5027.761|-12520.824 5027.672|-12535.490 5027.605|-12550.778 5027.550|-12566.074 5027.483|-12580.740 5027.427|-12595.406 5027.361|-12610.694 5027.305|-12624.933 5027.249|-12630.407 5027.227|-12639.502 5025.826|-12654.559 5023.524|-12669.015 5021.312|-12683.465 5019.099|-12698.522 5016.786|-12713.587 5014.484|-12728.036 5012.271|-12742.485 5010.059|-12757.543 5007.746|-12765.589 5006.523|-12769.706 5005.889|-12772.607 5005.444|-12778.479 5004.543|-12787.029 5003.065|-12794.201 5001.575|-12801.324 4999.840|-12808.734 4997.794|-12816.067 4995.492|-12824.288 4992.579|-12832.397 4989.365|-12839.954 4986.029|-12847.384 4982.427|-12854.655 4978.579|-12861.778 4974.476|-12869.432 4969.673|-12892.137 4983.105|-12902.260 4989.098|-12914.633 5003.587|-12923.196 5013.628|-12927.635 5028.928|-12926.013 5050.367|-12924.839 5065.812|-12923.832 5078.955|-12923.818 5079.200|-12923.357 5085.182|-12922.889 5091.420|-12922.868 5091.665|-12921.805 5105.697|-12920.680 5120.509|-12919.617 5134.519|-12919.023 5142.281|-12921.190 5148.029|-12926.356 5161.751|-12931.536 5175.494|-12936.932 5189.828|-12942.329 5204.149|-12943.811 5208.086|-12945.377 5212.445|-12946.803 5216.848|-12947.656 5219.717|-12948.837 5224.109|-12949.879 5228.534|-12950.788 5232.993|-12951.557 5237.475|-12952.186 5241.978|-12952.682 5246.492|-12953.031 5251.029|-12953.248 5255.566|-12953.325 5260.892|-12953.206 5266.218|-12952.899 5271.534|-12952.395 5276.838|-12951.361 5284.354|-12949.935 5291.804|-12969.739 5288.969|-12997.051 5288.724|-13002.622 5289.992|-13009.612 5291.382
11705 VALLEY RIDGE BV NW,-13017.351 5538.735|-13028.571 5540.748|-13039.832 5542.516|-13051.136 5544.039|-13062.467 5545.307|-13062.635 5393.481|-13062.684 5349.926|-13052.059 5349.926|-13017.057 5349.804
11705 VALLEY RIDGE BV NW,-13016.428 5901.375|-13019.420 5902.754|-13040.378 5908.380|-13055.435 5910.804|-13056.379 5910.904|-13057.462 5906.957|-13058.357 5903.343|-13060.189 5896.060|-13062.069 5889.132|-13062.251 5756.054|-13062.258 5750.061|-13062.384 5605.674|-13062.411 5573.472|-13061.468 5573.372|-13050.262 5572.149|-13039.084 5570.703|-13027.934 5569.024|-13016.827 5567.112|-13016.771 5612.524|-13016.771 5620.452|-13016.617 5750.606|-13016.610 5756.610|-13016.561 5789.457|-13016.456 5883.261|-13016.428 5884.518|-13016.442 5895.593|-13016.442 5895.993
135R VALLEY WOODS PL NW,-13149.142 5674.548|-13148.408 5674.804|-13156.699 5747.982|-13157.741 5757.189|-13160.117 5778.093|-13169.680 5788.290|-13165.542 5767.196|-13163.717 5756.899|-13163.081 5753.297|-13162.907 5752.296|-13162.096 5747.704|-13160.040 5736.128|-13157.887 5723.952|-13155.175 5708.619|-13150.464 5682.021
11708 VALLEY RIDGE BV NW,-13062.069 5889.132|-13060.189 5896.060|-13058.357 5903.343|-13087.955 5908.503|-13089.213 5908.714|-13111.422 5910.849|-13145.927 5914.162|-13155.441 5910.348|-13148.017 5902.809|-13180.599 5896.916|-13201.606 5887.809|-13234.105 5860.055|-13238.341 5861.456|-13253.349 5844.021|-13257.278 5830.688|-13393.425 5821.704|-13392.970 5833.112|-13393.068 5834.525|-13393.467 5835.881|-13394.145 5837.115|-13395.081 5838.172|-13396.221 5839.006|-13397.521 5839.573|-13398.905 5839.840|-13400.317 5839.806|-13413.522 5837.972|-13450.837 5835.103|-13453.130 5834.869|-13455.395 5834.491|-13457.639 5833.991|-13459.855 5833.357|-13462.022 5832.590|-13464.147 5831.711|-13466.216 5830.711|-13468.230 5829.588|-13470.166 5828.353|-13472.032 5827.008|-13473.815 5825.562|-13475.514 5824.006|-13477.122 5822.360|-13478.631 5820.625|-13480.037 5818.813|-13481.337 5816.911|-13478.918 5816.733|-13467.356 5815.844|-13455.143 5814.921|-13443.581 5814.042|-13431.369 5813.120|-13419.807 5812.230|-13418.423 5812.130|-13407.678 5810.707|-13396.207 5809.183|-13384.085 5807.582|-13371.971 5805.981|-13359.849 5804.369|-13347.728 5802.767|-13339.297 5801.644|-13335.592 5801.311|-13323.401 5800.232|-13311.217 5799.142|-13299.025 5798.053|-13286.834 5796.963|-13274.642 5795.873|-13267.743 5795.262|-13262.381 5795.317|-13250.022 5795.462|-13237.670 5795.606|-13225.311 5795.751|-13212.951 5795.895|-13200.592 5796.040|-13177.195 5796.307|-13173.476 5792.337|-13169.680 5788.290|-13160.117 5778.093|-13157.741 5757.189|-13156.699 5747.982|-13148.408 5674.804|-13149.142 5674.548|-13171.162 5666.909|-13196.223 5658.225|-13201.186 5656.502|-13222.263 5657.858|-13240.969 5659.070|-13238.683 5655.668|-13236.237 5652.387|-13232.790 5648.240|-13229.092 5644.315|-13225.080 5640.545|-13220.830 5637.042|-13216.356 5633.807|-13211.686 5630.849|-13219.711 5595.544|-13214.923 5593.410|-13210.036 5591.464|-13205.080 5589.740|-13200.054 5588.239|-13194.958 5586.938|-13189.820 5585.870|-13184.640 5585.014|-13179.425 5584.392|-13167.339 5583.213|-13167.283 5583.758|-13119.615 5579.132|-13073.030 5574.506|-13062.411 5573.472|-13062.384 5605.674|-13062.258 5750.061|-13062.251 5756.054
11707 VALLEY RIDGE BV NW,-13062.467 5545.307|-13064.180 5545.473|-13082.362 5547.264|-13116.196 5550.577|-13157.671 5554.647|-13157.720 5554.102|-13175.496 5555.848|-13165.500 5546.341|-13161.893 5542.905|-13137.077 5528.082|-13121.984 5505.688|-13111.792 5470.773|-13116.818 5440.472|-13116.895 5370.519|-13106.584 5349.915|-13062.684 5349.937|-13062.635 5393.481
