ADDRESS,POINTS
2515 50 AV SE,5042.330 -4554.195|5207.662 -4387.925|4988.238 -4388.503|4985.609 -4388.581|4982.981 -4388.793|4980.373 -4389.148|4977.780 -4389.649|4975.221 -4390.271|4972.705 -4391.039|4970.223 -4391.939|4967.797 -4392.962|4965.428 -4394.119|4963.128 -4395.398|4960.891 -4396.799|4958.738 -4398.311|4956.662 -4399.934|4954.683 -4401.680|4952.789 -4403.515|4950.999 -4405.450|4949.825 -4406.895|4948.762 -4408.418|4947.819 -4410.020|4946.994 -4411.688|4946.295 -4413.411|4945.722 -4415.179|4945.288 -4416.992|4944.988 -4418.826|4944.582 -4422.896|4944.379 -4426.988|4944.393 -4431.069|4944.610 -4435.161|4945.036 -4439.219|4945.666 -4443.267|4946.504 -4447.270|4947.546 -4451.217|4948.790 -4455.120|4950.230 -4458.945|4951.859 -4462.693|4953.677 -4466.351|4955.683 -4469.920|4957.871 -4473.367|4960.227 -4476.714|4962.750 -4479.928|4971.621 -4490.302|4980.814 -4500.377|4990.328 -4510.151|5000.156 -4519.625|5010.279 -4528.765|5020.687 -4537.583|5031.376 -4546.067
5420 24 ST SE,4968.112 -4628.807|4884.660 -4551.760|4884.681 -4708.578|4892.818 -4702.040|4900.745 -4695.246|4908.434 -4688.185|4915.893 -4680.868
2524 49 AV SE,4975.697 -4261.541|4975.711 -4223.768|4968.126 -4223.790|4960.541 -4223.802|4960.534 -4261.574|4968.112 -4261.552
5525R 24 ST SE,4344.086 -5016.488|4313.342 -4978.771|4296.956 -4958.667|4290.371 -4950.594|4288.889 -4938.929|4293.272 -4922.117|4294.866 -4916.034|4304.401 -4879.485|4309.651 -4859.392|4319.186 -4822.853|4320.773 -4816.782|4330.301 -4780.288|4335.544 -4760.184|4345.072 -4723.701|4350.440 -4703.274|4345.708 -4702.040|4336.529 -4699.627|4326.330 -4696.958|4323.408 -4696.191|4314.684 -4693.911|4314.600 -4693.889|4289.560 -4765.710|4260.634 -4891.093|4240.907 -4976.580|4283.409 -5020.324
2527 48 AV SE,4998.465 -4217.619|4998.493 -4179.857|4990.901 -4179.880|4983.316 -4179.891|4975.732 -4179.913|4968.140 -4179.924|4960.555 -4179.946|4952.971 -4179.957|4945.379 -4179.980|4945.379 -4217.753|4952.964 -4217.730|4960.548 -4217.708|4968.133 -4217.697|4975.711 -4217.675|4983.295 -4217.664|4990.880 -4217.641
2322 49 AV SE,4616.841 -4072.065|4540.973 -4072.009|4541.043 -4246.463|4541.113 -4247.931|4541.329 -4249.376|4541.679 -4250.800|4542.175 -4252.190|4542.797 -4253.513|4543.552 -4254.769|4544.426 -4255.959|4545.405 -4257.038|4546.488 -4258.027|4547.670 -4258.906|4548.921 -4259.662|4550.249 -4260.296|4551.626 -4260.796|4553.052 -4261.152|4554.500 -4261.374|4555.968 -4261.452|4616.910 -4261.508|4616.862 -4159.764
4797 22 ST SE,4616.785 -3964.817|4616.750 -3902.115|4475.780 -4057.943|4520.931 -4057.965|4540.973 -4057.999|4540.973 -4072.009|4616.841 -4072.065|4616.841 -4058.054
2634 45 AV SE,5243.768 -3859.182|5243.775 -3853.456|5243.921 -3699.306|5243.928 -3693.580|5068.209 -3709.080|5068.244 -3751.646|5066.370 -3778.199|5066.433 -3852.132|5066.580 -3853.589|5067.006 -3855.001|5067.698 -3856.291|5068.628 -3857.425|5069.768 -3858.359|5071.061 -3859.049|5072.466 -3859.471|5073.927 -3859.616
2760 45 AV SE,5443.325 -3858.671|5442.898 -3688.909|5431.909 -3688.932|5426.736 -3688.943|5416.705 -3688.965|5293.414 -3689.221|5254.903 -3692.612|5243.928 -3693.580|5243.921 -3699.306|5243.775 -3853.456|5243.768 -3859.182|5259.999 -3859.149|5270.576 -3859.116|5440.836 -3858.693
5320 24 ST SE,4990.775 -4606.212|4982.596 -4600.419|4974.592 -4594.381|4966.770 -4588.109|4959.136 -4581.605|4951.705 -4574.877|4944.477 -4567.939|4937.459 -4560.778|4930.657 -4553.406|4924.072 -4545.844|4917.725 -4538.083|4911.601 -4530.132|4905.729 -4522.015|4900.095 -4513.720|4894.712 -4505.258|4889.581 -4496.641|4884.709 -4487.867|4884.660 -4551.760|4968.112 -4628.807
