ADDRESS,POINTS
4416 VISSAR CR NW,-5140.537 4889.312|-5139.559 4888.623|-5138.468 4888.145|-5137.301 4887.889|-5136.112 4887.867|-5134.938 4888.078|-5133.826 4888.512|-5132.827 4889.145|-5131.967 4889.979|-5129.611 4892.726|-5129.625 4901.088|-5129.744 4902.277|-5130.086 4903.412|-5130.646 4904.468|-5131.408 4905.391|-5132.323 4906.147|-5133.379 4906.703|-5134.518 4907.048|-5135.707 4907.170|-5144.913 4907.181|-5145.843 4907.103|-5146.745 4906.892|-5147.605 4906.547|-5148.402 4906.080|-5149.115 4905.491|-5149.737 4904.802|-5150.247 4904.034|-5150.631 4903.189|-5150.883 4902.300|-5151.002 4901.388|-5150.974 4900.465|-5150.813 4899.553|-5150.513 4898.675|-5150.079 4897.852|-5149.534 4897.107|-5148.877 4896.451
4530 VEGAS RD NW,-5297.760 4991.011|-5297.075 4990.855|-5296.376 4990.789|-5295.670 4990.789|-5294.971 4990.878|-5294.293 4991.055|-5293.636 4991.300|-5293.007 4991.623|-5292.426 4992.012|-5291.888 4992.468|-5291.406 4992.979|-5290.993 4993.546|-5290.644 4994.158|-5290.371 4994.803|-5290.168 4995.481|-5290.050 4996.170|-5290.015 4996.871|-5290.015 4998.617|-5290.126 4999.807|-5290.476 5000.941|-5291.035 5001.997|-5291.790 5002.920|-5292.713 5003.676|-5293.761 5004.232|-5294.908 5004.588|-5296.089 5004.699|-5309.238 5004.699|-5310.147 5004.621|-5311.028 5004.377|-5311.846 5003.976|-5312.587 5003.443|-5313.216 5002.787|-5313.719 5002.019|-5314.083 5001.185|-5314.286 5000.296|-5314.334 4999.384|-5314.216 4998.483|-5313.936 4997.616|-5313.510 4996.804|-5312.943 4996.093|-5312.265 4995.481|-5311.482 4995.014|-5310.630 4994.680
5113 VANSTONE CR NW,-6066.643 5727.866|-6066.629 5726.465|-6066.405 5725.087|-6065.965 5723.752|-6065.328 5722.496|-6064.504 5721.362|-6063.518 5720.361|-6062.392 5719.527|-6061.148 5718.871|-6059.820 5718.426|-6058.436 5718.181|-6057.031 5718.148|-6055.640 5718.337|-6054.290 5718.737|-6053.018 5719.327|-6051.858 5720.116|-6050.830 5721.072|-6039.345 5733.548|-6040.044 5739.442|-6058.478 5751.773|-6065.293 5748.404
3801 VARSITY DR NW,-4896.653 4523.759|-4887.524 4523.748|-4896.646 4531.576
4807 VALIANT DR NW,-5855.334 4683.179|-5850.910 4730.870|-5899.801 4719.395|-5903.345 4713.880|-5895.579 4675.095
1401 VARSITY ESTATES DR NW,-7314.401 5888.643|-7314.401 5892.479|-7324.747 5884.529|-7322.894 5882.105
4814 VERONA DR NW,-5548.998 5239.443|-5547.802 5239.565|-5546.656 5239.910|-5545.600 5240.477|-5544.678 5241.233|-5543.916 5242.156|-5543.356 5243.212|-5543.007 5244.358|-5542.895 5245.547|-5542.916 5261.726|-5542.979 5262.638|-5543.182 5263.528|-5543.510 5264.373|-5543.965 5265.162|-5544.538 5265.885|-5545.202 5266.496|-5545.957 5267.008|-5546.782 5267.408|-5547.656 5267.675|-5548.557 5267.809|-5549.466 5267.809|-5550.368 5267.664|-5551.242 5267.397|-5552.060 5266.997|-5552.808 5266.485|-5553.479 5265.851|-5568.333 5249.706|-5568.872 5249.028|-5569.312 5248.260|-5569.641 5247.449|-5569.843 5246.593|-5569.927 5245.725|-5569.878 5244.847|-5569.711 5243.991|-5569.417 5243.168|-5569.012 5242.389|-5568.494 5241.678|-5567.879 5241.044|-5567.187 5240.510|-5566.425 5240.088|-5565.600 5239.765|-5564.747 5239.576|-5563.874 5239.498
3834 40 AV NW,-4987.935 4451.293|-4987.914 4467.528|-4992.472 4472.098|-5028.494 4472.109|-5029.032 4469.607|-5023.628 4466.960|-5018.316 4464.125|-5013.094 4461.134|-5007.970 4457.965|-4993.073 4448.469
1025 VARSITY ESTATES PL NW,-7604.666 6151.108|-7636.494 6151.163|-7631.622 6118.794|-7629.322 6117.093|-7628.651 6118.583|-7627.819 6119.995|-7626.840 6121.307|-7625.729 6122.508|-7624.484 6123.587|-7623.142 6124.521|-7621.702 6125.299|-7620.185 6125.922|-7618.612 6126.378|-7616.998 6126.667|-7615.362 6126.778|-7613.726 6126.711|-7612.104 6126.467|-7610.517 6126.055|-7608.987 6125.477|-7607.526 6124.732|-7604.708 6123.087
536R VARSITY ESTATES PL NW,-7314.722 6749.470|-7317.714 6746.601|-7323.440 6741.097|-7321.531 6738.161|-7319.839 6735.103|-7318.378 6731.923|-7317.148 6728.643|-7316.169 6725.285|-7315.428 6721.860|-7314.946 6718.391|-7314.715 6714.899|-7314.715 6722.727
608R VARSITY ESTATES PL NW,-7494.797 6746.556|-7487.387 6738.106|-7484.668 6740.307|-7481.788 6742.298|-7478.761 6744.066|-7475.615 6745.611|-7472.358 6746.901|-7469.016 6747.958|-7465.605 6748.747|-7462.145 6749.292|-7458.649 6749.559|-7455.140 6749.581|-7451.645 6749.325|-7448.185 6748.814|-7444.766 6748.047|-7441.411 6747.024|-7438.146 6745.745|-7434.987 6744.233|-7426.507 6762.791|-7432.715 6762.457|-7440.754 6761.835|-7448.751 6760.823|-7456.692 6759.400|-7464.549 6757.598|-7472.309 6755.408|-7479.949 6752.828|-7487.450 6749.881
540R VARSITY ESTATES PL NW,-7409.744 6763.669|-7395.903 6747.924|-7393.666 6749.959|-7391.303 6751.849|-7388.821 6753.595|-7386.235 6755.174|-7383.558 6756.586|-7380.796 6757.832|-7377.958 6758.888|-7375.057 6759.778|-7372.107 6760.467|-7369.122 6760.978|-7366.109 6761.301|-7363.083 6761.423|-7360.049 6761.357|-7357.029 6761.101|-7354.037 6760.656|-7351.073 6760.022|-7349.304 6766.861
