ADDRESS,POINTS
2102 VARSITY ESTATES DR NW,-6713.695 5461.910|-6806.927 5461.833|-6803.201 5435.490|-6802.544 5430.809|-6800.279 5430.809|-6778.322 5430.831|-6756.372 5430.854|-6734.422 5430.865|-6712.465 5430.887|-6712.430 5395.861|-6710.920 5395.861|-6706.355 5400.431|-6706.334 5415.620|-6706.460 5421.502|-6706.810 5427.373|-6707.390 5433.233|-6708.201 5439.060|-6709.235 5444.842|-6710.501 5450.591|-6711.989 5456.284
1411 VARSITY ESTATES DR NW,-7580.822 6175.415|-7580.808 6184.544|-7589.930 6184.555|-7589.944 6175.426|-7589.944 6175.415|-7580.822 6175.404
1600 VARSITY ESTATES DR NW,-6969.225 5591.319|-7085.561 5591.419|-7058.927 5535.811|-7056.222 5530.362|-7053.348 5525.014|-7050.301 5519.743|-7047.092 5514.572|-7043.723 5509.513|-7040.192 5504.565|-7036.508 5499.717|-7032.671 5495.002|-7028.686 5490.410|-7024.555 5485.940|-7020.290 5481.603|-7015.886 5477.411|-7011.350 5473.352|-7006.687 5469.438|-7001.906 5465.680|-6997.005 5462.077|-6984.527 5462.077|-6940.746 5531.696
2101 VARSITY ESTATES DR NW,-6522.016 5329.711|-6522.736 5373.121|-6527.385 5377.680|-6734.268 5377.558|-6763.908 5377.525|-6797.567 5377.513|-6805.886 5377.680|-6814.190 5378.192|-6822.467 5379.048|-6830.695 5380.238|-6838.874 5381.783|-6846.976 5383.663|-6855.001 5385.875|-6862.921 5388.411|-6880.523 5394.471|-6921.159 5408.437|-6937.020 5413.908|-6897.852 5329.966|-6837.916 5329.922|-6740.252 5329.866|-6557.612 5329.722
1625 VARSITY ESTATES DR NW,-7087.287 5552.701|-7127.538 5636.965|-7132.012 5645.938|-7136.787 5654.756|-7141.855 5663.407|-7147.217 5671.891|-7152.851 5680.175|-7158.765 5688.281|-7164.944 5696.176|-7171.390 5703.859|-7178.835 5712.132|-7186.587 5720.116|-7202.113 5701.535|-7216.171 5684.723|-7230.229 5667.899|-7244.678 5650.619|-7248.383 5646.183|-7250.536 5643.503|-7252.577 5640.734|-7254.506 5637.887|-7256.317 5634.963|-7258.624 5630.815|-7260.700 5626.534|-7262.531 5622.153|-7264.111 5617.683|-7265.740 5611.979|-7269.844 5595.422|-7275.709 5571.782|-7281.567 5548.142|-7283.692 5539.569|-7284.838 5535.210|-7286.110 5530.885|-7287.501 5526.604|-7289.018 5522.356|-7291.968 5515.006|-7295.289 5507.801|-7298.966 5500.773|-7302.985 5493.935|-7314.289 5500.995|-7314.240 5330.256|-7289.606 5330.233|-7170.327 5330.122|-7162.484 5421.146|-7092.719 5501.651
2102 VARSITY ESTATES DR NW,-6984.527 5462.077|-6997.005 5462.077|-6992.608 5459.086|-6988.134 5456.217
1401 VARSITY ESTATES DR NW,-7539.452 6280.672|-7539.459 6303.511|-7539.466 6324.527|-7506.010 6324.538|-7506.024 6373.453|-7539.480 6373.453|-7539.487 6394.769|-7539.494 6416.096|-7539.501 6437.412|-7539.508 6458.740|-7539.508 6480.056|-7506.052 6480.056|-7506.066 6531.795|-7505.940 6537.566|-7505.562 6543.314|-7504.933 6549.052|-7504.052 6554.745|-7502.920 6560.405|-7501.543 6565.998|-7499.921 6571.536|-7498.055 6576.995|-7495.951 6582.366|-7493.616 6587.637|-7491.043 6592.807|-7488.254 6597.856|-7485.241 6602.770|-7482.012 6607.552|-7478.579 6612.189|-7474.944 6616.670|-7487.219 6650.406|-7490.141 6658.245|-7542.074 6639.376|-7578.515 6651.641|-7628.490 6502.384|-7683.400 6175.559|-7683.750 6173.513|-7671.356 6160.359|-7662.736 6151.208|-7636.494 6151.163|-7623.254 6151.141|-7614.132 6151.119|-7610.755 6151.119|-7604.666 6151.108|-7596.935 6151.097|-7587.854 6151.085|-7584.590 6151.074|-7564.213 6151.041|-7544.744 6151.008|-7525.583 6150.974|-7504.318 6150.941|-7505.171 6162.349|-7505.716 6173.780|-7539.424 6173.836|-7539.424 6175.337|-7539.431 6194.785|-7539.438 6217.624|-7539.445 6238.640|-7539.445 6259.656
1401 VARSITY ESTATES DR NW,-7589.944 6175.426|-7589.930 6184.555|-7580.808 6184.544|-7580.822 6175.415|-7587.812 6175.426
1025 VARSITY ESTATES PL NW,-7627.553 6091.763|-7576.306 5750.773|-7526.723 5420.790|-7516.160 5350.404|-7513.140 5330.300|-7375.071 5330.289|-7314.268 5266.296|-7314.247 5311.008|-7314.240 5330.256|-7314.289 5500.995|-7333.946 5513.282|-7334.261 5503.964|-7334.436 5502.085|-7334.841 5500.239|-7335.477 5498.471|-7336.323 5496.781|-7337.372 5495.213|-7338.609 5493.790|-7340.014 5492.533|-7341.566 5491.455|-7343.237 5490.576|-7344.998 5489.920|-7346.837 5489.476|-7348.710 5489.275|-7350.598 5489.298|-7352.464 5489.553|-7354.288 5490.043|-7356.036 5490.754|-7356.148 5490.810|-7357.378 5491.477|-7358.539 5492.267|-7359.622 5493.156|-7360.622 5494.135|-7361.524 5495.213|-7362.321 5496.359|-7363.013 5497.582|-7363.593 5498.849|-7364.040 5500.173|-7364.376 5501.518|-7364.578 5502.886|-7364.662 5504.276|-7364.613 5505.666|-7364.446 5507.044|-7364.145 5508.401|-7363.726 5509.724|-7363.194 5511.003|-7362.537 5512.226|-7361.775 5513.394|-7360.915 5514.483|-7359.958 5515.484|-7358.909 5516.396|-7357.784 5517.219|-7356.588 5517.919|-7348.396 5522.289|-7350.975 5523.902|-7379.363 5541.626|-7376.714 5546.285|-7374.435 5551.144|-7372.548 5556.159|-7371.059 5561.308|-7366.005 5581.701|-7360.950 5602.094|-7355.889 5622.487|-7353.107 5633.718|-7351.758 5638.810|-7350.262 5643.881|-7348.193 5650.086|-7345.893 5656.212|-7343.369 5662.239|-7340.615 5668.177|-7331.346 5663.662|-7329.172 5666.264|-7337.141 5672.958|-7349.213 5690.182|-7361.447 5707.640|-7373.505 5724.853|-7385.382 5741.810|-7391.499 5750.539|-7393.533 5753.586|-7395.413 5756.733|-7397.147 5759.968|-7398.713 5763.271|-7400.398 5767.374|-7401.845 5771.566|-7403.040 5775.836|-7403.991 5780.173|-7404.683 5784.542|-7405.123 5788.957|-7405.305 5793.382|-7405.228 5797.819|-7404.893 5802.245|-7404.305 5806.637|-7403.460 5810.985|-7402.362 5815.277|-7401.020 5819.502|-7399.433 5823.639|-7397.615 5827.686|-7395.560 5831.611|-7393.764 5834.636|-7391.834 5837.582|-7389.765 5840.440|-7387.570 5843.187|-7379.762 5852.527|-7378.196 5854.406|-7380.531 5856.363|-7390.080 5844.932|-7399.810 5853.995|-7409.269 5863.324|-7418.251 5872.709|-7426.961 5882.338|-7434.413 5891.012|-7441.648 5899.874|-7449.590 5910.148|-7457.244 5920.645|-7463.738 5930.063|-7469.995 5939.637|-7476.818 5950.690|-7483.326 5961.932|-7488.792 5971.984|-7494.007 5982.169|-7499.628 5993.889|-7504.912 6005.765|-7509.288 6016.339|-7513.406 6027.014|-7517.782 6039.323|-7521.808 6051.744|-7515.929 6053.556|-7515.922 6060.795|-7535.398 6060.828|-7555.167 6060.862|-7562.227 6060.873|-7574.635 6060.895|-7593.796 6060.929|-7595.013 6060.929|-7613.579 6058.126|-7613.523 6093.876
6161 48 AV NW,-7170.327 5330.122|-7289.606 5330.233|-7314.240 5330.256|-7314.247 5311.008|-7314.268 5266.296|-7314.394 4994.347|-7210.998 5016.341|-7203.168 5017.998|-7069.168 4905.580|-7071.440 4907.615|-7073.593 4909.772|-7075.620 4912.051|-7077.508 4914.442|-7079.094 4916.688|-7080.555 4919.001|-7081.898 4921.392|-7083.114 4923.849|-7084.204 4926.362|-7085.169 4928.931|-7085.994 4931.544|-7086.686 4934.190|-7087.238 4936.881|-7087.658 4939.583|-7087.937 4942.319|-7088.070 4945.054|-7088.063 4947.790|-7087.923 4950.525|-7087.637 4953.260|-7087.210 4955.962|-7086.434 4959.532|-7085.414 4963.045|-7084.149 4966.470|-7082.653 4969.806|-7080.940 4973.042|-7079.004 4976.133|-7076.857 4979.102|-7074.516 4981.904|-7071.985 4984.551|-7069.280 4987.008|-7066.407 4989.276|-7063.394 4991.345|-7060.241 4993.202|-7056.970 4994.836|-7053.593 4996.248|-7050.126 4997.416|-7045.219 4998.639|-7040.220 4999.384|-7035.166 4999.662|-7030.112 4999.440|-7025.100 4998.750|-7020.179 4997.594|-7015.390 4995.959|-7010.776 4993.891|-7008.099 4992.434|-7005.513 4990.822|-7003.024 4989.076|-7000.633 4987.175|-6984.513 4973.609|-6967.051 4958.920|-6948.421 4943.253|-6946.464 4945.588|-6954.895 4952.682|-6947.569 4957.830|-6940.026 4962.656|-6932.266 4967.137|-6924.325 4971.274|-6916.090 4975.099|-6916.496 5127.647|-6916.922 5284.832|-6939.327 5231.792|-6936.943 5164.842|-6980.445 5151.098|-7025.170 5212.656|-7083.268 5259.658
