ADDRESS,POINTS
215 WALDEN CR SE,2345.760 -19773.934|2295.058 -19798.786|2293.451 -19799.687|2291.941 -19800.743|2290.550 -19801.944|2289.291 -19803.289|2287.460 -19805.146|2285.384 -19806.725|2283.091 -19807.982|2280.644 -19808.894|2278.100 -19809.438|2275.492 -19809.594|2272.899 -19809.372|2270.354 -19808.771|2267.907 -19811.618|2243.007 -19840.351|2250.956 -19855.473|2259.323 -19870.351|2268.404 -19887.242|2275.967 -19901.708|2278.204 -19905.856|2317.973 -19907.379|2318.882 -19907.412|2320.399 -19907.468|2321.294 -19904.721|2322.622 -19902.153|2324.349 -19899.840|2326.418 -19897.827|2328.781 -19896.170|2331.374 -19894.925|2334.142 -19894.113|2337.001 -19893.746|2338.826 -19893.580|2340.629 -19893.213|2342.377 -19892.668|2344.069 -19891.934|2391.317 -19868.683|2392.401 -19868.005|2393.324 -19867.115|2394.044 -19866.048|2394.526 -19864.858|2394.757 -19863.590|2394.722 -19862.312|2394.421 -19861.055|2393.869 -19859.899|2384.173 -19845.165|2382.398 -19842.853|2380.300 -19840.807|2377.938 -19839.094|2375.351 -19837.749|2373.352 -19836.770|2371.457 -19835.603|2369.675 -19834.268|2368.025 -19832.767|2366.529 -19831.121|2365.187 -19829.342|2364.020 -19827.441|2363.034 -19825.439|2362.244 -19823.360|2361.650 -19821.203|2361.258 -19819.012|2361.070 -19816.788|2361.098 -19814.553|2361.328 -19812.341|2361.769 -19810.150|2362.412 -19808.015|2362.838 -19806.369|2362.992 -19804.690|2362.866 -19803.000|2362.468 -19801.355|2354.813 -19778.304|2354.100 -19776.836|2353.464 -19775.780|2352.632 -19774.868|2351.646 -19774.145|2350.535 -19773.634|2349.340 -19773.345|2348.116 -19773.300|2346.907 -19773.500
119 WALDEN LD SE,2783.875 -19732.558|2773.354 -19729.612|2762.889 -19726.365|2752.445 -19722.851|2751.949 -19722.617|2750.803 -19725.319|2749.495 -19727.955|2748.195 -19730.234|2746.776 -19732.436|2745.238 -19734.571|2743.588 -19736.606|2741.827 -19738.552|2739.967 -19740.398|2738.010 -19742.132|2735.962 -19743.767|2733.865 -19745.268|2731.698 -19746.647|2729.454 -19747.903|2727.147 -19749.048|2724.784 -19750.060|2722.372 -19750.939|2719.919 -19751.695|2717.423 -19752.318|2714.983 -19752.796|2712.530 -19753.140|2710.048 -19753.363|2707.567 -19753.452|2705.085 -19753.407|2702.603 -19753.241|2700.143 -19752.951|2697.689 -19752.518|2701.604 -19726.420|2702.373 -19721.250|2702.890 -19717.814|2701.149 -19717.091|2699.534 -19716.146|2698.059 -19714.967|2696.766 -19713.600|2659.857 -19714.456|2658.654 -19718.514|2656.012 -19727.399|2649.532 -19749.215|2650.874 -19753.796|2652.433 -19758.300|2654.334 -19763.048|2656.480 -19767.685|2658.354 -19771.299|2660.374 -19774.846|2664.044 -19780.528|2672.628 -19776.391|2682.009 -19771.866|2682.331 -19771.721|2693.040 -19771.009|2704.526 -19770.253|2716.011 -19769.497|2751.935 -19793.415|2893.478 -19793.382|2896.967 -19793.382|2897.826 -19782.563|2868.669 -19786.343|2858.680 -19787.633|2855.737 -19787.933|2852.787 -19788.045|2849.837 -19787.978|2846.894 -19787.733|2844.300 -19787.366|2841.735 -19786.866|2839.190 -19786.221|2836.688 -19785.443|2834.234 -19784.542|2831.829 -19783.497|2829.480 -19782.329|2827.202 -19781.039|2824.986 -19779.627|2822.853 -19778.104|2820.805 -19776.458|2818.841 -19774.712|2816.981 -19772.866|2815.220 -19770.909|2813.556 -19768.875|2812.011 -19766.751|2810.578 -19764.549|2809.264 -19762.270|2808.076 -19759.923|2807.006 -19757.510|2806.069 -19755.053|2805.265 -19752.540|2804.594 -19749.994|2804.056 -19747.414|2803.378 -19742.566|2803.259 -19739.864|2803.287 -19737.162|2802.651 -19737.073|2793.857 -19735.060
4 WALDEN CL SE,2652.489 -19607.119|2651.097 -19618.406|2649.741 -19630.915|2648.700 -19642.235|2647.735 -19654.777|2647.036 -19666.142|2646.463 -19678.695|2646.092 -19691.272|2645.931 -19702.647|2645.945 -19714.789|2611.217 -19715.601|2611.406 -19726.809|2611.776 -19734.126|2612.538 -19741.398|2613.691 -19748.626|2615.236 -19755.776|2649.532 -19749.215|2656.012 -19727.399|2658.654 -19718.514|2659.857 -19714.456|2659.185 -19709.919|2658.941 -19705.327|2659.130 -19700.734|2659.752 -19696.186|2660.283 -19693.707|2660.940 -19691.249|2661.723 -19688.836|2662.625 -19686.468|2663.652 -19684.155|2664.806 -19681.887|2666.071 -19679.696|2667.448 -19677.561|2668.007 -19676.750|2675.047 -19666.075|2681.772 -19655.200|2687.679 -19644.981|2693.033 -19635.129|2698.640 -19624.076|2703.442 -19613.947|2708.203 -19603.150|2712.663 -19592.219|2716.619 -19581.733|2719.926 -19572.237|2720.289 -19571.170|2723.917 -19559.461|2727.042 -19547.841|2727.217 -19547.130|2728.957 -19540.791|2730.929 -19534.509|2733.424 -19527.593|2736.214 -19520.776|2738.982 -19514.716|2741.988 -19508.778|2744.651 -19503.953|2747.461 -19499.216|2750.425 -19494.579|2753.536 -19490.031|2755.626 -19487.140|2753.089 -19484.616|2749.642 -19481.602|2745.930 -19478.923|2741.729 -19476.476|2737.723 -19474.586|2733.620 -19472.940|2732.404 -19476.209|2720.429 -19508.400|2715.955 -19506.933|2711.376 -19505.865|2707.357 -19505.254|2703.302 -19504.953|2701.212 -19504.909|2692.222 -19504.920|2677.382 -19504.920|2673.138 -19504.931|2658.521 -19499.138|2650.727 -19496.047|2634.935 -19507.967|2626.302 -19514.561|2626.952 -19515.161|2633.873 -19521.621|2636.138 -19523.723|2642.863 -19529.994|2645.512 -19532.663|2647.952 -19535.532|2650.154 -19538.579|2652.118 -19541.792|2653.474 -19544.394|2654.663 -19547.074|2655.697 -19549.821|2656.557 -19552.623|2657.249 -19555.469|2657.773 -19558.349|2658.116 -19561.262|2658.284 -19564.187|2658.172 -19569.102|2657.571 -19573.983|2656.263 -19581.645|2654.313 -19594.076
20605 WALDEN BV SE,2890.004 -19877.367|2891.081 -19867.137|2892.017 -19856.885|2896.967 -19793.382|2893.478 -19793.382|2751.935 -19793.415|2752.033 -19877.757
34 WALDEN HT SE,2852.724 -19980.367|2854.709 -19980.178|2856.673 -19979.834|2858.603 -19979.333|2860.490 -19978.677|2862.315 -19977.877|2864.069 -19976.920|2865.747 -19975.842|2867.334 -19974.618|2869.466 -19972.839|2870.543 -19971.805|2871.458 -19970.615|2872.185 -19969.303|2872.717 -19967.902|2879.029 -19946.742|2880.357 -19941.783|2881.427 -19936.757|2883.999 -19921.968|2886.285 -19907.145|2888.291 -19892.279|2890.004 -19877.367|2752.033 -19877.757|2731.271 -19877.823|2731.124 -19877.823|2727.748 -19877.834|2727.804 -19879.247|2727.734 -19880.648|2726.658 -19892.990|2725.868 -19905.344|2725.357 -19917.709|2725.134 -19930.085|2725.197 -19942.472|2725.546 -19954.848|2726.175 -19967.213|2727.091 -19979.556|2727.364 -19981.023|2727.923 -19982.413|2728.748 -19983.659|2729.796 -19984.715|2731.034 -19985.538|2732.411 -19986.105|2733.872 -19986.383|2735.354 -19986.361|2746.503 -19985.171|2757.667 -19984.148|2768.845 -19983.303|2780.030 -19982.636|2791.229 -19982.135|2802.434 -19981.824|2813.647 -19981.679|2824.853 -19981.702|2831.011 -19981.568
86 WALDEN PL SE,2727.748 -19877.834|2731.271 -19877.823|2752.033 -19877.757|2751.935 -19793.415|2716.011 -19769.497|2717.780 -19803.189|2712.726 -19807.804|2713.669 -19809.083|2714.466 -19810.450|2715.102 -19811.896|2715.578 -19813.408|2715.955 -19815.510|2716.011 -19817.645|2715.745 -19819.757|2715.179 -19821.814|2726.895 -19826.307|2723.812 -19868.828|2725.336 -19870.807|2726.525 -19873.009|2727.336 -19875.366
18 WALGROVE TC SE,3447.502 -20338.293|3453.325 -20341.106|3459.162 -20339.416|3465.062 -20337.937|3471.011 -20336.680|3477.008 -20335.657|3483.034 -20334.868|3489.081 -20334.290|3495.156 -20333.956|3501.230 -20333.845|3504.243 -20333.856|3504.292 -20298.874|3504.886 -20298.874|3514.624 -20298.885|3524.949 -20298.907|3535.274 -20298.918|3545.606 -20298.930|3555.931 -20298.952|3566.263 -20298.963|3576.588 -20298.974|3586.913 -20298.996|3597.245 -20299.007|3607.569 -20299.019|3617.894 -20299.041|3628.226 -20299.052|3638.551 -20299.063|3638.502 -20334.045|3679.341 -20334.156|3686.128 -20324.571|3683.346 -20323.637|3680.634 -20322.525|3677.999 -20321.246|3675.454 -20319.790|3673.007 -20318.166|3670.673 -20316.387|3668.457 -20314.452|3666.373 -20312.384|3665.947 -20311.917|3665.360 -20311.261|3663.242 -20308.659|3661.326 -20305.913|3659.621 -20303.033|3658.132 -20300.019|3657.544 -20298.641|3656.125 -20294.660|3655.091 -20290.557|3654.441 -20286.365|3654.182 -20282.139|3654.189 -20280.638|3654.210 -20280.049|3654.252 -20279.582|3654.252 -20279.048|3648.848 -20278.970|3645.710 -20278.970|3628.261 -20278.937|3617.936 -20278.926|3607.604 -20278.903|3597.280 -20278.892|3586.955 -20278.870|3576.630 -20278.859|3566.305 -20278.837|3555.980 -20278.826|3545.655 -20278.814|3535.330 -20278.792|3525.005 -20278.781|3514.680 -20278.759|3504.355 -20278.748|3504.404 -20243.610|3498.120 -20243.043|3491.849 -20242.331|3485.593 -20241.464|3479.364 -20240.441|3473.157 -20239.274|3466.984 -20237.961|3460.846 -20236.494|3454.737 -20234.881|3451.318 -20233.903|3445.383 -20236.816|3443.489 -20242.309|3443.188 -20243.466|3442.776 -20245.623|3442.336 -20249.014|3442.231 -20252.428|3442.468 -20255.842|3443.035 -20259.211|3443.936 -20262.502|3445.153 -20265.693|3446.684 -20268.751|3448.501 -20271.631|3449.780 -20273.611|3450.892 -20275.679|3451.836 -20277.836|3452.612 -20280.060|3453.206 -20282.328|3453.625 -20284.652|3453.856 -20286.987|3453.898 -20289.345|3453.758 -20291.691|3453.429 -20294.026|3452.919 -20296.317|3452.227 -20298.563|3451.367 -20300.753|3450.326 -20302.866|3449.130 -20304.890|3447.774 -20306.802|3445.509 -20309.994|3443.475 -20313.329|3442.713 -20315.042|3442.273 -20316.854|3442.168 -20318.733|3442.405 -20320.590|3443.475 -20325.072|3444.677 -20329.519|3446.020 -20333.923
6 WALDEN CM SE,3139.564 -20028.048|3139.969 -20029.838|3140.221 -20031.661|3140.298 -20033.507|3140.214 -20035.342|3139.962 -20037.166|3139.543 -20038.956|3138.970 -20040.702|3138.236 -20042.392|3137.362 -20044.004|3136.334 -20045.539|3135.181 -20046.962|3133.902 -20048.274|3132.504 -20049.475|3131.015 -20050.542|3129.428 -20051.465|3127.764 -20052.233|3126.205 -20052.966|3124.730 -20053.834|3123.339 -20054.857|3122.053 -20055.991|3120.885 -20057.259|3119.837 -20058.626|3118.928 -20060.083|3118.159 -20061.629|3117.083 -20064.586|3116.384 -20067.655|3116.083 -20070.791|3116.181 -20073.938|3116.677 -20079.231|3116.957 -20080.832|3117.488 -20082.377|3118.257 -20083.812|3119.243 -20085.113|3126.401 -20093.119|3138.942 -20105.295|3141.465 -20107.663|3149.064 -20114.646|3156.537 -20121.774|3163.870 -20129.024|3171.077 -20136.418|3178.144 -20143.946|3185.072 -20151.596|3191.860 -20159.380|3198.501 -20167.275|3199.591 -20168.353|3200.878 -20169.187|3202.304 -20169.732|3203.814 -20169.977|3205.337 -20169.899|3206.819 -20169.521|3208.190 -20168.843|3209.392 -20167.898|3218.494 -20158.746|3227.253 -20149.250|3229.573 -20146.648|3233.887 -20141.589|3238.102 -20136.440|3242.219 -20131.214|3246.232 -20125.910|3250.139 -20120.528|3253.949 -20115.069|3257.647 -20109.542|3261.233 -20103.938|3266.693 -20094.954|3271.866 -20085.813|3271.894 -20085.813|3276.752 -20076.551|3281.331 -20067.144|3285.714 -20057.403|3289.796 -20047.540|3290.537 -20045.227|3290.964 -20042.848|3291.062 -20040.424|3290.838 -20038.011|3290.656 -20036.254|3290.670 -20034.497|3290.887 -20032.751|3291.299 -20031.028|3291.894 -20029.371|3292.676 -20027.792|3293.627 -20026.313|3294.739 -20024.956|3264.687 -20018.830|3234.516 -20009.356|3227.567 -20007.087|3220.682 -20004.641|3213.859 -20002.028|3207.106 -19999.248|3200.416 -19996.313|3193.803 -19993.199|3187.267 -19989.930|3180.815 -19986.494|3179.522 -19989.741|3149.036 -20028.103
154 WALGROVE ST SE,3213.013 -19905.578|3180.815 -19986.494|3187.267 -19989.930|3193.803 -19993.199|3200.416 -19996.313|3207.106 -19999.248|3213.859 -20002.028|3220.682 -20004.641|3227.567 -20007.087|3234.516 -20009.356|3264.687 -20018.830|3294.739 -20024.956|3295.885 -20023.822|3297.143 -20022.821|3298.493 -20021.954|3299.926 -20021.231|3301.429 -20020.664|3302.980 -20020.253|3304.567 -20020.008|3306.168 -20019.930|3313.837 -20019.953|3316.192 -20019.953|3359.401 -20020.075|3358.715 -20012.514|3385.195 -20012.569|3401.015 -20012.547|3402.546 -20012.625|3409.879 -20012.647|3411.410 -20012.647|3418.750 -20012.669|3420.274 -20012.669|3427.614 -20012.703|3429.145 -20012.692|3436.478 -20012.725|3438.008 -20012.714|3445.348 -20012.669|3446.872 -20012.736|3454.212 -20012.769|3455.736 -20012.758|3461.035 -20012.792|3461.028 -19997.514|3460.986 -19905.555|3281.848 -19905.578|3261.625 -19905.600
2 WALDEN CM SE,3036.063 -19925.615|3031.764 -19928.995|3027.465 -19932.364|3021.795 -19936.823|3081.872 -19986.216|3116.992 -20013.459|3118.718 -20013.270|3120.459 -20013.225|3122.193 -20013.325|3123.905 -20013.581|3125.597 -20013.981|3127.247 -20014.537|3128.841 -20015.227|3130.372 -20016.050|3131.763 -20016.839|3133.133 -20017.907|3134.405 -20019.096|3135.572 -20020.386|3136.628 -20021.765|3137.565 -20023.233|3138.369 -20024.779|3139.033 -20026.391|3139.564 -20028.048|3149.036 -20028.103|3179.522 -19989.741|3180.815 -19986.494|3213.013 -19905.589|3211.412 -19905.589|3200.815 -19905.589|3200.178 -19905.578|3178.445 -19905.589|3126.911 -19948.844|3095.853 -19923.035|3089.170 -19917.286|3082.697 -19911.293|3076.440 -19905.077|3070.407 -19898.650|3065.780 -19902.286|3061.480 -19905.655|3057.188 -19909.036|3052.889 -19912.405|3046.626 -19917.331|3040.362 -19922.246
