ADDRESS,POINTS
19505 WALDEN BV SE,3249.727 -19090.652|3251.244 -19083.113|3252.565 -19075.541|3253.670 -19067.935|3254.578 -19060.296|3255.459 -19050.678|3256.102 -19041.048|3256.501 -19031.396|3256.655 -19021.734|3256.843 -18968.760|3256.648 -18966.414|3255.997 -18964.146|3254.921 -18962.055|3253.467 -18960.209|3252.069 -18959.031|3250.510 -18958.074|3248.825 -18957.363|3247.050 -18956.918|3227.106 -18953.282|3140.878 -18952.882|3142.570 -18966.959|3133.384 -18969.061|3124.311 -18971.585|3115.363 -18974.542|3106.562 -18977.901|3107.212 -18979.379|3108.023 -18980.780|3108.988 -18982.093|3110.085 -18983.271|3111.309 -18984.339|3112.637 -18985.251|3114.063 -18986.018|3115.559 -18986.618|3133.273 -18992.612|3137.858 -18994.413|3142.248 -18996.659|3146.401 -18999.328|3150.273 -19002.375|3153.839 -19005.788|3157.054 -19009.535|3159.892 -19013.583|3162.325 -19017.875|3164.338 -19022.401|3165.897 -19027.082|3167.002 -19031.908|3167.638 -19036.812|3167.792 -19041.749|3167.470 -19046.686|3166.680 -19051.567|3165.415 -19056.349|3164.835 -19058.650|3164.520 -19060.996|3164.485 -19063.365|3164.723 -19065.733|3165.226 -19068.046|3166.002 -19070.281|3167.030 -19072.427|3168.295 -19074.429|3169.784 -19076.264|3171.476 -19077.920|3173.349 -19079.366|3175.376 -19080.589|3177.529 -19081.556|3179.787 -19082.279|3182.108 -19082.724|3184.464 -19082.902|3185.317 -19089.852|3232.041 -19084.203
150 WALGROVE MR SE,3821.157 -19932.264|3822.729 -19935.989|3824.148 -19939.781|3825.414 -19943.617|3826.518 -19947.509|3827.469 -19951.445|3828.259 -19955.415|3828.888 -19959.407|3829.356 -19963.432|3829.447 -19965.178|3829.377 -19966.913|3829.154 -19968.647|3828.776 -19970.349|3828.252 -19972.017|3827.581 -19973.618|3826.763 -19975.163|3825.819 -19976.620|3824.743 -19977.999|3823.554 -19979.266|3822.254 -19980.423|3820.856 -19981.457|3819.367 -19982.358|3817.808 -19983.136|3816.186 -19983.759|3814.516 -19984.237|3812.293 -19984.637|3810.042 -19984.782|3807.245 -19984.637|3804.470 -19984.226|3801.751 -19983.547|3799.109 -19982.613|3796.564 -19981.435|3794.145 -19980.011|3791.873 -19978.366|3789.769 -19976.509|3780.136 -19967.135|3782.213 -19972.650|3784.568 -19978.054|3787.190 -19983.325|3790.077 -19988.451|3791.405 -19990.419|3792.936 -19992.232|3794.663 -19993.866|3796.557 -19995.290|3798.011 -19996.157|3799.556 -19996.857|3801.164 -19997.369|3802.827 -19997.703|3802.240 -20001.661|3783.170 -19998.915|3778.004 -19998.270|3772.810 -19997.836|3767.602 -19997.602|3762.395 -19997.591|3757.187 -19997.769|3751.993 -19998.170|3746.820 -19998.770|3741.668 -19999.571|3739.738 -19999.982|3737.844 -20000.527|3735.992 -20001.205|3734.188 -20002.006|3732.447 -20002.929|3730.770 -20003.974|3729.169 -20005.142|3727.659 -20006.409|3728.868 -20007.610|3730.490 -20009.756|3731.713 -20012.147|3741.710 -20012.180|3743.199 -20012.180|3750.546 -20012.202|3752.035 -20012.202|3759.382 -20012.225|3760.871 -20012.225|3768.218 -20012.247|3769.714 -20012.258|3777.061 -20012.280|3778.550 -20012.280|3785.897 -20012.302|3787.386 -20012.302|3794.733 -20012.325|3796.221 -20012.325|3803.568 -20012.347|3805.057 -20012.358|3809.832 -20012.369|3812.404 -20012.380|3813.893 -20012.380|3814.439 -20012.380|3821.240 -20012.403|3822.729 -20012.403|3830.076 -20012.425|3831.565 -20012.425|3838.912 -20012.447|3840.401 -20012.447|3847.748 -20012.480|3849.237 -20012.480|3856.584 -20012.503|3858.073 -20012.503|3865.420 -20012.525|3866.909 -20012.525|3874.256 -20012.547|3875.745 -20012.558|3883.092 -20012.580|3884.581 -20012.580|3891.928 -20012.603|3893.424 -20012.603|3900.764 -20012.625|3902.260 -20012.625|3909.600 -20012.647|3911.096 -20012.658|3918.443 -20012.681|3919.932 -20012.681|3927.279 -20012.703|3928.768 -20012.703|3936.115 -20012.725|3937.604 -20012.725|3944.951 -20012.747|3946.440 -20012.758|3953.787 -20012.769|3955.276 -20012.781|3963.825 -20012.803|3967.859 -20012.814|4073.268 -19963.599|4073.520 -19837.604|3998.002 -19829.687|3985.601 -19831.711|3905.497 -19800.354|3900.806 -19791.080|3880.960 -19751.906|3296.263 -19750.728|3270.642 -19798.330|3265.456 -19798.475|3260.311 -19799.120|3255.249 -19800.254|3250.314 -19801.877|3245.568 -19803.968|3241.038 -19806.503|3236.774 -19809.472|3232.810 -19812.830|3229.196 -19816.566|3225.945 -19820.625|3223.107 -19824.983|3220.703 -19829.598|3218.745 -19834.413|3217.263 -19839.405|3216.264 -19844.520|3215.760 -19849.702|3213.013 -19905.578|3261.625 -19905.600|3281.848 -19905.578|3460.986 -19905.555|3461.028 -19997.514|3527.794 -19997.691|3590.534 -19936.757|3593.596 -19933.910|3596.797 -19931.219|3600.118 -19928.684|3603.564 -19926.304|3607.115 -19924.092|3610.764 -19922.068|3614.511 -19920.211|3618.335 -19918.532|3622.242 -19917.042|3626.213 -19915.752|3630.247 -19914.640|3634.322 -19913.739|3638.439 -19913.017|3642.578 -19912.505|3646.744 -19912.194|3650.917 -19912.082|3655.335 -19912.205|3659.739 -19912.561|3664.122 -19913.128|3668.464 -19913.928|3675.510 -19915.552|3682.472 -19917.509|3689.330 -19919.822|3696.062 -19922.457|3702.668 -19925.415|3709.113 -19928.695|3715.398 -19932.287|3721.500 -19936.178|3724.429 -19938.258|3727.253 -19940.493|3729.952 -19942.872|3732.524 -19945.385|3734.971 -19948.021|3737.271 -19950.789|3739.431 -19953.669|3741.444 -19956.661|3743.297 -19959.752|3744.988 -19962.932|3746.512 -19966.190|3747.868 -19969.526|3749.057 -19972.928|3750.063 -19976.386|3750.888 -19979.900|3751.538 -19983.447|3721.472 -19997.324|3719.585 -20002.673|3721.990 -20003.207|3724.269 -20004.119|3726.044 -20002.540|3727.932 -20001.094|3729.924 -19999.793|3732.000 -19998.637|3734.160 -19997.636|3736.383 -19996.802|3738.662 -19996.135|3740.983 -19995.634|3745.736 -19994.889|3750.511 -19994.300|3755.306 -19993.889|3760.116 -19993.644|3764.925 -19993.577|3769.735 -19993.677|3774.537 -19993.944|3779.332 -19994.389|3780.752 -19994.356|3782.108 -19993.922|3783.296 -19993.155|3784.240 -19992.087|3784.855 -19990.797|3785.107 -19989.396|3784.974 -19987.984|3784.464 -19986.650|3782.171 -19982.235|3780.053 -19977.721|3778.130 -19973.128|3776.396 -19968.458|3776.096 -19963.210|3745.869 -19933.810|3743.401 -19931.097|3741.290 -19928.095|3739.571 -19924.848|3738.263 -19921.423|3737.397 -19917.853|3736.970 -19914.206|3737.005 -19910.526|3737.488 -19906.890|3738.103 -19904.532|3739.011 -19902.264|3740.193 -19900.140|3741.626 -19898.172|3743.297 -19896.404|3745.170 -19894.858|3747.225 -19893.557|3749.420 -19892.534|3752.936 -19891.300|3756.530 -19890.344|3760.186 -19889.654|3763.891 -19889.254|3767.602 -19889.132|3771.321 -19889.299|3775.019 -19889.743|3778.668 -19890.466|3782.248 -19891.467|3785.750 -19892.735|3789.140 -19894.269|3792.412 -19896.059|3795.529 -19898.083|3798.493 -19900.351|3801.276 -19902.831|3803.862 -19905.511|3806.463 -19908.546|3808.944 -19911.682|3811.307 -19914.896|3813.544 -19918.209|3815.648 -19921.612|3817.626 -19925.092|3819.458 -19928.639
50R WALDEN GV SE,3231.125 -19750.583|3257.116 -19784.520|3231.195 -19806.269|3228.105 -19809.049|3225.225 -19812.040|3222.548 -19815.209|3220.101 -19818.568|3217.892 -19822.081|3215.928 -19825.751|3214.222 -19829.542|3212.782 -19833.434|3210.175 -19840.929|3207.365 -19848.346|3204.338 -19855.684|3201.115 -19862.934|3199.207 -19903.398|3200.815 -19905.589|3211.412 -19905.589|3213.013 -19905.589|3215.760 -19849.702|3216.264 -19844.520|3217.263 -19839.405|3218.745 -19834.413|3220.703 -19829.598|3223.107 -19824.983|3225.945 -19820.625|3229.196 -19816.566|3232.810 -19812.830|3236.774 -19809.472|3241.038 -19806.503|3245.568 -19803.968|3250.314 -19801.877|3255.249 -19800.254|3260.311 -19799.120|3265.456 -19798.475|3270.642 -19798.330|3296.263 -19750.728|3282.303 -19750.694|3262.345 -19750.650|3247.350 -19750.616
50 WALDEN GV SE,3081.983 -19833.968|3143.199 -19845.199|3166.037 -19858.420|3191.538 -19893.001|3199.207 -19903.398|3201.115 -19862.934|3204.338 -19855.684|3207.365 -19848.346|3210.175 -19840.929|3212.782 -19833.434|3214.222 -19829.542|3215.928 -19825.751|3217.892 -19822.081|3220.101 -19818.568|3222.548 -19815.209|3225.225 -19812.040|3228.105 -19809.049|3231.195 -19806.269|3257.116 -19784.520|3231.125 -19750.583|3222.422 -19744.567|3127.484 -19744.478|3097.565 -19800.076|3095.566 -19803.801|3088.401 -19817.111|3084.556 -19819.679|3072.588 -19827.674|3043.536 -19847.067|3045.123 -19848.234|3065.269 -19834.858|3067.961 -19833.190|3070.750 -19831.689|3073.630 -19830.376|3076.587 -19829.231|3079.607 -19828.286|3082.676 -19827.530|3085.793 -19826.974|3088.939 -19826.607|3092.099 -19826.440|3095.258 -19826.473|3098.418 -19826.707|3101.550 -19827.141|3104.654 -19827.763|3107.708 -19828.586|3110.707 -19829.598|3113.643 -19830.799|3119.355 -19833.134|3125.199 -19835.113|3131.154 -19836.726|3137.194 -19837.971|3173.125 -19844.198|3138.054 -19820.958|3136.677 -19819.957|3135.391 -19818.846|3134.209 -19817.622|3133.126 -19816.299|3132.168 -19814.898|3131.329 -19813.408|3130.616 -19811.862|3130.043 -19810.250|3129.603 -19808.604|3129.309 -19806.925|3129.162 -19805.224|3129.155 -19803.523|3129.295 -19801.822|3129.575 -19800.143|3130.001 -19798.486|3130.567 -19796.873|3131.763 -19794.227|3133.182 -19791.703|3134.824 -19789.312|3136.677 -19787.077|3138.711 -19785.020|3140.927 -19783.152|3143.297 -19781.484|3145.807 -19780.038|3148.952 -19778.537|3152.189 -19777.248|3155.502 -19776.169|3158.879 -19775.302|3162.304 -19774.657|3165.757 -19774.245|3169.239 -19774.056|3172.720 -19774.090|3184.632 -19774.468|3193.712 -19775.446|3202.744 -19776.792|3211.713 -19778.515|3220.598 -19780.606|3222.513 -19781.239|3224.324 -19782.129|3225.994 -19783.252|3227.511 -19784.586|3228.832 -19786.121|3229.937 -19787.811|3230.811 -19789.623|3231.433 -19791.547|3231.796 -19793.538|3231.887 -19795.561|3231.713 -19797.574|3231.272 -19799.542|3230.580 -19801.444|3229.636 -19803.234|3228.462 -19804.868|3227.085 -19806.347|3224.289 -19809.116|3221.674 -19812.063|3219.248 -19815.165|3217.019 -19818.412|3214.998 -19821.792|3213.188 -19825.295|3211.608 -19828.909|3210.252 -19832.600|3207.120 -19841.563|3203.688 -19850.403|3203.128 -19851.581|3202.415 -19852.671|3201.570 -19853.661|3200.605 -19854.528|3199.430 -19855.306|3198.151 -19855.907|3196.809 -19856.318|3195.418 -19856.541|3194.006 -19856.552|3192.615 -19856.363|3191.259 -19855.974|3189.972 -19855.406|3178.221 -19849.135|3136.509 -19841.896|3130.232 -19840.606|3124.038 -19838.927|3117.963 -19836.870|3112.029 -19834.446|3109.323 -19833.345|3106.562 -19832.411|3103.745 -19831.655|3100.886 -19831.077|3097.999 -19830.677|3095.091 -19830.465|3092.176 -19830.432|3089.261 -19830.588|3086.367 -19830.921|3083.493 -19831.433|3080.662 -19832.133|3077.880 -19833.012|3075.154 -19834.057|3072.504 -19835.269|3069.932 -19836.648|3067.450 -19838.182|3047.506 -19851.426|3048.443 -19853.594|3048.988 -19855.885
2402 210 AV SE,4705.508 -20558.103|4864.814 -20558.392|4864.814 -20513.647|4864.814 -20508.521|4864.814 -20460.518|4838.669 -20460.518|4788.373 -20447.430|4729.359 -20467.724|4725.997 -20480.444|4724.718 -20485.315
96R WALCREST VW SE,4510.662 -20381.003|4511.026 -20381.292|4518.492 -20385.595|4520.057 -20387.096|4526.754 -20396.070|4533.542 -20405.154|4534.772 -20409.424|4531.794 -20417.297|4531.508 -20418.409|4530.082 -20423.857|4530.068 -20424.613|4532.514 -20423.290|4553.269 -20412.159|4715.490 -20410.102|4736.874 -20391.733|4723.138 -20391.722|4538.296 -20391.466|4455.766 -20270.786|4455.738 -20273.466|4455.703 -20275.379|4456.989 -20284.508|4457.108 -20284.930|4460.121 -20295.349|4461.491 -20300.086|4464.169 -20305.090|4467.720 -20311.728|4468.887 -20314.397|4471.788 -20320.980|4473.144 -20324.004|4477.430 -20333.589|4481.708 -20343.174|4484.224 -20348.789|4486.426 -20352.481|4491.739 -20361.399|4493.536 -20364.412|4497.555 -20369.983|4498.268 -20370.973|4505.762 -20377.033
109 WALGROVE TC SE,3704.129 -20350.168|3679.313 -20350.124|3679.285 -20362.311|3679.271 -20372.707|3679.250 -20383.093|3679.229 -20393.490|3679.208 -20403.875|3679.187 -20414.272|3679.166 -20424.658|3679.145 -20435.054|3679.131 -20445.440|3679.110 -20455.837|3679.089 -20466.222|3679.068 -20475.607|3680.312 -20477.208|3685.227 -20483.569|3685.220 -20487.605|3685.199 -20498.002|3685.164 -20517.428|3685.108 -20546.438|3685.101 -20548.218|3703.737 -20548.251|3703.737 -20547.784|3703.744 -20546.461|3703.786 -20523.499|3703.828 -20504.829|3703.856 -20491.886|3703.870 -20481.501|3703.891 -20471.682|3703.898 -20468.691|3703.905 -20465.689|3703.926 -20455.881|3703.947 -20445.485|3703.961 -20435.099|3703.982 -20424.702|3704.003 -20414.305|3704.024 -20403.920|3704.045 -20393.523|3704.066 -20383.138|3704.087 -20372.741|3704.101 -20362.355
326 WALCREST VW SE,4264.367 -19974.796|4268.526 -19982.335|4269.218 -19983.592|4270.791 -19986.450|4270.896 -19920.233|4270.896 -19920.222|4271.155 -19752.785|4141.677 -19752.484|4097.322 -19752.373|4073.646 -19752.318|4073.625 -19762.014|4073.632 -19762.058|4073.632 -19762.158|4073.520 -19837.604|4073.268 -19963.599|4073.219 -19995.723|4079.965 -19995.056|4086.690 -19994.233|4093.394 -19993.255|4100.077 -19992.132|4106.731 -19990.864|4113.351 -19989.441|4119.943 -19987.862|4126.501 -19986.149|4133.016 -19984.281|4139.489 -19982.269|4145.913 -19980.123|4152.288 -19977.821|4158.615 -19975.375|4164.885 -19972.795|4171.093 -19970.082|4177.237 -19967.213|4178.845 -19966.346|4180.348 -19965.311|4181.746 -19964.122|4183.012 -19962.798|4184.389 -19961.409|4185.934 -19960.208|4187.625 -19959.218|4189.429 -19958.462|4191.316 -19957.950|4193.253 -19957.695|4195.210 -19957.695|4197.146 -19957.950|4199.034 -19958.473|4200.837 -19959.229|4202.529 -19960.219|4204.074 -19961.420|4205.451 -19962.810|4206.625 -19964.377|4207.590 -19966.090|4208.324 -19967.902|4208.960 -19970.471|4209.408 -19972.617|4210.114 -19974.685|4246.751 -19949.166|4252.623 -19957.706|4258.495 -19966.257
384 WALCREST VW SE,4015.296 -20022.343|4017.170 -20022.343|4035.114 -20022.399|4047.159 -20018.374|4049.493 -20017.595|4048.536 -20015.838|4047.823 -20013.981|4047.368 -20012.024|4047.173 -20010.034|4047.243 -20008.044|4047.578 -20006.064|4048.172 -20004.163|4049.011 -20002.351|4050.088 -20000.660|4051.381 -19999.137|4052.863 -19997.803|4054.506 -19996.680|4056.288 -19995.779|4058.169 -19995.123|4060.126 -19994.734|4062.111 -19994.600|4064.159 -19994.734|4066.173 -19995.134|4068.626 -19995.690|4071.129 -19995.901|4072.674 -19995.779|4073.219 -19995.723|4073.268 -19963.599|3967.859 -20012.814|3979.610 -20012.847|3982.651 -20012.858|4002.014 -20012.914|4009.557 -20012.936
384R WALCREST VW SE,3998.002 -19829.687|4073.520 -19837.604|4073.632 -19762.158|4073.632 -19762.058|4073.625 -19762.014|4073.646 -19752.318|4013.674 -19752.195|3880.960 -19751.906|3900.806 -19791.080|3905.497 -19800.354|3985.601 -19831.711
