ADDRESS,POINTS
3704 WHITEHORN DR NE,6329.563 4151.033|6308.277 4151.767|6308.305 4117.208|6329.577 4117.219
3700 WHITEHORN DR NE,6308.228 4290.839|6308.221 4304.849|6308.221 4318.248|6308.214 4332.259|6308.214 4346.269|6308.207 4362.115|6308.200 4382.919|6308.194 4387.022|6308.194 4391.103|6308.187 4412.708|6294.261 4412.708|6294.268 4394.750|6294.275 4386.566|6294.352 4160.896|6294.352 4151.767|6294.366 4124.847|6294.478 4123.524|6294.828 4122.234|6295.394 4121.033|6296.163 4119.943|6297.351 4118.798|6298.770 4117.931|6300.336 4117.397|6301.986 4117.219|6308.305 4117.208|6308.277 4151.767|6308.277 4160.908|6308.263 4189.095|6308.256 4210.423|6308.256 4223.833|6308.249 4237.232|6308.242 4250.019|6308.242 4263.429|6308.235 4277.440
3600 36 ST NE,6308.019 4053.304|6308.012 4085.929|6306.166 4085.128|6304.433 4084.105|6302.853 4082.849|6301.455 4081.403|6300.259 4079.791|6299.288 4078.023|6298.554 4076.155|6298.078 4074.198|6294.401 4053.271|6294.429 3967.995|6308.040 3968.018
167 WHITEFIELD DR NE,6458.684 4412.764|6458.657 4473.677|6427.039 4473.665|6427.060 4412.753|6439.104 4412.753|6451.869 4412.764
3708 44 AV NE,6309.151 4846.758|6294.849 4847.236|6293.877 4833.592|6293.891 4819.904|6294.038 4818.425|6294.471 4817.002|6295.170 4815.679|6296.121 4814.534|6297.274 4813.588|6298.589 4812.877|6300.015 4812.443|6301.504 4812.299|6307.991 4812.310
3708 44 AV NE,6316.778 4846.502|6309.151 4846.758|6307.991 4812.310|6315.624 4812.310
3644 39 ST NE,6606.435 4344.212|6608.567 4355.121|6610.448 4366.073|6580.333 4370.321|6578.606 4360.336|6576.663 4350.395
3320 36 ST NE,6304.572 3743.148|6305.691 3742.959|6305.642 3843.124|6308.075 3843.124|6308.040 3968.018|6295.883 3967.995|6294.429 3967.995|6294.492 3755.157|6294.660 3753.156|6295.142 3751.221|6295.946 3749.386|6296.932 3747.841|6298.141 3746.462|6299.539 3745.272|6301.105 3744.316|6302.790 3743.604
116 WHITEFIELD DR NE,6308.131 4495.593|6308.145 4527.562|6294.220 4527.551|6294.220 4524.882|6294.178 4503.188|6294.324 4501.709|6294.758 4500.274|6295.464 4498.962|6296.415 4497.817|6297.568 4496.872|6298.889 4496.171|6300.315 4495.738|6301.804 4495.593
40 WHITEFIELD CL NE,6653.516 4371.199|6651.817 4371.989|6650.231 4372.978|6648.770 4374.157|6647.469 4375.503|6646.351 4377.004|6645.414 4378.627|6644.694 4380.362|6644.184 4382.163|6611.804 4375.113|6581.696 4379.361|6580.333 4370.321|6610.448 4366.073|6608.567 4355.121|6606.435 4344.212|6604.024 4333.204|6601.360 4322.251|6598.746 4312.444|6597.753 4308.930|6596.075 4303.070|6593.447 4293.863|6591.594 4287.381|6590.916 4284.968|6589.539 4279.697|6603.506 4279.041|6632.733 4277.684|6646.092 4277.062|6649.133 4276.917|6649.727 4289.693|6650.489 4306.128|6651.258 4322.552|6652.020 4338.986|6652.782 4355.421
