ADDRESS,POINTS
270 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
260 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
240 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
110 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
120 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
230 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
210 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
140 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
150 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
280 11808 24 ST SW,-3203.581 -11298.801|-3183.882 -11298.801|-3183.882 -11279.820|-3183.875 -11264.498|-3183.875 -11259.249|-3183.875 -11249.175|-3183.875 -11233.852|-3183.868 -11216.862|-3233.095 -11216.850|-3236.576 -11216.850|-3236.583 -11259.249|-3236.590 -11291.295|-3236.450 -11292.763|-3236.031 -11294.164|-3235.339 -11295.454|-3234.409 -11296.599|-3233.283 -11297.522|-3231.990 -11298.223|-3230.592 -11298.645|-3229.138 -11298.801
