ADDRESS,POINTS
14 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
16 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
18 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
20 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
60 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
62 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
64 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
66 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
68 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
70 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
72 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
74 EVERRIDGE CM SW,-3374.337 -15448.362|-3374.393 -15416.894|-3376.385 -15414.893|-3428.115 -15414.982|-3428.108 -15418.985|-3428.066 -15443.970|-3423.585 -15448.451
40 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
42 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
44 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
46 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
48 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
50 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
52 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
80 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
82 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
84 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
86 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
88 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
90 EVERRIDGE CM SW,-3331.681 -15406.820|-3340.336 -15406.831|-3357.406 -15406.864|-3366.459 -15406.875|-3366.375 -15448.340|-3366.396 -15449.808|-3331.618 -15449.763|-3331.688 -15407.821
40 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
42 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
44 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
46 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
48 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
50 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
52 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
80 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
82 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
84 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
86 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
88 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
90 EVERRIDGE CM SW,-3492.288 -15448.562|-3453.945 -15448.507|-3449.485 -15443.992|-3449.534 -15415.015|-3492.337 -15415.093
28 EVERRIDGE CM SW,-3331.618 -15449.763|-3366.396 -15449.808|-3366.333 -15486.813|-3331.947 -15486.758|-3331.556 -15486.758
30 EVERRIDGE CM SW,-3331.618 -15449.763|-3366.396 -15449.808|-3366.333 -15486.813|-3331.947 -15486.758|-3331.556 -15486.758
32 EVERRIDGE CM SW,-3331.618 -15449.763|-3366.396 -15449.808|-3366.333 -15486.813|-3331.947 -15486.758|-3331.556 -15486.758
34 EVERRIDGE CM SW,-3331.618 -15449.763|-3366.396 -15449.808|-3366.333 -15486.813|-3331.947 -15486.758|-3331.556 -15486.758
36 EVERRIDGE CM SW,-3331.618 -15449.763|-3366.396 -15449.808|-3366.333 -15486.813|-3331.947 -15486.758|-3331.556 -15486.758
38 EVERRIDGE CM SW,-3331.618 -15449.763|-3366.396 -15449.808|-3366.333 -15486.813|-3331.947 -15486.758|-3331.556 -15486.758
94 EVERRIDGE CM SW,-3492.337 -15415.093|-3533.392 -15415.159|-3533.378 -15419.163|-3533.336 -15448.640|-3492.288 -15448.562
96 EVERRIDGE CM SW,-3492.337 -15415.093|-3533.392 -15415.159|-3533.378 -15419.163|-3533.336 -15448.640|-3492.288 -15448.562
98 EVERRIDGE CM SW,-3492.337 -15415.093|-3533.392 -15415.159|-3533.378 -15419.163|-3533.336 -15448.640|-3492.288 -15448.562
100 EVERRIDGE CM SW,-3492.337 -15415.093|-3533.392 -15415.159|-3533.378 -15419.163|-3533.336 -15448.640|-3492.288 -15448.562
102 EVERRIDGE CM SW,-3492.337 -15415.093|-3533.392 -15415.159|-3533.378 -15419.163|-3533.336 -15448.640|-3492.288 -15448.562
104 EVERRIDGE CM SW,-3492.337 -15415.093|-3533.392 -15415.159|-3533.378 -15419.163|-3533.336 -15448.640|-3492.288 -15448.562
112 EVERRIDGE CM SW,-3538.285 -15456.335|-3538.285 -15448.674|-3538.355 -15415.171|-3569.658 -15415.226|-3571.643 -15417.228|-3571.581 -15455.179|-3554.748 -15455.145|-3554.741 -15456.368
114 EVERRIDGE CM SW,-3538.285 -15456.335|-3538.285 -15448.674|-3538.355 -15415.171|-3569.658 -15415.226|-3571.643 -15417.228|-3571.581 -15455.179|-3554.748 -15455.145|-3554.741 -15456.368
116 EVERRIDGE CM SW,-3538.285 -15456.335|-3538.285 -15448.674|-3538.355 -15415.171|-3569.658 -15415.226|-3571.643 -15417.228|-3571.581 -15455.179|-3554.748 -15455.145|-3554.741 -15456.368
118 EVERRIDGE CM SW,-3538.285 -15456.335|-3538.285 -15448.674|-3538.355 -15415.171|-3569.658 -15415.226|-3571.643 -15417.228|-3571.581 -15455.179|-3554.748 -15455.145|-3554.741 -15456.368
120 EVERRIDGE CM SW,-3538.285 -15456.335|-3538.285 -15448.674|-3538.355 -15415.171|-3569.658 -15415.226|-3571.643 -15417.228|-3571.581 -15455.179|-3554.748 -15455.145|-3554.741 -15456.368
