ADDRESS,POINTS
54 LEGACY GA SE,3835.990 -20797.283|3836.011 -20783.061|3796.802 -20782.994|3796.788 -20791.223|3802.737 -20797.216
53 LEGACY GA SE,3723.234 -20798.840|3728.204 -20798.784|3733.167 -20798.606|3738.131 -20798.284|3743.080 -20797.850|3756.690 -20796.449|3759.025 -20795.993|3761.241 -20795.126|3763.261 -20793.858|3765.030 -20792.257|3765.044 -20782.939|3723.262 -20782.872
52 LEGACY GA SE,3836.011 -20783.061|3836.025 -20775.444|3796.816 -20775.378|3796.802 -20782.994
51 LEGACY GA SE,3723.262 -20782.872|3765.044 -20782.939|3765.051 -20777.824|3765.058 -20775.322|3723.276 -20775.255
50 LEGACY GA SE,3836.025 -20775.444|3836.039 -20767.828|3796.830 -20767.761|3796.816 -20775.378
49 LEGACY GA SE,3765.058 -20775.322|3765.058 -20772.831|3765.065 -20767.716|3723.290 -20767.638|3723.276 -20775.255
47 LEGACY GA SE,3723.290 -20767.638|3765.065 -20767.716|3765.093 -20760.088|3723.311 -20760.022
45 LEGACY GA SE,3723.311 -20760.022|3765.093 -20760.088|3765.100 -20752.471|3723.325 -20752.405
44 LEGACY GA SE,3836.067 -20752.605|3836.081 -20744.988|3796.865 -20744.921|3796.865 -20747.368|3796.851 -20752.538
43 LEGACY GA SE,3723.325 -20752.405|3765.100 -20752.471|3765.114 -20744.866|3723.332 -20744.788
42 LEGACY GA SE,3836.081 -20744.988|3836.088 -20737.371|3796.879 -20737.304|3796.872 -20742.475|3796.865 -20744.921
41 LEGACY GA SE,3723.332 -20744.788|3765.114 -20744.866|3765.128 -20737.249|3723.346 -20737.171
40 LEGACY GA SE,3796.879 -20737.304|3836.088 -20737.371|3836.102 -20729.754|3796.893 -20729.688
39 LEGACY GA SE,3723.346 -20737.171|3765.128 -20737.249|3765.135 -20732.078|3765.142 -20729.632|3723.360 -20729.565
38 LEGACY GA SE,3796.907 -20722.071|3796.893 -20729.688|3836.102 -20729.754|3836.116 -20722.138
37 LEGACY GA SE,3723.360 -20729.565|3765.142 -20729.632|3765.142 -20727.175|3765.156 -20722.015|3723.374 -20721.948
36 LEGACY GA SE,3836.130 -20714.521|3796.914 -20714.454|3796.907 -20722.071|3836.116 -20722.138
35 LEGACY GA SE,3723.374 -20721.948|3765.156 -20722.015|3765.163 -20716.845|3765.163 -20714.398|3723.381 -20714.332
34 LEGACY GA SE,3836.130 -20714.521|3836.151 -20706.904|3796.935 -20706.837|3796.914 -20714.454
33 LEGACY GA SE,3723.381 -20714.332|3765.163 -20714.398|3765.170 -20711.952|3765.177 -20706.781|3723.395 -20706.715
32 LEGACY GA SE,3836.151 -20706.904|3836.158 -20699.287|3796.949 -20699.220|3796.935 -20706.837
31 LEGACY GA SE,3765.191 -20699.165|3723.409 -20699.098|3723.395 -20706.715|3765.177 -20706.781|3765.184 -20701.611
30 LEGACY GA SE,3836.158 -20699.287|3836.172 -20691.670|3796.962 -20691.603|3796.949 -20699.220
29 LEGACY GA SE,3723.409 -20699.098|3765.191 -20699.165|3765.198 -20696.718|3765.205 -20691.548|3723.423 -20691.481
28 LEGACY GA SE,3836.172 -20691.670|3836.186 -20684.053|3796.976 -20683.987|3796.962 -20691.603
27 LEGACY GA SE,3723.423 -20691.481|3765.205 -20691.548|3765.212 -20686.388|3765.219 -20683.931|3723.437 -20683.864
26 LEGACY GA SE,3836.186 -20684.053|3836.200 -20676.436|3796.983 -20676.370|3796.976 -20683.987
25 LEGACY GA SE,3723.437 -20683.864|3765.219 -20683.931|3765.219 -20681.485|3765.226 -20676.325|3723.444 -20676.247
24 LEGACY GA SE,3836.200 -20676.436|3836.214 -20668.820|3796.997 -20668.753|3796.983 -20676.370
23 LEGACY GA SE,3765.226 -20676.325|3765.240 -20671.155|3765.240 -20668.708|3723.458 -20668.642|3723.444 -20676.247
22 LEGACY GA SE,3836.214 -20668.820|3836.228 -20661.203|3797.011 -20661.136|3796.997 -20668.753
21 LEGACY GA SE,3723.458 -20668.642|3765.240 -20668.708|3765.247 -20666.251|3765.254 -20661.091|3723.472 -20661.025
20 LEGACY GA SE,3836.228 -20661.203|3836.235 -20653.586|3797.025 -20653.530|3797.011 -20661.136
19 LEGACY GA SE,3723.472 -20661.025|3765.254 -20661.091|3765.261 -20655.921|3765.268 -20653.475|3723.486 -20653.408
18 LEGACY GA SE,3836.235 -20653.586|3836.249 -20645.980|3797.039 -20645.913|3797.025 -20653.530
17 LEGACY GA SE,3765.268 -20653.475|3765.268 -20651.028|3765.275 -20645.858|3723.493 -20645.791|3723.486 -20653.408
16 LEGACY GA SE,3836.249 -20645.980|3836.263 -20638.363|3797.046 -20638.297|3797.039 -20645.913
15 LEGACY GA SE,3723.493 -20645.791|3765.275 -20645.858|3765.289 -20640.687|3765.289 -20638.241|3723.507 -20638.174
14 LEGACY GA SE,3836.263 -20638.363|3836.277 -20630.746|3797.060 -20630.680|3797.046 -20638.297
13 LEGACY GA SE,3723.507 -20638.174|3765.289 -20638.241|3765.296 -20635.795|3765.303 -20630.624|3723.521 -20630.557
12 LEGACY GA SE,3836.277 -20630.746|3836.291 -20623.130|3797.074 -20623.063|3797.060 -20630.680
11 LEGACY GA SE,3723.521 -20630.557|3765.303 -20630.624|3765.310 -20625.465|3765.317 -20623.007|3723.535 -20622.941
10 LEGACY GA SE,3836.291 -20623.130|3836.298 -20615.513|3797.088 -20615.446|3797.074 -20623.063
9 LEGACY GA SE,3723.535 -20622.941|3765.317 -20623.007|3765.317 -20620.561|3765.324 -20615.401|3723.542 -20615.324
8 LEGACY GA SE,3797.088 -20615.446|3836.298 -20615.513|3836.312 -20607.896|3797.102 -20607.829
7 LEGACY GA SE,3723.542 -20615.324|3765.324 -20615.401|3765.338 -20610.231|3765.338 -20607.785|3723.555 -20607.718
6 LEGACY GA SE,3836.312 -20607.896|3836.326 -20600.279|3797.109 -20600.212|3797.102 -20607.829
5 LEGACY GA SE,3723.555 -20607.718|3765.338 -20607.785|3765.345 -20605.327|3765.345 -20604.460|3765.233 -20602.303|3764.890 -20600.168|3723.569 -20600.101
4 LEGACY GA SE,3836.326 -20600.279|3836.347 -20588.292|3804.575 -20588.237|3803.121 -20588.381|3801.723 -20588.804|3800.437 -20589.493|3799.304 -20590.427|3798.375 -20591.561|3797.689 -20592.851|3797.263 -20594.263|3797.116 -20595.720|3797.109 -20600.212
3 LEGACY GA SE,3723.569 -20600.101|3764.890 -20600.168|3764.464 -20598.533|3763.898 -20596.943|3763.205 -20595.398|3762.388 -20593.930|3761.444 -20592.529|3760.388 -20591.217|3759.228 -20589.993|3757.963 -20588.882|3756.613 -20587.870|3755.180 -20586.991|3753.677 -20586.224|3752.119 -20585.590|3750.511 -20585.101|3748.868 -20584.734|3747.204 -20584.523|3745.520 -20584.445|3723.597 -20584.411
397 LEGACY BV SE,3454.066 -21220.035|3482.650 -21213.430|3485.229 -21209.282|3486.005 -21208.037|3484.970 -21203.511|3484.516 -21201.532|3451.479 -21208.693|3453.290 -21216.644
393 LEGACY BV SE,3450.123 -21202.744|3451.479 -21208.693|3484.516 -21201.532|3484.083 -21199.609|3483.160 -21195.583
389 LEGACY BV SE,3450.123 -21202.744|3483.160 -21195.583|3482.957 -21194.683|3482.181 -21191.647|3481.839 -21189.645|3448.795 -21196.795|3450.018 -21202.299
402 LEGACY VILLAGE WY SE,3385.545 -21226.896|3394.248 -21227.474|3396.373 -21227.518|3389.383 -21186.532|3381.071 -21186.532|3381.092 -21221.948
406 LEGACY VILLAGE WY SE,3396.373 -21227.518|3398.296 -21227.585|3402.525 -21227.585|3395.527 -21186.521|3389.383 -21186.532
410 LEGACY VILLAGE WY SE,3402.525 -21227.585|3406.544 -21227.530|3408.641 -21227.429|3401.672 -21186.521|3395.527 -21186.521
385 LEGACY BV SE,3481.839 -21189.645|3481.335 -21187.733|3480.378 -21182.618|3447.243 -21189.323|3448.795 -21196.795
414 LEGACY VILLAGE WY SE,3408.641 -21227.429|3410.543 -21227.363|3415.912 -21226.974|3409.019 -21186.510|3401.672 -21186.521
418 LEGACY VILLAGE WY SE,3415.912 -21226.974|3421.071 -21226.484|3423.140 -21226.229|3416.373 -21186.510|3409.019 -21186.510
422 LEGACY VILLAGE WY SE,3423.140 -21226.229|3425.013 -21225.995|3429.138 -21225.372|3422.518 -21186.510|3416.373 -21186.510
426 LEGACY VILLAGE WY SE,3429.138 -21225.372|3433.045 -21224.716|3435.100 -21224.316|3428.655 -21186.499|3422.518 -21186.510
381 LEGACY BV SE,3447.243 -21189.323|3480.378 -21182.618|3479.301 -21177.547|3479.022 -21175.535|3445.621 -21180.783
430 LEGACY VILLAGE WY SE,3438.980 -21188.456|3436.617 -21186.499|3428.655 -21186.499|3435.100 -21224.316|3436.960 -21223.949|3441.077 -21223.037|3446.327 -21221.825|3442.280 -21204.079|3440.567 -21196.284
377 LEGACY BV SE,3477.966 -21169.541|3444.573 -21174.779|3445.621 -21180.783|3479.022 -21175.535|3478.602 -21173.633
