ADDRESS,POINTS
64 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
66 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
70 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
72 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
74 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
76 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
77 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
75 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
73 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
71 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
67 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
65 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
63 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
61 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
57 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
55 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
53 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
51 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
47 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
45 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
43 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
41 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
38 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
36 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
34 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
32 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
27 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
25 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
23 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
21 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
17 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
15 TARARIDGE CI NE,8914.705 7012.757|8918.508 6992.609|8918.934 6990.963|8919.570 6989.384|8920.402 6987.894|8921.423 6986.537|8922.604 6985.314|8923.939 6984.258|8925.400 6983.379|8926.959 6982.690|8927.616 6982.468|8936.662 6979.699|8994.228 6979.743|8994.172 6982.757|8994.124 7069.011|8994.061 7120.750|8977.542 7120.750|8880.179 7120.727|8880.263 7030.104|8896.124 7030.115|8914.691 7030.126|8914.705 7014.103
