ADDRESS,POINTS
5003 20 ST SW,-2660.714 -4233.609|-2797.252 -4233.665|-2797.273 -4243.717|-2797.273 -4243.772|-2797.511 -4361.150|-2660.791 -4361.094
1820 40 AV SW,-2246.137 -3314.583|-2246.144 -3306.966|-2246.144 -3299.360|-2284.068 -3299.438|-2284.068 -3307.044|-2284.061 -3314.661
5015 22 ST SW,-2841.306 -4359.026|-2845.787 -4359.026|-2845.787 -4361.161|-2800.552 -4361.150|-2800.545 -4359.015
3809 14A ST SW,-1739.370 -3050.684|-1739.384 -3043.067|-1739.391 -3039.142|-1739.391 -3035.461|-1739.404 -3027.845|-1739.411 -3020.239|-1739.425 -3012.622|-1739.432 -3005.016|-1739.439 -2999.234|-1770.414 -2999.245|-1777.377 -2999.256|-1777.370 -3005.038|-1777.363 -3012.644|-1777.349 -3020.261|-1777.342 -3027.867|-1777.328 -3035.472|-1777.321 -3043.089|-1777.307 -3050.695|-1777.293 -3058.312|-1768.030 -3058.301|-1758.321 -3058.301|-1739.363 -3058.290
3904 20 ST SW,-2492.565 -3162.724|-2629.803 -3162.980|-2630.040 -3343.883|-2492.789 -3343.694
1912 42 AV SW,-2391.239 -3545.412|-2391.239 -3538.974|-2391.239 -3537.751|-2397.921 -3537.773|-2397.921 -3538.996|-2397.921 -3545.424
4506 16 ST SW,-1840.710 -3844.649|-1840.501 -3748.832|-2020.401 -3748.477|-2020.603 -3844.315|-2016.060 -3848.886|-1845.275 -3849.219
4416 16 ST SW,-1840.333 -3672.719|-1876.173 -3672.608|-1888.316 -3672.575|-2020.247 -3672.197|-2020.401 -3748.477|-1840.501 -3748.832
5015 22 ST SW,-2908.373 -4359.059|-2944.828 -4359.070|-2944.828 -4361.205|-2908.373 -4361.183
5015 22 ST SW,-2865.843 -4359.037|-2901.949 -4358.981|-2902.270 -4358.981|-2902.291 -4361.183|-2865.836 -4361.172
5015 22 ST SW,-2964.884 -4359.081|-3001.339 -4359.092|-3001.339 -4361.227|-2964.877 -4361.216
5015 22 ST SW,-3007.414 -4359.104|-3007.414 -4359.092|-3043.869 -4359.115|-3043.869 -4361.250|-3007.414 -4361.227
4304 16 ST SW,-1986.154 -3565.327|-2004.365 -3565.327|-2018.555 -3565.327|-2023.043 -3569.820|-2023.134 -3601.888|-2020.093 -3601.888|-2004.455 -3601.888|-1986.231 -3601.888
