ADDRESS,POINTS
2103 20 ST NW,-2569.461 2794.155|-2669.970 2794.133|-2676.876 2793.933|-2683.755 2793.332|-2690.585 2792.343|-2697.352 2790.953|-2704.020 2789.185|-2710.584 2787.027|-2717.009 2784.503|-2723.279 2781.612|-2773.946 2756.482|-2655.360 2516.201|-2569.447 2516.301
2512 24 ST NW,-3230.089 2971.333|-3230.103 2978.950|-3237.701 2978.939|-3237.687 2971.322
3324 CROWCHILD TR NW,-3649.762 3799.202|-3664.799 3813.446|-3677.333 3801.870|-3670.859 3788.760
1711 20 ST NW,-2586.706 2157.353|-2569.461 2157.364|-2569.461 2193.925|-2586.706 2193.925
16 CRESTON CR NW,-3266.838 3218.019|-3266.446 3217.352|-3265.943 3216.763|-3265.349 3216.273|-3264.678 3215.873|-3263.951 3215.606|-3263.196 3215.462|-3262.420 3215.439|-3261.651 3215.550|-3260.917 3215.795|-3260.232 3216.151|-3259.617 3216.629|-3259.085 3217.196|-3258.659 3217.841|-3258.351 3218.553|-3258.170 3219.309|-3258.107 3220.076|-3258.184 3268.268|-3279.449 3268.212|-3281.350 3267.957|-3283.133 3267.245|-3284.670 3266.100|-3285.873 3264.610|-3286.670 3262.864|-3286.998 3260.974|-3286.844 3259.072|-3286.222 3257.260
3303 CAPITOL HILL CR NW,-3670.859 3788.760|-3642.107 3730.539|-3506.499 3730.839|-3505.066 3737.989|-3649.762 3799.202
2005 17 AV NW,-2473.419 2157.542|-2465.820 2157.553|-2458.221 2157.564|-2448.372 2157.586|-2448.414 2194.136|-2458.263 2194.125|-2465.855 2194.114|-2473.454 2194.092
2545 COCHRANE RD NW,-2551.712 3176.888|-2556.514 3180.624|-2573.292 3158.941|-2576.982 3154.182|-2572.215 3150.390|-2568.489 3155.216
1917 19 AV NW,-2396.258 2392.819|-2396.153 2356.258|-2388.554 2356.269|-2380.956 2356.281|-2373.357 2356.292|-2365.758 2356.303|-2358.160 2356.303|-2350.561 2356.314|-2342.962 2356.325|-2335.364 2356.336|-2327.765 2356.347|-2327.870 2392.897|-2335.468 2392.886|-2343.067 2392.875|-2350.666 2392.864|-2358.264 2392.864|-2365.863 2392.853|-2373.462 2392.841|-2381.060 2392.830|-2388.659 2392.819
2603 19 ST NW,-2477.927 3073.321|-2461.388 3060.478|-2460.521 3059.900|-2459.591 3059.444|-2458.599 3059.133|-2457.578 3058.955|-2456.537 3058.921|-2455.502 3059.032|-2454.495 3059.288|-2453.531 3059.677|-2452.636 3060.200|-2451.818 3060.834|-2451.098 3061.590|-2450.490 3062.435|-2450.000 3063.347|-2449.651 3064.325|-2449.441 3065.337|-2449.371 3066.382|-2449.357 3092.902|-2452.909 3100.152|-2455.551 3102.209
2435 27 AV NW,-3207.670 3206.577|-3215.269 3206.566|-3222.868 3206.555|-3230.466 3206.544|-3238.065 3206.533|-3238.002 3169.972|-3230.403 3169.983|-3222.812 3169.994|-3215.213 3170.005|-3207.614 3170.016
2440 24 AV NW,-3222.483 2965.251|-3230.075 2965.240|-3237.673 2965.228|-3237.631 2936.662|-3230.033 2935.817|-3222.434 2934.972
2428 24 AV NW,-3176.891 2965.317|-3184.490 2965.306|-3192.089 2965.295|-3192.033 2931.592|-3184.434 2930.747|-3181.540 2930.436|-3176.835 2930.436
2432 24 AV NW,-3192.089 2965.295|-3199.687 2965.284|-3207.286 2965.273|-3207.237 2933.282|-3199.631 2932.437|-3192.033 2931.592
2436 24 AV NW,-3207.286 2965.273|-3214.884 2965.262|-3222.483 2965.251|-3222.434 2934.972|-3214.836 2934.127|-3207.237 2933.282
