ADDRESS,POINTS
37 LAKE WASA GR SE,519.687 -11350.707|527.209 -11349.751|531.144 -11344.636|526.356 -11306.629|525.992 -11305.028|525.328 -11303.538|524.385 -11302.193|523.196 -11301.070|521.805 -11300.191|520.281 -11299.602|518.666 -11299.335|517.031 -11299.379|515.437 -11299.746|513.941 -11300.413|512.606 -11301.359|511.480 -11302.560|510.613 -11303.949|510.033 -11305.484|509.761 -11307.096|509.816 -11308.742|514.605 -11346.748
1070 LAKE PLACID DR SE,878.138 -13024.991|877.089 -13029.917|876.299 -13034.899|875.761 -13039.914|875.481 -13044.951|890.965 -13055.681|976.738 -13047.586|971.768 -13047.986|966.791 -13048.231|961.807 -13048.331|956.816 -13048.287|951.873 -13048.064|946.945 -13047.664|942.031 -13047.086|937.144 -13046.307|932.293 -13045.362|927.476 -13044.217|922.702 -13042.905|917.990 -13041.404|913.328 -13039.736|908.742 -13037.890|904.219 -13035.866|899.780 -13033.676|895.425 -13031.329|891.161 -13028.816|886.995 -13026.136|882.933 -13023.301
12707 BONAVENTURE DR SE,438.416 -12147.018|483.784 -12164.376|489.649 -12161.729|513.389 -12099.127|510.760 -12093.233|465.392 -12075.887|450.300 -12115.739
128 LAKE WAPTA RI SE,2433.889 -11136.812|2398.315 -11136.790|2401.705 -11145.930|2437.280 -11145.964
516R LAKE MORAINE GR SE,1158.561 -11903.357|1150.997 -11889.635|1144.622 -11900.699|1115.094 -11917.823|1097.890 -11927.797|1088.943 -11928.743|1063.826 -11931.378|1057.066 -11932.090|1057.381 -11935.114|1077.569 -11932.990|1098.848 -11930.755|1112.934 -11922.594|1146.139 -11903.346
12248R LAKE ERIE WY SE,1128.879 -11786.736|1130.445 -11767.977|1121.120 -11774.782|1116.387 -11778.240|1090.760 -11780.931|1060.610 -11784.089|1060.925 -11787.125|1063.945 -11786.802|1084.168 -11784.678|1116.702 -11781.265|1122.238 -11783.756
12000 LAKE ERIE WY SE,1192.213 -11535.557|1188.494 -11499.786|1184.041 -11498.463|1162.937 -11524.616|1164.349 -11529.720|1188.417 -11538.537
12100 LAKE ERIE WY SE,1152.884 -11584.205|1146.831 -11581.981|1145.789 -11584.850|1171.864 -11594.413|1214.575 -11610.069|1236.917 -11618.253|1245.676 -11628.761|1255.267 -11612.326|1243.921 -11614.339|1237.952 -11615.384|1231.611 -11613.060|1209.927 -11605.110|1172.905 -11591.544
1507 ACADIA DR SE,1602.603 -12993.712|1557.836 -12991.221|1557.815 -13029.917|1533.334 -13110.211|1576.794 -13123.610|1583.498 -13101.582|1587.301 -13088.395|1590.705 -13075.096|1593.711 -13061.708|1596.304 -13048.231|1598.492 -13034.676|1600.275 -13021.066|1601.645 -13007.400
124 LAKE PLACID CL SE,1479.703 -13072.961|1490.441 -13037.790|1492.384 -13030.618|1493.894 -13023.334|1494.949 -13015.984|1495.551 -13008.579|1493.055 -13007.967|1463.912 -13068.146|1466.268 -13073.594|1474.027 -13075.985
814 LAKE PLACID DR SE,1235.554 -12527.716|1235.589 -12521.256|1228.102 -12513.650|1222.747 -12508.469|1217.169 -12503.531|1211.367 -12498.850|1205.362 -12494.436|1202.664 -12497.149|1205.404 -12501.919|1207.990 -12506.789|1210.423 -12511.727|1212.688 -12516.753|1214.792 -12521.845|1216.728 -12527.005|1218.504 -12532.220|1220.098 -12537.490|1224.530 -12538.680
544 LAKE MORAINE GR SE,1236.176 -11991.012|1221.181 -11978.758|1220.461 -11996.305|1217.092 -12001.642|1200.860 -12027.373|1189.633 -12045.175|1192.192 -12046.809|1193.003 -12045.531|1205.173 -12026.238|1223.020 -11997.928|1226.508 -11996.093
410 LAKE SIMCOE CR SE,632.618 -12783.064|630.325 -12758.457|625.369 -12753.531|613.373 -12752.564|610.955 -12756.244|625.984 -12784.988
463 LAKE NEWELL CR SE,400.807 -10945.157|400.870 -10928.400|364.491 -10928.255|364.429 -10945.012
547 LAKE BONAVISTA DR SE,1322.949 -11383.976|1329.086 -11355.644|1299.223 -11376.526|1294.197 -11379.884|1289.031 -11383.031|1283.732 -11385.956|1278.322 -11388.647|1272.799 -11391.115|1267.172 -11393.339|1261.461 -11395.329|1255.672 -11397.075|1275.980 -11412.898
913 LAKE PLACID DR SE,1337.964 -12625.212|1321.292 -12608.277|1314.861 -12608.244|1304.711 -12618.340|1305.997 -12622.110|1313.533 -12623.300|1321.019 -12624.801|1328.429 -12626.624|1335.755 -12628.759
12100 LAKE LOUISE WY SE,1474.691 -11442.009|1475.921 -11437.406|1473.796 -11435.360|1471.601 -11433.391|1469.329 -11431.512|1466.995 -11429.722|1462.807 -11433.191|1464.024 -11436.627|1465.149 -11440.085|1470.811 -11443.166
1947 LAKE BONAVISTA DR SE,1370.715 -12291.950|1366.856 -12289.548|1363.130 -12286.924|1376.929 -12274.570|1367.080 -12267.754|1332.903 -12299.756|1361.774 -12302.791
1943 LAKE BONAVISTA DR SE,1366.297 -12303.269|1373.147 -12303.903|1380.005 -12304.359|1386.877 -12304.637|1393.755 -12304.726|1400.627 -12304.637|1407.499 -12304.359|1414.363 -12303.914|1421.207 -12303.281|1417.928 -12303.514|1414.643 -12303.614|1411.357 -12303.592|1408.079 -12303.447|1404.800 -12303.169|1401.536 -12302.769|1398.292 -12302.235|1395.077 -12301.579|1391.882 -12300.801|1388.722 -12299.889|1385.597 -12298.866|1382.522 -12297.721|1379.488 -12296.453|1376.503 -12295.063|1373.581 -12293.562|1370.715 -12291.950|1361.774 -12302.791
12200 LAKE ERIE WY SE,1138.142 -11645.018|1137.247 -11640.403|1115.024 -11632.264|1110.354 -11635.244|1107.572 -11667.045|1111.550 -11669.047
907 LAKE BONAVISTA DR SE,1865.501 -11884.365|1890.107 -11902.145|1923.864 -11854.987|1921.648 -11848.460|1920.593 -11845.213|1919.411 -11841.999|1918.111 -11838.830|1916.699 -11835.717|1915.168 -11832.659|1913.518 -11829.657|1911.764 -11826.721|1909.904 -11823.852|1907.933 -11821.061|1905.864 -11818.337|1903.690 -11815.702|1901.418 -11813.144|1899.055 -11810.676|1896.601 -11808.296|1894.057 -11806.006|1891.435 -11803.815|1885.158 -11804.771|1840.894 -11866.574
125 LAKE ADAMS GR SE,564.042 -11699.703|583.496 -11648.320|579.637 -11643.383|556.995 -11646.263|553.060 -11651.367|559.232 -11700.315
12008 LAKE EMERALD CR SE,1593.187 -11142.305|1775.736 -11142.439|1727.683 -11127.172|1593.194 -11127.083
