ADDRESS,POINTS
18 MELVILLE PL SW,-834.823 -5672.827|-838.961 -5672.827|-840.443 -5672.983|-841.869 -5673.416|-843.183 -5674.117|-844.330 -5675.073|-845.274 -5676.219|-845.973 -5677.542|-846.406 -5678.965|-846.546 -5680.455|-846.413 -5830.012|-835.955 -5830.012
160 MALIBOU RD SW,-1155.294 -5850.194|-1155.336 -5812.121|-1237.272 -5812.221|-1237.223 -5850.294
52R MASSEY PL SW,-1493.878 -5621.800|-1497.821 -5621.789|-1497.821 -5625.758|-1493.878 -5625.758
119R MASSEY PL SW,-1395.480 -5950.325|-1374.676 -5948.991|-1375.361 -5942.842|-1376.347 -5936.737|-1377.640 -5930.688|-1379.227 -5924.706|-1395.508 -5928.753
117R MASSEY PL SW,-1395.480 -5950.325|-1395.508 -5928.753|-1415.221 -5933.646|-1415.193 -5951.593
115R MASSEY PL SW,-1415.193 -5951.593|-1415.221 -5933.646|-1437.968 -5939.306|-1437.947 -5952.883|-1435.759 -5952.905
113R MASSEY PL SW,-1437.947 -5952.883|-1437.968 -5939.306|-1459.191 -5944.576|-1459.184 -5952.694
111R MASSEY PL SW,-1492.557 -5952.405|-1468.286 -5952.616|-1468.293 -5944.310|-1492.564 -5944.343
107R MASSEY PL SW,-1492.564 -5944.343|-1516.835 -5944.365|-1516.828 -5952.182|-1492.557 -5952.405
105R MASSEY PL SW,-1516.828 -5952.182|-1516.835 -5944.365|-1535.122 -5944.398|-1536.932 -5951.726|-1530.718 -5952.071
103R MASSEY PL SW,-1535.122 -5944.398|-1544.964 -5936.693|-1555.856 -5950.714|-1546.397 -5951.293|-1536.932 -5951.726
101R MASSEY PL SW,-1544.964 -5936.693|-1559.323 -5925.451|-1561.714 -5923.583|-1581.713 -5949.336|-1578.022 -5949.525|-1566.942 -5950.214|-1555.856 -5950.714
115R MALIBOU RD SW,-920.610 -5927.708|-894.871 -5926.263|-894.899 -5894.350
123R MALIBOU RD SW,-944.126 -5929.042|-936.003 -5894.383|-966.195 -5898.597|-966.153 -5930.277
127R MALIBOU RD SW,-966.153 -5930.277|-966.195 -5898.597|-988.942 -5901.789|-988.914 -5930.388|-982.867 -5930.755|-976.813 -5930.877
131R MALIBOU RD SW,-988.914 -5930.388|-988.942 -5901.789|-1011.696 -5904.969|-1011.668 -5929.398|-1006.656 -5929.654|-1002.231 -5930.032|-997.792 -5930.277|-993.353 -5930.399
135R MALIBOU RD SW,-1011.668 -5929.398|-1011.696 -5904.969|-1032.954 -5907.938|-1039.001 -5908.316|-1038.980 -5928.220|-1036.218 -5928.120|-1030.074 -5928.108|-1023.922 -5928.320|-1017.785 -5928.742
139R MALIBOU RD SW,-1038.980 -5928.220|-1039.001 -5908.316|-1066.305 -5910.028|-1066.291 -5924.205|-1054.408 -5925.540|-1054.296 -5928.742
143R MALIBOU RD SW,-1066.291 -5924.205|-1066.305 -5910.028|-1093.617 -5911.752|-1093.596 -5924.584|-1074.421 -5923.294
147R MALIBOU RD SW,-1093.596 -5924.584|-1093.617 -5911.752|-1121.006 -5913.464|-1120.992 -5926.418
151R MALIBOU RD SW,-1121.006 -5913.464|-1148.318 -5913.497|-1148.290 -5934.491|-1135.392 -5933.668|-1135.798 -5927.408|-1120.992 -5926.418
155R MALIBOU RD SW,-1148.318 -5913.497|-1174.469 -5913.531|-1174.441 -5936.170|-1148.290 -5934.491
159R MALIBOU RD SW,-1174.469 -5913.531|-1201.774 -5913.564|-1201.746 -5937.916|-1174.441 -5936.170
163R MALIBOU RD SW,-1201.774 -5913.564|-1229.086 -5913.597|-1229.051 -5939.662|-1201.746 -5937.916
171R MALIBOU RD SW,-1229.086 -5913.597|-1254.909 -5913.620|-1254.874 -5941.318|-1229.051 -5939.662
119R MALIBOU RD SW,-894.899 -5894.350|-936.003 -5894.383|-944.126 -5929.042|-920.610 -5927.708
175R MALIBOU RD SW,-1254.909 -5913.620|-1280.333 -5913.653|-1280.298 -5942.942|-1254.874 -5941.318
183R MALIBOU RD SW,-1280.333 -5913.653|-1307.645 -5913.686|-1307.603 -5944.699|-1280.298 -5942.942
187R MALIBOU RD SW,-1307.645 -5913.686|-1334.949 -5913.720|-1334.908 -5946.444|-1307.603 -5944.699
191R MALIBOU RD SW,-1334.908 -5946.444|-1334.949 -5913.720|-1362.723 -5920.603|-1361.010 -5927.163|-1359.612 -5933.802|-1358.535 -5940.496|-1357.773 -5947.234|-1347.057 -5947.212
