ADDRESS,POINTS
64 CASTLEFALL CR NE,7948.278 6122.475|7944.378 6122.642|7933.955 6122.631|7933.962 6093.231|7935.374 6093.520|7936.807 6093.675|7938.247 6093.687|7939.680 6093.564|7941.099 6093.309|7942.490 6092.919|7943.832 6092.397|7945.119 6091.752|7960.742 6119.695|7960.176 6119.895|7957.275 6120.829|7954.311 6121.574|7951.305 6122.130
47 CASTLEGLEN RD NE,8318.305 6378.312|8289.833 6410.014|8283.052 6403.909|8311.517 6372.197
156 CASTLEGLEN WY NE,8134.162 6498.959|8134.148 6514.804|8109.814 6514.793|8103.732 6508.688|8103.746 6498.948
59 CASTLERIDGE RD NE,8407.595 6827.784|8407.581 6839.971|8377.165 6839.949|8377.179 6827.762
91 CASTLERIDGE RD NE,8363.107 6899.038|8363.079 6929.494|8350.308 6929.483|8350.329 6899.027
16 CASTLEPARK WY NE,8327.665 6625.009|8319.696 6628.568|8305.806 6595.987|8308.658 6594.709|8311.462 6593.308
75 CASTLERIDGE WY NE,8579.847 6732.290|8579.826 6762.758|8565.230 6762.735|8565.251 6732.279
12 CASTLEFALL GV NE,7774.145 5841.752|7766.673 5843.153|7759.249 5844.810|7751.790 5813.720|7760.248 5811.830|7768.756 5810.228
3 CASTLEBURY WY NE,7371.368 6178.862|7371.375 6169.877|7373.766 6169.877|7404.832 6169.900|7404.825 6186.879|7379.344 6186.868|7378.114 6186.779|7376.912 6186.490|7375.765 6186.023|7374.710 6185.378|7373.759 6184.588|7372.927 6183.621|7372.256 6182.542|7371.767 6181.375|7371.466 6180.130
72 CASTLEBROOK RD NE,7426.873 6200.879|7429.990 6200.879|7431.556 6201.034|7433.052 6201.490|7434.436 6202.235|7435.646 6203.236|7436.638 6204.448|7437.372 6205.827|7437.820 6207.328|7437.973 6208.885|7437.966 6231.857|7426.859 6231.857
43 CASTLEGROVE RD NE,7737.040 6391.811|7737.033 6422.790|7728.519 6422.790|7728.533 6391.811
167 CASTLERIDGE DR NE,7873.201 6638.764|7864.106 6668.887|7859.206 6667.119|7854.431 6665.028|7853.355 6664.506|7865.224 6635.806|7869.167 6637.408
164 CASTLEDALE WY NE,7518.525 6833.900|7487.767 6837.258|7487.082 6831.554|7486.257 6825.872|7516.819 6821.068|7517.749 6827.473
