ADDRESS,POINTS
80 COUNTRY HILLS CL NW,-934.577 10329.680|-935.856 10329.902|-949.481 10300.635|-944.930 10298.701|-940.253 10297.077|-935.479 10295.787|-930.627 10294.820|-925.140 10328.023
80 COUNTRY HILLS DR NW,401.443 11355.586|396.927 11361.935|392.251 11368.151|387.665 11362.936|382.939 11357.832|378.081 11352.862|373.097 11348.014|372.216 11347.013|371.517 11345.868|371.042 11344.622|370.790 11343.310|370.776 11341.976|371.000 11340.653|371.454 11339.407|372.125 11338.251|373.509 11336.261
16 COUNTRY HILLS WY NW,305.016 11346.246|277.907 11366.706|272.406 11359.411|299.515 11338.940
1151 COUNTRY HILLS CI NW,322.779 10787.280|315.292 10793.563|293.797 10767.899|301.284 10761.627
139 COUNTRY HILLS DR NW,397.689 11202.337|397.528 11207.519|397.214 11212.690|363.352 11210.154|363.604 11205.962|363.736 11201.770
9 COUNTRY HILLS BA NW,-244.365 11016.631|-264.665 11044.585|-273.865 11040.704|-253.711 11012.961
432 COUNTRY HILLS DR NW,367.847 11019.344|346.645 11044.952|339.885 11039.604|359.920 11013.150|363.918 11016.197
90 COUNTRY HILLS CR NW,166.787 11124.290|143.404 11148.930|136.777 11142.637|160.160 11117.996
35 COUNTRY HILLS PA NW,-212.593 10736.075|-223.401 10738.054|-229.322 10705.607|-218.514 10703.639
31 COUNTRY HILLS MR NW,-248.273 10919.546|-260.310 10950.247|-270.517 10946.244|-258.472 10915.543
148 COUNTRY HILLS CL NW,-1100.880 10472.743|-1105.186 10485.008|-1136.769 10472.543|-1133.778 10465.348|-1130.506 10458.288
46 COUNTRY HILLS RI NW,418.220 11493.824|392.307 11513.394|387.197 11506.611|413.110 11487.052
36 COUNTRY HILLS DR NW,267.422 11475.421|260.131 11480.925|239.669 11453.805|246.968 11448.301
2003 COUNTRY HILLS CI NW,304.849 10876.314|283.716 10900.944|276.174 10896.596|297.460 10871.799
103 COUNTRY HILLS DR NW,376.145 11287.913|373.859 11292.439|371.468 11296.898|341.723 11280.485|345.666 11272.924
20 COUNTRY HILLS BA NW,-296.423 11047.721|-309.628 11081.124|-314.403 11079.278|-320.324 11076.987|-307.482 11043.418
