ADDRESS,POINTS
2711 41 ST SW,-5278.662 -1997.724|-5310.483 -1997.590|-5311.629 -2015.226|-5279.095 -2015.359
40 GLENFIELD RD SW,-5882.360 -1763.447|-5892.713 -1734.814|-5909.832 -1741.052|-5899.479 -1769.685
5215 GROVE HILL RD SW,-6229.395 -1333.056|-6234.463 -1332.311|-6239.545 -1331.688|-6244.641 -1331.188|-6249.744 -1330.832|-6249.737 -1360.988|-6234.456 -1365.180
1916 GEORGIA ST SW,-5740.243 -1217.702|-5770.617 -1217.669|-5770.631 -1235.949|-5740.257 -1235.983
2232 KELWOOD DR SW,-5133.735 -1590.683|-5137.238 -1587.136|-5164.438 -1594.420|-5160.076 -1610.843|-5159.523 -1612.422|-5158.754 -1613.901|-5157.769 -1615.258|-5156.594 -1616.458|-5155.266 -1617.470|-5153.798 -1618.271|-5152.225 -1618.849|-5150.590 -1619.194|-5137.657 -1620.895
4508 19 AV SW,-5551.612 -1344.731|-5573.443 -1338.416|-5585.299 -1371.285|-5581.175 -1373.375|-5577.162 -1375.677|-5573.276 -1378.179|-5569.515 -1380.870
2731 42 ST SW,-5376.955 -2076.994|-5411.929 -2076.828|-5414.263 -2093.240|-5378.689 -2093.418
2603 38 ST SW,-5000.972 -1867.058|-4982.762 -1867.136|-4982.755 -1836.091|-5000.965 -1836.091
2612 GLENMOUNT DR SW,-5314.327 -1837.203|-5344.680 -1837.069|-5344.680 -1852.292|-5314.327 -1852.414
10 GLENFIELD RD SW,-5770.799 -1783.140|-5770.806 -1798.362|-5740.453 -1798.373|-5740.439 -1777.046
5208 GROVE HILL RD SW,-6167.354 -1292.525|-6183.663 -1283.074|-6200.930 -1322.014|-6192.562 -1324.627|-6184.306 -1327.585
4707 17 AV SW,-5808.855 -1150.630|-5827.079 -1150.607|-5827.100 -1187.157|-5808.876 -1187.168
3939 19 AV SW,-5146.759 -1428.016|-5134.344 -1414.651|-5146.486 -1393.757|-5147.269 -1392.712|-5148.276 -1391.867|-5149.450 -1391.289|-5150.729 -1390.988|-5152.037 -1391.000|-5153.316 -1391.311|-5154.483 -1391.900|-5155.476 -1392.756|-5162.725 -1400.551
4507 GLENMERE RD SW,-5464.797 -1595.776|-5492.850 -1595.732|-5512.130 -1629.112|-5484.084 -1629.157
1924 GLENWOOD DR SW,-5126.605 -1245.746|-5128.248 -1220.149|-5157.951 -1227.943|-5156.727 -1247.647
2715 41 ST SW,-5279.095 -2015.359|-5311.629 -2015.226|-5312.783 -2032.861|-5279.536 -2033.006
44 GLENFIELD RD SW,-5899.479 -1769.685|-5909.832 -1741.052|-5926.945 -1747.290|-5916.606 -1775.934
58 GRANADA DR SW,-6381.620 -1399.284|-6410.854 -1369.973|-6410.854 -1403.465|-6385.555 -1407.523|-6385.115 -1405.244|-6384.290 -1403.064|-6383.115 -1401.063
1920 GEORGIA ST SW,-5740.257 -1235.983|-5770.631 -1235.949|-5770.638 -1254.230|-5740.264 -1254.252
2203 KELWOOD DR SW,-5242.004 -1487.317|-5213.350 -1487.350|-5222.221 -1453.836|-5241.955 -1453.814
4512 19 AV SW,-5573.443 -1338.416|-5595.331 -1332.089|-5605.788 -1364.380|-5600.525 -1365.647|-5595.338 -1367.215|-5590.256 -1369.105|-5585.299 -1371.285
1924 KELWOOD DR SW,-5243.220 -1255.831|-5242.116 -1274.067|-5214.937 -1272.544|-5211.980 -1269.263|-5212.917 -1254.052
4502 GROVE HILL RD SW,-5524.210 -1526.691|-5500.645 -1526.713|-5499.302 -1526.524|-5498.058 -1526.001|-5496.996 -1525.167|-5496.185 -1524.089|-5495.681 -1522.843|-5495.521 -1521.498|-5495.709 -1520.164|-5496.248 -1518.918|-5509.823 -1496.468|-5515.017 -1496.457|-5515.066 -1511.357
2719 41 ST SW,-5279.536 -2033.006|-5312.783 -2032.861|-5313.677 -2046.549|-5309.420 -2051.119|-5279.990 -2051.253
48 GLENFIELD RD SW,-5916.606 -1775.934|-5926.945 -1747.290|-5936.564 -1750.804|-5951.132 -1750.793|-5927.064 -1782.395|-5924.715 -1780.393|-5922.170 -1778.636|-5919.458 -1777.146
1924 GEORGIA ST SW,-5740.264 -1254.252|-5770.638 -1254.230|-5770.645 -1274.023|-5740.271 -1274.056
2207 KELWOOD DR SW,-5207.450 -1509.622|-5211.735 -1493.443|-5243.269 -1493.410|-5245.527 -1496.357|-5239.725 -1518.273
4516 19 AV SW,-5595.331 -1332.089|-5624.117 -1332.044|-5624.145 -1362.489|-5619.525 -1362.612|-5614.918 -1362.967|-5610.339 -1363.557|-5605.788 -1364.380
1928 KELWOOD DR SW,-5210.218 -1298.130|-5211.239 -1281.417|-5214.455 -1278.559|-5241.745 -1280.149|-5240.536 -1299.920
4504 GROVE HILL RD SW,-5515.017 -1496.457|-5524.685 -1496.423|-5542.280 -1526.680|-5524.210 -1526.691|-5515.066 -1511.357
21 GLENFIELD RD SW,-5807.541 -1798.362|-5787.813 -1798.362|-5787.806 -1783.128|-5787.876 -1781.638|-5788.093 -1780.160|-5788.457 -1778.714|-5788.953 -1777.313|-5789.589 -1775.956|-5790.351 -1774.678|-5791.239 -1773.477|-5792.238 -1772.365|-5793.343 -1771.364|-5794.545 -1770.475|-5795.818 -1769.707|-5797.167 -1769.062|-5798.572 -1768.562|-5800.019 -1768.195|-5801.494 -1767.973|-5802.983 -1767.895|-5807.541 -1767.895
1928 GEORGIA ST SW,-5740.271 -1274.056|-5770.645 -1274.023|-5770.659 -1293.815|-5740.285 -1293.849
2003 38 ST SW,-5005.320 -1354.494|-4988.494 -1351.136|-4993.318 -1321.047|-5011.199 -1324.616
2211 KELWOOD DR SW,-5202.773 -1527.280|-5207.450 -1509.622|-5239.725 -1518.273|-5235.041 -1535.942
4520 19 AV SW,-5624.117 -1332.044|-5639.301 -1332.022|-5642.342 -1335.057|-5642.370 -1362.478|-5624.145 -1362.489
1932 KELWOOD DR SW,-5209.016 -1317.878|-5210.218 -1298.130|-5240.536 -1299.920|-5239.334 -1319.679
2712 41 ST SW,-5226.814 -1996.434|-5258.578 -1996.300|-5258.984 -2012.724|-5226.555 -2012.868
2619 GRANVILLE ST SW,-5469.817 -1899.905|-5451.599 -1899.972|-5451.599 -1869.527|-5469.824 -1869.460
23 GLENFIELD RD SW,-5807.541 -1767.895|-5825.758 -1767.895|-5825.758 -1798.362|-5807.541 -1798.362
4923 GROVE HILL RD SW,-5999.730 -1472.038|-5990.635 -1456.249|-6016.933 -1441.004|-6026.028 -1456.794
1932 GEORGIA ST SW,-5740.285 -1293.849|-5770.659 -1293.815|-5770.666 -1313.619|-5740.292 -1313.641
2008 38 ST SW,-4932.333 -1372.052|-4932.333 -1358.653|-4935.367 -1355.606|-4967.530 -1355.617|-4964.860 -1372.063
2215 KELWOOD DR SW,-5198.097 -1544.938|-5202.773 -1527.280|-5235.041 -1535.942|-5230.365 -1553.611
