ADDRESS,POINTS
129 HENDON DR NW,-110.994 4480.571|-112.469 4480.371|-113.965 4480.304|-115.454 4480.393|-116.929 4480.615|-118.369 4480.993|-119.774 4481.505|-121.116 4482.150|-122.388 4482.928|-132.273 4459.321|-104.744 4447.757
262 HENDON DR NW,-67.052 5106.843|-97.460 5107.154|-97.656 5088.874|-67.240 5088.562
48 HUNTER ST NW,-691.930 4711.334|-716.152 4729.747|-727.183 4715.192|-702.954 4696.778
332 HENDON DR NW,-282.212 5291.782|-300.457 5291.793|-300.471 5261.326|-282.226 5261.315
12 HILTON AV NW,-726.505 5295.941|-743.527 5302.524|-754.467 5274.113|-737.445 5267.531
132 HOUNSLOW DR NW,-839.031 5100.694|-863.260 5119.119|-874.284 5104.563|-850.062 5086.138
92 HOLLY ST NW,-780.765 5033.476|-804.994 5051.879|-816.018 5037.324|-791.789 5018.910
95 HENDON DR NW,-256.501 4544.563|-273.320 4551.624|-285.085 4523.525|-268.259 4516.464
4631 4 ST NW,-24.473 5106.409|-60.970 5106.776|-61.159 5088.507|-24.668 5088.129
804 40 AV NW,-442.259 4535.746|-425.873 4532.388|-420.204 4535.879|-413.353 4560.909|-436.184 4565.579
12 HUNTER ST NW,-795.571 4574.464|-819.800 4592.878|-831.195 4577.833|-806.966 4559.419
126 HOLLY ST NW,-686.359 5158.104|-713.188 5173.082|-724.856 5157.670|-700.627 5139.267
39 HENDON PL NW,-143.709 4685.925|-130.742 4682.234|-121.871 4688.872|-121.675 4708.265|-124.555 4712.134|-135.384 4715.225
447 HENDON DR NW,-790.874 5359.978|-806.476 5366.005|-817.409 5337.606|-801.800 5331.568
130 HENDON DR NW,-73.693 4468.217|-101.270 4486.987|-102.165 4485.786|-103.178 4484.685|-104.290 4483.695|-105.492 4482.817|-106.779 4482.050|-108.135 4481.427|-109.540 4480.927|-110.994 4480.571|-104.744 4447.757|-88.429 4440.896|-84.444 4442.531
266 HENDON DR NW,-66.863 5125.112|-97.272 5125.423|-97.460 5107.154|-67.052 5106.843
81 HENDON DR NW,-312.145 4567.292|-329.376 4573.285|-336.758 4551.958|-339.345 4544.497|-322.106 4538.514
16 HILTON AV NW,-743.527 5302.524|-760.549 5309.106|-771.482 5280.685|-754.467 5274.113
96 HOLLY ST NW,-769.734 5048.032|-793.963 5066.435|-804.994 5051.879|-780.765 5033.476
132 HENDON DR NW,-73.378 4498.128|-98.914 4498.406|-98.705 4496.927|-98.642 4495.437|-98.726 4493.936|-98.956 4492.457|-99.327 4491.012|-99.844 4489.611|-100.494 4488.265|-101.270 4486.987|-73.693 4468.217
