ADDRESS,POINTS
72 MARBROOKE CI NE,7879.925 872.707|7881.715 874.475|7883.728 875.987|7885.930 877.199|7888.279 878.100|7880.359 907.500|7864.525 903.207|7873.235 870.894
84 MARWOOD CI NE,7216.676 774.121|7216.627 804.600|7200.220 804.566|7200.269 774.088
24 MARWOOD CI NE,6845.468 785.219|6817.345 813.351|6815.073 811.071|6815.129 784.907|6845.489 773.988
27 MARYVALE CR NE,7046.045 1116.813|7042.704 1144.378|7009.576 1144.289|7036.447 1112.599|7038.587 1114.167|7040.935 1115.412|7043.438 1116.301
4036 MARYVALE DR NE,6705.350 959.995|6696.235 961.129|6696.319 922.066|6705.441 922.077
4916 MARYVALE DR NE,7367.265 978.253|7367.279 1008.731|7351.998 1008.709|7352.060 978.220|7366.321 978.253
4927 MARLBOROUGH DR NE,7451.402 1223.794|7469.640 1223.827|7469.584 1249.713|7465.020 1254.261|7451.353 1254.228
5135 MARSHALL RD NE,7774.055 1159.467|7776.089 1191.558|7754.369 1185.665|7762.325 1156.298
1152 MARCOMBE CR NE,7687.652 1561.759|7674.517 1569.421|7659.236 1543.101|7672.364 1535.440
4633 MARCOMBE WY NE,7347.167 1419.363|7347.139 1449.820|7334.983 1449.808|7335.011 1419.352
1067 MARCOMBE CR NE,7440.099 1611.808|7425.048 1614.021|7420.679 1583.943|7435.709 1581.730
11 MARDALE CR NE,7214.006 1972.547|7213.992 1987.781|7183.604 1987.758|7183.611 1972.525
1460 MARDALE WY NE,7728.309 2020.717|7716.411 2031.780|7710.280 2032.047|7684.940 2000.779|7698.306 1988.337
5108 MARBANK DR NE,7715.090 1655.008|7704.576 1661.145|7687.764 1632.179|7698.271 1626.052
1419 43 ST NE,6957.602 1818.108|6957.595 1830.607|6927.207 1830.584|6927.214 1818.086
4108 13 AV NE,6770.432 1813.127|6770.411 1843.594|6758.261 1843.583|6758.282 1813.116
1307 MARLYN WY NE,6572.224 1748.578|6572.217 1731.143|6576.390 1728.396|6602.611 1739.827|6602.611 1748.578
23 MARBANK WY NE,6386.871 1768.927|6386.850 1800.929|6373.177 1800.917|6373.198 1768.927
56 MARANDA CL NE,6882.398 1551.229|6882.377 1583.209|6869.620 1583.198|6869.634 1551.229
231 MARGATE CL NE,6913.135 1465.954|6913.121 1496.410|6900.657 1496.399|6900.671 1465.943
916 38 ST NE,6478.006 1370.137|6447.493 1370.137|6447.486 1357.961|6478.013 1357.950
1031 MARCOMBE CR NE,7309.020 1591.126|7308.999 1621.571|7293.802 1621.560|7293.830 1591.115
159 MARBROOKE CI NE,7686.765 644.001|7686.702 677.482|7671.518 677.460|7671.581 643.968
55 MARBROOKE CI NE,7783.764 796.138|7775.054 828.462|7759.375 824.204|7768.078 791.890
66 MARWOOD CI NE,7074.336 807.680|7056.496 808.636|7055.028 781.260|7057.901 778.046|7072.700 777.257
4120 MARWOOD RD NE,6769.998 584.356|6770.033 569.122|6795.856 569.178|6800.400 573.748|6800.372 584.423
4404 MARYVALE RD NE,7075.056 1030.281|7061.396 1031.004|7059.789 1000.614|7076.475 999.714|7078.090 1030.114
27 MARYVALE PL NE,6729.859 1018.617|6701.310 1031.415|6696.095 1023.921|6696.144 1002.327|6728.727 1008.609|6728.433 1011.144|6728.531 1013.702|6729.006 1016.204
740 MARYVALE WY NE,7243.617 1150.739|7243.540 1184.497|7228.350 1184.453|7228.413 1154.008|7230.426 1154.019
5048 MARSHALL RD NE,7608.814 1184.542|7608.758 1214.998|7593.567 1214.965|7593.630 1184.520
5135 MARIAN WY NE,7766.910 1069.199|7758.976 1098.610|7743.136 1094.318|7751.070 1064.907
56 MARCOMBE PL NE,7810.622 1492.641|7810.643 1523.108|7795.445 1523.108|7795.431 1492.641
4972 MARCOMBE RD NE,7582.662 1424.245|7556.392 1439.567|7548.759 1426.402|7575.022 1411.090
1120 MARCOMBE CR NE,7585.214 1621.516|7573.393 1628.410|7558.112 1602.090|7569.933 1595.196
5015 MARBANK DR NE,7553.673 1650.493|7555.008 1649.715|7564.061 1644.433|7580.852 1673.355|7576.818 1675.456|7572.701 1677.391|7568.507 1679.159|7564.242 1680.760
1455 MARDALE WY NE,7675.328 1988.148|7671.805 1990.527|7668.142 1992.707|7664.367 1994.664|7660.473 1996.398|7657.230 1997.733|7645.681 1969.545|7656.076 1965.275
4876 MARDALE RD NE,7704.576 1661.145|7690.134 1669.574|7675.608 1644.555|7677.257 1638.306|7687.764 1632.179
1432 43 ST NE,7003.166 1855.614|7003.159 1868.101|6972.764 1868.079|6972.778 1855.592
1431 42 ST NE,6871.248 1905.474|6871.234 1917.961|6840.847 1917.939|6840.861 1905.452
191 MARLYN PL NE,6697.983 1979.697|6697.969 1992.495|6667.581 1992.473|6667.595 1979.674
48 MARBANK WY NE,6474.112 1816.207|6474.112 1847.920|6461.956 1847.908|6461.956 1816.196
163 MARANDA CL NE,6913.045 1639.585|6913.024 1670.041|6900.567 1670.030|6900.581 1639.574
185 MARGATE CL NE,6997.049 1383.714|6997.042 1396.502|6966.655 1396.435|6966.661 1389.407|6968.752 1383.636
7 MARPOLE PL NE,6540.019 1331.997|6539.942 1358.729|6537.425 1357.550|6536.251 1357.050|6535.041 1356.660|6533.804 1356.371|6532.553 1356.182|6531.281 1356.104|6530.008 1356.138|6528.750 1356.271|6527.499 1356.505|6521.788 1331.953
982 MARCOMBE DR NE,7384.580 1532.626|7367.593 1535.128|7365.384 1504.672|7380.155 1502.493
132 MARBROOKE CI NE,7861.170 595.665|7861.128 629.123|7844.728 629.090|7844.770 595.631
65 MARBROOKE CI NE,7849.573 813.985|7840.849 846.309|7824.729 841.939|7821.520 836.335|7829.049 808.414
86 MARWOOD CI NE,7233.083 774.155|7233.027 804.633|7216.627 804.600|7216.676 774.121
38 MARWOOD CI NE,6857.519 785.252|6846.845 815.697|6819.617 815.641|6817.345 813.351|6845.468 785.219
31 MARYVALE CR NE,7063.438 1113.955|7063.368 1144.434|7042.704 1144.378|7046.045 1116.813|7047.646 1116.935|7049.247 1116.924|7050.841 1116.768|7052.421 1116.468|7053.959 1116.035|7055.462 1115.456|7056.902 1114.767|7058.279 1113.944
4038 MARYVALE DR NE,6714.466 958.872|6705.350 959.995|6705.441 922.077|6714.550 922.100
4920 MARYVALE DR NE,7382.483 977.953|7383.678 1008.765|7367.279 1008.731|7367.265 978.253|7374.877 978.175
4636 MARLBOROUGH DR NE,7354.850 1324.469|7352.298 1324.848|7335.046 1324.848|7335.060 1294.358|7337.353 1294.358|7350.138 1292.479
5139 MARSHALL RD NE,7784.023 1162.169|7803.813 1196.707|7801.017 1198.308|7776.089 1191.558|7774.055 1159.467
1156 MARCOMBE CR NE,7700.780 1554.098|7687.652 1561.759|7672.364 1535.440|7685.499 1527.778
4901 MARCOMBE WY NE,7359.184 1419.374|7361.393 1449.842|7347.139 1449.820|7347.167 1419.363
1071 MARCOMBE CR NE,7455.142 1609.607|7440.099 1611.808|7435.709 1581.730|7450.745 1579.506
15 MARDALE CR NE,7214.013 1957.313|7214.006 1972.547|7183.611 1972.525|7183.618 1957.291
