ADDRESS,POINTS
23 MARTINVIEW RD NE,7769.902 7159.523|7766.414 7160.891|7762.968 7162.348|7748.742 7129.512|7759.116 7128.022
16 MARTINVIEW RD NE,7768.490 7214.921|7762.982 7217.511|7742.465 7192.693|7747.141 7188.946|7752.014 7185.465
9 MARTINVIEW CR NE,7704.080 7169.086|7683.025 7194.439|7676.503 7189.012|7697.558 7163.649
36 MARTINGLEN PL NE,7260.597 7127.277|7255.200 7130.401|7249.923 7133.737|7238.710 7100.390|7240.003 7099.322|7241.157 7098.099|7242.813 7096.353|7244.687 7094.841|7246.749 7093.607|7248.951 7092.651
209 MARTINGLEN WY NE,7177.403 7086.991|7177.389 7094.485|7144.457 7094.441|7144.464 7086.946
9 MARTINGROVE WY NE,8403.973 7138.563|8401.569 7148.048|8372.062 7140.587|8374.460 7131.091
60 MARTINDALE DR NE,8242.738 7160.335|8228.296 7187.166|8220.739 7183.086|8235.188 7156.254
95 MARTINDALE CR NE,8025.698 7082.143|8025.698 7090.738|7995.261 7090.738|7995.261 7082.143
134 MARTINBROOK RD NE,8099.273 7452.022|8095.001 7452.667|8090.716 7453.122|8090.758 7423.222|8099.322 7421.476
303 MARTINBROOK PL NE,8201.886 7457.092|8168.940 7463.775|8168.940 7453.222|8197.489 7447.429|8201.886 7451.032
34 MARTINDALE BV NE,8572.968 7364.444|8572.926 7393.733|8564.999 7393.611|8565.048 7364.155
18 MARTINWOOD CO NE,8469.831 7447.073|8469.775 7477.052|8461.205 7477.040|8461.260 7447.062
212 MARTINWOOD WY NE,8669.730 7746.911|8669.353 7748.045|8669.066 7749.201|8668.892 7750.380|8668.822 7751.570|8668.857 7752.759|8668.989 7753.949|8669.234 7755.117|8669.577 7756.262|8644.040 7756.206|8640.993 7751.948|8642.719 7746.877
306 MARTINDALE BV NE,7471.430 7181.562|7471.430 7214.509|7463.503 7214.509|7463.503 7181.551
71 MARTINRIDGE GV NE,7398.156 7223.472|7398.142 7256.452|7388.404 7256.441|7388.411 7223.472
149 MARTINRIDGE CR NE,7628.010 7403.307|7590.415 7414.816|7589.394 7412.214|7587.982 7409.812|7614.015 7391.665
92 MARTINPARK WY NE,7131.770 7447.240|7122.920 7451.410|7108.701 7421.109|7117.551 7416.940
46 MARTINGLEN CL NE,7037.804 7249.613|7029.939 7253.327|7016.357 7224.372|7024.228 7220.669
27 MARTIN CROSSING RI NE,7672.707 7658.889|7664.724 7658.922|7664.626 7625.841|7672.609 7625.819
72 MARTINBROOK LI NE,7673.021 7617.824|7665.038 7617.847|7664.940 7584.766|7672.923 7584.744
5239 MARTIN CROSSING DR NE,7758.375 7747.789|7749.784 7747.811|7749.693 7714.731|7758.270 7714.697
171 MARTIN CROSSING CL NE,7890.285 7891.720|7856.787 7891.809|7856.759 7882.624|7890.285 7882.524
97 MARTIN CROSSING CR NE,8059.532 7552.130|8059.532 7585.111|8052.940 7585.111|8052.380 7585.089|8050.353 7584.988|8050.346 7552.119
197 MARTIN CROSSING CR NE,8157.790 7728.875|8157.762 7742.908|8124.844 7736.236|8124.851 7728.819
49 MARTIN CROSSING WY NE,7932.648 7889.007|7898.275 7889.107|7898.275 7880.511|7932.620 7880.411
20 MARTHA'S HAVEN GD NE,7257.885 7902.050|7241.877 7932.039|7218.647 7932.017|7250.433 7900.326|7252.188 7901.160|7254.033 7901.727|7255.948 7902.027
328 MARTIN CROSSING WY NE,8021.888 7809.836|7987.572 7809.936|7987.551 7800.740|8021.860 7800.640
66 MARTIN CROSSING GV NE,8246.758 7650.171|8246.737 7658.766|8213.798 7658.711|8213.798 7650.138
60 MARTIN CROSSING BA NE,8096.476 8100.588|8083.894 8128.876|8068.039 8118.969|8091.590 8097.097|8092.674 8098.153|8093.855 8099.087|8095.127 8099.910
13 MARTHA'S MEADOW PL NE,7380.071 8486.891|7347.132 8486.902|7347.125 8476.516|7380.071 8476.494
215 MARTINDALE BV NE,7845.302 7328.662|7845.302 7359.585|7838.374 7358.106|7831.516 7356.294|7838.772 7324.992
5 MARTINBROOK LI NE,7834.676 7422.210|7830.321 7455.369|7825.414 7454.446|7820.527 7453.434|7827.867 7420.576
257 MARTINDALE BV NE,7718.124 7235.347|7697.061 7260.700|7694.035 7258.175|7693.175 7257.308|7692.497 7256.285|7692.042 7255.151|7691.812 7253.950|7691.819 7252.727|7692.063 7251.526|7692.539 7250.403|7693.224 7249.380|7710.287 7228.820
