ADDRESS,POINTS
17 MALIBOU RD SW,-651.812 -5322.630|-667.590 -5313.490|-682.766 -5339.865|-666.995 -5349.005
13 MAYFAIR RD SW,-624.773 -5438.862|-640.543 -5429.722|-655.755 -5456.097|-639.984 -5465.237
59 MALIBOU RD SW,-460.245 -5647.308|-451.849 -5632.663|-450.654 -5630.217|-449.787 -5627.637|-479.427 -5619.698|-480.210 -5621.066|-486.550 -5632.119
5908 ELBOW DR SW,-719.046 -5205.908|-725.541 -5208.788|-731.734 -5212.280|-737.550 -5216.361|-718.907 -5246.339|-707.386 -5238.967
49 MEADOWVIEW RD SW,-362.239 -5508.336|-392.570 -5508.147|-392.577 -5526.417|-362.246 -5526.617
73 MALIBOU RD SW,-544.327 -5783.388|-540.852 -5779.774|-537.504 -5776.049|-534.274 -5772.224|-531.170 -5768.288|-554.610 -5750.786|-562.879 -5765.208
19 MALIBOU RD SW,-636.042 -5331.770|-651.812 -5322.630|-666.995 -5349.005|-651.225 -5358.145
15 MAYFAIR RD SW,-609.002 -5448.002|-624.773 -5438.862|-639.984 -5465.237|-624.221 -5474.378
61 MALIBOU RD SW,-460.245 -5647.308|-486.550 -5632.119|-496.386 -5649.276|-470.081 -5664.454
21 MALIBOU RD SW,-620.271 -5340.910|-636.042 -5331.770|-651.225 -5358.145|-635.447 -5367.286
17 MAYFAIR RD SW,-624.221 -5474.378|-607.143 -5484.285|-591.925 -5457.910|-609.002 -5448.002
63 MALIBOU RD SW,-470.081 -5664.454|-496.386 -5649.276|-506.221 -5666.433|-479.916 -5681.612
23 MALIBOU RD SW,-604.501 -5350.050|-620.271 -5340.910|-635.447 -5367.286|-619.677 -5376.426
4 MEADOWLARK CR SW,-673.259 -5452.984|-689.022 -5443.843|-704.199 -5470.219|-688.435 -5479.359
62 MALIBOU RD SW,-398.694 -5602.819|-429.040 -5602.608|-429.047 -5622.278|-398.701 -5622.289
25 MALIBOU RD SW,-588.730 -5359.191|-604.501 -5350.050|-619.677 -5376.426|-603.906 -5385.566
6 MEADOWLARK CR SW,-657.495 -5462.113|-673.259 -5452.984|-688.435 -5479.359|-672.672 -5488.488
64 MALIBOU RD SW,-407.362 -5654.802|-398.701 -5622.289|-429.047 -5622.278|-429.305 -5626.848|-430.067 -5631.363|-431.332 -5635.755|-433.073 -5639.991
5904 ELBOW DR SW,-695.873 -5231.606|-698.327 -5201.227|-705.373 -5202.106|-712.301 -5203.673|-719.046 -5205.908|-707.386 -5238.967|-697.313 -5232.529
47 MEADOWVIEW RD SW,-362.232 -5490.056|-392.556 -5489.867|-392.570 -5508.147|-362.239 -5508.336
67 MALIBOU RD SW,-489.752 -5698.769|-516.057 -5683.580|-525.893 -5700.737|-499.587 -5715.926
27 MALIBOU RD SW,-572.960 -5368.331|-588.730 -5359.191|-603.906 -5385.566|-588.129 -5394.706
8 MEADOWLARK CR SW,-641.760 -5471.242|-657.495 -5462.113|-672.672 -5488.488|-656.908 -5497.628
68 MALIBOU RD SW,-416.576 -5672.494|-442.881 -5657.327|-452.716 -5674.484|-426.411 -5689.651
8 MAYFAIR RD SW,-670.029 -5354.276|-685.800 -5345.136|-700.955 -5371.467|-685.185 -5380.607
10 MEADOWLARK CR SW,-625.982 -5480.393|-641.760 -5471.242|-656.908 -5497.628|-641.145 -5506.769
70 MALIBOU RD SW,-426.411 -5689.651|-452.716 -5674.484|-462.559 -5691.641|-436.247 -5706.819
10 MAYFAIR RD SW,-654.252 -5363.416|-670.029 -5354.276|-685.185 -5380.607|-669.414 -5389.758
12 MEADOWLARK CR SW,-641.145 -5506.769|-625.374 -5515.898|-610.212 -5489.533|-625.982 -5480.393
72 MALIBOU RD SW,-436.247 -5706.819|-462.559 -5691.641|-472.394 -5708.799|-446.089 -5723.977
12 MAYFAIR RD SW,-638.481 -5372.556|-654.252 -5363.416|-669.414 -5389.758|-653.644 -5398.898
4 MACKAY DR SW,-687.848 -5402.301|-707.848 -5390.703|-708.680 -5390.314|-709.567 -5390.081|-710.483 -5390.003|-711.399 -5390.081|-712.287 -5390.325|-713.119 -5390.714|-713.874 -5391.237|-714.524 -5391.882|-715.062 -5392.638|-715.453 -5393.461|-715.705 -5394.351|-715.796 -5395.273|-715.978 -5421.171|-703.052 -5428.665
74 MALIBOU RD SW,-446.089 -5723.977|-472.394 -5708.799|-482.230 -5725.945|-455.925 -5741.134
14 MAYFAIR RD SW,-622.711 -5381.697|-638.481 -5372.556|-653.644 -5398.898|-637.873 -5408.050
