ADDRESS,POINTS
111 MILLSIDE DR SW,-417.358 -14459.028|-415.506 -14451.667|-413.996 -14444.228|-447.404 -14438.179|-450.486 -14449.765
216 MILLRISE DR SW,-891.998 -14464.865|-896.080 -14464.854|-896.108 -14498.435|-881.701 -14498.446|-881.673 -14464.865
55 MILLBANK RD SW,-235.592 -14782.749|-245.330 -14782.738|-245.379 -14816.319|-235.641 -14816.330
11 MILLCREST CO SW,-1109.444 -14678.315|-1107.458 -14678.248|-1110.660 -14639.731|-1129.996 -14630.702|-1131.666 -14634.315|-1113.659 -14679.082|-1111.583 -14678.538
231 MILLRISE DR SW,-934.870 -14520.396|-948.949 -14520.385|-948.977 -14553.966|-934.891 -14553.977
1221 MILLCREST RI SW,-1326.414 -14588.570|-1319.563 -14586.368|-1336.942 -14554.711|-1342.660 -14558.236|-1348.022 -14562.294
36 MILLCREST GR SW,-1164.088 -14769.595|-1139.398 -14742.530|-1158.629 -14732.067|-1169.597 -14766.382|-1167.611 -14767.182|-1165.766 -14768.261
64 MILLCREST RD SW,-1216.692 -14744.843|-1212.364 -14741.485|-1230.225 -14716.021|-1233.937 -14718.523|-1237.754 -14720.858|-1222.298 -14747.723
64 MILLBANK CR SW,-818.248 -14862.765|-851.146 -14862.732|-851.153 -14873.996|-818.255 -14874.029
386 MILLRISE DR SW,-1471.788 -14546.371|-1505.461 -14532.138|-1512.920 -14545.170|-1476.164 -14557.891|-1474.067 -14552.098
111 MILLVIEW PL SW,-1291.154 -14162.760|-1322.919 -14162.738|-1323.856 -14164.517|-1325.023 -14166.162|-1325.946 -14167.397|-1326.764 -14168.709|-1327.463 -14170.088|-1328.043 -14171.511|-1328.497 -14172.990|-1328.826 -14174.502|-1329.029 -14176.037|-1329.091 -14177.571|-1329.091 -14178.727|-1291.168 -14178.750|-1291.161 -14166.752
78 MILLBANK HL SW,-299.925 -14825.248|-310.208 -14825.237|-310.243 -14856.338|-299.967 -14856.349
1249 MILLVIEW DR SW,-1511.732 -14243.209|-1529.858 -14243.209|-1529.872 -14276.790|-1511.746 -14276.790
94 MILLRISE BV SW,-171.979 -14546.705|-173.999 -14537.131|-204.638 -14543.647|-202.618 -14553.232
124 MILLVIEW SQ SW,-1816.565 -14587.714|-1816.551 -14578.584|-1849.833 -14578.640|-1849.854 -14590.215|-1816.572 -14590.149
456 MILLVIEW BA SW,-1702.418 -14151.863|-1704.005 -14140.932|-1742.424 -14150.273|-1742.320 -14151.674|-1742.340 -14153.075|-1742.501 -14154.476|-1742.781 -14155.844|-1743.389 -14158.846|-1743.690 -14161.881
67 MILLSIDE WY SW,-473.849 -14509.833|-485.907 -14502.850|-502.572 -14531.949|-490.514 -14538.932
28 MILLSIDE CR SW,-446.467 -14158.479|-479.364 -14158.468|-479.371 -14168.053|-446.467 -14168.075
19 MILLBANK RD SW,-323.260 -14782.649|-333.004 -14782.638|-333.039 -14816.219|-323.302 -14816.230
35 MILLCREST RD SW,-1203.885 -14655.153|-1231.546 -14642.221|-1235.734 -14651.284|-1208.072 -14664.216
19 MILLPARK RD SW,-762.765 -14202.479|-796.165 -14202.468|-796.165 -14207.483|-796.172 -14218.457|-762.772 -14218.469
1226 MILLCREST RI SW,-1367.476 -14560.460|-1392.397 -14538.465|-1400.905 -14547.005|-1372.817 -14567.220|-1370.230 -14563.773
312 MILLCREST WY SW,-1404.078 -14640.031|-1413.019 -14640.020|-1413.054 -14673.601|-1404.106 -14673.612
40 MILLCREST RD SW,-1165.752 -14686.710|-1195.587 -14672.778|-1197.195 -14676.258|-1199.607 -14681.117|-1170.394 -14696.740
64 MILLRISE CR SW,-907.845 -14815.407|-940.742 -14815.374|-940.749 -14825.526|-907.852 -14825.560
153 MILLRISE CL SW,-858.870 -14654.130|-868.622 -14654.119|-868.664 -14687.700|-858.898 -14687.711
352 MILLRISE DR SW,-1357.801 -14441.737|-1367.910 -14409.724|-1371.503 -14410.914|-1374.844 -14412.070|-1383.373 -14415.317|-1370.894 -14446.463|-1364.393 -14443.972
127 MILLVIEW PL SW,-1336.515 -14103.671|-1371.307 -14103.660|-1344.750 -14144.124|-1342.856 -14143.056|-1340.821 -14142.278|-1338.703 -14141.811|-1336.529 -14141.644
221 MILLBANK RD SW,-461.468 -14847.432|-461.224 -14845.386|-460.546 -14837.624|-460.224 -14829.841|-489.934 -14837.591|-493.506 -14838.525|-494.470 -14846.709
1238 MILLVIEW DR SW,-1472.711 -14194.662|-1480.428 -14194.662|-1480.442 -14228.231|-1465.007 -14228.243|-1464.993 -14194.662
14997 5 ST SW,-64.745 -14426.392|-66.639 -14417.396|-97.265 -14423.912|-95.370 -14432.908
41 MILLVIEW PA SW,-1806.877 -14375.554|-1838.970 -14364.023|-1841.444 -14371.539|-1841.738 -14372.507|-1842.808 -14376.199|-1810.281 -14385.417|-1807.548 -14377.511
420 MILLVIEW BA SW,-1752.484 -14188.746|-1756.168 -14178.049|-1756.280 -14177.738|-1794.951 -14195.574|-1789.177 -14205.670
115 MILLSIDE DR SW,-422.070 -14473.427|-419.546 -14466.278|-417.358 -14459.028|-450.486 -14449.765|-453.569 -14461.341
220 MILLRISE DR SW,-906.412 -14464.854|-909.998 -14464.854|-910.026 -14498.424|-896.108 -14498.435|-896.080 -14464.854
59 MILLBANK RD SW,-225.847 -14782.761|-235.592 -14782.749|-235.641 -14816.330|-225.903 -14816.341
15 MILLCREST CO SW,-1113.659 -14679.082|-1131.666 -14634.315|-1142.159 -14657.010|-1119.035 -14682.263|-1117.399 -14680.951|-1115.595 -14679.883
