ADDRESS,POINTS
67 RANCH GLEN DR NW,-8124.765 7509.854|-8158.242 7509.821|-8158.242 7497.645|-8124.758 7497.667
1174 RANCHLANDS BV NW,-8405.006 7873.673|-8410.515 7881.256|-8437.575 7861.519|-8434.114 7856.771|-8430.927 7852.635
260 RANCHERO PL NW,-8192.265 8498.066|-8218.745 8512.632|-8220.241 8509.041|-8221.541 8505.371|-8222.646 8501.646|-8223.540 8497.865|-8224.211 8494.207|-8224.687 8490.527|-8224.973 8486.813|-8225.064 8483.099|-8225.064 8482.042|-8188.469 8482.054|-8191.531 8490.460|-8192.076 8492.306|-8192.384 8494.218|-8192.447 8496.142
13 RANCHERO BA NW,-8423.300 8020.517|-8440.651 8048.327|-8451.479 8042.789|-8435.436 8017.070|-8434.317 8017.681|-8433.157 8018.204|-8431.954 8018.615|-8430.724 8018.938
503 RANCHRIDGE CO NW,-7853.059 8202.876|-7866.830 8205.389|-7873.835 8167.038|-7864.551 8165.348|-7859.239 8169.018
203 RANCH ESTATES RD NW,-7070.161 8198.062|-7105.882 8217.521|-7112.921 8199.819|-7110.524 8193.536|-7104.882 8190.367|-7099.486 8186.809|-7094.341 8182.895|-7089.475 8178.636
287 RANCH ESTATES DR NW,-7256.834 8063.838|-7288.599 8074.391|-7296.666 8050.061|-7260.749 8052.029
7 RANCH ESTATES DR NW,-7254.723 7553.754|-7285.929 7565.841|-7290.871 7553.064|-7259.665 7540.966
811 RANCHVIEW CI NW,-7716.409 7539.054|-7718.702 7557.156|-7723.721 7561.471|-7737.122 7546.493|-7760.771 7526.166|-7758.681 7525.132|-7756.744 7523.842|-7754.983 7522.319|-7753.438 7520.584
151 RANCHVIEW ME NW,-7193.563 7804.643|-7209.481 7842.238|-7213.759 7840.047|-7228.215 7832.631|-7235.996 7828.628|-7200.435 7798.839|-7199.065 7800.662|-7197.436 7802.252|-7195.591 7803.598
11 RANCHRIDGE WY NW,-7965.249 7806.066|-7960.943 7801.307|-7954.498 7800.974|-7935.323 7818.353|-7942.691 7826.504
436 RANCHRIDGE CO NW,-7919.084 8243.085|-7921.377 8242.651|-7923.712 8242.573|-7926.033 8242.851|-7928.284 8243.485|-7939.762 8212.083|-7924.774 8212.095|-7910.703 8212.095
909 RANCHVIEW CR NW,-7332.534 7354.348|-7334.470 7355.827|-7342.978 7362.332|-7344.921 7363.822|-7347.766 7365.990|-7366.760 7341.082|-7365.257 7340.515|-7363.817 7339.781|-7362.467 7338.903|-7361.216 7337.880|-7360.077 7336.735|-7359.070 7335.478|-7358.196 7334.122|-7357.476 7332.687|-7349.535 7343.095|-7349.137 7343.618|-7345.082 7348.933|-7339.762 7344.874
143 RANGE CR NW,-8474.855 8733.287|-8487.717 8741.972|-8504.732 8716.719|-8491.863 8708.035
41 RANCH GLEN DR NW,-8124.807 7629.333|-8158.305 7629.322|-8158.298 7620.193|-8124.800 7620.215
57 RANCHERO GR NW,-8216.249 7905.463|-8245.448 7905.452|-8245.225 7903.929|-8245.155 7902.394|-8245.246 7900.860|-8245.490 7899.337|-8216.242 7882.624
208 RANCHERO PL NW,-8225.274 8395.844|-8243.533 8395.833|-8243.512 8362.330|-8242.904 8362.330|-8225.253 8362.341
11 RANCHERO BA NW,-8409.781 8024.131|-8428.683 8054.431|-8440.651 8048.327|-8423.300 8020.517|-8411.591 8022.996
