ADDRESS,POINTS
804 7 AV NE,1811.359 1239.205|1811.248 1205.613|1823.397 1205.635|1823.502 1239.216
806 RADFORD RD NE,1840.545 1435.220|1825.340 1435.275|1825.319 1401.761|1840.517 1401.717
920 15 AV NE,2110.755 2035.950|2095.543 2035.939|2095.578 1999.378|2110.796 1999.378
1020 REMINGTON RD NE,2062.807 1466.921|2062.835 1480.120|2029.455 1480.176|2020.207 1466.977
1243 RICHLAND RD NE,2392.827 1857.060|2358.791 1871.526|2353.820 1850.800|2389.276 1842.260
1456 RENFREW DR NE,2656.403 1915.882|2626.079 1915.904|2626.030 1897.635|2656.361 1897.613
1019 RUNDLE CR NE,2234.416 1503.571|2229.026 1508.942|2223.504 1514.168|2176.290 1492.274|2185.469 1480.854
307 13 ST NE,2848.816 770.029|2850.655 773.365|2812.780 794.915|2810.865 792.735|2809.068 790.456|2804.350 784.151|2847.082 766.638
610 10 AV NE,1488.952 1544.791|1481.346 1544.847|1473.747 1544.902|1473.726 1508.364|1481.325 1508.308|1488.924 1508.252
427 14 AV NE,1190.731 1887.583|1183.132 1887.650|1175.541 1887.716|1175.485 1851.166|1183.076 1851.100|1190.675 1851.033
1413 CHILD AV NE,2903.223 760.155|2898.407 766.049|2893.262 771.653|2869.312 748.291|2873.150 744.099|2876.743 739.706
1139 REGENT CR NE,1844.851 1563.305|1809.905 1563.505|1809.898 1548.238|1844.844 1548.049
915 RENFREW DR NE,2095.508 2078.605|2080.311 2078.605|2080.339 2042.033|2095.543 2042.033
902 RADFORD RD NE,2012.615 1434.508|1997.600 1434.530|1997.425 1434.286|1997.348 1401.261|2012.545 1401.238
1207 RICHLAND RD NE,2352.017 1726.228|2319.462 1742.729|2312.584 1729.130|2345.138 1712.640
1412 RICHLAND RD NE,2563.010 1731.076|2526.562 1731.143|2526.520 1715.909|2562.969 1715.842
1014 RUNDLE CR NE,2304.538 1503.338|2299.770 1509.720|2294.863 1515.980|2268.439 1495.510|2272.794 1489.983|2277.023 1484.357
1220 BANTRY ST NE,2660.814 1221.103|2645.631 1250.947|2640.220 1248.168|2634.880 1245.276|2651.118 1215.988|2655.935 1218.601
819 7 AV NE,1856.937 1150.549|1869.087 1153.696|1869.073 1185.231|1868.975 1185.231|1856.909 1185.231|1841.712 1185.242|1841.747 1146.635
610 14 AV NE,1496.858 1941.890|1489.259 1941.946|1481.661 1942.002|1481.626 1905.452|1489.231 1905.385|1496.830 1905.330
509 10 AV NE,1316.818 1489.472|1309.212 1489.527|1309.212 1481.910|1309.205 1474.294|1309.198 1462.140|1309.191 1453.000|1316.790 1452.944
420 13 AV NE,1160.280 1845.206|1152.682 1845.262|1145.083 1845.329|1145.069 1808.779|1152.668 1808.712|1160.259 1808.646
1432 CHILD AV NE,2949.143 701.244|2949.856 696.340|2950.409 691.415|2983.725 693.872|2983.075 699.965|2982.222 706.026
709 13A ST NE,2938.196 1158.667|2904.796 1159.078|2904.803 1151.439|2938.203 1151.061
924 15 AV NE,2125.959 2035.961|2110.755 2035.950|2110.796 1999.378|2126.008 1999.389
1255 RICHLAND RD NE,2421.446 1875.485|2438.888 1872.060|2445.836 1907.909|2422.425 1912.479
1460 RENFREW DR NE,2656.438 1934.151|2626.127 1934.185|2626.079 1915.904|2656.403 1915.882
1023 RUNDLE CR NE,2223.504 1514.168|2217.842 1519.250|2212.054 1524.187|2167.328 1503.427|2176.290 1492.274
1206 REGAL CR NE,1988.191 1741.551|1974.503 1741.595|1974.147 1705.034|1987.827 1705.001
614 14 AV NE,1512.055 1941.768|1504.456 1941.824|1496.858 1941.890|1496.830 1905.330|1504.429 1905.274|1512.027 1905.218
511 10 AV NE,1328.220 1489.383|1324.417 1489.416|1316.818 1489.472|1316.790 1452.944|1324.396 1452.888|1328.192 1452.855
