ADDRESS,POINTS
2908 UNDERHILL DR NW,-3957.210 2741.226|-3973.260 2770.615|-3990.038 2761.408|-3973.987 2732.030
3412 UNDERWOOD PL NW,-4539.524 2797.691|-4572.701 2797.635|-4575.385 2777.832|-4539.489 2777.887
3604 UTAH DR NW,-4754.628 2244.196|-4747.036 2243.707|-4739.438 2243.462|-4734.887 2247.999|-4734.936 2276.932|-4744.827 2277.154|-4754.698 2277.844
2407 UXBRIDGE DR NW,-4796.354 2601.076|-4805.777 2601.054|-4814.585 2597.818|-4814.543 2563.859|-4796.305 2563.893
2023 URSENBACH RD NW,-4564.445 2441.478|-4597.887 2441.434|-4597.853 2423.153|-4564.410 2423.198
3307 UPTON PL NW,-4436.310 2880.098|-4471.255 2880.031|-4471.220 2861.762|-4436.275 2861.817
3704 UTAH DR NW,-4777.704 2388.649|-4777.738 2406.919|-4811.174 2406.863|-4811.139 2388.583
2427 UDELL RD NW,-4187.050 2877.440|-4220.486 2877.384|-4220.451 2857.592|-4187.015 2857.647
2912 UNDERHILL DR NW,-3973.987 2732.030|-3990.038 2761.408|-4007.367 2751.912|-3991.317 2722.523
3416 UNDERWOOD PL NW,-4539.524 2797.691|-4539.566 2824.389|-4572.428 2812.091|-4571.708 2809.478|-4571.463 2806.776|-4572.701 2797.635
3608 UTAH DR NW,-4754.698 2277.844|-4763.848 2278.900|-4772.936 2280.368|-4772.873 2246.375|-4763.771 2245.108|-4754.628 2244.196
2119 URALTA RD NW,-4677.761 2564.115|-4657.691 2564.148|-4657.761 2593.092|-4662.340 2597.651|-4677.831 2597.629
2027 URSENBACH RD NW,-4564.480 2459.759|-4597.922 2459.714|-4597.887 2441.434|-4564.445 2441.478
3008 UNDERHILL DR NW,-4042.242 2694.591|-4058.286 2723.969|-4076.950 2713.739|-4060.907 2684.350
3420 UNDERWOOD PL NW,-4539.566 2824.389|-4539.608 2852.510|-4542.684 2855.557|-4565.885 2855.512|-4580.705 2820.764|-4579.321 2820.086|-4578.014 2819.274|-4576.790 2818.329|-4575.672 2817.272|-4574.672 2816.105|-4573.791 2814.848|-4573.036 2813.503|-4572.428 2812.091
3603 UMBER PL NW,-4734.810 2226.360|-4744.597 2226.527|-4754.376 2227.072|-4758.717 2222.880|-4757.431 2193.691|-4746.114 2193.058|-4734.782 2192.857
3751 UTAH DR NW,-4714.209 2554.908|-4732.447 2554.875|-4732.363 2521.372|-4714.125 2521.405
2031 URSENBACH RD NW,-4564.515 2478.039|-4597.957 2477.995|-4597.922 2459.714|-4564.480 2459.759
3016 UNDERHILL DR NW,-4086.870 2708.290|-4103.213 2716.419|-4116.936 2688.731|-4110.777 2685.095|-4104.758 2681.248|-4102.151 2679.680|-4099.418 2678.346|-4096.579 2677.267|-4093.657 2676.433
2403 UDELL RD NW,-4203.499 2715.329|-4197.382 2714.751|-4191.286 2713.995|-4186.784 2717.931|-4186.833 2749.521|-4203.555 2749.499
3208 UPLANDS PL NW,-4332.788 2778.232|-4368.684 2778.176|-4371.361 2758.373|-4335.794 2758.428|-4332.760 2761.486
3611 UMBER PL NW,-4735.677 2135.514|-4763.422 2163.202|-4764.708 2162.045|-4766.120 2161.045|-4767.637 2160.211|-4769.238 2159.554|-4770.909 2159.087|-4772.614 2158.809|-4774.348 2158.721|-4776.075 2158.843|-4781.541 2113.486|-4760.234 2110.818
3755 UTAH DR NW,-4695.971 2554.941|-4714.209 2554.908|-4714.125 2521.405|-4695.887 2521.438
2035 URSENBACH RD NW,-4564.550 2496.308|-4597.992 2496.275|-4597.957 2477.995|-4564.515 2478.039
3020 UNDERHILL DR NW,-4103.213 2716.419|-4122.276 2725.904|-4135.950 2698.305|-4131.105 2696.092|-4126.317 2693.757|-4121.591 2691.311|-4116.936 2688.731
3212 UPLANDS PL NW,-4332.823 2798.025|-4365.999 2797.980|-4368.684 2778.176|-4332.788 2778.232
3507 UTAH DR NW,-4663.954 2210.804|-4676.523 2241.850|-4696.236 2233.833|-4683.668 2202.787
3759 UTAH DR NW,-4677.733 2554.975|-4695.971 2554.941|-4695.887 2521.438|-4677.656 2521.472
2039 URSENBACH RD NW,-4571.030 2515.801|-4598.041 2520.649|-4597.992 2496.275|-4564.550 2496.308|-4564.557 2500.489|-4566.284 2501.846|-4567.793 2503.436|-4569.066 2505.226|-4570.065 2507.183|-4570.771 2509.263|-4571.177 2511.420|-4571.261 2513.610
3024 UNDERHILL DR NW,-4122.276 2725.904|-4141.339 2735.389|-4155.936 2705.911|-4150.867 2704.198|-4145.841 2702.364|-4140.871 2700.395|-4135.950 2698.305
2404 UDELL RD NW,-4141.339 2735.389|-4160.682 2745.018|-4169.805 2744.985|-4169.756 2714.417|-4165.338 2708.702|-4155.936 2705.911
3220 UPLANDS PL NW,-4332.864 2824.723|-4332.913 2852.844|-4335.954 2855.890|-4359.191 2855.846|-4373.996 2821.098|-4372.612 2820.419|-4371.305 2819.608|-4370.089 2818.674|-4368.970 2817.617|-4367.964 2816.450|-4367.083 2815.182|-4366.335 2813.837|-4365.727 2812.424
3511 UTAH DR NW,-4683.668 2202.787|-4696.236 2233.833|-4714.517 2226.405|-4707.967 2192.913
3763 UTAH DR NW,-4677.656 2521.472|-4662.151 2521.505|-4657.607 2526.086|-4657.670 2555.019|-4677.733 2554.975
2043 URSENBACH RD NW,-4585.661 2555.142|-4595.063 2555.119|-4598.097 2552.073|-4598.041 2520.649|-4571.030 2515.801|-4570.701 2517.246|-4570.233 2518.647|-4569.632 2520.004|-4568.898 2521.294|-4568.045 2522.506|-4567.080 2523.629|-4566.004 2524.652|-4564.836 2525.564
2904 UNIVERSITY PL NW,-3991.317 2722.523|-4007.367 2751.912|-4024.696 2742.405|-4010.855 2717.052|-4004.648 2715.207
3218 UPLANDS PL NW,-4332.823 2798.025|-4332.864 2824.723|-4365.727 2812.424|-4365.007 2809.811|-4364.762 2807.120|-4365.999 2797.980
3403 UTAH CR NW,-4565.948 2250.645|-4578.517 2281.691|-4594.567 2275.164|-4597.077 2269.215|-4586.227 2242.406
3731 UTAH DR NW,-4814.515 2554.730|-4844.917 2554.663|-4826.637 2522.884|-4825.288 2523.751|-4823.862 2524.485|-4822.359 2525.052|-4820.807 2525.453|-4819.220 2525.697|-4817.619 2525.764|-4816.018 2525.664|-4814.431 2525.397
2047 URSENBACH RD NW,-4552.212 2555.197|-4585.661 2555.142|-4564.836 2525.564|-4563.431 2526.453|-4561.935 2527.176|-4560.370 2527.732|-4558.748 2528.121|-4557.098 2528.321|-4555.434 2528.344|-4553.778 2528.177|-4552.149 2527.843
2908 UNIVERSITY PL NW,-4039.292 2769.114|-4029.072 2750.411|-4001.082 2765.778|-3999.873 2769.903|-4008.632 2785.938
2408 ULRICH RD NW,-4642.843 2777.720|-4676.279 2777.665|-4676.244 2757.872|-4645.849 2757.917|-4642.815 2760.963
3407 UTAH CR NW,-4546.207 2210.582|-4541.230 2228.484|-4547.857 2244.852|-4551.813 2246.531|-4582.795 2233.933|-4582.222 2232.332|-4581.781 2230.697|-4581.481 2229.018|-4581.313 2227.328|-4581.285 2225.627|-4581.397 2223.936|-4581.649 2222.246|-4582.040 2220.589
3739 UTAH DR NW,-4778.039 2554.797|-4796.284 2554.764|-4796.186 2521.249|-4777.955 2521.283
2055 URSENBACH RD NW,-4532.380 2521.705|-4514.142 2521.739|-4514.204 2552.206|-4517.252 2555.253|-4532.450 2555.231
2912 UNIVERSITY PL NW,-4008.632 2785.938|-4018.845 2804.641|-4049.506 2787.828|-4039.292 2769.114
2412 ULRICH RD NW,-4642.871 2797.513|-4676.307 2797.458|-4676.279 2777.665|-4642.843 2777.720
3411 UTAH CR NW,-4546.207 2210.582|-4582.040 2220.589|-4583.117 2217.620|-4584.627 2214.852|-4586.542 2212.350|-4588.814 2210.159|-4559.866 2174.888|-4555.651 2176.601
3743 UTAH DR NW,-4750.685 2554.841|-4768.923 2554.808|-4768.833 2521.294|-4750.601 2521.338
2051 URSENBACH RD NW,-4532.450 2555.231|-4552.212 2555.197|-4552.149 2527.843|-4549.604 2526.909|-4547.269 2525.541|-4545.207 2523.773|-4543.495 2521.683|-4532.380 2521.705
3303 UPTON PL NW,-4436.338 2898.367|-4471.290 2898.311|-4471.255 2880.031|-4436.310 2880.098
3644 UTAH DR NW,-4777.704 2388.649|-4811.139 2388.583|-4811.104 2370.302|-4777.669 2370.369
2009 URQUHART RD NW,-3976.756 2478.706|-3980.880 2489.025|-3985.284 2499.233|-4017.021 2485.011|-4008.772 2466.364
2423 UDELL RD NW,-4187.015 2857.647|-4220.451 2857.592|-4220.416 2837.799|-4186.980 2837.855
3619 UMBER PL NW,-4787.266 2166.193|-4788.427 2168.617|-4789.140 2171.219|-4789.392 2173.899|-4789.161 2176.578|-4787.134 2188.221|-4794.753 2189.655|-4802.331 2191.278|-4809.860 2193.102|-4817.340 2195.126|-4821.121 2193.046|-4830.251 2161.912|-4820.968 2146.200
2916 UNIVERSITY PL NW,-4018.845 2804.641|-4037.789 2839.334|-4056.063 2798.025|-4054.070 2795.723|-4052.428 2793.165|-4049.506 2787.828
3607 UMBER PL NW,-4735.677 2135.514|-4724.066 2147.190|-4724.121 2180.693|-4727.169 2183.739|-4734.768 2183.717|-4746.456 2183.928|-4758.137 2184.584|-4759.032 2172.809|-4759.472 2170.151|-4760.367 2167.616|-4761.702 2165.270|-4763.422 2163.202
3747 UTAH DR NW,-4732.363 2521.372|-4732.447 2554.875|-4750.685 2554.841|-4750.601 2521.338
2007 URBANA RD NW,-4504.809 2406.285|-4504.767 2380.666|-4500.531 2377.819|-4471.346 2389.684|-4471.381 2406.352
2920 UNIVERSITY PL NW,-4056.063 2798.025|-4037.789 2839.334|-4071.183 2839.278|-4071.127 2804.252|-4069.037 2804.151|-4066.968 2803.840|-4064.940 2803.340|-4062.976 2802.639|-4061.082 2801.750|-4059.292 2800.671|-4057.607 2799.426
2420 ULRICH RD NW,-4642.934 2837.110|-4676.370 2837.054|-4676.342 2817.261|-4642.906 2817.317
3415 UTAH CR NW,-4559.866 2174.888|-4588.814 2210.159|-4591.372 2208.358|-4594.176 2206.957|-4604.032 2202.954|-4588.038 2163.435
2011 URBANA RD NW,-4471.381 2406.352|-4471.416 2425.244|-4504.844 2425.177|-4504.809 2406.285
3311 UPTON PL NW,-4436.275 2861.817|-4471.220 2861.762|-4471.192 2843.481|-4436.247 2843.548
3708 UTAH DR NW,-4777.738 2406.919|-4777.773 2425.199|-4811.209 2425.144|-4811.174 2406.863
2027 UNGAVA RD NW,-4735.138 2385.503|-4735.180 2404.995|-4768.616 2404.928|-4768.574 2385.436
2924 UNIVERSITY PL NW,-4071.127 2804.252|-4071.183 2839.278|-4103.095 2839.211|-4083.878 2799.971|-4082.466 2800.949|-4080.991 2801.805|-4079.446 2802.539|-4077.852 2803.140|-4076.209 2803.618|-4074.531 2803.962|-4072.833 2804.174
2424 ULRICH RD NW,-4642.969 2856.902|-4676.405 2856.847|-4676.370 2837.054|-4642.934 2837.110
3211 UTAH PL NW,-4419.770 2259.975|-4454.233 2274.575|-4454.876 2273.229|-4455.652 2271.961|-4456.547 2270.761|-4457.561 2269.660|-4458.672 2268.670|-4459.874 2267.781|-4461.161 2267.024|-4462.517 2266.391|-4447.662 2229.707|-4419.497 2241.149
2415 UXBRIDGE DR NW,-4826.099 2597.340|-4827.504 2597.929|-4828.846 2598.652|-4830.111 2599.508|-4831.279 2600.487|-4832.348 2601.577|-4833.299 2602.766|-4834.131 2604.045|-4834.823 2605.402|-4874.396 2578.971|-4874.396 2563.737|-4846.455 2563.793
2015 URBANA RD NW,-4471.416 2425.244|-4471.451 2444.136|-4504.879 2444.069|-4504.844 2425.177
2928 UNIVERSITY PL NW,-4083.878 2799.971|-4103.095 2839.211|-4124.374 2839.178|-4127.407 2836.120|-4127.358 2808.710|-4091.518 2788.884|-4090.973 2790.508|-4090.302 2792.087|-4089.512 2793.599|-4088.596 2795.045|-4087.569 2796.412|-4086.429 2797.702|-4085.199 2798.881
2428 ULRICH RD NW,-4642.969 2856.902|-4642.997 2876.706|-4676.432 2876.651|-4676.405 2856.847
3727 UTAH DR NW,-4844.917 2554.663|-4874.396 2554.608|-4874.396 2536.717|-4832.865 2512.076|-4832.621 2513.655|-4832.208 2515.211|-4831.635 2516.713|-4830.908 2518.147|-4830.034 2519.492|-4829.028 2520.738|-4827.888 2521.872|-4826.637 2522.884
2019 URBANA RD NW,-4471.451 2444.136|-4471.486 2463.028|-4504.914 2462.961|-4504.879 2444.069
2403 ULRICH RD NW,-4712.958 2715.151|-4697.760 2715.173|-4693.203 2719.755|-4693.252 2748.687|-4713.007 2748.665
2932 UNIVERSITY PL NW,-4091.518 2788.884|-4127.358 2808.710|-4127.303 2775.363|-4091.008 2775.430|-4091.539 2777.053|-4091.945 2778.721|-4092.217 2780.411|-4092.350 2782.113|-4092.350 2783.825|-4092.203 2785.537|-4091.931 2787.228
2432 ULRICH RD NW,-4643.032 2898.033|-4676.467 2897.978|-4676.432 2876.651|-4642.997 2876.706
2036 URALTA RD NW,-4606.940 2411.144|-4640.334 2411.133|-4640.285 2390.573|-4606.905 2390.584
2423 UXBRIDGE DR NW,-4831.670 2636.292|-4874.396 2636.236|-4874.396 2612.485|-4834.969 2617.722|-4831.656 2626.907
2023 URBANA RD NW,-4471.486 2463.028|-4471.521 2481.909|-4504.949 2481.853|-4504.914 2462.961
2203 ULYSSES ST NW,-4541.978 2622.237|-4526.780 2622.259|-4522.230 2626.829|-4522.271 2655.773|-4542.027 2655.740
2936 UNIVERSITY PL NW,-4082.543 2764.955|-4083.941 2765.934|-4085.262 2767.023|-4086.492 2768.224|-4087.625 2769.503|-4088.645 2770.882|-4089.554 2772.327|-4090.344 2773.851|-4091.008 2775.430|-4127.303 2775.363|-4127.240 2738.580
3720 UNDERHILL DR NW,-4735.949 2837.866|-4769.385 2837.810|-4769.357 2817.706|-4735.914 2817.762
2040 URALTA RD NW,-4606.982 2431.715|-4640.376 2431.693|-4640.334 2411.133|-4606.940 2411.144
2427 UXBRIDGE DR NW,-4831.712 2657.608|-4874.396 2657.563|-4874.396 2636.236|-4831.670 2636.292
2027 URBANA RD NW,-4471.521 2481.909|-4471.556 2500.189|-4476.120 2504.759|-4504.991 2504.692|-4504.949 2481.853
2944 UNIVERSITY PL NW,-4097.970 2724.013|-4087.079 2718.598|-4044.004 2742.227|-4046.122 2746.097|-4047.660 2748.621|-4049.443 2750.967|-4051.449 2753.135|-4053.658 2755.092|-4056.049 2756.816|-4058.600 2758.295|-4061.291 2759.518|-4064.081 2760.474
3724 UNDERHILL DR NW,-4735.984 2857.970|-4769.420 2857.914|-4769.385 2837.810|-4735.949 2837.866
2044 URALTA RD NW,-4607.024 2452.275|-4640.425 2452.253|-4640.376 2431.693|-4606.982 2431.715
2431 UXBRIDGE DR NW,-4831.747 2678.935|-4874.396 2678.890|-4874.396 2657.563|-4831.712 2657.608
2307 UXBRIDGE DR NW,-4535.504 2564.360|-4517.273 2564.393|-4514.232 2567.451|-4514.295 2597.918|-4535.574 2597.885
2948 UNIVERSITY PL NW,-4042.242 2694.591|-4027.576 2702.631|-4025.766 2708.835|-4039.628 2734.210|-4058.286 2723.969
