ADDRESS,POINTS
310 WESTWOOD DR SW,-6263.425 -945.219|-6248.325 -957.984|-6226.773 -932.376|-6241.866 -919.611
234 WESTMINSTER DR SW,-6067.013 -701.702|-6079.792 -690.916|-6101.364 -716.502|-6088.593 -727.288
69 WAKEFIELD DR SW,-6381.885 -538.179|-6400.410 -538.101|-6400.557 -568.557|-6382.032 -568.635
179 WESTOVER DR SW,-6239.951 -183.645|-6271.806 -183.701|-6271.778 -198.934|-6239.916 -198.879
4936 8 AV SW,-6011.537 -281.630|-6030.006 -281.552|-6029.936 -311.997|-6023.847 -318.113|-6011.697 -318.158
98 WARWICK DR SW,-5872.258 101.236|-5887.253 108.609|-5900.647 81.266|-5885.645 73.893
42 WESTWOOD DR SW,-6272.100 45.416|-6300.740 59.494|-6307.961 44.727|-6279.321 30.650
122 WESTOVER DR SW,-6234.987 38.111|-6259.601 50.209|-6266.822 35.442|-6238.329 21.432|-6237.238 31.628|-6236.952 33.330|-6236.483 34.998|-6235.826 36.599
1408 47 ST SW,-5855.852 -757.289|-5855.852 -746.625|-5889.266 -746.614|-5889.273 -757.277
94 WASKATENAU CR SW,-6141.287 -948.877|-6155.219 -937.102|-6176.785 -962.688|-6162.846 -974.475
80 WEST GLEN CR SW,-6349.079 -742.589|-6361.075 -728.200|-6386.681 -749.638|-6374.713 -764.016
194 WESTMINSTER DR SW,-6145.397 -565.500|-6181.846 -565.477|-6181.853 -583.747|-6145.404 -583.780
37 WAKEFIELD DR SW,-6239.797 -484.405|-6271.652 -484.383|-6271.652 -501.129|-6239.804 -501.162
196 WESTOVER DR SW,-6288.674 -258.068|-6288.709 -241.922|-6320.600 -241.989|-6320.565 -258.135
46 WESTOVER DR SW,-5913.209 -105.208|-5913.258 -86.149|-5916.215 -81.412|-5949.273 -101.194|-5947.881 -103.907|-5946.672 -106.709|-5945.651 -109.589|-5944.834 -112.536
97 WARWICK DR SW,-5895.844 59.939|-5912.216 67.978|-5925.603 40.624|-5909.231 32.573
183 WESTVIEW DR SW,-6371.064 193.106|-6386.751 200.823|-6400.123 173.469|-6384.437 165.763
1660 47 ST SW,-5855.901 -1010.757|-5889.315 -1010.757|-5889.315 -1021.421|-5855.901 -1021.421|-5855.901 -1019.019
316 WESTWOOD DR SW,-6210.514 -946.120|-6224.453 -934.333|-6246.004 -959.952|-6232.065 -971.728
238 WESTMINSTER DR SW,-6054.242 -712.499|-6067.013 -701.702|-6088.593 -727.288|-6075.821 -738.085
73 WAKEFIELD DR SW,-6400.410 -538.101|-6418.935 -538.023|-6419.075 -568.491|-6400.557 -568.557
183 WESTOVER DR SW,-6239.916 -198.879|-6271.778 -198.934|-6271.750 -214.168|-6239.888 -214.101
11 WESTVIEW DR SW,-5903.723 -254.688|-5903.681 -272.957|-5873.307 -273.079|-5873.356 -254.610
102 WARWICK DR SW,-5887.253 108.609|-5902.255 115.981|-5915.648 88.638|-5900.647 81.266
46 WESTWOOD DR SW,-6279.321 30.650|-6307.961 44.727|-6315.189 29.960|-6286.549 15.883
126 WESTOVER DR SW,-6238.329 21.432|-6266.822 35.442|-6274.050 20.676|-6245.424 6.598|-6238.371 21.020
320 WESTWOOD DR SW,-6196.582 -957.895|-6210.514 -946.120|-6232.065 -971.728|-6218.133 -983.504
242 WESTMINSTER DR SW,-6043.371 -721.673|-6054.242 -712.499|-6075.821 -738.085|-6055.640 -755.143
77 WAKEFIELD DR SW,-6418.935 -538.023|-6437.459 -537.957|-6437.592 -568.413|-6419.075 -568.491
187 WESTOVER DR SW,-6239.888 -214.101|-6271.750 -214.168|-6271.722 -229.391|-6239.853 -229.335
15 WESTVIEW DR SW,-5873.356 -254.610|-5873.412 -236.340|-5903.771 -236.418|-5903.723 -254.688
106 WARWICK DR SW,-5902.255 115.981|-5917.249 123.353|-5930.650 96.010|-5915.648 88.638
50 WESTWOOD DR SW,-6286.549 15.883|-6315.189 29.960|-6322.410 15.194|-6293.770 1.116
112 WESTOVER DR SW,-6178.134 54.179|-6191.772 60.884|-6204.900 34.019|-6203.810 32.874|-6191.507 26.825
324 WESTWOOD DR SW,-6182.643 -969.671|-6196.582 -957.895|-6218.133 -983.504|-6204.194 -995.290
250 WESTMINSTER DR SW,-6027.496 -721.717|-6043.371 -721.673|-6055.640 -755.143|-6027.601 -755.209
204 WESTWOOD DR SW,-6437.459 -537.957|-6451.734 -537.890|-6456.292 -542.449|-6456.306 -568.335|-6437.592 -568.413
191 WESTOVER DR SW,-6239.853 -229.335|-6271.722 -229.391|-6271.694 -244.624|-6239.818 -244.569
19 WESTVIEW DR SW,-5873.412 -236.340|-5873.461 -218.071|-5903.813 -218.149|-5903.771 -236.418
110 WARWICK DR SW,-5917.249 123.353|-5932.251 130.725|-5945.651 103.394|-5930.650 96.010
54 WESTWOOD DR SW,-6293.770 1.116|-6322.410 15.194|-6329.631 0.427|-6300.991 -13.650
66 WINSTON DR SW,-6416.125 171.156|-6432.489 179.206|-6445.862 151.841|-6429.497 143.802
328 WESTWOOD DR SW,-6168.711 -981.458|-6182.643 -969.671|-6204.194 -995.290|-6190.262 -1007.066
256 WESTMINSTER DR SW,-6010.188 -721.751|-6027.496 -721.717|-6027.601 -755.209|-6010.292 -755.254
165 WESTMINSTER DR SW,-6198.763 -432.900|-6230.653 -432.877|-6230.667 -451.147|-6198.777 -451.169
195 WESTOVER DR SW,-6239.818 -244.569|-6271.694 -244.624|-6271.666 -259.858|-6239.790 -259.802
23 WESTVIEW DR SW,-5873.461 -218.071|-5873.510 -199.802|-5903.862 -199.880|-5903.813 -218.149
114 WARWICK DR SW,-5947.245 138.097|-5968.811 148.705|-5972.453 115.002|-5970.461 114.702|-5968.503 114.224|-5966.595 113.579|-5964.749 112.778|-5960.653 110.766
58 WESTWOOD DR SW,-6300.991 -13.650|-6329.631 0.427|-6336.853 -14.340|-6308.220 -28.417
74 WINSTON DR SW,-6383.388 155.066|-6399.760 163.116|-6413.133 135.751|-6396.761 127.712
332 WESTWOOD DR SW,-6154.779 -993.233|-6168.711 -981.458|-6190.262 -1007.066|-6176.323 -1018.852
260 WESTMINSTER DR SW,-5992.872 -721.795|-6010.188 -721.751|-6010.292 -755.254|-5992.977 -755.287
169 WESTMINSTER DR SW,-6198.777 -451.169|-6230.667 -451.147|-6230.674 -469.427|-6198.791 -469.438
199 WESTOVER DR SW,-6239.790 -259.802|-6271.666 -259.858|-6271.638 -275.081|-6239.755 -275.036
27 WESTVIEW DR SW,-5873.510 -199.802|-5873.559 -181.532|-5903.904 -181.610|-5903.862 -199.880
118 WARWICK DR SW,-5982.379 113.890|-5999.345 163.717|-6014.326 133.105|-5990.908 108.675|-5989.006 110.321|-5986.930 111.755|-5984.714 112.945
62 WESTWOOD DR SW,-6308.220 -28.417|-6336.853 -14.340|-6344.081 -29.106|-6315.441 -43.184
167 WESTVIEW DR SW,-6308.324 162.271|-6324.011 169.977|-6337.384 142.634|-6321.697 134.928
336 WESTWOOD DR SW,-6145.495 -1001.083|-6154.779 -993.233|-6176.323 -1018.852|-6157.750 -1034.553
264 WESTMINSTER DR SW,-5975.564 -721.829|-5992.872 -721.795|-5992.977 -755.287|-5975.662 -755.332
173 WESTMINSTER DR SW,-6198.791 -469.438|-6230.674 -469.427|-6230.688 -487.696|-6198.798 -487.708
203 WESTOVER DR SW,-6239.755 -275.036|-6271.638 -275.081|-6271.603 -290.314|-6239.720 -290.259
31 WESTVIEW DR SW,-5873.559 -181.532|-5873.608 -163.263|-5903.953 -163.352|-5903.904 -181.610
112 WARWICK DR SW,-5932.251 130.725|-5947.245 138.097|-5960.653 110.766|-5945.651 103.394
66 WESTWOOD DR SW,-6315.441 -43.184|-6344.081 -29.106|-6351.302 -43.873|-6322.662 -57.950
23 WESTWOOD DR SW,-6306.018 127.223|-6290.331 119.506|-6276.958 146.848|-6292.638 154.565
44 WASKATENAU CR SW,-6077.457 -814.787|-6086.663 -807.004|-6108.159 -832.668|-6089.655 -848.302
268 WESTMINSTER DR SW,-5958.255 -721.873|-5975.564 -721.829|-5975.662 -755.332|-5958.346 -755.376
177 WESTMINSTER DR SW,-6198.798 -487.708|-6230.688 -487.696|-6230.702 -505.966|-6198.812 -505.988
5228 8 AV SW,-6288.611 -290.348|-6320.502 -290.414|-6320.474 -306.982|-6293.134 -307.083|-6288.590 -302.535
35 WESTVIEW DR SW,-5873.608 -163.263|-5873.664 -143.470|-5904.002 -143.548|-5903.953 -163.352
116 WARWICK DR SW,-5968.811 148.705|-5999.345 163.717|-5982.379 113.890|-5979.961 114.580|-5977.479 114.991|-5974.963 115.136|-5972.453 115.002
72 WESTWOOD DR SW,-6322.662 -57.950|-6351.302 -43.873|-6360.564 -62.798|-6328.653 -70.193
20 WINSLOW CR SW,-6079.778 169.332|-6068.894 163.973|-6060.757 166.763|-6050.061 188.647|-6066.398 196.675
31 WESTWOOD CR SW,-6431.930 -333.291|-6462.304 -333.269|-6462.311 -356.008|-6431.504 -346.801|-6431.825 -344.644|-6431.930 -342.476
48 WASKATENAU CR SW,-6086.663 -807.004|-6101.763 -794.239|-6123.252 -819.914|-6108.159 -832.668
11 WINCHESTER CR SW,-5736.084 -592.008|-5736.077 -573.739|-5766.444 -573.672|-5766.444 -591.942
272 WESTMINSTER DR SW,-5940.940 -721.917|-5958.255 -721.873|-5958.346 -755.376|-5941.031 -755.421
181 WESTMINSTER DR SW,-6198.812 -505.988|-6230.702 -505.966|-6230.709 -524.246|-6198.826 -524.257
39 WESTVIEW DR SW,-5873.664 -143.470|-5873.719 -123.678|-5904.051 -123.755|-5904.002 -143.548
120 WARWICK DR SW,-5990.908 108.675|-6014.326 133.105|-6025.581 110.121|-5998.311 96.711|-5995.640 102.181|-5994.676 103.949|-5993.557 105.640|-5992.299 107.219
75 WESTOVER DR SW,-6100.511 -70.816|-6084.147 -78.866|-6072.780 -55.615|-6074.870 -49.500|-6087.146 -43.462
24 WINSLOW CR SW,-6066.398 196.675|-6082.224 204.459|-6095.597 177.105|-6079.778 169.332
52 WASKATENAU CR SW,-6101.763 -794.239|-6120.343 -778.538|-6132.563 -806.092|-6131.388 -807.071|-6130.319 -808.160|-6129.368 -809.361|-6128.543 -810.651|-6123.252 -819.914
54 WASKATENAU CR SW,-6120.343 -778.538|-6135.799 -765.473|-6142.769 -765.461|-6154.429 -775.224|-6147.634 -804.213|-6145.761 -803.557|-6143.810 -803.156|-6141.832 -803.012|-6139.847 -803.123|-6137.897 -803.501|-6136.009 -804.124|-6134.220 -805.002|-6132.563 -806.092
15 WINCHESTER CR SW,-5736.084 -592.008|-5766.444 -591.942|-5766.437 -610.222|-5736.091 -610.278
274 WESTMINSTER DR SW,-5923.631 -721.951|-5940.940 -721.917|-5941.031 -755.421|-5923.715 -755.454
185 WESTMINSTER DR SW,-6198.826 -524.257|-6230.709 -524.246|-6230.723 -542.516|-6198.833 -542.527
84 WESTMINSTER DR SW,-6199.084 -115.883|-6199.105 -103.296|-6231.024 -95.946|-6230.982 -116.005
43 WESTVIEW DR SW,-5873.719 -123.678|-5873.775 -103.874|-5904.100 -103.963|-5904.051 -123.755
124 WARWICK DR SW,-5998.311 96.711|-6025.581 110.121|-6033.613 93.708|-6006.336 80.309
79 WESTOVER DR SW,-6087.146 -43.462|-6103.524 -35.422|-6116.883 -62.765|-6100.511 -70.816
28 WINSLOW CR SW,-6082.224 204.459|-6098.044 212.231|-6111.417 184.877|-6095.597 177.105
12 WHEATLAND AV SW,-6216.204 -730.168|-6207.829 -740.220|-6201.405 -740.798|-6179.280 -722.251|-6190.598 -708.663
56 WASKATENAU CR SW,-6147.634 -804.213|-6154.429 -775.224|-6178.413 -795.317|-6159.280 -818.257|-6154.848 -810.595|-6153.457 -808.583|-6151.759 -806.815|-6149.801 -805.347
19 WINCHESTER CR SW,-5736.091 -610.278|-5766.437 -610.222|-5766.437 -628.503|-5736.098 -628.547
59 WINCHESTER CR SW,-5924.687 -712.811|-5906.344 -712.855|-5906.316 -701.091|-5904.359 -688.414|-5909.511 -682.377|-5924.554 -682.343
189 WESTMINSTER DR SW,-6198.833 -542.527|-6230.723 -542.516|-6230.737 -560.796|-6198.847 -560.796
88 WESTMINSTER DR SW,-6199.049 -131.728|-6199.084 -115.883|-6230.982 -116.005|-6230.947 -131.839
47 WESTVIEW DR SW,-5873.775 -103.874|-5873.831 -83.436|-5904.149 -83.525|-5904.100 -103.963
10 WARWICK DR SW,-5735.979 -282.609|-5736.028 -264.339|-5766.409 -264.428|-5766.360 -282.698
83 WESTOVER DR SW,-6103.524 -35.422|-6117.163 -28.706|-6130.522 -56.060|-6116.883 -62.765
32 WINSLOW CR SW,-6098.044 212.231|-6113.863 220.004|-6127.236 192.661|-6111.417 184.877
127 WASKATENAU CR SW,-5967.049 -908.280|-5996.269 -908.213|-5996.235 -939.637|-5991.949 -938.080|-5989.300 -937.380|-5986.574 -937.180|-5983.854 -937.469|-5981.233 -938.236
98 WASKATENAU CR SW,-6129.906 -958.496|-6141.287 -948.877|-6162.846 -974.475|-6142.161 -991.965
32 WHEATLAND AV SW,-6288.898 -788.234|-6279.167 -799.910|-6272.764 -800.621|-6250.569 -782.007|-6263.222 -766.807
198 WESTMINSTER DR SW,-6145.404 -583.780|-6181.853 -583.747|-6181.867 -602.027|-6145.418 -602.060
39 WAKEFIELD DR SW,-6239.804 -501.162|-6271.652 -501.129|-6271.659 -512.693|-6269.583 -518.420|-6239.818 -518.409
200 WESTOVER DR SW,-6288.646 -274.202|-6288.674 -258.068|-6320.565 -258.135|-6320.537 -274.280
50 WESTOVER DR SW,-5933.698 -65.934|-5952.803 -56.549|-5966.189 -84.003|-5963.603 -85.616|-5961.128 -87.406|-5958.780 -89.352|-5956.571 -91.453
103 WARWICK DR SW,-5912.216 67.978|-5928.595 76.017|-5941.974 48.663|-5925.603 40.624
187 WESTVIEW DR SW,-6386.751 200.823|-6402.437 208.528|-6415.803 181.174|-6400.123 173.469
97 WINSLOW CR SW,-6380.347 332.344|-6407.624 345.754|-6417.313 325.950|-6385.625 319.745|-6384.856 322.692|-6383.710 325.505
1416 47 ST SW,-5855.859 -767.952|-5889.273 -767.941|-5889.273 -778.605|-5855.859 -778.616
60 WASKATENAU CR SW,-6159.280 -818.257|-6178.413 -795.317|-6193.562 -808.005|-6174.037 -831.422|-6160.182 -819.813
23 WINCHESTER CR SW,-5736.098 -628.547|-5766.437 -628.503|-5766.437 -646.772|-5736.105 -646.816
63 WINCHESTER CR SW,-5924.554 -682.343|-5942.785 -682.299|-5942.911 -712.766|-5924.687 -712.811
193 WESTMINSTER DR SW,-6198.847 -560.796|-6230.737 -560.796|-6230.744 -579.054|-6198.861 -579.076
92 WESTMINSTER DR SW,-6199.014 -147.573|-6199.049 -131.728|-6230.947 -131.839|-6230.912 -147.685
14 WARWICK DR SW,-5736.028 -264.339|-5736.077 -246.070|-5766.465 -246.159|-5766.409 -264.428
87 WESTOVER DR SW,-6117.163 -28.706|-6130.801 -22.001|-6144.160 -49.355|-6130.522 -56.060
36 WINSLOW CR SW,-6113.863 220.004|-6129.683 227.787|-6143.063 200.433|-6127.236 192.661
64 WASKATENAU CR SW,-6174.037 -831.422|-6193.562 -808.005|-6208.717 -820.692|-6189.193 -844.121
27 WINCHESTER CR SW,-5736.105 -646.816|-5766.437 -646.772|-5766.437 -665.664|-5736.119 -673.670
67 WINCHESTER CR SW,-5942.785 -682.299|-5961.010 -682.265|-5961.128 -712.722|-5942.911 -712.766
197 WESTMINSTER DR SW,-6198.861 -579.076|-6230.744 -579.054|-6230.758 -597.335|-6198.874 -597.346
96 WESTMINSTER DR SW,-6198.986 -163.419|-6199.014 -147.573|-6230.912 -147.685|-6230.877 -163.519
6 WESTVIEW DR SW,-5822.808 -300.511|-5822.857 -282.253|-5853.237 -282.319|-5853.181 -300.589
18 WARWICK DR SW,-5736.077 -246.070|-5736.126 -227.789|-5766.513 -227.890|-5766.465 -246.159
91 WESTOVER DR SW,-6130.801 -22.001|-6144.447 -15.307|-6157.798 -42.650|-6144.160 -49.355
