ADDRESS,POINTS
236 ASPEN SUMMIT HE SW,-9695.560 -104.708|-9692.904 -104.708|-9665.298 -104.652|-9665.368 -75.552|-9666.731 -75.664|-9668.094 -75.641|-9669.444 -75.475|-9670.772 -75.174|-9672.065 -74.741|-9673.309 -74.185|-9674.491 -73.495|-9675.588 -72.695|-9698.797 -101.750
220 ASPEN SUMMIT HE SW,-9607.795 -70.660|-9609.291 -70.182|-9610.821 -69.848|-9612.380 -69.637|-9613.946 -69.581|-9616.183 -69.581|-9616.099 -104.563|-9597.134 -104.530|-9600.853 -71.438|-9602.615 -71.561|-9604.369 -71.461|-9606.110 -71.160
224 ASPEN SUMMIT HE SW,-9632.499 -104.585|-9616.099 -104.563|-9616.183 -69.581|-9632.590 -69.615
232 ASPEN SUMMIT HE SW,-9648.899 -104.619|-9648.983 -69.648|-9651.723 -69.904|-9654.379 -70.571|-9656.910 -71.650|-9659.245 -73.095|-9660.650 -73.985|-9662.153 -74.707|-9663.739 -75.230|-9665.368 -75.552|-9665.298 -104.652
228 ASPEN SUMMIT HE SW,-9648.899 -104.619|-9632.499 -104.585|-9632.590 -69.615|-9648.724 -69.648|-9648.983 -69.648
216 ASPEN SUMMIT HE SW,-9597.134 -104.530|-9562.084 -104.463|-9558.379 -104.452|-9557.393 -102.462|-9556.317 -100.327|-9591.703 -66.724|-9593.639 -68.492|-9595.862 -69.893|-9598.288 -70.893|-9600.853 -71.438
240 ASPEN SUMMIT HE SW,-9717.944 -84.215|-9698.797 -101.750|-9675.588 -72.695|-9677.427 -70.905|-9678.888 -68.792|-9679.929 -66.446|-9680.503 -63.944|-9717.951 -69.481
212 ASPEN SUMMIT HE SW,-9554.891 -93.333|-9554.884 -83.180|-9554.863 -59.218|-9587.767 -57.294|-9588.116 -59.874|-9588.906 -62.354|-9590.116 -64.667|-9591.703 -66.724|-9556.317 -100.327|-9555.702 -98.637|-9555.254 -96.902|-9554.989 -95.123
208 ASPEN SUMMIT HE SW,-9587.767 -57.294|-9554.863 -59.218|-9554.842 -41.438|-9589.724 -41.527|-9589.724 -45.285|-9589.661 -46.853|-9589.459 -48.410|-9589.116 -49.944|-9588.648 -51.445|-9588.207 -52.869|-9587.914 -54.325|-9587.767 -55.804
244 ASPEN SUMMIT HE SW,-9717.951 -69.481|-9680.503 -63.944|-9680.593 -61.397|-9680.209 -58.884|-9679.356 -56.494|-9678.077 -54.303|-9712.358 -30.663|-9717.972 -37.813
204 ASPEN SUMMIT HE SW,-9589.724 -41.527|-9554.842 -41.438|-9554.828 -27.550|-9559.309 -23.057|-9585.222 -23.024|-9589.710 -27.516
264 ASPEN SUMMIT HE SW,-9621.950 -54.614|-9609.165 -54.581|-9604.677 -50.078|-9604.635 -17.286|-9604.635 -15.496|-9621.510 -15.474|-9622.048 -15.474
260 ASPEN SUMMIT HE SW,-9638.958 -54.648|-9621.950 -54.614|-9622.048 -15.474|-9637.315 -15.463|-9639.056 -15.452
256 ASPEN SUMMIT HE SW,-9648.752 -54.659|-9638.958 -54.648|-9639.056 -15.452|-9653.121 -15.441|-9655.456 -15.441|-9655.365 -53.402|-9653.764 -53.958|-9652.114 -54.348|-9650.444 -54.581
252 ASPEN SUMMIT HE SW,-9655.456 -15.441|-9670.730 -15.418|-9677.350 -15.418|-9669.884 -48.977|-9668.507 -48.766|-9667.109 -48.699|-9665.718 -48.777|-9664.341 -48.999|-9662.998 -49.366|-9661.698 -49.866|-9660.454 -50.500|-9659.286 -51.256|-9657.392 -52.457|-9655.365 -53.402
248 ASPEN SUMMIT HE SW,-9669.884 -48.977|-9677.350 -15.418|-9700.390 -15.396|-9712.358 -30.663|-9678.077 -54.303|-9676.441 -52.413|-9674.477 -50.867|-9672.268 -49.711
