ADDRESS,POINTS
68 CARRINGVUE ST NW,-586.968 14642.330|-621.466 14642.341|-621.466 14634.858|-619.083 14634.869|-587.584 14634.980|-586.968 14634.991
67 CARRINGVUE ST NW,-637.454 14644.510|-671.966 14644.521|-671.980 14634.680|-670.190 14634.680|-639.865 14634.791|-637.461 14634.802
106 CARRINGVUE MR NW,-671.966 14645.010|-706.408 14645.021|-706.415 14634.558|-704.024 14634.558|-672.588 14634.680|-671.980 14634.680|-671.966 14644.521
105 CARRINGVUE MR NW,-760.388 14634.358|-724.807 14634.480|-722.402 14634.491|-722.402 14645.422|-760.381 14645.433
72 CARRINGVUE ST NW,-586.961 14649.747|-621.466 14649.758|-621.466 14642.341|-586.968 14642.330
71 CARRINGVUE ST NW,-671.959 14654.273|-671.966 14645.010|-671.966 14644.521|-637.454 14644.510|-637.454 14654.262
110 CARRINGVUE MR NW,-671.966 14645.010|-671.959 14654.273|-671.959 14655.373|-706.401 14655.385|-706.408 14645.021
109 CARRINGVUE MR NW,-760.381 14645.433|-722.402 14645.422|-722.395 14656.997|-760.381 14657.019
76 CARRINGVUE ST NW,-586.961 14649.747|-586.961 14657.153|-621.459 14657.175|-621.466 14649.758
79 CARRINGVUE ST NW,-671.959 14655.373|-671.959 14654.273|-637.454 14654.262|-637.454 14664.013|-671.952 14664.024
80 CARRINGVUE ST NW,-586.961 14657.153|-586.954 14664.569|-621.459 14664.580|-621.459 14657.175
114 CARRINGVUE MR NW,-671.959 14655.373|-671.952 14664.024|-671.952 14665.737|-706.401 14665.748|-706.401 14655.385
113 CARRINGVUE MR NW,-760.381 14657.019|-722.395 14656.997|-722.388 14669.195|-760.374 14669.206
84 CARRINGVUE ST NW,-586.954 14664.569|-586.954 14671.975|-621.459 14671.997|-621.459 14664.580
83 CARRINGVUE ST NW,-671.952 14664.024|-637.454 14664.013|-637.454 14673.765|-671.945 14673.776|-671.952 14665.737
118 CARRINGVUE MR NW,-671.952 14665.737|-671.945 14673.776|-671.945 14676.712|-706.394 14676.723|-706.401 14665.748
88 CARRINGVUE ST NW,-586.947 14679.392|-621.459 14679.414|-621.459 14671.997|-586.954 14671.975
117 CARRINGVUE MR NW,-760.374 14669.206|-722.388 14669.195|-722.388 14680.159|-760.367 14680.181
87 CARRINGVUE ST NW,-671.945 14673.776|-637.454 14673.765|-637.447 14683.528|-671.938 14683.528|-671.945 14676.712
122 CARRINGVUE MR NW,-671.931 14687.075|-706.394 14687.086|-706.394 14676.723|-671.945 14676.712|-671.938 14683.528
92 CARRINGVUE ST NW,-586.947 14686.808|-621.452 14686.819|-621.459 14679.414|-586.947 14679.392
121 CARRINGVUE MR NW,-760.367 14680.181|-722.388 14680.159|-722.381 14691.745|-760.367 14691.756
95 CARRINGVUE ST NW,-671.938 14683.528|-637.447 14683.528|-637.447 14693.280|-671.931 14693.280|-671.931 14687.075
96 CARRINGVUE ST NW,-586.947 14694.225|-621.452 14694.236|-621.452 14686.819|-586.947 14686.808
126 CARRINGVUE MR NW,-706.387 14698.061|-706.394 14687.086|-671.931 14687.075|-671.931 14693.280|-671.924 14698.050
100 CARRINGVUE ST NW,-586.940 14701.631|-621.452 14701.653|-621.452 14694.236|-586.947 14694.225
99 CARRINGVUE ST NW,-671.931 14693.280|-637.447 14693.280|-637.447 14703.032|-671.917 14703.043|-671.924 14698.050
125 CARRINGVUE MR NW,-760.367 14691.756|-722.381 14691.745|-722.374 14703.943|-760.360 14703.955
130 CARRINGVUE MR NW,-706.387 14698.061|-671.924 14698.050|-671.917 14703.043|-671.917 14708.413|-706.380 14708.425
