ADDRESS,POINTS
6 CRANSTON PL SE,5845.620 -17425.719|5870.660 -17399.055|5862.600 -17389.870|5837.217 -17416.902|5838.846 -17419.259|5840.684 -17421.438|5842.726 -17423.440|5844.949 -17425.241
66 CRANFIELD CR SE,6250.270 -17447.914|6247.670 -17412.765|6236.094 -17413.799|6239.722 -17448.915
17 CRANSTON DR SE,5977.893 -17427.899|5990.749 -17424.307|5981.515 -17390.548|5968.652 -17394.107
30 CRANFIELD CR SE,6352.576 -17435.071|6354.813 -17415.167|6324.803 -17396.842|6324.635 -17399.044|6324.202 -17401.201|6323.510 -17403.303|6322.559 -17405.293|6351.241 -17436.061
10 CRANSTON PL SE,5834.847 -17412.231|5835.931 -17414.611|5837.217 -17416.902|5862.600 -17389.870|5853.854 -17379.896|5830.821 -17406.538|5832.072 -17407.773|5833.170 -17409.140|5834.099 -17410.641
70 CRANFIELD CR SE,6229.166 -17449.927|6239.722 -17448.915|6236.094 -17413.799|6224.552 -17415.178
14 CRANSTON PL SE,5824.390 -17403.236|5826.137 -17403.758|5827.808 -17404.492|5829.374 -17405.426|5830.821 -17406.538|5853.854 -17379.896|5840.216 -17364.351|5832.834 -17366.397
74 CRANFIELD CR SE,6218.701 -17451.706|6227.607 -17450.071|6229.166 -17449.927|6224.552 -17415.178|6213.060 -17416.891
18 CRANSTON PL SE,5824.390 -17403.236|5832.834 -17366.397|5827.619 -17367.831|5809.052 -17372.980|5817.168 -17403.369|5818.958 -17403.002|5820.769 -17402.858|5822.593 -17402.936
78 CRANFIELD CR SE,6208.272 -17453.607|6218.701 -17451.706|6213.060 -17416.891|6201.617 -17418.948
22 CRANSTON PL SE,5817.168 -17403.369|5809.052 -17372.980|5798.189 -17375.982|5797.036 -17376.304|5795.896 -17376.627|5785.418 -17379.518|5810.863 -17406.894|5812.261 -17405.727|5813.799 -17404.748|5815.442 -17403.959
82 CRANFIELD CR SE,6197.842 -17455.520|6208.272 -17453.607|6201.617 -17418.948|6190.243 -17421.327
26 CRANSTON PL SE,5810.863 -17406.894|5785.418 -17379.518|5765.628 -17385.000|5764.244 -17385.389|5764.551 -17386.512|5768.137 -17399.644|5806.934 -17412.999|5807.633 -17411.297|5808.528 -17409.707|5809.605 -17408.228
86 CRANFIELD CR SE,6187.559 -17458.144|6196.227 -17455.820|6197.842 -17455.520|6190.243 -17421.327|6178.933 -17424.052
30 CRANSTON PL SE,5775.855 -17427.821|5776.645 -17430.712|5777.777 -17430.367|5806.578 -17421.472|5806.277 -17419.948|5806.137 -17418.403|5806.291 -17415.667|5806.934 -17412.999|5768.137 -17399.644
90 CRANFIELD CR SE,6177.206 -17460.913|6187.559 -17458.144|6178.933 -17424.052|6171.376 -17426.064|6167.937 -17427.032
34 CRANSTON PL SE,5816.518 -17432.169|5814.400 -17431.290|5812.436 -17430.101|5810.681 -17428.610|5809.171 -17426.887|5808.318 -17425.642|5807.584 -17424.318|5778.574 -17433.281|5777.442 -17433.625|5778.238 -17436.528|5782.398 -17451.739|5786.501 -17453.563
94 CRANFIELD CR SE,6167.937 -17427.032|6157.395 -17429.934|6166.951 -17464.871|6170.949 -17462.592|6177.206 -17460.913
38 CRANSTON PL SE,5803.740 -17461.257|5827.892 -17433.848|5824.376 -17433.147|5820.796 -17432.869|5818.629 -17432.669|5816.518 -17432.169|5786.501 -17453.563
98 CRANFIELD CR SE,6166.951 -17464.871|6157.395 -17429.934|6146.860 -17432.858|6157.150 -17470.464
42 CRANSTON PL SE,5803.740 -17461.257|5817.602 -17467.440|5837.951 -17438.674|5837.832 -17438.596|5835.525 -17437.061|5833.086 -17435.760|5830.534 -17434.682|5827.892 -17433.848
102 CRANFIELD CR SE,6146.860 -17432.858|6141.044 -17434.459|6138.702 -17435.215|6136.424 -17436.172|6147.343 -17476.057|6157.150 -17470.464
46 CRANSTON PL SE,5817.602 -17467.440|5830.352 -17473.133|5832.170 -17473.945|5833.533 -17474.545|5833.994 -17473.378|5836.616 -17467.818|5839.419 -17462.347|5842.404 -17456.965|5845.557 -17451.683|5846.095 -17450.605|5846.424 -17449.437|5846.528 -17448.225|5846.410 -17447.013|5846.067 -17445.846|5845.515 -17444.767|5844.774 -17443.811|5843.865 -17443.010|5837.951 -17438.674
106 CRANFIELD CR SE,6136.235 -17482.395|6147.343 -17476.057|6136.424 -17436.172|6133.977 -17437.450|6131.649 -17438.963|6129.475 -17440.675|6127.469 -17442.588
21 CRANSTON DR SE,5965.478 -17431.368|5976.866 -17428.188|5977.893 -17427.899|5968.652 -17394.107|5961.123 -17396.186|5954.888 -17398.054
34 CRANFIELD CR SE,6351.241 -17436.061|6322.559 -17405.293|6321.336 -17407.228|6319.875 -17408.973|6318.197 -17410.530|6316.344 -17411.865|6337.225 -17446.491
110 CRANFIELD CR SE,6120.276 -17489.112|6124.106 -17489.312|6136.235 -17482.395|6127.469 -17442.588|6125.204 -17445.256|6123.260 -17448.181|6122.156 -17449.815|6120.842 -17451.294
114 CRANFIELD CR SE,6095.753 -17487.800|6099.493 -17488.000|6120.276 -17489.112|6120.842 -17451.294|6119.779 -17452.239|6118.640 -17453.085|6117.423 -17453.807|6116.144 -17454.419|6114.809 -17454.908|6113.439 -17455.253|6112.041 -17455.486|6110.629 -17455.575|6096.305 -17486.610
118 CRANFIELD CR SE,6100.779 -17452.017|6072.454 -17469.363|6080.702 -17486.999|6082.066 -17487.066|6088.308 -17487.399|6089.867 -17487.488|6092.537 -17487.633|6093.090 -17486.432|6107.469 -17455.275|6105.658 -17454.786|6103.918 -17454.074|6102.282 -17453.140
122 CRANFIELD CR SE,6100.779 -17452.017|6099.409 -17450.694|6098.221 -17449.204|6097.228 -17447.569|6096.452 -17445.835|6064.275 -17451.872|6072.454 -17469.363
126 CRANFIELD CR SE,6096.452 -17445.835|6095.907 -17444.022|6095.585 -17442.165|6095.508 -17440.286|6095.662 -17438.407|6061.583 -17434.237|6063.764 -17450.772|6064.275 -17451.872
130 CRANFIELD CR SE,6061.583 -17434.237|6095.662 -17438.407|6096.053 -17436.539|6096.683 -17434.726|6097.535 -17433.014|6098.598 -17431.424|6058.445 -17410.475
134 CRANFIELD CR SE,6105.323 -17426.476|6077.326 -17400.278|6068.343 -17402.758|6057.816 -17405.682|6058.445 -17410.475|6098.598 -17431.424|6099.996 -17429.834|6101.611 -17428.466|6103.393 -17427.343
138 CRANFIELD CR SE,6111.167 -17425.597|6113.390 -17425.630|6097.424 -17394.718|6089.413 -17396.931|6078.878 -17399.844|6077.326 -17400.278|6105.323 -17426.476|6106.742 -17426.031|6108.203 -17425.742|6109.678 -17425.597
142 CRANFIELD CR SE,6113.390 -17425.630|6117.025 -17425.319|6120.604 -17424.563|6121.485 -17424.318|6112.257 -17390.604|6110.475 -17391.093|6099.947 -17394.018|6097.424 -17394.718
146 CRANFIELD CR SE,6131.418 -17421.561|6122.198 -17387.846|6121.010 -17388.180|6112.257 -17390.604|6121.485 -17424.318
25 CRANSTON DR SE,5954.727 -17435.960|5962.521 -17432.625|5965.478 -17431.368|5954.888 -17398.054|5947.813 -17400.523|5940.865 -17403.314
38 CRANFIELD CR SE,6316.344 -17411.865|6314.499 -17412.865|6312.549 -17413.644|6310.521 -17414.189|6308.445 -17414.500|6318.029 -17449.448|6331.563 -17450.694|6337.225 -17446.491
150 CRANFIELD CR SE,6141.359 -17418.814|6132.131 -17385.100|6131.537 -17385.267|6122.198 -17387.846|6131.418 -17421.561
154 CRANFIELD CR SE,6146.797 -17417.313|6147.979 -17416.846|6149.048 -17416.168|6149.971 -17415.289|6150.698 -17414.255|6151.208 -17413.088|6151.488 -17411.842|6151.523 -17410.575|6151.306 -17409.318|6144.106 -17382.998|6143.798 -17381.864|6132.131 -17385.100|6141.359 -17418.814
7 CRANFIELD CR SE,6276.974 -17350.863|6311.968 -17350.763|6313.206 -17339.766|6278.211 -17339.866
11 CRANFIELD CR SE,6275.737 -17361.849|6310.731 -17361.749|6311.968 -17350.763|6276.974 -17350.863
15 CRANFIELD CR SE,6274.506 -17372.846|6309.494 -17372.746|6310.731 -17361.749|6275.737 -17361.849
19 CRANFIELD CR SE,6309.494 -17372.746|6274.506 -17372.846|6273.269 -17383.843|6308.263 -17383.743
5 CRANWELL PL SE,5932.078 -17488.989|5933.071 -17489.590|5934.147 -17489.990|5935.280 -17490.201|5936.433 -17490.212|5937.565 -17490.001|5938.649 -17489.601|5939.642 -17489.012|5940.508 -17488.255|5943.172 -17485.598|5945.933 -17483.040|5922.326 -17456.153|5916.783 -17461.658|5907.429 -17470.965|5908.422 -17471.687
972 CRANSTON DR SE,6381.733 -17299.391|6381.726 -17295.899|6381.719 -17294.398|6381.705 -17290.896|6381.621 -17266.444|6370.702 -17266.455|6370.800 -17299.424
23 CRANFIELD CR SE,6276.086 -17396.620|6301.070 -17396.553|6302.245 -17396.442|6303.370 -17396.119|6304.426 -17395.597|6305.362 -17394.885|6306.166 -17394.029|6306.795 -17393.028|6307.236 -17391.938|6307.466 -17390.782|6308.263 -17383.743|6273.269 -17383.843|6272.221 -17393.162|6271.997 -17395.163|6271.829 -17396.653|6273.101 -17396.642
9 CRANWELL PL SE,5955.070 -17475.857|5935.049 -17446.624|5925.479 -17453.007|5922.326 -17456.153|5945.933 -17483.040|5950.393 -17479.315
976 CRANSTON DR SE,6370.800 -17299.424|6370.702 -17266.455|6360.391 -17266.488|6360.482 -17299.458
55 CRANFIELD CR SE,6271.829 -17396.653|6271.997 -17395.163|6272.221 -17393.162|6273.269 -17383.843|6274.506 -17372.846|6275.737 -17361.849|6265.230 -17362.127|6261.784 -17362.216|6261.085 -17396.942|6270.697 -17396.675
13 CRANWELL PL SE,5955.070 -17475.857|5959.711 -17472.833|5964.521 -17470.075|5947.981 -17438.840|5944.486 -17440.330|5935.217 -17446.513|5935.049 -17446.624
980 CRANSTON DR SE,6360.482 -17299.458|6360.391 -17266.488|6350.080 -17266.522|6350.164 -17299.491
59 CRANFIELD CR SE,6261.085 -17396.942|6261.784 -17362.216|6255.038 -17362.394|6248.726 -17362.561|6250.935 -17397.465
17 CRANWELL PL SE,5975.069 -17465.216|5962.521 -17432.625|5954.727 -17435.960|5947.981 -17438.840|5964.521 -17470.075|5969.722 -17467.484
984 CRANSTON DR SE,6350.164 -17299.491|6350.080 -17266.522|6339.154 -17266.555|6339.238 -17299.524
63 CRANFIELD CR SE,6237.827 -17363.539|6240.868 -17398.232|6250.935 -17397.465|6248.726 -17362.561|6244.391 -17362.950
29 CRANSTON DR SE,5944.486 -17440.330|5947.981 -17438.840|5954.727 -17435.960|5940.865 -17403.314|5934.378 -17406.283|5928.023 -17409.529
42 CRANFIELD CR SE,6318.029 -17449.448|6308.445 -17414.500|6306.488 -17414.555|6304.537 -17414.400|6302.615 -17414.033|6300.749 -17413.455|6299.581 -17413.054|6302.846 -17448.058
21 CRANWELL PL SE,5985.583 -17461.802|5976.866 -17428.188|5965.478 -17431.368|5962.521 -17432.625|5975.069 -17465.216|5980.277 -17463.359
988 CRANSTON DR SE,6339.238 -17299.524|6339.154 -17266.555|6328.843 -17266.577|6328.927 -17299.558
67 CRANFIELD CR SE,6240.868 -17398.232|6237.827 -17363.539|6233.773 -17363.906|6226.286 -17364.573|6230.236 -17399.322
25 CRANWELL PL SE,5995.125 -17459.512|5996.362 -17459.156|5993.538 -17423.529|5990.749 -17424.307|5977.893 -17427.899|5976.866 -17428.188|5985.583 -17461.802|5991.602 -17460.423
992 CRANSTON DR SE,6318.609 -17299.580|6328.927 -17299.558|6328.843 -17266.577|6318.532 -17266.611
71 CRANFIELD CR SE,6230.236 -17399.322|6226.286 -17364.573|6223.168 -17365.007|6215.451 -17366.086|6220.225 -17400.589
29 CRANWELL PL SE,6004.471 -17459.556|6017.550 -17420.393|6015.279 -17417.458|6003.017 -17420.882|5993.538 -17423.529|5996.362 -17459.156|5998.390 -17458.833|6000.445 -17458.789|6002.486 -17459.033
996 CRANSTON DR SE,6318.609 -17299.580|6318.532 -17266.611|6307.606 -17266.644|6307.683 -17299.613
75 CRANFIELD CR SE,6215.451 -17366.086|6212.606 -17366.486|6204.623 -17367.609|6210.250 -17402.113|6220.225 -17400.589
33 CRANWELL PL SE,6010.819 -17463.759|6034.551 -17442.332|6017.550 -17420.393|6004.471 -17459.556|6006.247 -17460.290|6007.918 -17461.246|6009.448 -17462.403
1000 CRANSTON DR SE,6307.683 -17299.613|6307.606 -17266.644|6297.295 -17266.666|6297.372 -17299.647
79 CRANFIELD CR SE,6204.623 -17367.609|6202.064 -17368.098|6193.235 -17369.777|6199.715 -17403.992|6210.250 -17402.113
37 CRANWELL PL SE,6049.518 -17464.004|6049.825 -17462.036|6034.551 -17442.332|6010.819 -17463.759|6012.056 -17465.349|6013.070 -17467.084|6013.838 -17468.952|6014.356 -17470.898
1004 CRANSTON DR SE,6297.372 -17299.647|6297.295 -17266.666|6286.977 -17266.700|6287.061 -17299.669
