ADDRESS,POINTS
213 HOTCHKISS WY SE,12260.130 -14481.244|12260.172 -14449.565|12260.172 -14446.774|12255.517 -14446.763|12253.524 -14446.763|12253.475 -14481.233
209 HOTCHKISS WY SE,12253.475 -14481.233|12253.524 -14446.763|12251.539 -14446.763|12246.862 -14446.752|12246.814 -14481.233
205 HOTCHKISS WY SE,12246.814 -14481.233|12246.862 -14446.752|12242.186 -14446.741|12240.201 -14446.741|12240.145 -14481.222
201 HOTCHKISS WY SE,12240.145 -14481.222|12240.201 -14446.741|12238.208 -14446.741|12233.532 -14446.730|12233.483 -14481.211
193 HOTCHKISS WY SE,12220.285 -14481.189|12224.283 -14481.200|12226.066 -14481.200|12226.115 -14446.718|12224.332 -14446.718|12218.425 -14446.707|12218.376 -14481.200
189 HOTCHKISS WY SE,12218.376 -14481.200|12218.425 -14446.707|12216.936 -14446.707|12210.729 -14446.696|12210.680 -14481.545|12214.524 -14481.311
185 HOTCHKISS WY SE,12210.680 -14481.545|12210.729 -14446.696|12209.240 -14446.696|12203.039 -14446.685|12202.983 -14482.356|12206.828 -14481.889
181 HOTCHKISS WY SE,12195.287 -14483.646|12201.494 -14482.568|12202.983 -14482.356|12203.039 -14446.685|12201.543 -14446.685|12195.343 -14446.674
177 HOTCHKISS WY SE,12195.287 -14483.646|12195.343 -14446.674|12193.854 -14446.674|12191.337 -14446.663|12187.793 -14446.596|12186.346 -14485.770|12190.799 -14484.625
173 HOTCHKISS WY SE,12180.488 -14446.051|12175.734 -14489.217|12180.257 -14487.627|12184.843 -14486.204|12186.346 -14485.770|12187.793 -14446.596|12186.297 -14446.529|12180.984 -14446.107
169 HOTCHKISS WY SE,12164.592 -14491.808|12168.289 -14492.275|12174.168 -14489.818|12175.734 -14489.217|12180.488 -14446.051|12179.006 -14445.884|12173.246 -14444.973
165 HOTCHKISS WY SE,12157.091 -14486.849|12163.131 -14491.530|12163.270 -14491.641|12164.592 -14491.808|12173.246 -14444.973|12171.778 -14444.695|12166.094 -14443.371|12155.112 -14485.381
161 HOTCHKISS WY SE,12144.920 -14477.797|12153.826 -14484.425|12155.112 -14485.381|12166.094 -14443.371|12164.654 -14442.982|12157.999 -14440.858
157 HOTCHKISS WY SE,12157.999 -14440.858|12156.133 -14440.169|12152.547 -14438.723|12149.017 -14437.133|12133.868 -14469.580|12144.920 -14477.797
153 HOTCHKISS WY SE,12124.571 -14462.664|12133.868 -14469.580|12149.017 -14437.133|12145.221 -14435.243|12141.509 -14433.186
149 HOTCHKISS WY SE,12114.218 -14454.958|12123.362 -14461.763|12124.571 -14462.664|12141.509 -14433.186|12140.223 -14432.430|12136.769 -14430.262|12133.414 -14427.949
145 HOTCHKISS WY SE,12105.578 -14448.531|12114.218 -14454.958|12133.414 -14427.949|12132.079 -14426.970|12125.207 -14421.855
141 HOTCHKISS WY SE,12098.664 -14443.383|12105.578 -14448.531|12125.207 -14421.855|12118.287 -14416.718|12116.637 -14418.964
137 HOTCHKISS WY SE,12091.499 -14438.056|12097.462 -14442.493|12098.664 -14443.383|12116.637 -14418.964|12118.287 -14416.718|12117.091 -14415.817|12111.128 -14411.392
133 HOTCHKISS WY SE,12085.319 -14433.464|12090.304 -14437.167|12091.499 -14438.056|12111.128 -14411.392|12109.933 -14410.491|12104.942 -14406.788
129 HOTCHKISS WY SE,12104.942 -14406.788|12103.746 -14405.899|12098.755 -14402.185|12079.133 -14428.860|12084.117 -14432.563|12085.319 -14433.464
197 HOTCHKISS WY SE,12233.483 -14481.211|12233.532 -14446.730|12226.115 -14446.718|12226.066 -14481.200
125 HOTCHKISS WY SE,12072.946 -14424.257|12077.931 -14427.971|12079.133 -14428.860|12098.755 -14402.185|12097.560 -14401.295|12092.569 -14397.581
121 HOTCHKISS WY SE,12063.803 -14417.452|12066.522 -14419.476|12071.744 -14423.367|12072.946 -14424.257|12092.569 -14397.581|12091.373 -14396.692|12087.025 -14393.456|12085.494 -14393.690|12080.769 -14394.401
196 HOTCHKISS GA SE,12127.535 -14386.295|12101.167 -14366.680|12098.504 -14370.294|12099.433 -14376.588|12101.132 -14377.844|12122.208 -14393.534
192 HOTCHKISS GA SE,12131.855 -14380.413|12105.487 -14360.798|12104.306 -14362.410|12101.167 -14366.680|12127.535 -14386.295
188 HOTCHKISS GA SE,12105.487 -14360.798|12131.855 -14380.413|12136.182 -14374.542|12111.010 -14355.817|12109.814 -14354.927|12106.675 -14359.197
184 HOTCHKISS GA SE,12140.146 -14369.149|12113.778 -14349.534|12112.596 -14351.146|12109.814 -14354.927|12111.010 -14355.817|12136.182 -14374.542
180 HOTCHKISS GA SE,12144.109 -14363.767|12117.741 -14344.152|12114.959 -14347.933|12113.778 -14349.534|12140.146 -14369.149
