ADDRESS,POINTS
85 HUXLAND CL NE,11217.731 514.615|11217.738 544.860|11216.543 544.682|11215.341 544.593|11214.131 544.604|11212.929 544.715|11211.454 544.982|11204.491 515.382|11205.966 515.126|11208.888 514.603
39 HUXLAND RD NE,11450.535 543.892|11449.039 543.825|11447.760 543.892|11446.495 544.059|11445.250 544.337|11444.027 544.726|11443.398 544.937|11443.398 514.826|11451.766 514.837|11453.269 514.837
81 HUXLAND CL NE,11225.407 514.615|11225.414 545.593|11222.946 545.593|11221.080 545.493|11219.234 545.204|11218.556 545.049|11217.738 544.860|11217.731 514.615|11219.227 514.615
77 HUXLAND CL NE,11225.414 545.593|11225.407 514.615|11226.903 514.615|11233.082 514.626|11233.089 545.605|11226.910 545.593
73 HUXLAND CL NE,11240.772 514.637|11240.779 545.616|11234.585 545.605|11233.089 545.605|11233.082 514.626|11234.578 514.626
69 HUXLAND CL NE,11248.469 514.637|11248.476 545.616|11242.275 545.616|11240.779 545.616|11240.772 514.637|11242.268 514.637
65 HUXLAND CL NE,11256.165 514.648|11256.172 545.627|11249.971 545.627|11248.476 545.616|11248.469 514.637|11249.964 514.637
61 HUXLAND CL NE,11263.869 545.638|11257.668 545.627|11256.172 545.627|11256.165 514.648|11257.661 514.648|11263.862 514.659
43 HUXLAND RD NE,11471.066 514.848|11455.820 545.404|11454.450 544.804|11452.521 544.215|11450.535 543.892|11453.269 514.837|11469.396 514.848
57 HUXLAND CL NE,11271.551 514.659|11271.558 545.649|11265.365 545.638|11263.869 545.638|11263.862 514.659|11265.358 514.659
53 HUXLAND CL NE,11279.248 514.670|11279.255 545.649|11273.054 545.649|11271.558 545.649|11271.551 514.659|11273.047 514.659
49 HUXLAND CL NE,11279.255 545.649|11279.248 514.670|11280.744 514.670|11286.944 514.681|11286.951 545.660|11280.751 545.649
45 HUXLAND CL NE,11294.641 514.692|11294.641 545.671|11288.440 545.660|11286.951 545.660|11286.944 514.681|11288.440 514.681
41 HUXLAND CL NE,11302.337 514.692|11302.337 545.671|11296.137 545.671|11294.641 545.671|11294.641 514.692|11296.137 514.692
37 HUXLAND CL NE,11310.027 514.704|11310.034 545.682|11303.833 545.671|11302.337 545.671|11302.337 514.692|11303.833 514.692
33 HUXLAND CL NE,11317.730 545.694|11311.530 545.682|11310.034 545.682|11310.027 514.704|11311.523 514.704|11317.723 514.715
29 HUXLAND CL NE,11325.420 514.715|11325.427 545.694|11319.226 545.694|11317.730 545.694|11317.723 514.715|11319.219 514.715
25 HUXLAND CL NE,11333.116 514.726|11333.116 545.705|11326.916 545.694|11325.427 545.694|11325.420 514.715|11326.916 514.715
21 HUXLAND CL NE,11340.806 514.737|11340.813 545.716|11334.612 545.705|11333.116 545.705|11333.116 514.726|11334.612 514.726
17 HUXLAND CL NE,11348.502 514.737|11348.509 545.716|11342.309 545.716|11340.813 545.716|11340.806 514.737|11342.302 514.737
13 HUXLAND CL NE,11356.199 514.748|11356.206 545.727|11350.005 545.716|11348.509 545.716|11348.502 514.737|11349.998 514.737
9 HUXLAND CL NE,11364.888 514.759|11364.895 519.752|11364.895 540.234|11364.783 541.346|11364.448 542.413|11363.902 543.392|11363.175 544.237|11362.357 544.871|11361.435 545.338|11360.442 545.627|11359.414 545.727|11357.702 545.727|11356.206 545.727|11356.199 514.748|11357.695 514.748|11363.595 514.759
7 HUXLAND RD NE,11386.321 545.760|11385.286 545.660|11384.293 545.360|11383.371 544.893|11382.553 544.248|11381.826 543.403|11381.288 542.436|11380.952 541.368|11380.840 540.256|11380.833 519.763|11380.833 514.770|11382.133 514.770|11388.033 514.781|11389.529 514.781|11389.536 545.760|11388.040 545.760
11 HUXLAND RD NE,11397.226 514.781|11397.226 545.760|11395.730 545.760|11389.536 545.760|11389.529 514.781|11395.730 514.781
15 HUXLAND RD NE,11404.922 514.792|11404.929 545.771|11403.433 545.771|11397.226 545.760|11397.226 514.781|11403.426 514.792
19 HUXLAND RD NE,11404.929 545.771|11404.922 514.792|11411.123 514.804|11412.619 514.792|11412.626 545.783|11411.130 545.783
23 HUXLAND RD NE,11420.308 514.804|11420.315 545.783|11418.819 545.783|11412.626 545.783|11412.619 514.792|11418.819 514.804
27 HUXLAND RD NE,11428.005 514.815|11428.012 545.794|11426.516 545.794|11420.315 545.783|11420.308 514.804|11426.509 514.815
31 HUXLAND RD NE,11435.701 514.815|11435.708 545.805|11434.212 545.805|11428.012 545.794|11428.005 514.815|11434.205 514.815
35 HUXLAND RD NE,11437.896 545.805|11435.708 545.805|11435.701 514.815|11441.902 514.826|11443.398 514.826|11443.398 544.937|11441.909 545.349|11439.910 545.694
89 HUXLAND CL NE,11189.958 517.973|11204.491 515.382|11211.454 544.982|11209.399 545.638|11207.448 546.572|11206.400 545.449|11189.958 527.958
47 HUXLAND RD NE,11492.492 519.340|11460.196 548.740|11459.134 547.684|11457.554 546.427|11455.820 545.404|11471.066 514.848|11488.025 514.870|11491.430 518.284
51 HUXLAND RD NE,11492.492 519.340|11492.981 519.830|11492.981 540.278|11492.981 541.891|11463.083 553.433|11462.475 552.054|11461.447 550.319|11460.196 548.740
97 HUXLAND CL NE,11178.997 526.479|11184.135 531.950|11202.373 551.365|11201.611 552.665|11200.989 554.044|11200.507 555.468|11200.164 556.935|11197.885 556.113|11169.029 545.638|11169.008 531.961|11169.029 527.980|11169.029 526.490|11170.825 526.490
55 HUXLAND RD NE,11492.981 541.891|11492.988 557.358|11492.988 558.859|11464.083 558.859|11464.013 557.369|11463.677 555.368|11463.083 553.433
101 HUXLAND CL NE,11200.164 556.935|11199.976 558.459|11199.983 560.838|11200.374 563.185|11169.029 563.185|11169.029 547.228|11169.029 545.638|11197.885 556.113
59 HUXLAND RD NE,11462.440 566.554|11462.811 565.064|11463.174 563.952|11463.565 562.718|11463.845 561.450|11464.020 560.160|11464.083 558.859|11492.988 558.859|11492.988 565.053|11492.988 566.554
104 HUXLAND CL NE,11250.768 561.617|11250.775 569.434|11250.775 570.935|11217.871 570.901|11217.871 569.411|11217.878 567.087|11218.039 565.753|11218.514 564.508|11219.276 563.418|11220.276 562.540|11220.989 562.128|11221.751 561.828|11222.548 561.650|11223.359 561.583|11250.174 561.617
226 HUXLAND CL NE,11283.666 570.968|11250.775 570.935|11250.775 569.434|11250.768 561.617|11252.565 561.617|11278.192 561.639|11279.003 561.706|11279.800 561.884|11280.562 562.184|11281.275 562.595|11282.274 563.474|11283.029 564.563|11283.505 565.809|11283.666 567.132|11283.666 569.467
105 HUXLAND CL NE,11169.029 563.185|11200.374 563.185|11200.828 564.686|11200.835 564.719|11201.311 566.220|11201.653 567.755|11201.856 569.311|11201.926 570.879|11201.926 571.502|11169.029 571.513|11169.029 564.686
172 HUXLAND PH NE,11386.335 561.739|11411.696 561.761|11413.493 561.761|11413.493 571.580|11380.847 571.591|11380.847 567.232|11381.008 565.920|11381.483 564.675|11382.238 563.574|11383.238 562.695|11383.951 562.284|11384.713 561.984|11385.517 561.806
64 HUXLAND RD NE,11440.658 561.795|11441.476 561.850|11442.273 562.039|11443.034 562.339|11443.747 562.740|11444.747 563.629|11445.502 564.719|11445.977 565.964|11446.138 567.288|11446.138 571.580|11413.493 571.580|11413.493 561.761|11414.094 561.761
171 HUXLAND PH NE,11332.256 561.695|11334.053 561.695|11359.428 561.717|11360.498 561.828|11361.526 562.139|11362.469 562.651|11363.301 563.329|11363.986 564.163|11364.489 565.108|11364.797 566.142|11364.902 567.210|11364.902 572.558|11332.256 572.536|11332.256 564.486
225 HUXLAND CL NE,11332.256 561.695|11332.256 564.486|11332.256 572.536|11332.256 574.037|11299.611 574.004|11299.618 572.503|11299.611 567.165|11299.716 566.087|11300.030 565.064|11300.534 564.107|11301.219 563.273|11302.051 562.595|11303.001 562.084|11304.029 561.772|11305.098 561.661|11331.662 561.695
63 HUXLAND RD NE,11492.988 566.554|11492.988 572.747|11492.988 574.248|11462.091 574.248|11462.091 572.758|11462.091 570.123|11462.174 568.333|11462.440 566.554
108 HUXLAND CL NE,11250.775 570.935|11250.775 577.762|11250.775 579.263|11217.871 579.230|11217.871 577.740|11217.871 570.901
222 HUXLAND CL NE,11283.666 570.968|11283.673 577.796|11283.666 579.297|11250.775 579.263|11250.775 577.762|11250.775 570.935
109 HUXLAND CL NE,11169.029 580.442|11169.029 573.014|11169.029 571.513|11201.926 571.502|11201.926 573.003|11201.926 580.442
176 HUXLAND PH NE,11380.847 571.591|11413.493 571.580|11413.500 581.376|11380.854 581.387
68 HUXLAND RD NE,11413.493 571.580|11446.138 571.580|11446.145 581.376|11413.500 581.376
175 HUXLAND PH NE,11364.902 572.558|11364.902 574.059|11364.909 581.498|11332.263 581.465|11332.256 574.037|11332.256 572.536
67 HUXLAND RD NE,11492.988 574.248|11492.988 580.442|11492.988 581.943|11462.091 581.943|11462.091 580.453|11462.091 574.248
221 HUXLAND CL NE,11332.256 574.037|11332.263 581.465|11332.263 582.966|11299.618 582.933|11299.618 581.432|11299.611 574.004
112 HUXLAND CL NE,11250.775 579.263|11250.775 586.702|11250.775 588.203|11217.878 588.170|11217.878 586.669|11217.871 579.230
218 HUXLAND CL NE,11283.666 579.297|11283.666 586.736|11283.666 588.237|11250.775 588.203|11250.775 586.702|11250.775 579.263
113 HUXLAND CL NE,11169.029 580.442|11201.926 580.442|11201.926 581.943|11201.926 588.770|11169.036 588.770|11169.029 581.943
71 HUXLAND RD NE,11492.988 581.943|11492.988 588.137|11492.988 589.638|11462.091 589.638|11462.091 588.148|11462.091 581.943
179 HUXLAND PH NE,11364.909 581.498|11364.902 582.999|11364.902 589.827|11332.256 589.793|11332.263 582.966|11332.263 581.465
180 HUXLAND PH NE,11380.854 581.387|11413.500 581.376|11413.500 591.172|11380.854 591.172
217 HUXLAND CL NE,11332.263 582.966|11332.256 589.793|11332.263 591.295|11299.618 591.261|11299.618 589.760|11299.618 582.933
72 HUXLAND RD NE,11413.500 581.376|11446.145 581.376|11446.145 591.161|11413.500 591.172
116 HUXLAND CL NE,11250.775 588.203|11250.775 595.031|11250.775 596.532|11217.878 596.499|11217.878 594.997|11217.878 588.170
214 HUXLAND CL NE,11283.666 588.237|11283.673 595.064|11283.666 596.565|11250.775 596.532|11250.775 595.031|11250.775 588.203
75 HUXLAND RD NE,11492.988 589.638|11492.995 595.831|11492.995 597.332|11462.091 597.332|11462.091 595.842|11462.091 589.638
117 HUXLAND CL NE,11169.036 588.770|11201.926 588.770|11201.926 590.260|11201.926 597.699|11169.036 597.699|11169.036 590.272
183 HUXLAND PH NE,11364.902 589.827|11364.902 591.328|11364.909 598.756|11332.263 598.722|11332.263 591.295|11332.256 589.793
213 HUXLAND CL NE,11332.263 598.722|11332.263 600.224|11299.618 600.190|11299.618 598.689|11299.618 591.261|11332.263 591.295
184 HUXLAND PH NE,11380.854 591.172|11413.500 591.172|11413.500 600.969|11380.854 600.969
76 HUXLAND RD NE,11413.500 591.172|11446.145 591.161|11446.145 600.957|11413.500 600.969
79 HUXLAND RD NE,11492.995 597.332|11492.995 603.526|11492.995 605.027|11462.097 605.027|11462.097 603.526|11462.091 597.332
120 HUXLAND CL NE,11250.775 596.532|11250.775 603.960|11250.775 605.461|11217.878 605.427|11217.878 603.926|11217.878 596.499
210 HUXLAND CL NE,11283.666 596.565|11283.673 603.993|11283.673 605.494|11250.775 605.461|11250.775 603.960|11250.775 596.532
121 HUXLAND CL NE,11169.036 597.699|11201.926 597.699|11201.926 599.201|11201.933 606.028|11169.043 606.039|11169.036 599.201
187 HUXLAND PH NE,11364.909 598.756|11364.909 600.257|11364.909 607.084|11332.263 607.051|11332.263 600.224|11332.263 598.722
209 HUXLAND CL NE,11332.263 607.051|11332.263 608.552|11299.618 608.519|11299.618 607.018|11299.618 600.190|11332.263 600.224
188 HUXLAND PH NE,11380.854 600.969|11413.500 600.969|11413.500 610.754|11380.854 610.765
80 HUXLAND RD NE,11413.500 600.969|11446.145 600.957|11446.145 610.754|11413.500 610.754
83 HUXLAND RD NE,11492.995 605.027|11492.995 611.221|11492.995 612.722|11462.097 612.722|11462.097 611.221|11462.097 605.027
124 HUXLAND CL NE,11250.775 605.461|11250.775 612.288|11250.775 613.789|11217.878 613.756|11217.878 612.255|11217.878 605.427
206 HUXLAND CL NE,11283.673 605.494|11283.673 612.322|11283.673 613.823|11250.775 613.789|11250.775 612.288|11250.775 605.461
125 HUXLAND CL NE,11169.043 606.039|11201.933 606.028|11201.933 607.529|11201.933 612.822|11201.807 614.968|11169.043 614.968|11169.043 607.540
191 HUXLAND PH NE,11364.909 616.013|11332.263 615.980|11332.263 608.552|11332.263 607.051|11364.909 607.084|11364.909 608.574
205 HUXLAND CL NE,11332.263 608.552|11332.263 615.980|11332.263 617.481|11300.009 617.459|11299.758 615.958|11299.618 613.712|11299.618 608.519
87 HUXLAND RD NE,11492.995 612.722|11493.002 618.915|11493.002 620.417|11462.783 620.417|11462.426 618.915|11462.181 617.214|11462.097 615.502|11462.097 612.722
128 HUXLAND CL NE,11217.878 613.756|11250.775 613.789|11250.775 621.884|11250.181 621.884|11223.373 621.918|11222.548 621.862|11221.751 621.673|11220.982 621.373|11220.276 620.961|11219.276 620.083|11218.514 618.993|11218.039 617.748|11217.878 616.425
202 HUXLAND CL NE,11283.673 613.823|11283.673 616.358|11283.512 617.681|11283.036 618.927|11282.274 620.016|11281.275 620.906|11280.569 621.306|11279.807 621.606|11279.010 621.795|11278.192 621.862|11252.572 621.884|11250.775 621.884|11250.775 613.789
129 HUXLAND CL NE,11199.969 623.297|11169.043 623.297|11169.043 616.469|11169.043 614.968|11201.807 614.968|11201.562 616.469|11200.849 618.993|11200.248 621.106
192 HUXLAND PH NE,11380.854 610.765|11413.500 610.754|11413.507 623.675|11411.710 623.675|11386.342 623.708|11385.524 623.652|11384.727 623.463|11383.958 623.163|11383.245 622.752|11382.245 621.873|11381.490 620.784|11381.015 619.538|11380.854 618.215
84 HUXLAND RD NE,11440.672 623.641|11414.101 623.675|11413.507 623.675|11413.500 610.754|11446.145 610.754|11446.152 618.148|11445.991 619.471|11445.516 620.717|11444.754 621.806|11443.754 622.685|11443.048 623.096|11442.286 623.397|11441.490 623.586
195 HUXLAND PH NE,11364.909 616.013|11364.909 617.514|11364.916 624.342|11332.263 624.308|11332.263 617.481|11332.263 615.980
201 HUXLAND CL NE,11332.263 617.481|11332.263 624.308|11332.263 625.810|11301.596 625.787|11301.596 624.286|11301.317 622.051|11300.708 619.883|11300.009 617.459
91 HUXLAND RD NE,11493.002 620.417|11493.002 626.610|11493.002 628.111|11464.041 628.111|11464.090 626.610|11464.020 625.354|11463.845 624.108|11463.565 622.874|11463.188 621.673|11462.783 620.417
199 HUXLAND PH NE,11364.916 633.282|11332.270 633.248|11332.263 625.810|11332.263 624.308|11364.916 624.342|11364.916 625.843
95 HUXLAND RD NE,11493.002 628.111|11493.002 635.539|11461.301 635.539|11462.356 633.838|11463.167 632.003|11463.733 630.091|11464.041 628.111
133 HUXLAND CL NE,11169.043 623.297|11199.969 623.297|11199.962 624.787|11200.220 626.988|11200.800 629.123|11169.043 640.376|11169.043 624.798
203 HUXLAND PH NE,11364.916 641.599|11332.270 641.566|11332.263 634.750|11332.270 633.248|11364.916 633.282|11364.909 634.772
197 HUXLAND CL NE,11332.263 625.810|11332.270 633.248|11332.263 634.750|11332.270 641.566|11332.270 643.067|11332.270 643.078|11332.270 644.713|11300.394 630.958|11300.918 629.546|11301.379 627.689|11301.596 625.787
207 HUXLAND PH NE,11364.916 641.599|11364.916 643.100|11364.916 650.539|11332.270 650.506|11332.270 644.713|11332.270 643.078|11332.270 643.067|11332.270 641.566
211 HUXLAND PH NE,11364.916 650.539|11364.916 652.040|11364.923 659.468|11332.277 659.446|11332.270 652.007|11332.270 650.506
137 HUXLAND CL NE,11203.352 633.649|11169.050 661.959|11169.043 641.966|11169.043 640.376|11200.800 629.123|11201.367 630.513|11202.261 632.148
193 HUXLAND CL NE,11300.394 630.958|11332.270 644.713|11332.270 650.506|11332.270 652.007|11332.277 659.446|11332.270 660.947|11332.277 666.029|11332.277 668.086|11297.549 635.306|11298.520 634.160|11299.562 632.615
