ADDRESS,POINTS
199 INVERNESS WY SE,7391.920 -14819.744|7358.918 -14815.441|7356.870 -14830.552|7359.442 -14833.521|7386.062 -14833.532|7390.900 -14829.051
16 INVERNESS GV SE,6815.374 -15003.271|6806.321 -14994.153|6787.440 -15022.930|6789.131 -15024.165|6790.760 -15025.488|6792.312 -15026.889|6793.787 -15028.379
210 INVERNESS PA SE,7284.337 -15151.605|7259.416 -15126.531|7251.502 -15134.470|7271.327 -15164.682
419 INVERNESS PA SE,7196.019 -15267.482|7196.033 -15232.244|7183.268 -15232.255|7183.254 -15267.482
11 PRESTWICK RO SE,7564.431 -14303.633|7562.236 -14294.748|7529.444 -14302.954|7531.639 -14311.828
82 PRESTWICK CI SE,7678.837 -14191.671|7668.624 -14162.271|7667.639 -14159.435|7659.900 -14163.060|7669.778 -14191.504|7671.092 -14195.296
322 PRESTWICK LD SE,6790.243 -14256.197|6789.173 -14254.473|6788.376 -14252.617|6787.866 -14250.659|6787.649 -14248.636|6766.797 -14249.292|6768.055 -14290.123|6784.392 -14290.123|6784.406 -14260.500
34 PRESTWICK WY SE,7507.592 -14205.792|7507.599 -14198.153|7473.800 -14198.131|7473.800 -14205.781|7477.770 -14205.781
159 INVERNESS WY SE,7366.608 -14704.957|7363.266 -14699.854|7360.134 -14694.605|7329.572 -14712.141|7327.307 -14714.020|7336.828 -14725.618
147 INVERNESS LN SE,6977.336 -14977.174|6970.898 -14970.680|6948.221 -14993.464|6946.116 -14995.588|6952.555 -15002.070
48 INVERNESS GV SE,6868.480 -15056.723|6862.014 -15050.218|6837.240 -15075.125|6843.699 -15081.630
194 INVERNESS PA SE,7221.513 -15139.830|7213.439 -15139.830|7209.343 -15139.819|7209.329 -15175.045|7221.499 -15175.056
54 PRESTWICK LD SE,7247.098 -14471.215|7236.781 -14471.204|7236.781 -14474.206|7236.767 -14505.185|7247.084 -14505.185|7247.084 -14501.193
162 PRESTWICK CR SE,7636.832 -14158.446|7636.839 -14150.039|7603.040 -14153.219|7603.033 -14167.019|7632.854 -14159.457
334 INVERNESS PA SE,7521.747 -15226.595|7512.059 -15221.336|7490.905 -15209.871|7489.360 -15212.762|7483.908 -15222.937|7483.446 -15223.793|7514.170 -15240.717
6 INVERNESS CL SE,7221.450 -14787.809|7198.123 -14760.777|7186.379 -14772.575|7207.609 -14793.947|7214.152 -14794.180
20 INVERNESS GV SE,6823.252 -15011.199|6815.374 -15003.271|6793.787 -15028.379|6796.436 -15031.504|6798.757 -15034.873|6799.114 -15035.451
214 INVERNESS PA SE,7293.368 -15142.532|7268.447 -15117.446|7259.416 -15126.531|7284.337 -15151.605
421 INVERNESS PA SE,7183.254 -15267.482|7183.268 -15232.255|7170.497 -15232.244|7170.483 -15267.470
15 PRESTWICK RO SE,7566.633 -14312.517|7564.431 -14303.633|7531.639 -14311.828|7533.841 -14320.712
