ADDRESS,POINTS
169 OSPREY HILL WY SW,-11578.885 3835.073|-11584.492 3838.375|-11594.258 3804.683|-11579.200 3795.799|-11576.418 3794.153|-11576.411 3796.222|-11576.397 3798.201|-11576.180 3830.303|-11576.362 3831.715|-11576.893 3833.049|-11577.760 3834.183
165 OSPREY HILL WY SW,-11594.258 3804.683|-11584.492 3838.375|-11585.422 3838.931|-11589.497 3841.333|-11590.783 3842.089|-11608.008 3812.790|-11606.715 3812.022
161 OSPREY HILL WY SW,-11608.008 3812.790|-11590.783 3842.089|-11591.622 3842.590|-11597.124 3845.837|-11598.417 3846.593|-11615.634 3817.282|-11614.348 3816.526
157 OSPREY HILL WY SW,-11615.634 3817.282|-11598.417 3846.593|-11599.256 3847.093|-11604.757 3850.329|-11606.050 3851.096|-11623.268 3821.785|-11621.982 3821.029
153 OSPREY HILL WY SW,-11623.268 3821.785|-11606.050 3851.096|-11606.889 3851.585|-11612.391 3854.832|-11613.684 3855.600|-11630.902 3826.289|-11629.615 3825.532
149 OSPREY HILL WY SW,-11630.902 3826.289|-11613.684 3855.600|-11614.523 3856.089|-11620.024 3859.336|-11621.311 3860.103|-11638.535 3830.792|-11637.249 3830.036
145 OSPREY HILL WY SW,-11638.535 3830.792|-11621.311 3860.103|-11622.157 3860.592|-11627.658 3863.839|-11628.944 3864.606|-11646.169 3835.295|-11644.876 3834.528
141 OSPREY HILL WY SW,-11632.013 3866.408|-11633.705 3867.286|-11635.480 3867.987|-11636.969 3868.409|-11653.788 3839.788|-11652.495 3839.032|-11646.169 3835.295|-11628.944 3864.606|-11629.790 3865.096
137 OSPREY HILL WY SW,-11653.788 3839.788|-11636.969 3868.409|-11637.864 3868.598|-11639.465 3868.987|-11641.010 3869.543|-11642.492 3870.277|-11643.876 3871.156|-11644.435 3871.589|-11645.057 3872.101|-11661.408 3844.280|-11660.115 3843.524
178 OSPREY HILL WY SW,-11559.116 3830.748|-11559.913 3828.012|-11560.256 3825.177|-11556.222 3832.037|-11539.739 3860.092|-11544.436 3872.501|-11560.969 3844.113|-11560.060 3842.723|-11559.319 3841.244|-11558.760 3839.676|-11558.389 3838.064|-11558.208 3836.418|-11558.229 3834.762|-11558.438 3833.116|-11558.844 3831.515
133 OSPREY HILL WY SW,-11661.408 3844.280|-11645.057 3872.101|-11646.553 3873.635|-11647.819 3875.359|-11649.972 3874.291|-11680.031 3859.325|-11681.827 3858.424|-11683.757 3857.468
174 OSPREY HILL WY SW,-11560.969 3844.113|-11544.436 3872.501|-11544.255 3875.604|-11544.241 3875.804|-11544.220 3876.226|-11551.266 3878.372|-11568.267 3849.173|-11566.519 3848.539|-11564.870 3847.671|-11563.353 3846.604|-11561.989 3845.336
170 OSPREY HILL WY SW,-11568.267 3849.173|-11551.266 3878.372|-11552.734 3878.817|-11556.886 3880.074|-11559.592 3881.675|-11576.683 3852.330|-11575.579 3851.674|-11574.209 3850.952|-11572.783 3850.340|-11571.308 3849.873|-11569.791 3849.528|-11569.742 3849.517
125 OSPREY HILL WY SW,-11686.839 3859.280|-11684.903 3860.236|-11651.300 3876.971|-11649.154 3878.039|-11649.860 3880.574|-11650.118 3883.187|-11691.656 3882.742|-11690.852 3873.413|-11692.725 3866.953|-11694.850 3864.006
166 OSPREY HILL WY SW,-11576.683 3852.330|-11559.592 3881.675|-11560.878 3882.431|-11561.780 3882.965|-11566.680 3885.856|-11567.218 3886.167|-11584.310 3856.823|-11577.970 3853.087
162 OSPREY HILL WY SW,-11584.310 3856.823|-11567.218 3886.167|-11568.512 3886.934|-11571.573 3888.747|-11574.845 3890.670|-11591.937 3861.326|-11585.603 3857.590
158 OSPREY HILL WY SW,-11591.937 3861.326|-11574.845 3890.670|-11576.138 3891.438|-11580.416 3893.962|-11582.479 3895.174|-11599.570 3865.830|-11593.230 3862.082
8 OSPREY HILL PL SW,-11403.480 3900.044|-11404.718 3865.062|-11403.222 3865.007|-11396.811 3864.973|-11391.904 3869.899|-11391.932 3899.488|-11391.932 3900.100|-11396.951 3899.922|-11401.970 3899.977|-11401.984 3899.977
154 OSPREY HILL WY SW,-11599.570 3865.830|-11582.479 3895.174|-11583.765 3895.930|-11589.336 3899.221|-11590.105 3899.677|-11607.197 3870.322|-11600.857 3866.586
16 OSPREY HILL PL SW,-11411.743 3900.811|-11415.301 3865.785|-11413.812 3865.640|-11409.269 3865.285|-11404.718 3865.062|-11403.480 3900.044|-11407.479 3900.333|-11410.254 3900.622
24 OSPREY HILL PL SW,-11425.829 3867.208|-11424.354 3866.975|-11419.838 3866.308|-11415.301 3865.785|-11411.743 3900.811|-11412.980 3900.978|-11418.447 3901.935|-11418.475 3901.935|-11419.915 3902.235
121 OSPREY HILL WY SW,-11650.118 3883.187|-11650.062 3884.633|-11649.867 3886.056|-11649.538 3887.468|-11649.077 3888.836|-11684.001 3902.635|-11684.574 3901.634|-11689.650 3894.618|-11692.082 3887.679|-11691.656 3882.742
32 OSPREY HILL PL SW,-11427.947 3904.314|-11436.266 3869.343|-11434.812 3868.999|-11430.331 3868.042|-11425.829 3867.208|-11419.915 3902.235|-11423.956 3903.191|-11426.507 3903.892
150 OSPREY HILL WY SW,-11607.197 3870.322|-11590.105 3899.677|-11591.391 3900.433|-11594.118 3902.046|-11597.732 3904.170|-11614.823 3874.825|-11608.483 3871.089
40 OSPREY HILL PL SW,-11427.947 3904.314|-11431.184 3905.348|-11434.385 3906.494|-11435.783 3907.027|-11446.570 3872.168|-11445.137 3871.734|-11440.719 3870.477|-11436.266 3869.343
146 OSPREY HILL WY SW,-11614.823 3874.825|-11597.732 3904.170|-11598.906 3904.870|-11599.018 3904.937|-11603.695 3907.694|-11605.358 3908.673|-11622.450 3879.329|-11616.110 3875.581
48 OSPREY HILL PL SW,-11456.685 3875.681|-11455.287 3875.148|-11450.946 3873.602|-11446.570 3872.168|-11435.783 3907.027|-11436.014 3907.116|-11442.012 3909.718|-11443.368 3910.363
142 OSPREY HILL WY SW,-11622.450 3879.329|-11605.358 3908.673|-11606.652 3909.429|-11612.845 3913.087|-11613.237 3912.631|-11617.948 3907.150|-11621.367 3902.869|-11624.470 3898.376|-11627.260 3893.673|-11629.713 3888.791|-11628.742 3885.822|-11627.609 3882.364|-11623.743 3880.085
56 OSPREY HILL PL SW,-11466.576 3879.885|-11465.220 3879.262|-11460.977 3877.405|-11456.685 3875.681|-11443.368 3910.363|-11444.515 3910.930|-11449.352 3913.543|-11449.380 3913.554|-11450.652 3914.299
117 OSPREY HILL WY SW,-11646.036 3893.628|-11644.337 3895.730|-11676.452 3915.144|-11677.836 3913.432|-11684.001 3902.635|-11649.077 3888.836|-11648.490 3890.137|-11647.784 3891.382|-11646.966 3892.550
64 OSPREY HILL PL SW,-11472.616 3882.842|-11466.576 3879.885|-11450.652 3914.299|-11454.098 3916.434|-11456.349 3917.924|-11457.580 3918.792|-11476.000 3885.111|-11474.804 3884.177
113 OSPREY HILL WY SW,-11669.887 3923.251|-11676.452 3915.144|-11644.337 3895.730|-11643.016 3897.976|-11641.227 3901.401|-11639.297 3904.759
72 OSPREY HILL PL SW,-11480.830 3891.605|-11479.907 3889.792|-11478.789 3888.091|-11477.482 3886.523|-11476.000 3885.111|-11457.580 3918.792|-11458.677 3919.570|-11461.194 3921.460|-11463.137 3922.917|-11463.543 3923.217|-11464.780 3924.073|-11481.522 3893.461
80 OSPREY HILL PL SW,-11481.969 3895.185|-11481.522 3893.461|-11464.780 3924.073|-11469.261 3926.953|-11469.596 3927.154|-11472.309 3928.755|-11486.457 3902.891|-11484.878 3901.267|-11483.584 3899.410|-11482.606 3897.364
109 OSPREY HILL WY SW,-11634.187 3912.387|-11663.212 3934.036|-11667.630 3926.030|-11669.887 3923.251|-11639.297 3904.759|-11636.837 3908.628
88 OSPREY HILL PL SW,-11492.050 3905.871|-11490.533 3905.370|-11489.079 3904.703|-11487.716 3903.869|-11486.457 3902.891|-11472.309 3928.755|-11475.161 3930.434|-11479.921 3933.247|-11484.675 3936.049|-11489.205 3938.729
105 OSPREY HILL WY SW,-11656.291 3943.977|-11660.863 3938.284|-11663.212 3934.036|-11634.187 3912.387|-11632.160 3915.011|-11630.042 3917.569|-11628.182 3919.737
96 OSPREY HILL PL SW,-11492.050 3905.871|-11489.205 3938.729|-11489.435 3938.862|-11494.196 3941.664|-11500.222 3945.223|-11501.116 3945.745|-11501.417 3945.234|-11507.184 3935.426|-11499.956 3908.161|-11499.341 3905.849|-11499.306 3905.826|-11497.509 3906.204|-11495.678 3906.338|-11493.853 3906.227
101 OSPREY HILL WY SW,-11628.182 3919.737|-11621.436 3927.587|-11649.811 3952.039|-11656.291 3943.977
97 OSPREY HILL WY SW,-11621.436 3927.587|-11614.698 3935.438|-11643.338 3960.123|-11644.197 3959.011|-11649.811 3952.039
22 OSPREY HILL BA SW,-11536.425 3927.676|-11534.251 3928.877|-11531.686 3930.289|-11528.016 3937.172|-11517.649 3954.808|-11517.348 3955.319|-11520.382 3957.109|-11525.814 3960.312|-11526.611 3960.779|-11541.375 3935.660|-11541.053 3935.393|-11539.438 3933.770|-11538.103 3931.913|-11537.089 3929.867
18 OSPREY HILL BA SW,-11541.375 3935.660|-11526.611 3960.779|-11527.596 3961.357|-11531.406 3963.470|-11534.985 3965.204|-11550.567 3938.696|-11549.337 3938.684|-11548.106 3938.562|-11546.890 3938.329|-11545.702 3937.995|-11544.548 3937.561|-11543.430 3937.017|-11542.374 3936.383
93 OSPREY HILL WY SW,-11614.698 3935.438|-11607.959 3943.288|-11609.776 3944.845|-11635.585 3967.095|-11636.962 3968.285|-11643.338 3960.123
14 OSPREY HILL BA SW,-11561.745 3937.139|-11559.906 3937.072|-11558.068 3937.183|-11556.250 3937.495|-11554.475 3937.984|-11552.420 3938.495|-11551.126 3938.662|-11550.567 3938.696|-11534.985 3965.204|-11536.362 3965.827|-11536.397 3965.838|-11541.291 3967.784|-11541.549 3967.873|-11543.311 3968.507
10 OSPREY HILL BA SW,-11569.253 3939.552|-11567.854 3938.807|-11566.400 3938.195|-11564.891 3937.706|-11563.353 3937.361|-11562.220 3937.183|-11561.745 3937.139|-11543.311 3968.507|-11544.744 3969.018|-11546.778 3969.752|-11551.783 3971.554|-11570.238 3940.141
6 OSPREY HILL BA SW,-11570.238 3940.141|-11551.783 3971.554|-11552.007 3971.631|-11553.216 3972.065|-11560.403 3974.656|-11560.745 3974.133|-11562.849 3971.387|-11565.065 3968.729|-11580.172 3951.138|-11579.745 3948.525|-11579.235 3945.445|-11571.531 3940.897|-11570.595 3940.352
85 OSPREY HILL WY SW,-11606.009 3945.556|-11599.263 3953.407|-11628.742 3978.815|-11635.117 3970.642|-11633.740 3969.463|-11607.826 3947.124
81 OSPREY HILL WY SW,-11592.517 3961.268|-11621.562 3986.298|-11626.665 3981.472|-11628.742 3978.815|-11599.263 3953.407
77 OSPREY HILL WY SW,-11592.517 3961.268|-11585.771 3969.118|-11613.999 3993.448|-11621.562 3986.298
73 OSPREY HILL WY SW,-11585.771 3969.118|-11579.025 3976.980|-11607.344 4001.387|-11609.748 3997.462|-11613.999 3993.448
69 OSPREY HILL WY SW,-11579.025 3976.980|-11577.159 3979.148|-11575.174 3981.561|-11573.300 3984.063|-11571.531 3986.643|-11569.882 3989.289|-11602.751 4008.882|-11607.344 4001.387
65 OSPREY HILL WY SW,-11562.870 4005.212|-11565.156 4005.913|-11599.570 4016.354|-11600.822 4012.029|-11602.751 4008.882|-11569.882 3989.289|-11567.966 3992.703|-11566.240 3996.217|-11564.709 3999.819|-11563.374 4003.500
