ADDRESS,POINTS
127 SKYVIEW POINT RD NE,8527.174 12378.958|8529.550 12381.337|8509.243 12411.827|8507.342 12411.315|8505.391 12411.015|8503.427 12410.926|8501.463 12411.060|8510.760 12378.935
123 SKYVIEW POINT RD NE,8510.760 12378.935|8501.463 12411.060|8499.400 12411.427|8497.394 12412.038|8494.955 12412.828|8492.452 12413.395|8495.947 12378.913
99 SKYVIEW POINT RD NE,8441.065 12378.846|8441.058 12413.839|8432.187 12413.828|8431.292 12412.783|8427.692 12409.325|8427.692 12404.366|8427.692 12378.824
103 SKYVIEW POINT RD NE,8441.058 12413.839|8441.065 12378.846|8451.537 12378.858|8451.537 12413.851
107 SKYVIEW POINT RD NE,8462.008 12378.869|8462.008 12413.862|8451.537 12413.851|8451.537 12378.858
111 SKYVIEW POINT RD NE,8472.480 12378.891|8472.487 12413.884|8462.008 12413.862|8462.008 12378.869
115 SKYVIEW POINT RD NE,8482.952 12378.902|8482.959 12413.895|8472.487 12413.884|8472.480 12378.891
119 SKYVIEW POINT RD NE,8486.964 12413.895|8482.959 12413.895|8482.952 12378.902|8495.947 12378.913|8492.452 12413.395|8489.719 12413.773
131 SKYVIEW POINT RD NE,8542.189 12394.002|8515.933 12415.785|8514.430 12414.529|8512.808 12413.439|8511.068 12412.538|8509.243 12411.827|8529.550 12381.337
135 SKYVIEW POINT RD NE,8553.297 12405.122|8551.794 12405.889|8520.281 12422.112|8519.456 12420.367|8518.450 12418.721|8517.268 12417.186|8515.933 12415.785|8542.189 12394.002
139 SKYVIEW POINT RD NE,8553.297 12405.122|8553.584 12405.411|8553.577 12411.338|8553.577 12422.502|8521.609 12429.373|8521.560 12427.516|8521.323 12425.682|8520.896 12423.869|8520.281 12422.112|8551.794 12405.889
143 SKYVIEW POINT RD NE,8521.609 12429.373|8553.577 12422.502|8553.577 12432.376|8553.577 12437.769|8519.659 12437.780|8520.491 12435.178|8520.952 12433.766|8521.288 12432.320|8521.511 12430.852
44 SKYVIEW RANCH BV NE,8427.685 12433.321|8432.180 12428.829|8461.659 12428.873|8461.659 12439.837|8427.685 12439.837
144 SKYVIEW POINT RD NE,8499.135 12428.906|8503.630 12433.410|8503.630 12439.870|8469.656 12439.870|8469.656 12428.862
45 SKYVIEW RANCH BV NE,8396.200 12428.784|8400.695 12433.287|8400.695 12440.426|8366.686 12440.382|8366.693 12428.740
147 SKYVIEW POINT RD NE,8553.577 12437.769|8553.577 12440.915|8553.577 12448.143|8518.617 12448.154|8518.617 12445.608|8518.680 12443.629|8518.883 12441.660|8519.205 12439.703|8519.659 12437.780
48 SKYVIEW RANCH BV NE,8427.685 12439.837|8461.659 12439.837|8461.659 12449.010|8427.685 12449.010
148 SKYVIEW POINT RD NE,8469.656 12439.870|8503.630 12439.870|8503.630 12449.044|8469.656 12449.044
49 SKYVIEW RANCH BV NE,8400.695 12440.426|8400.695 12449.600|8366.686 12449.555|8366.686 12440.382
52 SKYVIEW RANCH BV NE,8461.659 12458.195|8427.685 12458.195|8427.685 12449.010|8461.659 12449.010
152 SKYVIEW POINT RD NE,8469.656 12449.044|8503.630 12449.044|8503.630 12458.217|8469.656 12458.217
151 SKYVIEW POINT RD NE,8553.577 12448.143|8553.577 12458.529|8518.617 12458.529|8518.617 12448.154
53 SKYVIEW RANCH BV NE,8400.695 12449.600|8400.695 12458.762|8366.686 12458.718|8366.686 12449.555
57 SKYVIEW RANCH BV NE,8400.695 12467.936|8366.686 12467.891|8366.686 12458.718|8400.695 12458.762
56 SKYVIEW RANCH BV NE,8427.685 12458.195|8461.659 12458.195|8461.659 12468.025|8427.685 12468.025
156 SKYVIEW POINT RD NE,8469.656 12458.217|8503.630 12458.217|8503.630 12468.047|8469.656 12468.047
155 SKYVIEW POINT RD NE,8553.577 12464.155|8553.577 12468.914|8518.617 12468.914|8518.617 12458.529|8553.577 12458.529|8553.577 12462.654
61 SKYVIEW RANCH BV NE,8400.695 12467.936|8400.688 12477.098|8366.686 12477.054|8366.686 12467.891
60 SKYVIEW RANCH BV NE,8427.685 12468.025|8461.659 12468.025|8461.659 12477.198|8427.685 12477.198
160 SKYVIEW POINT RD NE,8469.656 12468.047|8503.630 12468.047|8503.630 12477.221|8469.656 12477.221
159 SKYVIEW POINT RD NE,8553.577 12468.914|8553.577 12479.300|8518.617 12479.289|8518.617 12468.914
65 SKYVIEW RANCH BV NE,8400.688 12477.098|8400.688 12486.272|8366.679 12486.227|8366.686 12477.054
64 SKYVIEW RANCH BV NE,8427.685 12486.372|8427.685 12477.198|8461.659 12477.198|8461.659 12486.372
164 SKYVIEW POINT RD NE,8469.656 12477.221|8503.630 12477.221|8503.630 12486.394|8469.656 12486.383
163 SKYVIEW POINT RD NE,8553.577 12485.894|8553.577 12489.685|8518.610 12489.674|8518.617 12479.289|8553.577 12479.300
69 SKYVIEW RANCH BV NE,8400.688 12486.272|8400.688 12495.434|8366.679 12495.390|8366.679 12486.227
68 SKYVIEW RANCH BV NE,8461.659 12495.545|8427.685 12495.545|8427.685 12486.372|8461.659 12486.372
168 SKYVIEW POINT RD NE,8469.656 12486.383|8503.630 12486.394|8503.630 12495.557|8469.656 12495.557
167 SKYVIEW POINT RD NE,8553.577 12493.388|8553.577 12500.049|8553.577 12500.060|8518.610 12500.049|8518.610 12489.674|8553.577 12489.685
73 SKYVIEW RANCH BV NE,8400.688 12495.434|8400.688 12504.608|8366.679 12504.563|8366.679 12495.390
72 SKYVIEW RANCH BV NE,8461.659 12495.545|8461.659 12504.730|8427.685 12504.730|8427.685 12495.545
172 SKYVIEW POINT RD NE,8469.656 12495.557|8503.630 12495.557|8503.623 12504.730|8469.649 12504.730
171 SKYVIEW POINT RD NE,8553.577 12500.060|8553.577 12510.446|8518.610 12510.434|8518.610 12500.049
77 SKYVIEW RANCH BV NE,8400.688 12504.608|8400.688 12513.759|8366.679 12513.715|8366.679 12508.244|8366.679 12504.563
76 SKYVIEW RANCH BV NE,8461.659 12504.730|8461.659 12514.560|8427.685 12514.560|8427.685 12504.730
176 SKYVIEW POINT RD NE,8469.649 12504.730|8503.623 12504.730|8503.623 12514.571|8469.649 12514.560
152 SKYVIEW POINT GR NE,8358.689 12508.233|8358.689 12516.773|8324.681 12516.717|8324.681 12508.188
175 SKYVIEW POINT RD NE,8553.577 12514.282|8553.577 12520.831|8518.610 12520.809|8518.610 12510.434|8553.577 12510.446
81 SKYVIEW RANCH BV NE,8400.688 12513.759|8400.688 12522.933|8366.679 12522.888|8366.679 12513.715
80 SKYVIEW RANCH BV NE,8427.685 12514.560|8461.659 12514.560|8461.659 12523.733|8427.685 12523.733
180 SKYVIEW POINT RD NE,8469.649 12514.560|8503.623 12514.571|8503.623 12523.733|8469.649 12523.733
148 SKYVIEW POINT GR NE,8358.689 12516.773|8358.689 12525.301|8324.681 12525.257|8324.681 12516.717
179 SKYVIEW POINT RD NE,8518.610 12520.809|8553.577 12520.831|8553.577 12522.822|8553.577 12531.217|8518.610 12531.195
85 SKYVIEW RANCH BV NE,8366.679 12522.888|8400.688 12522.933|8400.688 12532.084|8366.679 12532.040
84 SKYVIEW RANCH BV NE,8427.685 12523.733|8461.659 12523.733|8461.659 12532.907|8427.685 12532.907
184 SKYVIEW POINT RD NE,8469.649 12523.733|8503.623 12523.733|8503.623 12532.907|8469.649 12532.907
144 SKYVIEW POINT GR NE,8358.689 12525.301|8358.682 12533.830|8324.674 12533.785|8324.681 12525.257
89 SKYVIEW RANCH BV NE,8366.679 12541.213|8366.679 12532.040|8400.688 12532.084|8400.688 12541.258
140 SKYVIEW POINT GR NE,8358.682 12533.830|8358.682 12539.367|8355.690 12542.359|8328.274 12542.325|8324.674 12542.314|8324.674 12533.785
88 SKYVIEW RANCH BV NE,8427.685 12532.907|8461.659 12532.907|8461.659 12543.882|8432.180 12543.882|8427.685 12539.390
188 SKYVIEW POINT RD NE,8469.649 12532.907|8503.623 12532.907|8503.623 12539.379|8499.128 12543.882|8469.649 12543.871
183 SKYVIEW POINT RD NE,8518.610 12531.195|8553.577 12531.217|8553.577 12540.390|8553.577 12542.392|8553.577 12543.904|8551.773 12543.904|8523.105 12543.882|8518.610 12539.390
93 SKYVIEW RANCH BV NE,8400.688 12541.258|8400.681 12550.409|8366.679 12550.365|8366.679 12541.213
102 SKYVIEW RANCH BV NE,8432.180 12570.869|8461.659 12570.869|8461.659 12581.266|8427.685 12581.221|8427.685 12575.361
190 SKYVIEW POINT RD NE,8469.642 12570.858|8499.121 12570.858|8503.616 12575.361|8503.616 12581.232|8469.642 12581.188
191 SKYVIEW POINT RD NE,8518.603 12575.361|8520.700 12573.260|8523.098 12570.869|8552.584 12570.869|8552.584 12573.282|8552.577 12582.956|8518.603 12582.900
106 SKYVIEW RANCH BV NE,8427.685 12581.221|8461.659 12581.266|8461.659 12590.439|8427.685 12590.395
194 SKYVIEW POINT RD NE,8469.642 12581.188|8503.616 12581.232|8503.616 12590.417|8469.642 12590.373
195 SKYVIEW POINT RD NE,8518.603 12582.900|8552.577 12582.956|8552.577 12592.096|8518.603 12592.052
110 SKYVIEW RANCH BV NE,8427.678 12599.568|8427.685 12590.395|8461.659 12590.439|8461.659 12599.613
198 SKYVIEW POINT RD NE,8469.642 12590.373|8503.616 12590.417|8503.616 12599.591|8469.642 12599.546
199 SKYVIEW POINT RD NE,8518.603 12592.052|8552.577 12592.096|8552.577 12601.247|8518.603 12601.203
114 SKYVIEW RANCH BV NE,8427.678 12599.568|8461.659 12599.613|8461.659 12608.786|8427.678 12608.742
202 SKYVIEW POINT RD NE,8503.616 12608.775|8469.642 12608.720|8469.642 12599.546|8503.616 12599.591
203 SKYVIEW POINT RD NE,8518.603 12601.203|8552.577 12601.247|8552.577 12610.399|8518.596 12610.354
118 SKYVIEW RANCH BV NE,8427.678 12608.742|8461.659 12608.786|8461.659 12617.360|8427.678 12617.315
206 SKYVIEW POINT RD NE,8469.642 12608.720|8503.616 12608.775|8503.616 12617.348|8469.642 12617.293
62 SKYVIEW POINT LI NE,8230.756 12619.383|8230.756 12614.991|8235.251 12610.499|8266.226 12610.543|8266.226 12619.428
93 SKYVIEW POINT GR NE,8305.191 12610.599|8309.686 12615.102|8309.686 12619.483|8274.216 12619.439|8274.216 12610.554
207 SKYVIEW POINT RD NE,8518.596 12610.354|8552.577 12610.399|8552.570 12619.550|8518.596 12619.494
58 SKYVIEW POINT LI NE,8266.226 12619.428|8266.226 12626.511|8230.749 12626.455|8230.756 12619.383
89 SKYVIEW POINT GR NE,8274.216 12626.522|8274.216 12619.439|8309.686 12619.483|8309.686 12626.566
