ADDRESS,POINTS
124 TARARIDGE CL NE,9240.915 7082.877|9240.887 7114.856|9231.905 7114.845|9231.933 7082.877
93 TARADALE DR NE,8918.647 7341.338|8912.719 7341.460|8908.483 7341.460|8908.455 7305.611|8918.640 7305.611
148 TARADALE CL NE,8907.952 7129.723|8907.966 7161.703|8898.976 7161.703|8898.969 7129.712
157 TARADALE DR NE,9228.906 7284.818|9238.287 7285.841|9235.106 7315.152|9230.157 7319.133|9225.243 7318.599
55 TARARIDGE PL NE,9040.205 7224.873|9014.459 7227.875|9012.984 7215.165|9045.154 7211.418|9044.791 7213.386|9044.210 7215.299|9043.420 7217.133|9042.435 7218.868|9041.638 7220.269|9040.995 7221.759|9040.512 7223.294
192 TARINGTON CL NE,9684.839 7036.308|9684.846 7046.071|9650.907 7046.082|9650.907 7038.310|9652.899 7036.308
51 TARINGTON RD NE,9775.694 7137.674|9775.701 7147.436|9741.762 7147.448|9741.762 7137.685
95 TARINGTON CL NE,9594.046 7123.185|9594.046 7133.582|9560.115 7133.593|9560.108 7123.196
106 TARARIDGE CL NE,9323.046 7082.955|9323.019 7114.923|9312.749 7114.923|9312.777 7082.943
241 TARADALE CL NE,8924.163 7249.558|8920.416 7249.647|8913.978 7249.647|8913.992 7217.322|8924.177 7216.855
112 TARADALE CL NE,8824.702 7129.701|8824.709 7161.692|8815.125 7161.681|8815.125 7129.690
88 TARAGLEN RD NE,9480.220 7171.021|9480.199 7203.001|9471.217 7202.989|9471.238 7171.010
72 TARARIDGE CL NE,9473.272 7052.098|9473.265 7061.094|9442.912 7061.071|9442.828 7060.871|9442.178 7059.148|9441.710 7057.357|9441.430 7055.534|9441.332 7053.688|9441.339 7052.076
115 TARINGTON CL NE,9594.025 7070.701|9594.032 7081.075|9560.101 7081.086|9560.101 7070.712
151 TARINGTON GR NE,9880.495 7213.942|9880.509 7246.244|9870.757 7246.255|9870.743 7213.942
63 TARINGTON CL NE,9594.067 7206.336|9594.067 7216.722|9560.135 7216.733|9560.135 7206.348
126 TARARIDGE CL NE,9231.933 7082.877|9231.905 7114.845|9222.922 7114.845|9222.957 7082.866
129 TARADALE DR NE,9094.954 7309.092|9090.480 7309.759|9086.020 7310.548|9079.617 7277.190|9090.396 7275.088
152 TARADALE CL NE,8916.935 7129.723|8916.949 7161.703|8907.966 7161.703|8907.952 7129.723
161 TARADALE DR NE,9263.984 7288.654|9260.321 7322.424|9253.967 7321.734|9249.989 7316.775|9253.170 7287.475
43 TARARIDGE PL NE,9050.816 7273.620|9024.854 7278.680|9022.386 7276.878|9046.832 7239.539|9048.419 7240.440|9050.110 7241.152|9051.879 7241.641|9053.689 7241.919
196 TARINGTON CL NE,9684.846 7046.071|9684.846 7055.245|9650.914 7055.256|9650.907 7046.082
55 TARINGTON RD NE,9775.701 7147.436|9775.701 7157.199|9741.769 7157.210|9741.762 7147.448
68 TARINGTON CL NE,9613.025 7195.161|9642.973 7195.150|9642.973 7201.700|9640.973 7203.701|9609.041 7203.712|9609.034 7195.161
128 TARARIDGE CL NE,9222.957 7082.866|9222.922 7114.845|9213.939 7114.834|9213.974 7082.854
228 TARADALE CL NE,8972.404 7288.876|8959.129 7291.456|8953.292 7261.211|8954.145 7261.378|8956.487 7261.745|8958.857 7261.789|8961.212 7261.534|8963.512 7260.966
156 TARADALE CL NE,8926.519 7129.723|8926.533 7161.703|8916.949 7161.703|8916.935 7129.723
163 TARADALE DR NE,9272.911 7289.633|9269.248 7323.402|9260.321 7322.424|9263.984 7288.654
39 TARARIDGE PL NE,9073.046 7269.295|9050.816 7273.620|9053.689 7241.919|9055.535 7241.974|9057.373 7241.796|9059.177 7241.385|9060.918 7240.773
200 TARINGTON CL NE,9684.846 7055.245|9684.846 7065.019|9650.914 7065.019|9650.914 7055.256
59 TARINGTON RD NE,9775.701 7157.199|9775.708 7166.962|9741.769 7166.973|9741.769 7157.210
72 TARINGTON CL NE,9642.966 7185.988|9642.973 7195.150|9613.025 7195.161|9609.034 7195.161|9609.034 7185.999
130 TARARIDGE CL NE,9213.974 7082.854|9213.939 7114.834|9204.362 7114.823|9204.390 7082.843
63 TARADALE DR NE,8764.025 7305.578|8764.025 7337.424|8754.140 7337.424|8750.953 7305.578
127 TARADALE DR NE,9086.020 7310.548|9085.636 7310.626|9076.632 7312.372|9070.152 7279.025|9079.617 7277.190
165 TARADALE DR NE,9281.845 7290.600|9278.182 7324.381|9269.248 7323.402|9272.911 7289.633
35 TARARIDGE PL NE,9099.987 7264.058|9073.046 7269.295|9060.918 7240.773|9062.518 7239.962|9064.014 7238.972|9065.377 7237.816|9066.594 7236.504
204 TARINGTON CL NE,9684.846 7065.019|9684.853 7074.181|9650.921 7074.192|9650.914 7065.019
63 TARINGTON RD NE,9775.708 7166.962|9775.708 7176.125|9741.776 7176.136|9741.769 7166.973
76 TARINGTON CL NE,9613.018 7176.225|9642.966 7176.214|9642.966 7185.988|9609.034 7185.999|9609.027 7176.225
132 TARARIDGE CL NE,9204.390 7082.843|9204.362 7114.823|9196.952 7114.823|9192.625 7110.320|9193.611 7082.832
65 TARADALE DR NE,8774.804 7305.578|8774.804 7337.446|8774.203 7337.424|8764.025 7337.424|8764.025 7305.578
62 TARAGLEN RD NE,9353.259 7170.921|9353.238 7202.889|9341.858 7202.889|9341.879 7177.403|9342.005 7176.136|9342.368 7174.924|9342.969 7173.801|9343.780 7172.811|9344.759 7172.011|9345.884 7171.410|9347.101 7171.043|9348.373 7170.910
167 TARADALE DR NE,9290.177 7291.512|9286.514 7325.293|9278.182 7324.381|9281.845 7290.600
31 TARARIDGE PL NE,9096.562 7234.547|9099.987 7264.058|9066.594 7236.504|9067.705 7234.958|9068.614 7233.279|9069.299 7231.500|9069.754 7229.654
208 TARINGTON CL NE,9684.853 7074.181|9684.853 7083.955|9650.921 7083.966|9650.921 7074.192
