ADDRESS,POINTS
236 HOTCHKISS DR SE,12163.871 -14541.601|12165.612 -14540.278|12167.360 -14538.943|12169.827 -14537.131|12172.358 -14535.419|12174.944 -14533.784|12177.587 -14532.250|12180.285 -14530.804|12183.025 -14529.447|12185.815 -14528.202|12188.646 -14527.046|12184.472 -14521.986|12180.124 -14517.060|12155.979 -14539.388|12157.314 -14540.867|12157.363 -14540.912
232 HOTCHKISS DR SE,12155.979 -14539.388|12180.124 -14517.060|12174.777 -14511.445|12151.540 -14534.718|12154.630 -14537.920
228 HOTCHKISS DR SE,12151.540 -14534.718|12174.777 -14511.445|12169.198 -14506.041|12146.920 -14530.237|12148.367 -14531.605
224 HOTCHKISS DR SE,12169.198 -14506.041|12164.543 -14501.860|12163.417 -14500.870|12142.117 -14525.945|12145.452 -14528.891|12146.920 -14530.237
220 HOTCHKISS DR SE,12142.117 -14525.945|12163.417 -14500.870|12162.250 -14499.870|12160.663 -14498.557|12158.202 -14496.545|12156.874 -14495.500|12136.693 -14521.497|12138.251 -14522.731
216 HOTCHKISS DR SE,12150.513 -14490.685|12131.002 -14517.194|12133.421 -14518.995|12135.120 -14520.274|12136.693 -14521.497|12156.874 -14495.500|12152.924 -14492.497
212 HOTCHKISS DR SE,12125.648 -14513.213|12127.241 -14514.403|12131.002 -14517.194|12150.513 -14490.685|12145.151 -14486.693
208 HOTCHKISS DR SE,12120.286 -14509.221|12124.047 -14512.023|12125.648 -14513.213|12145.151 -14486.693|12139.796 -14482.712
204 HOTCHKISS DR SE,12114.442 -14504.873|12116.036 -14506.063|12120.286 -14509.221|12139.796 -14482.712|12133.945 -14478.364
200 HOTCHKISS DR SE,12108.598 -14500.526|12112.841 -14503.684|12114.442 -14504.873|12133.945 -14478.364|12128.101 -14474.017
196 HOTCHKISS DR SE,12103.236 -14496.545|12104.837 -14497.724|12108.598 -14500.526|12128.101 -14474.017|12122.747 -14470.025
192 HOTCHKISS DR SE,12097.881 -14492.553|12101.635 -14495.355|12103.236 -14496.545|12122.747 -14470.025|12117.385 -14466.044
188 HOTCHKISS DR SE,12092.030 -14488.205|12093.631 -14489.395|12097.881 -14492.553|12117.385 -14466.044|12111.541 -14461.696
184 HOTCHKISS DR SE,12086.186 -14483.857|12090.437 -14487.015|12092.030 -14488.205|12111.541 -14461.696|12105.697 -14457.349
180 HOTCHKISS DR SE,12080.832 -14479.877|12082.425 -14481.055|12086.186 -14483.857|12105.697 -14457.349|12100.335 -14453.357
