ADDRESS,POINTS
7649 202 AV SE,10394.512 -19785.220|10404.299 -19785.198|10404.236 -19759.745|10404.229 -19756.254|10402.418 -19757.066|10400.698 -19758.133|10399.133 -19759.434|10397.762 -19760.935|10396.602 -19762.603|10395.679 -19764.416|10395.015 -19766.339|10394.610 -19768.330|10394.477 -19770.353
7653 202 AV SE,10404.229 -19756.254|10404.236 -19759.745|10404.299 -19785.198|10411.590 -19785.176|10411.527 -19754.575|10411.429 -19754.597|10408.765 -19755.075|10406.130 -19755.676|10405.536 -19755.842
7657 202 AV SE,10411.590 -19785.176|10418.888 -19785.153|10418.818 -19753.452|10411.527 -19754.575
7661 202 AV SE,10426.186 -19785.142|10426.116 -19752.318|10418.818 -19753.452|10418.888 -19785.153
7641 202 AV SE,10354.659 -19785.309|10369.549 -19785.276|10366.871 -19767.740|10366.033 -19763.381|10365.403 -19761.358|10364.502 -19759.445|10363.334 -19757.677|10361.936 -19756.098|10360.328 -19754.731|10358.539 -19753.596|10356.616 -19752.740|10354.589 -19752.151
7605 202 AV SE,10297.162 -19785.443|10298.456 -19785.431|10306.033 -19785.420|10305.956 -19751.940|10301.552 -19751.951|10297.100 -19756.454|10297.155 -19782.440
7609 202 AV SE,10306.033 -19785.420|10311.486 -19785.409|10311.409 -19751.928|10309.424 -19751.928|10305.956 -19751.940
7613 202 AV SE,10311.486 -19785.409|10318.176 -19785.387|10318.099 -19751.917|10313.394 -19751.917|10311.409 -19751.928
7617 202 AV SE,10318.176 -19785.387|10325.467 -19785.376|10325.390 -19751.895|10323.405 -19751.895|10318.099 -19751.917
7621 202 AV SE,10325.467 -19785.376|10332.765 -19785.354|10332.688 -19751.873|10327.382 -19751.895|10325.390 -19751.895
7625 202 AV SE,10332.765 -19785.354|10340.063 -19785.342|10339.986 -19751.862|10332.688 -19751.873
7629 202 AV SE,10340.063 -19785.342|10347.361 -19785.320|10347.284 -19751.839|10339.986 -19751.862
7633 202 AV SE,10347.361 -19785.320|10354.659 -19785.309|10354.589 -19752.151|10353.051 -19751.917|10351.499 -19751.839|10347.284 -19751.839
7665 202 AV SE,10426.116 -19752.318|10426.186 -19785.142|10433.484 -19785.131|10433.414 -19751.650|10431.547 -19751.650|10431.429 -19751.650|10429.317 -19751.828
7669 202 AV SE,10433.484 -19785.120|10440.782 -19785.109|10440.712 -19754.030|10440.712 -19751.628|10435.399 -19751.639|10433.414 -19751.650
7673 202 AV SE,10440.782 -19785.109|10447.472 -19785.098|10447.395 -19751.617|10445.410 -19751.617|10440.712 -19751.628|10440.712 -19754.030
7677 202 AV SE,10452.847 -19751.606|10449.380 -19751.606|10447.395 -19751.617|10447.472 -19785.098|10452.917 -19785.087
7681 202 AV SE,10452.917 -19785.087|10458.370 -19785.065|10458.293 -19751.595|10452.847 -19751.606
7685 202 AV SE,10458.370 -19785.065|10464.459 -19785.053|10467.241 -19785.053|10467.185 -19759.456|10467.178 -19756.065|10462.697 -19751.584|10458.293 -19751.595
7606 202 AV SE,10305.901 -19727.165|10305.824 -19693.685|10298.253 -19693.696|10296.953 -19693.707|10296.960 -19696.687|10297.016 -19719.682|10297.023 -19722.684|10301.497 -19727.176|10303.915 -19727.165
7610 202 AV SE,10305.901 -19727.165|10307.893 -19727.154|10311.353 -19727.154|10311.276 -19693.673|10305.824 -19693.685
7614 202 AV SE,10311.353 -19727.154|10314.813 -19727.143|10316.799 -19727.132|10316.722 -19693.662|10311.276 -19693.673
7618 202 AV SE,10316.799 -19727.132|10318.784 -19727.132|10323.489 -19727.121|10323.412 -19693.640|10316.722 -19693.662
7622 202 AV SE,10330.787 -19727.110|10330.710 -19693.629|10323.412 -19693.640|10323.489 -19727.121|10328.801 -19727.110
7626 202 AV SE,10330.787 -19727.110|10332.772 -19727.099|10333.366 -19727.099|10335.596 -19726.921|10338.078 -19726.543|10338.071 -19723.007|10338.008 -19693.607|10337.169 -19693.607|10330.710 -19693.629
7630 202 AV SE,10338.078 -19726.543|10343.411 -19725.709|10345.376 -19725.408|10345.369 -19721.917|10345.306 -19693.596|10338.008 -19693.607|10338.071 -19723.007
7634 202 AV SE,10352.674 -19724.285|10352.604 -19693.573|10345.306 -19693.596|10345.369 -19721.917|10345.376 -19725.408|10347.340 -19725.108
7638 202 AV SE,10352.674 -19724.285|10352.932 -19724.241|10355.505 -19723.785|10358.050 -19723.196|10359.615 -19722.773|10359.965 -19722.673|10359.958 -19719.182|10359.902 -19693.562|10352.604 -19693.573
7642 202 AV SE,10359.965 -19722.673|10361.817 -19721.961|10363.677 -19720.927|10365.369 -19719.637|10366.864 -19718.125|10368.130 -19716.413|10369.136 -19714.534|10369.870 -19712.532|10370.318 -19710.442|10370.465 -19708.318|10370.430 -19693.529|10359.902 -19693.562|10359.958 -19719.182
7650 202 AV SE,10398.909 -19715.534|10399.517 -19717.447|10400.377 -19719.259|10401.460 -19720.938|10402.768 -19722.451|10404.264 -19723.785|10405.920 -19724.908|10407.717 -19725.786|10409.611 -19726.431|10409.534 -19693.440|10396.896 -19693.473|10394.980 -19693.473|10395.449 -19696.220|10398.084 -19711.565
7654 202 AV SE,10409.611 -19726.431|10411.492 -19726.798|10413.400 -19726.910|10416.909 -19726.910|10416.832 -19693.429|10409.534 -19693.440
7662 202 AV SE,10416.909 -19726.910|10422.222 -19726.898|10424.207 -19726.887|10424.130 -19693.407|10416.832 -19693.429
7666 202 AV SE,10424.207 -19726.887|10426.193 -19726.887|10431.505 -19726.876|10431.429 -19693.395|10424.130 -19693.407
7670 202 AV SE,10438.803 -19726.854|10438.797 -19724.452|10438.727 -19693.373|10431.429 -19693.395|10431.505 -19726.876|10436.818 -19726.865
7674 202 AV SE,10438.803 -19726.854|10440.789 -19726.854|10446.102 -19726.843|10446.025 -19693.362|10438.727 -19693.373|10438.797 -19724.452
7678 202 AV SE,10446.102 -19726.843|10450.799 -19726.832|10452.791 -19726.821|10452.715 -19693.340|10446.025 -19693.362
