ADDRESS,POINTS
8532 FAIRMOUNT DR SE,849.840 -7893.679|813.441 -7893.646|813.427 -7910.247|849.826 -7910.269
408 ACADIA DR SE,1526.511 -8602.713|1512.621 -8589.982|1495.250 -8609.118|1495.544 -8615.579|1506.064 -8625.230
9707 FAIRMOUNT DR SE,870.763 -9084.532|869.050 -9069.387|832.902 -9073.524|834.615 -9088.669
451 ACADIA DR SE,1594.969 -8782.871|1558.577 -8782.849|1558.570 -8798.083|1594.955 -8798.105
9616 FAIRMOUNT DR SE,887.938 -9020.829|889.455 -9034.250|892.839 -9037.274|926.428 -9037.296|924.093 -9016.692
8536 FAIRMOUNT DR SE,849.826 -7910.269|813.427 -7910.247|813.413 -7926.993|849.812 -7927.026
412 ACADIA DR SE,1539.640 -8613.110|1537.843 -8613.110|1526.511 -8602.713|1506.064 -8625.230|1518.382 -8636.517
9711 FAIRMOUNT DR SE,872.650 -9101.178|870.763 -9084.532|834.615 -9088.669|836.502 -9105.314
8604 FAIRMOUNT DR SE,849.812 -7927.026|813.413 -7926.993|813.399 -7942.227|849.798 -7942.260
416 ACADIA DR SE,1554.802 -8613.121|1539.640 -8613.110|1518.382 -8636.517|1534.061 -8650.894|1554.795 -8628.066
9715 FAIRMOUNT DR SE,874.370 -9116.312|872.650 -9101.178|836.502 -9105.314|838.215 -9120.448
447 ACADIA DR SE,1594.969 -8782.871|1594.976 -8776.878|1594.913 -8773.487|1594.711 -8770.095|1594.375 -8766.704|1593.900 -8763.346|1558.591 -8769.105|1558.577 -8782.849
8852 FAIRMOUNT DR SE,873.985 -8207.149|837.257 -8207.104|839.900 -8226.908|876.621 -8226.952
9612 FAIRMOUNT DR SE,924.093 -9016.692|922.380 -9001.558|886.219 -9005.695|887.938 -9020.829
8608 FAIRMOUNT DR SE,849.798 -7942.260|813.399 -7942.227|813.385 -7959.128|849.784 -7959.162
352 ACADIA DR SE,1373.308 -8444.561|1366.968 -8435.643|1360.893 -8435.643|1332.966 -8466.477|1344.165 -8476.752
9719 FAIRMOUNT DR SE,876.083 -9131.434|874.370 -9116.312|838.215 -9120.448|838.711 -9124.818|838.704 -9135.715
317 ACADIA DR SE,1212.597 -8438.590|1195.911 -8438.567|1195.925 -8475.095|1212.604 -8475.106
8612 FAIRMOUNT DR SE,849.784 -7959.162|813.385 -7959.128|813.371 -7975.885|849.770 -7975.919
356 ACADIA DR SE,1382.319 -8457.237|1373.308 -8444.561|1344.165 -8476.752|1355.364 -8487.015
9723 FAIRMOUNT DR SE,878.333 -9151.271|876.083 -9131.434|838.704 -9135.715|838.697 -9151.249
