ADDRESS,POINTS
7351 14 AV SW,-8521.321 -504.298|-8334.570 -504.220|-8331.844 -504.220|-8328.810 -504.209|-8328.789 -497.971|-8328.453 -401.354|-8328.286 -322.906|-8328.286 -322.472|-8521.167 -322.961|-8521.761 -504.298
1460 75 ST SW,-8754.656 -504.509|-8754.397 -401.443|-8930.956 -401.687|-8931.095 -504.587|-8770.825 -504.520|-8764.743 -504.520
16 ASPEN HILLS GR SW,-10201.706 -993.122|-10194.722 -994.301|-10192.296 -979.901|-10199.287 -978.722
204 ASPEN STONE BV SW,-10174.967 -991.977|-10171.863 -985.583|-10186.606 -978.389|-10189.703 -984.782
18 ASPEN HILLS GR SW,-10207.102 -992.210|-10201.706 -993.122|-10199.287 -978.722|-10204.677 -977.810
20 ASPEN HILLS GR SW,-10212.492 -991.298|-10207.102 -992.210|-10204.677 -977.810|-10210.073 -976.899
22 ASPEN HILLS GR SW,-10217.882 -990.387|-10212.492 -991.298|-10210.073 -976.899|-10215.463 -975.987
24 ASPEN HILLS GR SW,-10217.882 -990.387|-10215.463 -975.987|-10221.852 -974.908|-10224.271 -989.308
202 ASPEN STONE BV SW,-10171.863 -985.583|-10169.472 -980.657|-10184.215 -973.463|-10186.606 -978.389
28 ASPEN HILLS GR SW,-10233.771 -986.650|-10227.514 -988.329|-10223.754 -974.185|-10230.017 -972.517
30 ASPEN HILLS GR SW,-10239.056 -985.238|-10233.771 -986.650|-10230.017 -972.517|-10235.302 -971.105
32 ASPEN HILLS GR SW,-10244.340 -983.826|-10239.056 -985.238|-10235.302 -971.105|-10240.580 -969.693
200 ASPEN STONE BV SW,-10169.472 -980.657|-10167.075 -975.731|-10181.818 -968.537|-10184.215 -973.463
34 ASPEN HILLS GR SW,-10249.618 -982.414|-10244.340 -983.826|-10240.580 -969.693|-10245.864 -968.281
36 ASPEN HILLS GR SW,-10254.903 -981.002|-10249.618 -982.414|-10245.864 -968.281|-10251.149 -966.869
38 ASPEN HILLS GR SW,-10260.188 -979.589|-10254.903 -981.002|-10251.149 -966.869|-10256.434 -965.457
40 ASPEN HILLS GR SW,-10263.383 -963.600|-10267.073 -977.744|-10260.188 -979.589|-10256.434 -965.457
4 ASPEN HILLS CM SW,-10293.442 -970.505|-10277.126 -971.072|-10276.874 -963.978|-10293.197 -963.399
198 ASPEN STONE BV SW,-10167.075 -975.731|-10163.978 -969.337|-10178.721 -962.143|-10181.818 -968.537
51 ASPEN HILLS CM SW,-10193.960 -971.494|-10190.828 -965.812|-10205.173 -957.851|-10208.312 -963.533
6 ASPEN HILLS CM SW,-10276.685 -958.496|-10293.001 -957.918|-10293.197 -963.399|-10276.874 -963.978
49 ASPEN HILLS CM SW,-10190.828 -965.812|-10188.179 -961.009|-10202.523 -953.047|-10205.173 -957.851
8 ASPEN HILLS CM SW,-10293.001 -957.918|-10276.685 -958.496|-10276.497 -953.014|-10292.812 -952.436
55 ASPEN HILLS CM SW,-10220.028 -967.514|-10213.170 -969.293|-10209.060 -953.381|-10215.924 -951.602
57 ASPEN HILLS CM SW,-10220.028 -967.514|-10215.924 -951.602|-10221.216 -950.223|-10225.319 -966.146
59 ASPEN HILLS CM SW,-10230.618 -964.767|-10225.319 -966.146|-10221.216 -950.223|-10226.508 -948.855
61 ASPEN HILLS CM SW,-10235.910 -963.399|-10230.618 -964.767|-10226.508 -948.855|-10231.807 -947.476
47 ASPEN HILLS CM SW,-10188.179 -961.009|-10185.040 -955.327|-10199.392 -947.365|-10202.523 -953.047
10 ASPEN HILLS CM SW,-10292.812 -952.436|-10276.497 -953.014|-10276.301 -947.532|-10292.617 -946.954
63 ASPEN HILLS CM SW,-10241.202 -962.021|-10235.910 -963.399|-10231.807 -947.476|-10237.098 -946.109
65 ASPEN HILLS CM SW,-10246.494 -960.653|-10241.202 -962.021|-10237.098 -946.109|-10242.390 -944.730
67 ASPEN HILLS CM SW,-10253.358 -958.874|-10246.494 -960.653|-10242.390 -944.730|-10249.248 -942.951
12 ASPEN HILLS CM SW,-10292.617 -946.954|-10276.301 -947.532|-10276.112 -942.050|-10292.428 -941.483
14 ASPEN HILLS CM SW,-10292.428 -941.483|-10276.112 -942.050|-10275.916 -936.568|-10292.239 -936.001
41 ASPEN HILLS CM SW,-10219.671 -946.765|-10215.358 -950.245|-10205.061 -937.458|-10209.374 -933.966
15 ASPEN HILLS CM SW,-10255.952 -946.943|-10252.477 -942.617|-10265.382 -932.176|-10268.856 -936.501
39 ASPEN HILLS CM SW,-10223.921 -943.318|-10219.671 -946.765|-10209.374 -933.966|-10213.624 -930.519
16 ASPEN HILLS CM SW,-10292.239 -936.001|-10275.916 -936.568|-10275.693 -930.074|-10292.009 -929.507
17 ASPEN HILLS CM SW,-10252.477 -942.617|-10249.045 -938.358|-10251.170 -936.635|-10261.949 -927.917|-10265.382 -932.176
37 ASPEN HILLS CM SW,-10228.178 -939.871|-10223.921 -943.318|-10213.624 -930.519|-10217.882 -927.083
35 ASPEN HILLS CM SW,-10232.436 -936.435|-10228.178 -939.871|-10217.882 -927.083|-10222.139 -923.636
19 ASPEN HILLS CM SW,-10251.170 -936.635|-10247.738 -932.365|-10260.642 -921.924|-10264.082 -926.194|-10261.949 -927.917
33 ASPEN HILLS CM SW,-10236.686 -932.988|-10232.436 -936.435|-10222.139 -923.636|-10226.389 -920.189
21 ASPEN HILLS CM SW,-10247.738 -932.365|-10244.306 -928.095|-10257.210 -917.654|-10260.642 -921.924
31 ASPEN HILLS CM SW,-10241.733 -928.907|-10236.686 -932.988|-10226.389 -920.189|-10231.436 -916.108
23 ASPEN HILLS CM SW,-10244.306 -928.095|-10240.873 -923.825|-10253.778 -913.384|-10257.210 -917.654
18 ASPEN HILLS CM SW,-10275.392 -928.696|-10271.324 -923.636|-10284.025 -913.351|-10288.094 -918.410
25 ASPEN HILLS CM SW,-10240.873 -923.825|-10237.441 -919.555|-10250.345 -909.114|-10253.778 -913.384
20 ASPEN HILLS CM SW,-10271.324 -923.636|-10267.891 -919.366|-10280.593 -909.092|-10284.025 -913.351
22 ASPEN HILLS CM SW,-10267.891 -919.366|-10264.452 -915.096|-10277.161 -904.822|-10280.593 -909.092
27 ASPEN HILLS CM SW,-10237.441 -919.555|-10233.372 -914.507|-10246.277 -904.055|-10250.345 -909.114
24 ASPEN HILLS CM SW,-10264.452 -915.096|-10261.020 -910.827|-10273.728 -900.552|-10277.161 -904.822
26 ASPEN HILLS CM SW,-10261.020 -910.827|-10257.587 -906.568|-10270.296 -896.282|-10273.728 -900.552
28 ASPEN HILLS CM SW,-10257.587 -906.568|-10254.155 -902.298|-10266.864 -892.012|-10270.296 -896.282
30 ASPEN HILLS CM SW,-10254.155 -902.298|-10250.723 -898.028|-10263.431 -887.754|-10266.864 -892.012
32 ASPEN HILLS CM SW,-10250.723 -898.028|-10246.270 -892.490|-10258.979 -882.216|-10263.431 -887.754
23 ASPEN HILLS GR SW,-10213.240 -1031.173|-10210.290 -1031.551|-10209.122 -1023.133|-10215.477 -1022.144|-10221.803 -1020.954|-10228.088 -1019.586|-10234.330 -1018.030|-10253.058 -1013.037|-10256.846 -1027.337|-10214.687 -1037.300
25 ASPEN HILLS GR SW,-10213.240 -1031.173|-10210.290 -1031.551|-10209.122 -1023.133|-10215.477 -1022.144|-10221.803 -1020.954|-10228.088 -1019.586|-10234.330 -1018.030|-10253.058 -1013.037|-10256.846 -1027.337|-10214.687 -1037.300
27 ASPEN HILLS GR SW,-10213.240 -1031.173|-10210.290 -1031.551|-10209.122 -1023.133|-10215.477 -1022.144|-10221.803 -1020.954|-10228.088 -1019.586|-10234.330 -1018.030|-10253.058 -1013.037|-10256.846 -1027.337|-10214.687 -1037.300
29 ASPEN HILLS GR SW,-10213.240 -1031.173|-10210.290 -1031.551|-10209.122 -1023.133|-10215.477 -1022.144|-10221.803 -1020.954|-10228.088 -1019.586|-10234.330 -1018.030|-10253.058 -1013.037|-10256.846 -1027.337|-10214.687 -1037.300
31 ASPEN HILLS GR SW,-10213.240 -1031.173|-10210.290 -1031.551|-10209.122 -1023.133|-10215.477 -1022.144|-10221.803 -1020.954|-10228.088 -1019.586|-10234.330 -1018.030|-10253.058 -1013.037|-10256.846 -1027.337|-10214.687 -1037.300
33 ASPEN HILLS GR SW,-10213.240 -1031.173|-10210.290 -1031.551|-10209.122 -1023.133|-10215.477 -1022.144|-10221.803 -1020.954|-10228.088 -1019.586|-10234.330 -1018.030|-10253.058 -1013.037|-10256.846 -1027.337|-10214.687 -1037.300
35 ASPEN HILLS GR SW,-10213.240 -1031.173|-10210.290 -1031.551|-10209.122 -1023.133|-10215.477 -1022.144|-10221.803 -1020.954|-10228.088 -1019.586|-10234.330 -1018.030|-10253.058 -1013.037|-10256.846 -1027.337|-10214.687 -1037.300
34 ASPEN RIDGE PA SW,-8603.655 -302.868|-8599.174 -298.354|-8599.209 -287.779|-8636.866 -287.890|-8636.824 -302.991
30 ASPEN RIDGE PA SW,-8636.866 -287.890|-8599.209 -287.779|-8599.230 -279.606|-8599.097 -277.638|-8598.705 -275.714|-8632.162 -267.575|-8636.894 -278.283
57 ASPEN RIDGE GR SW,-8674.629 -273.101|-8701.605 -253.920|-8702.276 -255.677|-8703.157 -257.334|-8704.247 -258.880|-8705.513 -260.258|-8706.946 -261.482|-8708.526 -262.505|-8710.217 -263.327|-8712.000 -263.939|-8681.445 -285.633
26 ASPEN RIDGE PA SW,-8593.945 -268.476|-8613.413 -243.735|-8616.608 -246.470|-8629.275 -261.037|-8632.162 -267.575|-8598.705 -275.714|-8597.950 -273.657|-8596.888 -271.734|-8595.546 -269.988
53 ASPEN RIDGE GR SW,-8672.497 -269.176|-8666.904 -260.336|-8695.985 -239.609|-8697.774 -242.111|-8699.005 -244.124|-8699.962 -246.270|-8700.633 -248.527|-8701.004 -250.862|-8701.228 -252.408|-8701.605 -253.920|-8674.629 -273.101
22 ASPEN RIDGE PA SW,-8585.815 -265.351|-8585.941 -224.809|-8598.006 -230.547|-8613.413 -243.735|-8593.945 -268.476|-8592.120 -267.230|-8590.128 -266.274|-8588.010 -265.640
49 ASPEN RIDGE GR SW,-8665.003 -257.334|-8662.130 -250.673|-8659.564 -247.293|-8687.435 -227.478|-8695.985 -239.609|-8666.904 -260.336
18 ASPEN RIDGE PA SW,-8576.448 -268.220|-8541.691 -212.834|-8560.614 -214.913|-8571.848 -218.116|-8585.941 -224.809|-8585.815 -265.351|-8583.319 -265.429|-8580.880 -265.952|-8578.559 -266.886
45 ASPEN RIDGE GR SW,-8659.564 -247.293|-8650.568 -235.440|-8678.844 -215.336|-8687.435 -227.478
52 ASPEN RIDGE GR SW,-8734.362 -247.426|-8733.167 -247.426|-8723.912 -247.404|-8722.905 -247.338|-8721.919 -247.126|-8720.969 -246.793|-8720.067 -246.326|-8719.242 -245.747|-8718.501 -245.069|-8717.865 -244.280|-8717.334 -243.423|-8714.510 -238.498|-8711.385 -233.750|-8708.714 -229.980|-8734.335 -212.033|-8734.348 -226.366
39 ASPEN RIDGE GR SW,-8650.568 -235.440|-8641.795 -223.887|-8669.512 -202.593|-8672.993 -207.174|-8676.376 -211.844|-8678.844 -215.336
48 ASPEN RIDGE GR SW,-8708.714 -229.980|-8701.318 -219.517|-8734.321 -196.043|-8734.335 -206.952|-8734.335 -212.033
37 ASPEN RIDGE GR SW,-8641.795 -223.887|-8633.336 -213.723|-8659.383 -190.428|-8664.542 -196.432|-8669.512 -202.593
44 ASPEN RIDGE GR SW,-8701.318 -219.517|-8694.279 -209.553|-8693.930 -209.064|-8709.609 -197.911|-8724.618 -187.248|-8734.307 -180.343|-8734.314 -187.381|-8734.321 -196.043
33 ASPEN RIDGE GR SW,-8633.336 -213.723|-8624.144 -203.916|-8648.617 -179.008|-8654.091 -184.635|-8659.383 -190.428
35 ASPEN RIDGE HE SW,-8693.930 -209.064|-8692.895 -207.596|-8689.344 -202.570|-8682.975 -193.942|-8676.258 -185.569|-8676.649 -179.097|-8680.018 -175.984|-8681.389 -174.838|-8682.878 -173.849|-8684.457 -173.015|-8686.114 -172.348|-8709.609 -197.911
