ADDRESS,POINTS
7111 14 AV SW,-8328.453 -401.354|-8312.613 -401.354|-8298.639 -401.343|-8268.895 -401.331|-8265.700 -401.331|-8265.602 -358.277|-8265.567 -347.402|-8265.497 -322.717|-8265.497 -322.283|-8328.286 -322.472|-8328.286 -322.906
118 ASCOT MR SW,-10361.746 -162.607|-10357.223 -162.996|-10353.741 -163.285|-10352.707 -154.012|-10371.791 -151.832|-10372.797 -160.883
116 ASCOT MR SW,-10371.791 -151.832|-10352.707 -154.012|-10352.238 -149.775|-10371.322 -147.596
114 ASCOT MR SW,-10352.238 -149.775|-10351.763 -145.527|-10370.854 -143.348|-10371.322 -147.596
112 ASCOT MR SW,-10351.763 -145.527|-10351.288 -141.291|-10370.393 -139.112|-10370.854 -143.348
110 ASCOT MR SW,-10351.288 -141.291|-10351.057 -139.223|-10350.812 -137.054|-10369.924 -134.875|-10370.393 -139.112
109 ASCOT MR SW,-10377.789 -142.103|-10377.104 -135.887|-10377.208 -134.753|-10393.231 -136.198|-10392.581 -143.448
107 ASCOT MR SW,-10377.208 -134.753|-10377.649 -129.893|-10393.671 -131.350|-10393.231 -136.198
108 ASCOT MR SW,-10350.812 -137.054|-10349.925 -129.849|-10367.785 -127.803|-10369.449 -130.594|-10369.924 -134.875
105 ASCOT MR SW,-10377.649 -129.893|-10378.082 -125.034|-10394.104 -126.491|-10393.671 -131.350
103 ASCOT MR SW,-10384.437 -118.340|-10394.755 -119.274|-10394.104 -126.491|-10378.082 -125.034|-10378.558 -119.808|-10381.703 -120.097
204 ASCOT CI SW,-10367.121 -110.167|-10347.548 -113.626|-10346.660 -108.366|-10346.332 -106.487|-10365.884 -103.029
131 ASCOT PT SW,-10473.355 -105.886|-10478.410 -100.660|-10489.853 -111.802|-10484.806 -117.017
206 ASCOT CI SW,-10365.884 -103.029|-10346.332 -106.487|-10345.605 -102.284|-10365.157 -98.826
133 ASCOT PT SW,-10478.410 -100.660|-10481.793 -97.158|-10493.236 -108.299|-10489.853 -111.802
208 ASCOT CI SW,-10365.157 -98.826|-10345.605 -102.284|-10344.871 -98.081|-10364.423 -94.622
135 ASCOT PT SW,-10481.793 -97.158|-10485.176 -93.666|-10496.627 -104.797|-10493.236 -108.299
210 ASCOT CI SW,-10364.423 -94.622|-10344.871 -98.081|-10344.144 -93.877|-10363.696 -90.419
137 ASCOT PT SW,-10485.176 -93.666|-10490.210 -88.462|-10501.660 -99.604|-10496.627 -104.797
209 ASCOT CI SW,-10373.804 -90.786|-10389.519 -88.040|-10390.623 -94.367|-10374.909 -97.113
212 ASCOT CI SW,-10363.696 -90.419|-10344.144 -93.877|-10343.410 -89.685|-10362.962 -86.227
211 ASCOT CI SW,-10372.972 -85.983|-10388.687 -83.236|-10389.519 -88.040|-10373.804 -90.786
513 ASCOT CI SW,-10391.469 -87.217|-10390.162 -82.591|-10394.398 -79.878|-10403.150 -93.611|-10397.753 -97.069
214 ASCOT CI SW,-10362.962 -86.227|-10343.410 -89.685|-10342.179 -82.624|-10361.739 -79.189
213 ASCOT CI SW,-10372.140 -81.179|-10387.855 -78.432|-10388.687 -83.236|-10372.972 -85.983
511 ASCOT CI SW,-10394.398 -79.878|-10398.494 -77.254|-10407.247 -90.986|-10403.150 -93.611
509 ASCOT CI SW,-10398.494 -77.254|-10402.591 -74.630|-10411.343 -88.362|-10407.247 -90.986
220 ASCOT CI SW,-10342.179 -82.624|-10341.928 -81.168|-10340.963 -75.608|-10360.522 -72.161|-10361.739 -79.189
215 ASCOT CI SW,-10371.050 -74.930|-10386.764 -72.183|-10387.855 -78.432|-10372.140 -81.179
507 ASCOT CI SW,-10402.591 -74.630|-10406.680 -72.005|-10415.439 -85.738|-10411.343 -88.362
103 ASCOT PT SW,-10434.775 -77.954|-10436.725 -75.119|-10438.857 -72.016|-10440.703 -71.861|-10442.388 -92.576|-10436.005 -93.099
105 ASCOT PT SW,-10440.703 -71.861|-10444.939 -71.516|-10446.631 -92.232|-10442.388 -92.576
107 ASCOT PT SW,-10444.939 -71.516|-10449.182 -71.171|-10450.867 -91.876|-10446.631 -92.232
109 ASCOT PT SW,-10449.182 -71.171|-10453.419 -70.816|-10455.110 -91.531|-10450.867 -91.876
111 ASCOT PT SW,-10453.419 -70.816|-10457.662 -70.471|-10459.347 -91.186|-10455.110 -91.531
113 ASCOT PT SW,-10457.662 -70.471|-10461.898 -70.126|-10463.590 -90.842|-10459.347 -91.186
115 ASCOT PT SW,-10461.898 -70.126|-10466.141 -69.781|-10467.826 -90.486|-10463.590 -90.842
505 ASCOT CI SW,-10406.680 -72.005|-10410.777 -69.381|-10419.536 -83.103|-10415.439 -85.738
117 ASCOT PT SW,-10466.141 -69.781|-10470.378 -69.426|-10472.069 -90.141|-10467.826 -90.486
119 ASCOT PT SW,-10470.378 -69.426|-10473.929 -69.137|-10475.844 -70.593|-10476.760 -71.294|-10478.179 -88.751|-10477.284 -89.719|-10472.069 -90.141
222 ASCOT CI SW,-10360.522 -72.161|-10340.963 -75.608|-10340.229 -71.405|-10359.795 -67.969
503 ASCOT CI SW,-10410.777 -69.381|-10417.054 -65.356|-10425.813 -79.077|-10419.536 -83.103
221 ASCOT CI SW,-10369.694 -67.135|-10385.408 -64.389|-10386.492 -70.604|-10370.777 -73.351
224 ASCOT CI SW,-10359.795 -67.969|-10340.229 -71.405|-10339.502 -67.202|-10359.061 -63.766
145 ASCOT PT SW,-10485.952 -68.681|-10488.084 -62.843|-10489.839 -61.987|-10497.941 -78.810|-10492.174 -81.601
223 ASCOT CI SW,-10368.967 -62.932|-10384.681 -60.185|-10385.408 -64.389|-10369.694 -67.135
147 ASCOT PT SW,-10489.839 -61.987|-10493.670 -60.130|-10501.772 -76.954|-10497.941 -78.810
226 ASCOT CI SW,-10359.061 -63.766|-10339.502 -67.202|-10338.768 -62.999|-10358.334 -59.563
149 ASCOT PT SW,-10493.670 -60.130|-10497.501 -58.284|-10505.603 -75.097|-10501.772 -76.954
151 ASCOT PT SW,-10497.501 -58.284|-10501.331 -56.427|-10509.433 -73.251|-10505.603 -75.097
225 ASCOT CI SW,-10368.240 -58.729|-10383.954 -55.982|-10384.681 -60.185|-10368.967 -62.932
228 ASCOT CI SW,-10358.334 -59.563|-10338.768 -62.999|-10338.041 -58.795|-10357.607 -55.359
153 ASCOT PT SW,-10501.331 -56.427|-10505.162 -54.570|-10513.264 -71.394|-10509.433 -73.251
455 ASCOT CI SW,-10403.227 -63.154|-10416.215 -53.992|-10419.899 -59.251|-10406.911 -68.403
155 ASCOT PT SW,-10505.162 -54.570|-10508.993 -52.713|-10517.095 -69.537|-10513.264 -71.394
227 ASCOT CI SW,-10367.506 -54.526|-10383.220 -51.779|-10383.954 -55.982|-10368.240 -58.729
157 ASCOT PT SW,-10508.993 -52.713|-10512.824 -50.856|-10520.926 -67.680|-10517.095 -69.537
453 ASCOT CI SW,-10400.780 -59.663|-10413.769 -50.511|-10416.215 -53.992|-10403.227 -63.154
159 ASCOT PT SW,-10512.824 -50.856|-10516.655 -48.999|-10524.756 -65.823|-10520.926 -67.680
230 ASCOT CI SW,-10357.607 -55.359|-10338.041 -58.795|-10336.797 -51.646|-10356.363 -48.199
229 ASCOT CI SW,-10366.779 -50.322|-10382.493 -47.587|-10383.220 -51.779|-10367.506 -54.526
451 ASCOT CI SW,-10398.334 -56.171|-10411.322 -47.020|-10413.769 -50.511|-10400.780 -59.663
108 ASCOT PT SW,-10439.025 -47.098|-10446.204 -46.508|-10447.540 -62.932|-10440.367 -63.521
110 ASCOT PT SW,-10446.204 -46.508|-10451.049 -46.108|-10452.391 -62.532|-10447.540 -62.932
161 ASCOT PT SW,-10516.655 -48.999|-10522.422 -46.208|-10530.524 -63.032|-10524.756 -65.823
112 ASCOT PT SW,-10451.049 -46.108|-10455.900 -45.708|-10457.235 -62.131|-10452.391 -62.532
114 ASCOT PT SW,-10465.379 -61.464|-10457.235 -62.131|-10455.900 -45.708|-10460.157 -45.385|-10462.101 -44.596
449 ASCOT CI SW,-10395.887 -52.691|-10408.875 -43.528|-10411.322 -47.020|-10398.334 -56.171
231 ASCOT CI SW,-10366.052 -46.119|-10381.766 -43.384|-10382.493 -47.587|-10366.779 -50.322
140 ASCOT PT SW,-10465.379 -61.464|-10462.101 -44.596|-10467.889 -42.250|-10474.201 -57.895
142 ASCOT PT SW,-10474.201 -57.895|-10467.889 -42.250|-10472.398 -40.415|-10478.710 -56.071
447 ASCOT CI SW,-10393.440 -49.199|-10406.429 -40.037|-10408.875 -43.528|-10395.887 -52.691
233 ASCOT CI SW,-10365.318 -41.927|-10381.032 -39.181|-10381.766 -43.384|-10366.052 -46.119
144 ASCOT PT SW,-10478.710 -56.071|-10472.398 -40.415|-10476.900 -38.591|-10483.219 -54.236
445 ASCOT CI SW,-10390.994 -45.708|-10403.982 -36.556|-10406.429 -40.037|-10393.440 -49.199
146 ASCOT PT SW,-10483.219 -54.236|-10476.900 -38.591|-10481.409 -36.768|-10487.714 -52.402|-10487.462 -52.524
235 ASCOT CI SW,-10364.591 -37.724|-10380.305 -34.977|-10381.032 -39.181|-10365.318 -41.927
452 ASCOT CI SW,-10422.849 -47.042|-10440.221 -34.811|-10444.890 -40.737|-10426.883 -52.791
148 ASCOT PT SW,-10492.104 -50.278|-10487.714 -52.402|-10481.409 -36.768|-10485.120 -35.255|-10485.896 -34.889
443 ASCOT CI SW,-10388.547 -42.216|-10401.535 -33.065|-10403.982 -36.556|-10390.994 -45.708
150 ASCOT PT SW,-10499.101 -46.898|-10492.104 -50.278|-10485.896 -34.889|-10491.922 -31.964
450 ASCOT CI SW,-10420.053 -43.050|-10437.201 -30.986|-10440.221 -34.811|-10422.849 -47.042
441 ASCOT CI SW,-10386.100 -38.725|-10399.089 -29.573|-10401.535 -33.065|-10388.547 -42.216
237 ASCOT CI SW,-10363.493 -31.397|-10374.601 -29.451|-10379.487 -30.285|-10380.305 -34.977|-10364.591 -37.724
156 ASCOT PT SW,-10505.812 -43.651|-10499.101 -46.898|-10491.922 -31.964|-10498.626 -28.717
448 ASCOT CI SW,-10417.257 -39.069|-10434.181 -27.149|-10437.201 -30.986|-10420.053 -43.050
158 ASCOT PT SW,-10510.188 -41.538|-10505.812 -43.651|-10498.626 -28.717|-10503.002 -26.604
439 ASCOT CI SW,-10382.416 -33.476|-10395.405 -24.314|-10399.089 -29.573|-10386.100 -38.725
160 ASCOT PT SW,-10514.571 -39.414|-10510.188 -41.538|-10503.002 -26.604|-10507.385 -24.481
446 ASCOT CI SW,-10414.461 -35.078|-10431.161 -23.324|-10434.181 -27.149|-10417.257 -39.069
304 ASCOT CI SW,-10352.553 -32.553|-10333.965 -29.462|-10333.895 -25.771|-10333.937 -22.090|-10355.797 -25.737|-10355.412 -27.983
162 ASCOT PT SW,-10518.947 -37.301|-10514.571 -39.414|-10507.385 -24.481|-10511.761 -22.368
307 ASCOT CI SW,-10364.164 -26.126|-10365.213 -19.888|-10380.941 -22.546|-10379.893 -28.784
164 ASCOT PT SW,-10523.323 -35.178|-10518.947 -37.301|-10511.761 -22.368|-10516.137 -20.244
444 ASCOT CI SW,-10411.665 -31.086|-10428.141 -19.499|-10431.161 -23.324|-10414.461 -35.078
