ADDRESS,POINTS
1 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
2 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
3 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
6 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
7 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
4 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
5 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
9 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
8 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
12 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
14 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
10 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
11 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
16 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
15 2020 16 AV NW,-2549.405 2132.112|-2501.877 2132.201|-2501.919 2151.393|-2549.405 2151.304
