ADDRESS,POINTS
8410 CENTRE ST NE,40.853 9187.930|9.969 9187.975|9.955 9180.358|40.818 9180.313
55 BEDDINGTON RI NE,333.482 9223.346|303.052 9223.479|302.982 9208.245|333.412 9208.123
15 BEDDINGTON DR NE,590.563 8650.114|559.728 8650.303|559.652 8637.515|590.081 8637.326|590.088 8638.538
55 BEDWOOD PL NE,680.014 8792.232|678.273 8791.787|676.483 8791.565|674.680 8791.576|672.897 8791.809|671.157 8792.265|669.486 8792.932|667.913 8793.811|666.466 8794.878|643.992 8767.969|667.529 8767.825
8 BEDDINGTON RI NE,376.564 9061.112|345.911 9062.458|345.226 9049.604|373.908 9039.852|376.501 9047.502
68 BEDDINGTON RI NE,385.554 9254.502|347.547 9259.328|347.141 9255.136|347.001 9250.933|346.959 9241.960|382.883 9241.793
8332 CENTRE ST NE,40.602 9133.400|9.899 9133.456|9.886 9126.139|40.567 9126.095
12 BEDWOOD RD NE,843.402 8689.855|812.952 8689.899|812.924 8674.710|843.381 8674.665|843.395 8687.308
160 BEDFIELD CL NE,1332.162 8616.144|1323.068 8616.199|1322.900 8585.098|1331.980 8585.042
8119 13 ST NW,-1581.567 8657.653|-1615.044 8657.697|-1615.065 8642.619|-1615.065 8641.240|-1581.587 8641.207
124 BERMONDSEY RI NW,-1213.308 8721.023|-1213.413 8733.210|-1246.883 8732.920|-1246.779 8720.745
1007 BERKLEY DR NW,-764.974 8676.267|-765.268 8709.781|-777.438 8709.670|-777.151 8676.167
40 BERWICK CO NW,-1033.115 9018.024|-1060.811 9030.656|-1069.011 9012.642|-1034.254 9009.017|-1034.485 9011.308|-1034.366 9013.610|-1033.912 9015.856
23 BEARBERRY CL NW,-1558.596 9273.528|-1570.773 9273.539|-1570.815 9240.036|-1558.645 9240.025
171 BERMUDA WY NW,-346.825 9303.106|-347.048 9335.597|-359.226 9335.519|-358.995 9302.005|-354.640 9302.038|-352.662 9302.116|-350.697 9302.316|-348.747 9302.650
140 BERWICK WY NW,-1032.430 8962.471|-1043.502 8967.519|-1057.386 8937.030|-1046.313 8931.982
51 BERWICK RI NW,-1215.154 9114.341|-1216.559 9121.825|-1251.581 9115.231|-1249.183 9107.948
1244 BERKLEY DR NW,-1606.271 8777.776|-1622.859 8806.654|-1633.408 8800.583|-1616.806 8771.672
