ADDRESS,POINTS
B 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
201 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
202 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
203 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
204 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
205 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
206 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
207 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
208 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
301 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
302 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
303 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
304 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
305 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
306 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
307 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
308 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
401 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
402 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
403 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
404 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
405 1330 15 AV SW,-1523.546 -906.768|-1613.198 -902.809|-1613.219 -939.437|-1610.186 -942.617|-1525.335 -946.353
