ADDRESS,POINTS
136 BOW GREEN CR NW,-8953.290 5461.821|-8952.577 5468.771|-8968.460 5482.504|-8987.103 5450.246|-8985.377 5449.579|-8983.748 5448.723|-8982.238 5447.666|-8980.868 5446.443
8130 48 AV NW,-9216.831 5369.029|-9233.559 5369.029|-9233.573 5330.956|-9216.838 5330.956
6384 31 AV NW,-7608.889 3672.973|-7624.093 3673.073|-7624.345 3636.523|-7609.140 3636.434
8808 46 AV NW,-9960.995 5169.101|-9968.594 5169.101|-9968.608 5132.607|-9960.988 5132.595
8631 33 AV NW,-9963.631 4792.272|-9982.121 4808.118|-10021.638 4761.816|-10003.141 4745.971
7931 48 AV NW,-9062.265 5310.885|-9077.469 5310.885|-9077.462 5274.425|-9062.258 5274.425
8335 44 AV NW,-9476.017 4873.244|-9499.547 4873.244|-9492.578 4842.777|-9476.010 4842.777
8103 BOWGLEN CR NW,-9204.933 4661.985|-9204.954 4680.833|-9235.349 4680.855|-9235.321 4661.841
3903 76 ST NW,-8852.222 4306.617|-8887.664 4306.584|-8887.657 4291.350|-8852.222 4291.384
7523 36 AV NW,-8718.180 4173.061|-8737.942 4173.028|-8737.921 4135.666|-8718.159 4135.688
3439 BONITA CR NW,-8631.812 3894.907|-8665.227 3894.863|-8665.199 3878.117|-8631.784 3878.150
7304 35 AV NW,-8339.428 4094.179|-8339.359 4126.993|-8357.604 4126.971|-8357.639 4089.598|-8343.958 4089.609
4636 72 ST NW,-8712.629 5053.669|-8720.850 5065.378|-8750.664 5044.340|-8742.436 5032.631
4339 69 ST NW,-8341.589 4811.220|-8348.502 4824.385|-8388.648 4795.697|-8381.246 4782.943
16 BEAUPRE CR NW,-8986.180 4477.958|-9001.378 4477.891|-9001.364 4442.486|-8986.159 4442.509
4715 69 ST NW,-8670.777 5212.878|-8681.892 5222.519|-8704.779 5196.021|-8693.636 5186.403
3415 BOWCLIFFE CR NW,-9121.460 4030.187|-9135.329 4042.062|-9149.191 4053.938|-9161.040 4040.039|-9133.302 4016.287
8320 33 AV NW,-9525.733 4491.534|-9537.289 4501.431|-9561.007 4473.665|-9549.452 4463.758
6433 35 AV NW,-7778.317 4018.433|-7785.922 4018.489|-7786.195 3981.317|-7778.596 3981.261
6364 33 AV NW,-7544.506 3872.890|-7559.697 3873.013|-7559.976 3835.829|-7544.779 3835.718
6036 BOWWATER CR NW,-7059.388 3966.050|-7081.772 3970.486|-7083.995 3959.133|-7086.406 3946.802|-7089.091 3933.125|-7066.707 3928.699
7504 36 AV NW,-8643.689 4230.326|-8651.281 4230.315|-8651.288 4193.243|-8643.696 4193.254
6832 BOW CR NW,-8072.252 4888.523|-8080.704 4903.868|-8167.519 4865.728|-8160.521 4849.738
4915 69 ST NW,-8911.375 5403.300|-8912.927 5404.289|-8914.367 5405.434|-8915.674 5406.724|-8916.842 5408.148|-8950.676 5388.889|-8950.704 5370.564|-8932.696 5370.575
6387 32 AV NW,-7623.813 3713.593|-7639.011 3713.693|-7639.255 3679.267|-7624.051 3679.167
8615 48 AV NW,-9811.763 5310.930|-9826.960 5310.930|-9826.925 5274.369|-9811.721 5274.358
8707 36 AV NW,-9922.198 5017.887|-9933.761 5027.783|-9957.465 5000.040|-9945.910 4990.144
8568 33 AV NW,-9845.093 4765.141|-9856.635 4775.026|-9877.403 4750.674|-9876.914 4744.336|-9868.770 4737.364
8838 33 AV NW,-10214.316 5081.546|-10225.872 5091.453|-10249.534 5063.655|-10237.986 5053.758
8503 47 AV NW,-9571.039 5211.588|-9578.644 5211.588|-9578.651 5175.016|-9571.039 5175.016
8139 48 AV NW,-9295.257 5310.885|-9310.469 5310.885|-9310.462 5274.380|-9295.257 5274.391
8135 44 AV NW,-9304.247 4873.278|-9322.492 4873.278|-9322.485 4845.868|-9319.444 4842.822|-9304.240 4842.833
8111 BOWGLEN RD NW,-9190.309 4605.865|-9190.337 4641.948|-9206.450 4641.881|-9206.415 4605.787
7540 39 AV NW,-8682.158 4480.104|-8697.362 4480.037|-8697.348 4442.631|-8682.144 4442.642
7407 36 AV NW,-8560.090 4173.250|-8575.287 4173.239|-8575.294 4135.878|-8560.097 4135.900
3416 BONITA CR NW,-8581.341 3894.985|-8614.783 3894.940|-8614.755 3878.194|-8581.313 3878.250
4528 72 ST NW,-8666.317 4924.327|-8653.629 4906.280|-8623.822 4927.319|-8636.510 4945.365
8011 36 AV NW,-9148.919 4355.298|-9160.467 4365.206|-9184.200 4337.463|-9172.651 4327.555
4308 70 ST NW,-8323.973 4663.197|-8329.166 4672.082|-8325.413 4674.706|-8326.957 4677.352|-8356.821 4656.448|-8349.173 4645.584
7772 BOWCLIFFE CR NW,-8922.840 3867.086|-8955.422 3881.174|-8967.795 3862.249|-8965.733 3858.424|-8928.453 3858.491
7323 BOW CR NW,-8601.501 5310.852|-8621.271 5310.863|-8621.340 5270.455|-8611.428 5261.915|-8601.599 5253.275
7111A 36 AV NW,-8171.321 4173.695|-8177.788 4173.695|-8177.837 4136.300|-8171.377 4136.300
4301B 69 ST NW,-8279.492 4670.425|-8283.372 4680.844|-8315.717 4658.138|-8309.488 4649.287
6440 34 AV NW,-7793.843 3975.279|-7809.040 3975.401|-7809.320 3938.229|-7794.122 3938.117
6328 33 AV NW,-7407.787 3871.856|-7422.977 3871.979|-7423.208 3834.795|-7408.010 3834.684
6023 BOWWATER CR NW,-7004.821 3896.030|-7019.752 3898.999|-7020.193 3868.698|-7005.191 3866.908
6311 BOW CR NW,-7441.998 4196.668|-7454.413 4205.463|-7476.363 4174.373|-7463.948 4165.589
6524 35 AV NW,-7907.746 4106.555|-7922.943 4106.667|-7923.013 4094.135|-7923.069 4084.583|-7923.139 4074.053|-7923.208 4061.633|-7923.334 4039.616|-7908.137 4039.483
8132 48 AV NW,-9216.831 5478.134|-9228.981 5468.760|-9240.116 5475.554|-9240.116 5459.264|-9240.123 5411.673|-9239.676 5369.029|-9239.690 5330.956|-9233.573 5330.956|-9233.559 5369.029|-9216.831 5369.029|-9216.817 5467.893
140 BOW GREEN CR NW,-8968.460 5482.504|-8974.821 5487.997|-8982.755 5490.121|-8994.317 5487.919|-8993.150 5450.869|-8991.619 5450.935|-8990.095 5450.858|-8988.578 5450.624|-8987.103 5450.246
8136 48 AV NW,-9244.234 5369.029|-9260.969 5369.029|-9260.983 5330.956|-9244.255 5330.956
3212 63 ST NW,-7624.093 3673.073|-7639.297 3673.173|-7639.556 3636.612|-7624.345 3636.523
8812 46 AV NW,-9968.594 5169.101|-9983.791 5169.112|-9983.812 5132.618|-9968.608 5132.607
8643 33 AV NW,-9982.121 4808.118|-10015.626 4836.839|-10055.143 4790.527|-10021.638 4761.816
7811 33 AV NW,-8981.553 3950.438|-8988.487 3956.376|-9012.185 3928.566|-9005.250 3922.628
4624 82 ST NW,-9404.505 4984.717|-9442.092 4984.717|-9442.085 4969.484|-9404.498 4969.484
7935 48 AV NW,-9077.469 5310.885|-9092.666 5310.885|-9092.659 5274.425|-9077.462 5274.425
8524 BOWGLEN RD NW,-9498.813 4842.777|-9502.889 4860.590|-9534.087 4845.435|-9512.472 4826.898
3907 76 ST NW,-8852.229 4321.851|-8887.664 4321.807|-8887.664 4306.584|-8852.222 4306.617
7603 36 AV NW,-8737.942 4173.028|-8753.139 4173.017|-8753.118 4135.644|-8737.921 4135.666
3443 BONITA CR NW,-8631.840 3911.653|-8665.255 3911.597|-8665.227 3894.863|-8631.812 3894.907
7308 35 AV NW,-8357.604 4126.971|-8372.801 4126.960|-8372.843 4089.587|-8357.639 4089.598
4640 72 ST NW,-8720.850 5065.378|-8729.078 5077.076|-8758.885 5056.038|-8750.664 5044.340
4343 69 ST NW,-8348.502 4824.385|-8355.556 4837.429|-8396.058 4808.451|-8388.648 4795.697
20 BEAUPRE CR NW,-9001.378 4477.891|-9019.329 4477.813|-9016.456 4445.578|-9015.135 4445.366|-9013.856 4444.999|-9006.837 4442.486|-9001.364 4442.486
4719 69 ST NW,-8681.892 5222.519|-8693.007 5232.148|-8715.915 5205.628|-8704.779 5196.021
7903 33 AV NW,-9101.719 4053.349|-9115.588 4065.224|-9135.329 4042.062|-9121.460 4030.187
8324 33 AV NW,-9537.289 4501.431|-9548.844 4511.338|-9572.556 4483.562|-9561.007 4473.665
6435 35 AV NW,-7785.922 4018.489|-7793.521 4018.545|-7793.794 3981.372|-7786.195 3981.317
6368 33 AV NW,-7559.697 3873.013|-7574.887 3873.124|-7575.174 3835.951|-7559.976 3835.829
6011 BOW CR NW,-6966.324 3966.205|-6963.982 3978.125|-6961.347 3991.591|-6983.646 3996.017|-6990.993 3958.711|-6968.666 3954.274
5867 BOW CR NW,-6884.759 3726.513|-6913.371 3751.543|-6923.368 3740.079|-6894.756 3715.049
6840 BOW CR NW,-8080.704 4903.868|-8082.787 4910.172|-8172.999 4878.226|-8167.519 4865.728
148 BOW GREEN CR NW,-9008.571 5443.341|-9004.852 5445.565|-9012.248 5484.505|-9024.195 5482.226|-9016.533 5441.829
198 BOW GREEN CR NW,-9086.060 5335.371|-9086.039 5347.546|-9122.523 5347.646|-9122.551 5330.845|-9090.625 5330.812
6403 32 AV NW,-7674.515 3679.522|-7659.318 3679.411|-7659.073 3713.837|-7674.271 3713.948
8816 46 AV NW,-9983.791 5169.112|-9998.996 5169.123|-9999.024 5132.640|-9983.812 5132.618
8926 33 AV NW,-10357.824 5204.483|-10365.919 5211.410|-10389.575 5183.612|-10381.487 5176.684
8703 33 AV NW,-10015.626 4836.839|-10026.713 4846.335|-10066.230 4800.023|-10055.143 4790.527
7813 33 AV NW,-8988.487 3956.376|-8995.415 3962.313|-9019.120 3934.504|-9012.185 3928.566
7939 48 AV NW,-9092.666 5310.885|-9107.871 5310.885|-9107.864 5274.425|-9092.659 5274.425
8503 BOWGLEN RD NW,-9498.638 4788.558|-9512.500 4800.434|-9535.926 4773.024|-9522.056 4761.149
3911 76 ST NW,-8852.229 4337.074|-8887.664 4337.040|-8887.664 4321.807|-8852.229 4321.851
7605 36 AV NW,-8753.139 4173.017|-8760.745 4173.006|-8760.724 4135.633|-8753.118 4135.644
