ADDRESS,POINTS
191 BRIDLEWOOD WY SW,-2072.361 -16684.861|-2073.661 -16677.489|-2104.964 -16683.082|-2106.572 -16685.395|-2105.615 -16690.810
195 BRIDLEWOOD WY SW,-2071.089 -16692.044|-2072.361 -16684.861|-2105.615 -16690.810|-2104.349 -16697.993
199 BRIDLEWOOD WY SW,-2069.823 -16699.227|-2071.089 -16692.044|-2104.349 -16697.993|-2103.077 -16705.176
203 BRIDLEWOOD WY SW,-2068.761 -16705.232|-2069.823 -16699.227|-2103.077 -16705.176|-2102.015 -16711.181
207 BRIDLEWOOD WY SW,-2067.496 -16712.415|-2068.761 -16705.232|-2102.015 -16711.181|-2100.749 -16718.364
211 BRIDLEWOOD WY SW,-2066.223 -16719.598|-2067.496 -16712.415|-2100.749 -16718.364|-2099.484 -16725.547
215 BRIDLEWOOD WY SW,-2065.161 -16725.603|-2066.223 -16719.598|-2099.484 -16725.547|-2098.421 -16731.541
219 BRIDLEWOOD WY SW,-2063.888 -16732.786|-2065.161 -16725.603|-2098.421 -16731.541|-2097.149 -16738.724
223 BRIDLEWOOD WY SW,-2062.623 -16739.969|-2063.888 -16732.786|-2097.149 -16738.724|-2095.884 -16745.907
227 BRIDLEWOOD WY SW,-2061.358 -16747.152|-2062.623 -16739.969|-2095.884 -16745.907|-2094.612 -16753.090
231 BRIDLEWOOD WY SW,-2060.086 -16754.336|-2061.358 -16747.152|-2094.612 -16753.090|-2093.339 -16760.273
235 BRIDLEWOOD WY SW,-2093.339 -16760.273|-2091.990 -16767.935|-2085.223 -16767.457|-2078.464 -16766.845|-2071.718 -16766.111|-2064.986 -16765.266|-2063.721 -16764.955|-2062.546 -16764.399|-2061.498 -16763.620|-2060.631 -16762.653|-2059.981 -16761.519|-2059.561 -16760.285|-2059.394 -16758.995|-2059.498 -16757.694|-2060.086 -16754.336
3 BRIDLEWOOD AV SW,-1969.419 -16798.925|-1960.744 -16796.934|-1961.611 -16790.685|-1962.666 -16784.469|-1963.918 -16778.298|-1965.365 -16772.160|-1965.833 -16770.848|-1966.532 -16769.647|-1967.441 -16768.591|-1968.524 -16767.723|-1969.755 -16767.079|-1971.090 -16766.667|-1972.467 -16766.511|-1973.851 -16766.623|-1975.088 -16766.834
7 BRIDLEWOOD AV SW,-1969.419 -16798.925|-1975.088 -16766.834|-1982.212 -16768.202|-1976.494 -16800.559
