ADDRESS,POINTS
1 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
2 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
3 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
4 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
5 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
6 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
7 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
8 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
9 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
10 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
11 1111 CANTERBURY DR SW,-641.683 -12282.832|-651.015 -12279.963|-657.873 -12281.920|-664.409 -12283.777|-667.345 -12284.611|-665.283 -12291.327|-650.470 -12339.608|-637.545 -12340.375|-586.857 -12324.641|-591.778 -12308.629|-595.315 -12297.120|-606.905 -12293.551|-624.291 -12288.191
12707 CANNINGTON WY SW,-676.209 -12237.197|-683.423 -12234.985|-688.149 -12233.528|-685.282 -12239.243|-682.528 -12245.014|-678.229 -12254.711|-674.259 -12264.551|-670.630 -12274.525|-667.345 -12284.611|-664.409 -12283.777|-657.873 -12281.920|-666.919 -12259.848
12709 CANNINGTON WY SW,-665.975 -12240.344|-676.209 -12237.197|-666.919 -12259.848|-657.873 -12281.920|-651.015 -12279.963|-654.273 -12269.878|-657.852 -12259.914|-661.753 -12250.063
303 CANTERBURY DR SW,-860.142 -11164.967|-860.128 -11146.686|-898.017 -11146.664|-902.567 -11151.223|-902.574 -11164.945
