ADDRESS,POINTS
92 CHAPARRAL RD SE,3057.838 -17878.105|3048.590 -17879.284|3052.414 -17915.122|3059.355 -17914.277|3066.276 -17913.209|3060.376 -17877.705
104 CHAPARRAL WY SE,3064.123 -17840.354|3072.050 -17875.403|3074.755 -17874.769|3084.130 -17872.478|3075.699 -17837.541|3066.332 -17839.832
82 CHAPARRAL RIDGE DR SE,3533.575 -17995.460|3537.399 -17995.760|3539.657 -17963.136|3530.562 -17963.147|3528.353 -17995.082
119 CHAPARRAL RIDGE WY SE,3491.227 -17924.062|3491.500 -17955.241|3501.629 -17955.219|3500.056 -17923.806
48 CHAPARRAL CV SE,2322.937 -18128.494|2327.452 -18127.226|2331.863 -18125.603|2336.121 -18123.634|2340.217 -18121.333|2306.523 -18087.452|2304.887 -18087.196|2302.196 -18086.862|2299.490 -18086.951|2296.834 -18087.440|2294.276 -18088.341|2291.025 -18089.842|2287.844 -18091.488
145 CHAPARRAL CL SE,2054.348 -18009.337|2054.320 -17971.698|2053.125 -17971.698|2043.464 -17971.675|2034.433 -17971.653|2034.712 -17972.832|2037.138 -17980.905|2039.235 -17989.066|2041.004 -17997.306|2042.444 -18005.601|2043.485 -18006.424|2047.512 -18009.593|2050.923 -18009.404
4 CHAPARRAL RIDGE LI SE,3410.983 -18088.997|3418.862 -18088.686|3417.827 -18058.029|3405.419 -18059.108|3406.293 -18066.691|3406.845 -18073.107|3407.020 -18078.934|3406.880 -18084.761
18 CHAPARRAL PA SE,2354.415 -17838.475|2379.147 -17813.823|2377.518 -17805.695|2375.197 -17803.415|2367.165 -17802.148|2347.124 -17830.513|2349.381 -17832.059|2351.381 -17833.927|2353.072 -17836.084
241 CHAPARRAL VI SE,1803.977 -18101.384|1803.936 -18108.378|1805.047 -18108.378|1835.211 -18108.445|1839.692 -18103.964|1839.713 -18095.057|1803.991 -18094.979
121 CHAPALINA PL SE,1581.582 -17783.912|1597.486 -17778.207|1609.978 -17742.080|1608.279 -17742.002|1606.601 -17741.724|1604.959 -17741.257|1603.386 -17740.612|1578.143 -17774.227
