ADDRESS,POINTS
3211 CAROL DR NW,-1939.011 3674.052|-1968.951 3688.952|-1975.857 3675.041|-1945.910 3660.141
3609 14 ST NW,-1645.243 4055.839|-1675.630 4055.862|-1675.651 4037.581|-1645.257 4037.570
27 CROMWELL AV NW,-1746.017 4276.951|-1762.249 4291.350|-1767.457 4293.330|-1778.258 4264.864|-1766.199 4254.167
20 CAPRI AV NW,-2173.171 4569.493|-2191.765 4575.742|-2202.391 4543.974|-2183.796 4537.725
60 CANYON DR NW,-2341.236 4476.056|-2367.520 4484.896|-2373.448 4467.149|-2344.605 4457.453|-2341.033 4468.139
992 NORTHMOUNT DR NW,-2548.189 4397.319|-2577.024 4407.004|-2582.820 4389.680|-2558.311 4381.452|-2552.537 4384.331
1907 CANBERRA RD NW,-2488.329 3983.718|-2504.589 3991.991|-2508.476 3992.881|-2515.578 3961.635|-2502.716 3958.722
3311 CONSTABLE PL NW,-2007.140 3735.175|-2037.115 3750.120|-2044.294 3735.665|-2014.312 3720.720
38 CAWDER DR NW,-1769.065 4132.208|-1791.826 4152.401|-1802.913 4139.869|-1780.159 4119.665
16 CROMWELL AV NW,-1737.251 4342.444|-1748.429 4346.703|-1762.494 4309.697|-1753.295 4306.195|-1743.641 4297.633|-1727.968 4338.919
25 CAPRI AV NW,-2216.763 4495.471|-2199.462 4489.666|-2189.808 4518.544|-2207.109 4524.359
963 NORTHMOUNT DR NW,-2462.003 4289.671|-2442.968 4283.289|-2432.825 4313.600|-2451.853 4319.994
188 CONSTABLE RD NW,-2537.249 4130.384|-2554.033 4133.198|-2559.569 4100.195|-2542.785 4097.382
1823 CANBERRA RD NW,-2431.035 3900.356|-2434.740 3915.445|-2469.616 3906.883|-2465.911 3891.794
67 CROMWELL AV NW,-1902.849 4336.773|-1919.570 4336.785|-1919.591 4306.328|-1902.870 4306.317
3215 CAROL DR NW,-1932.104 3687.962|-1962.051 3702.862|-1968.951 3688.952|-1939.011 3674.052
3228 19 ST NW,-2514.222 3728.026|-2523.799 3742.247|-2558.632 3712.959|-2547.692 3699.893
3615 14 ST NW,-1645.222 4075.621|-1675.616 4075.643|-1675.616 4074.131|-1675.630 4055.862|-1645.243 4055.839|-1645.229 4074.120
35 CROMWELL AV NW,-1767.457 4293.330|-1785.933 4300.368|-1796.733 4271.891|-1778.258 4264.864
24 CAPRI AV NW,-2191.765 4575.742|-2210.367 4581.992|-2220.992 4550.223|-2202.391 4543.974
64 CANYON DR NW,-2344.605 4457.453|-2373.448 4467.149|-2379.250 4449.825|-2350.407 4440.129
1911 CANBERRA RD NW,-2508.476 3992.881|-2523.596 3996.306|-2530.699 3965.071|-2515.578 3961.635
1852 CAYUGA DR NW,-2325.290 4774.948|-2348.198 4783.254|-2360.047 4744.092|-2336.769 4737.008
3320 CONSTABLE PL NW,-1955.634 3729.460|-1985.588 3744.382|-1992.760 3729.938|-1962.813 3715.005
3219 CAROL DR NW,-1925.197 3701.873|-1955.145 3716.773|-1962.051 3702.862|-1932.104 3687.962
3619 14 ST NW,-1645.215 4092.389|-1675.595 4092.400|-1675.616 4075.643|-1645.222 4075.621
39 CROMWELL AV NW,-1785.933 4300.368|-1804.409 4307.385|-1815.209 4278.919|-1796.733 4271.891
28 CAPRI AV NW,-2210.367 4581.992|-2231.709 4589.164|-2242.334 4557.395|-2220.992 4550.223
68 CANYON DR NW,-2350.407 4440.129|-2379.250 4449.825|-2384.563 4433.936|-2355.720 4424.239
79 CANYON DR NW,-2321.865 4375.914|-2350.687 4385.610|-2356.007 4369.732|-2327.178 4360.024
1915 CANBERRA RD NW,-2523.596 3996.306|-2538.717 3999.730|-2545.819 3968.507|-2530.699 3965.071
1623 CAYUGA DR NW,-1745.808 4494.915|-1750.331 4497.672|-1754.951 4500.252|-1759.670 4502.654|-1764.472 4504.867|-1768.093 4506.457|-1782.745 4472.987|-1779.131 4471.397|-1775.580 4469.751|-1772.092 4467.983|-1768.674 4466.071|-1765.332 4464.036
3204 CAROL DR NW,-1912.684 3613.495|-1939.905 3627.061|-1946.672 3613.428|-1930.825 3599.284|-1919.738 3599.284
3705 14 ST NW,-1645.194 4112.182|-1675.581 4112.193|-1675.595 4092.400|-1645.215 4092.389
43 CROMWELL AV NW,-1804.409 4307.385|-1822.885 4314.412|-1825.450 4315.391|-1836.244 4286.925|-1833.685 4285.946|-1815.209 4278.919
32 CAPRI AV NW,-2231.709 4589.164|-2247.563 4594.490|-2258.189 4562.721|-2242.334 4557.395
72 CANYON DR NW,-2355.720 4424.239|-2384.563 4433.936|-2390.358 4416.611|-2361.522 4406.915
83 CANYON DR NW,-2327.178 4360.024|-2356.007 4369.732|-2361.802 4352.396|-2332.973 4342.722
1919 CANBERRA RD NW,-2538.717 3999.730|-2553.844 4003.155|-2560.939 3971.932|-2545.819 3968.507
964 NORTHMOUNT DR NW,-2420.752 4354.531|-2449.581 4364.216|-2453.929 4351.218|-2451.056 4345.435|-2426.547 4337.207
1627 CAYUGA DR NW,-1768.093 4506.457|-1788.422 4515.397|-1803.067 4481.916|-1793.049 4477.513|-1782.745 4472.987
3208 CAROL DR NW,-1905.925 3627.138|-1933.132 3640.693|-1939.905 3627.061|-1912.684 3613.495
47 CROMWELL AV NW,-1825.450 4315.391|-1841.361 4321.440|-1844.206 4322.529|-1855.006 4294.063|-1852.154 4292.974|-1836.244 4286.925
1807 CAYUGA CR NW,-2119.169 4599.060|-2155.652 4626.058|-2155.988 4624.323|-2156.533 4622.633|-2157.260 4621.010|-2158.176 4619.498|-2159.267 4618.097|-2160.504 4616.829|-2161.888 4615.717|-2163.384 4614.761|-2143.901 4569.293|-2119.197 4560.987|-2119.183 4577.677
76 CANYON DR NW,-2361.522 4406.915|-2390.358 4416.611|-2395.670 4400.722|-2366.835 4391.037
87 CANYON DR NW,-2332.973 4342.722|-2361.802 4352.396|-2367.114 4336.518|-2338.286 4326.844
