ADDRESS,POINTS
235 COPPERPOND CM SE,9725.355 -13662.094|9730.179 -13658.736|9719.316 -13642.924|9718.113 -13643.769|9715.646 -13640.177|9712.018 -13642.701
255 COPPERPOND CM SE,9743.090 -13649.762|9746.620 -13647.305|9733.262 -13627.890|9729.731 -13630.347
267 COPPERPOND CM SE,9753.681 -13642.401|9757.225 -13639.944|9743.866 -13620.507|9740.322 -13622.975
211 COPPERPOND CM SE,9702.105 -13676.593|9703.566 -13676.215|9704.985 -13675.704|9706.362 -13675.081|9707.676 -13674.347|9694.353 -13654.988|9691.836 -13656.745|9691.284 -13657.223|9690.787 -13657.757|9690.340 -13658.346|9689.963 -13658.969
247 COPPERPOND CM SE,9734.730 -13655.578|9739.560 -13652.220|9726.201 -13632.794|9721.378 -13636.152
251 COPPERPOND CM SE,9739.560 -13652.220|9743.090 -13649.762|9729.731 -13630.347|9726.201 -13632.794
271 COPPERPOND CM SE,9757.225 -13639.944|9759.001 -13638.698|9760.476 -13637.553|9761.825 -13636.263|9749.242 -13617.938|9748.312 -13618.083|9747.410 -13618.338|9746.558 -13618.716|9745.754 -13619.195|9743.866 -13620.507
259 COPPERPOND CM SE,9746.620 -13647.305|9750.151 -13644.858|9736.792 -13625.433|9733.262 -13627.890
223 COPPERPOND CM SE,9714.765 -13669.455|9718.295 -13666.997|9704.957 -13647.616|9701.427 -13650.073
263 COPPERPOND CM SE,9750.151 -13644.858|9753.681 -13642.401|9740.322 -13622.975|9736.792 -13625.433
227 COPPERPOND CM SE,9718.295 -13666.997|9721.825 -13664.551|9708.487 -13645.159|9704.957 -13647.616
231 COPPERPOND CM SE,9721.825 -13664.551|9725.355 -13662.094|9712.018 -13642.701|9708.487 -13645.159
215 COPPERPOND CM SE,9707.676 -13674.347|9708.494 -13673.814|9711.235 -13671.912|9697.897 -13652.531|9694.353 -13654.988
219 COPPERPOND CM SE,9711.235 -13671.912|9714.765 -13669.455|9701.427 -13650.073|9697.897 -13652.531
3 COPPERPOND LD SE,9877.028 -13765.349|9878.202 -13767.006|9880.991 -13771.087|9885.892 -13772.032|9887.262 -13772.299|9892.099 -13768.907|9905.074 -13759.901|9898.454 -13750.405
7 COPPERPOND LD SE,9873.581 -13760.334|9877.028 -13765.349|9898.454 -13750.405|9894.965 -13745.412
11 COPPERPOND LD SE,9870.121 -13755.331|9873.581 -13760.334|9894.965 -13745.412|9891.477 -13740.419
15 COPPERPOND LD SE,9866.661 -13750.327|9870.121 -13755.331|9891.477 -13740.419|9887.989 -13735.427
19 COPPERPOND LD SE,9862.348 -13744.089|9866.661 -13750.327|9887.989 -13735.427|9883.648 -13729.211
21 COPPERPOND LD SE,9858.042 -13737.873|9862.348 -13744.089|9883.648 -13729.211|9879.314 -13723.006
25 COPPERPOND LD SE,9854.581 -13732.869|9858.042 -13737.873|9879.314 -13723.006|9875.825 -13718.025
29 COPPERPOND LD SE,9851.121 -13727.865|9854.581 -13732.869|9875.825 -13718.025|9872.337 -13713.032
33 COPPERPOND LD SE,9868.856 -13708.039|9847.661 -13722.862|9851.121 -13727.865|9872.337 -13713.032
37 COPPERPOND LD SE,9842.495 -13715.423|9847.661 -13722.862|9868.856 -13708.039|9868.227 -13707.150|9867.486 -13706.216|9866.626 -13705.382|9865.668 -13704.681|9864.620 -13704.092|9863.515 -13703.658|9862.355 -13703.358|9861.173 -13703.225|9859.978 -13703.236
461 COPPERPOND LD SE,9885.906 -13719.492|9891.505 -13715.489|9893.316 -13714.466|9880.397 -13691.382|9878.363 -13692.528|9877.615 -13693.028|9876.916 -13693.606|9876.273 -13694.240|9875.707 -13694.941|9875.210 -13695.708|9874.798 -13696.508|9874.469 -13697.354|9874.225 -13698.221|9874.071 -13699.110|9874.008 -13700.011|9874.036 -13700.923|9874.162 -13701.812|9874.371 -13702.702|9874.672 -13703.547|9875.056 -13704.370|9875.525 -13705.148
457 COPPERPOND LD SE,9893.316 -13714.466|9898.600 -13711.475|9885.682 -13688.391|9880.397 -13691.382
453 COPPERPOND LD SE,9898.600 -13711.475|9903.885 -13708.484|9890.967 -13685.400|9885.682 -13688.391
