ADDRESS,POINTS
172S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
145V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
403 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
228V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
229V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
230V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
231V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
233V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
234V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
235V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
236V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
237V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
238V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
239V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
