ADDRESS,POINTS
15 4 ST NE,1326.856 359.942|1326.870 352.359|1344.647 347.978|1346.318 347.667|1348.010 347.533|1349.708 347.578|1351.400 347.800|1353.050 348.211|1354.644 348.790|1356.174 349.535|1357.615 350.435|1358.950 351.492|1360.166 352.681|1361.250 353.994|1362.186 355.406|1362.969 356.918|1363.584 358.497|1364.032 360.143|1364.297 361.822|1365.835 376.433|1353.413 376.433|1354.860 379.413|1355.986 382.526|1367.779 382.526|1367.758 422.134|1322.208 422.156|1322.208 382.537|1326.801 382.537|1326.842 376.444
334 9 AV NE,1117.268 1448.441|1106.628 1448.530|1106.761 1411.980|1117.401 1411.902
320 11 AV NE,1047.985 1647.457|1032.816 1647.624|1032.718 1611.174|1047.887 1610.985
330 11 AV NE,1063.162 1647.291|1047.985 1647.457|1047.887 1610.985|1063.057 1610.808
332 11 AV NE,1063.057 1610.808|1079.408 1610.596|1081.120 1616.701|1074.207 1647.168|1063.162 1647.291
110 13 AV NW,575.856 1858.261|575.862 1862.064|558.855 1862.041|558.841 1854.436|558.820 1846.830|558.799 1839.213|558.785 1831.607|575.786 1831.630|575.807 1839.246|575.828 1846.852|575.842 1854.469
110 13 AV NW,558.785 1831.607|558.799 1839.213|558.820 1846.830|558.841 1854.436|558.855 1862.041|541.686 1862.019|541.672 1854.413|541.651 1846.808|541.630 1839.191|541.609 1831.574
314 13 AV NE,1027.189 1846.352|1019.597 1846.418|1019.611 1809.869|1027.224 1809.802
342 8 AV NE,1137.177 1348.977|1123.489 1349.088|1123.441 1312.527|1137.121 1312.416
352 8 AV NE,1150.801 1312.305|1176.645 1312.116|1160.175 1348.788|1150.871 1348.866
1616 1 ST NE,848.966 2062.281|848.952 2069.698|834.363 2069.665|834.363 2067.841|832.532 2067.841|832.525 2069.665|826.038 2069.653|826.045 2066.951|812.602 2066.929|812.574 2059.257|812.574 2057.822|812.553 2052.629|816.545 2052.596|857.823 2052.274|874.838 2052.129|874.873 2069.742|865.422 2069.720|865.422 2068.219|863.947 2068.219|863.947 2069.720|857.348 2069.709|857.348 2066.807|863.947 2066.818|863.961 2062.303
310 1319 EDMONTON TR NE,1048.384 1761.277|1048.782 1786.484|1047.307 1789.531|1028.622 1789.698|1010.349 1789.854|1010.258 1753.315|1050.264 1752.959
