ADDRESS,POINTS
202 15 AV NE,823.878 2046.503|820.075 2046.536|812.476 2046.603|812.399 2010.064|819.998 2009.997|823.794 2009.964
206 15 AV NE,835.272 2046.414|827.673 2046.469|823.878 2046.503|823.794 2009.964|827.597 2009.931|835.195 2009.875
350 1 AV NE,1183.761 638.886|1176.177 638.931|1168.599 638.975|1161.028 639.031|1153.451 639.075|1153.402 617.748|1160.979 617.703|1168.550 617.648|1176.128 617.603|1179.162 617.581|1183.726 622.118
207 3 ST NE,1183.775 646.514|1176.198 646.570|1168.620 646.614|1161.042 646.659|1153.465 646.714|1153.451 639.075|1161.028 639.031|1168.599 638.975|1176.177 638.931|1183.761 638.886
209 3 ST NE,1183.775 646.514|1183.796 654.131|1176.212 654.186|1168.634 654.231|1161.056 654.275|1153.479 654.331|1153.465 646.714|1161.042 646.659|1168.620 646.614|1176.198 646.570
346 1 AV NE,1153.479 654.331|1145.908 654.375|1138.330 654.431|1138.246 617.848|1145.824 617.792|1153.402 617.748|1153.451 639.075|1153.465 646.714
330 1 AV NE,1092.864 654.720|1085.287 654.765|1077.709 654.820|1077.639 618.237|1085.217 618.182|1092.794 618.137
334 1 AV NE,1108.020 654.620|1100.442 654.665|1092.864 654.720|1092.794 618.137|1100.372 618.093|1107.943 618.037
340 1 AV NE,1123.175 654.520|1115.597 654.576|1108.020 654.620|1107.943 618.037|1115.520 617.993|1123.098 617.948
344 1 AV NE,1138.330 654.431|1130.753 654.476|1123.175 654.520|1123.098 617.948|1130.676 617.892|1138.246 617.848
1212 CENTRE ST NE,703.495 1656.475|676.421 1656.687|670.346 1656.742|670.332 1651.827|636.141 1652.072|636.071 1618.891|640.622 1614.288|670.213 1614.054|713.861 1613.721|715.539 1613.710|723.131 1613.643|723.215 1650.215|715.623 1650.282|715.637 1656.375
